[2026-08-15 22:20:20] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-14
正在获取论文...
[ACM] 2026-8-14 | Tools for Enhancing Active Learning Experience in an Online Environment
[IEEE] 2026-8-14 | A Robust Image–Text Alignment Framework using BLIP-2, CLIP and Caption Guided Fusion
[IEEE] 2026-8-14 | Digital Twin–Driven Optimization for Energy-Efficient and Sustainable Oil and Gas Production
[IEEE] 2026-8-14 | A Surplus Power Control Method Without DC Dissipative Device for Flexible HVDC Transmission of Offshore Wind Power
[IEEE] 2026-8-14 | Hierarchical Spatio-Temporal Graph Transformer with Semantic Behavior Fusion for Intelligent Student Ideological and Political Classroom Behavior Recognition
[IEEE] 2026-8-14 | Design and Analysis of Bi-Layer Day-Ahead Market Model for Renewable Energy Accommodation
[IEEE] 2026-8-14 | Conceptual Evaluation of the Automated Hybrid In-Situ River Remediation System (AHIRRS) Framework and Long-Term Water Quality Analysis of the Yamuna River
[IEEE] 2026-8-14 | AI-based Object Detection and Voice Assistance System for Blind People
[IEEE] 2026-8-14 | A Day-Ahead Wind Power Forecasting Method Based on Meteorological Correction and Contrastive Learning-Constrained Transformer
[IEEE] 2026-8-14 | Optical Performance of a Ring-Shaped MEMS Shutter Array for Interference Microscopy
[IEEE] 2026-8-14 | Comments and Corrections—Corrections to “A Comprehensive Equivalent Circuit Model for High-Overtone Bulk Acoustic Resonators (HBARs)”
[IEEE] 2026-8-14 | Research on Business Management Risk Prediction using Sparse Autoencoder-Assisted Bidirectional Long Short-Term Memory with Multi-Head Self-Attention
[IEEE] 2026-8-14 | Low-Voltage Nanoelectromechanical Photonic Information Processing Cell
[IEEE] 2026-8-14 | A Multi-Task CNN Framework for Simultaneous Age Estimation and Gender Classification from Facial Images
[IEEE] 2026-8-14 | Efficient Adaptation of Large Language Models for Sentiment Classification: A Comparative Study of QLoRA, LoRA, and Full Fine-Tuning Under Resource Constraints
[IEEE] 2026-8-14 | Reconfigurable Gires-Tournois Resonators for Low-Power-Operable Monopixel Array
[IEEE] 2026-8-14 | Comprehensive Analysis of Load Balancing and Resource Provisioning Methods in Cloud Computing Environments
[IEEE] 2026-8-14 | Internet of Things(IoT)-based Pest Detection and Monitoring System using Machine Learning
[IEEE] 2026-8-14 | Deep Learning for Crop Yield Prediction: A Comprehensive Review of Architectures, Data Sources, and Optimization Strategies
[IEEE] 2026-8-14 | Quantum Kernel Concentration Under Class Imbalance: Empirical Characterisation with Discrimination Ratio and Quantum Imbalance Vulnerability Score
[IEEE] 2026-8-14 | Fast Search Method for Substation Secondary Full Loop Based on MS-HyperAdapt Transformer and TC-PIGNN
[IEEE] 2026-8-14 | Research on Gas Suppression Measures for the Reversing Change-Over Selector Switching of On-Load Tap-Changer in Converter Transformer
[IEEE] 2026-8-14 | Fusion of Local Convolutional Features and Global Attention for Automated Leukemia Cell Detection
[IEEE] 2026-8-14 | Future of the IAS [President’s Message]
[ACM] 2026-8-14 | The Extent and the Limitations of Mechanistic Explanations of Nature
[IEEE] 2026-8-14 | The $\lambda$-Spectrum of Dynamical Network Markers for Multiscale Early Warning and Industrial Covariance Fingerprinting
[IEEE] 2026-8-14 | An Unforgettable Experience [Chapter News]
[IEEE] 2026-8-14 | Online Scheduling with Zygote Container for Tackling Cold Start in Serverless Functions
[IEEE] 2026-8-14 | Hyperspectral satellite-derived phytoplankton diagnostic pigments in the East China Sea: Spatiotemporal patterns and ecological response to coastal fronts_supp1-3723474.docx
[IEEE] 2026-8-14 | IEEE Embedded Systems Letters Publication Information
[ACM] 2026-8-14 | High-Fidelity Gaussian Splatting from MVS Clouds: An Iterative Spatial Decomposition framework
[IEEE] 2026-8-14 | A Transformer-Based Spatiotemporal Perception Framework for Dynamic Constrained Multi-objective Optimization
[IEEE] 2026-8-14 | Precursor Milling-Induced Improvement of Optoelectronic Properties in Fluorine-Doped ZnO Films
[IEEE] 2026-8-14 | Quantisation-Aware RIS Placement Optimisation for AGV Connectivity in Industrial Private 5G Networks
[IEEE] 2026-8-14 | A Bridge IC With Programmable DQS/WCK Pattern Generation and RDQS Error Detection for Next-Generation Mobile Memory Interface Testing
[IEEE] 2026-8-14 | Semi-supervised Manifold Representation Learning for Fault Diagnosis: An Adaptive Feature Engineering Framework for Rotating Machinery
[IEEE] 2026-8-14 | IEEE Feedback
[IEEE] 2026-8-14 | A Digital Twin and Large Language Model based Intelligent Decision-Making Architecture for Enterprises
[IEEE] 2026-8-14 | Indian Musical Instrument Recognition using MFCC-CNN-UNET Encoder
[IEEE] 2026-8-14 | Hybrid SVM–RF Framework for Accurate Product Classification using Feature Optimization in E-Commerce
[IEEE] 2026-8-14 | Low-Carbon Operation Strategy for Integrated Energy Systems Considering Hydrogen-Ammonia Storage Safety and Multi-Energy Synergy
[IEEE] 2026-8-14 | Benchmarking Vision Transformers for Retinal Disease Analysis: Insights Across Diverse Classification Tasks and Datasets
[IEEE] 2026-8-14 | A Double Deep Q-Network Reinforcement Learning Method for Load-Balancing Inter-Satellite Routing in LEO Satellite Constellations
[IEEE] 2026-8-14 | Adaptive Residual-Guided Memory Neural Solver for Accurate and Stable Numerical Solutions of Ordinary Differential Equations
[IEEE] 2026-8-14 | Research on the Evaluation Model of Ideological and Political Education Effectiveness in College English Courses based on Transformer and BiGRUAttention Network
[IEEE] 2026-8-14 | Music Style Classification Modeling and Emotion Recognition Algorithms based on Machine Learning
[IEEE] 2026-8-14 | Interpretability-Driven Severity Grading of Rice Leaf Diseases using a Heterogeneous CNN Ensemble with Explainable AI
[IEEE] 2026-8-14 | A Multimodal Machine Learning Framework for Credit Card Fraud Detection using Numerical and Temporal Feature Fusion
[IEEE] 2026-8-14 | Optimal Dispatch of Integrated Electricity and Heat Systems with Electric Heating Molten Salt Energy Storage
[IEEE] 2026-8-14 | A Real-Time Generative AI Operating System for Regulated Financial Services Contact Centres
[IEEE] 2026-8-14 | Ant Colony Optimization-based PID Tuning for Enhanced Load Frequency Control in Interconnected Power Systems
[IEEE] 2026-8-14 | Deep Residual Learning-Based Denoising Framework for Enhancing Brain MRI Quality in Glioma Detection and Grading
[IEEE] 2026-8-14 | Noise-Suppressed Transformer-based Voice-to-Text for Accurate Multilingual Speech Recognition in Noisy Environments
[IEEE] 2026-8-14 | A Reference Architecture for Agentic Hybrid Retrieval in Dataset Search
[IEEE] 2026-8-14 | Engineering Sustainable Fiber-based Composites from Food and Crop Waste using an AI-Driven Circular Economy Framework
[IEEE] 2026-8-14 | Decentralized Proof-Of-Location for Content Provenance: Towards Capture-Time Authenticity
[IEEE] 2026-8-14 | Target-Aware Frequency-Constrained Adversarial Attack for Modulation Recognition
[IEEE] 2026-8-14 | Probabilistic Power Flow Tracing Under High Renewable Penetration: A Cumulant-Based Approach
[IEEE] 2026-8-14 | Numerical Simulation of Apparent Resistivity Measurement Based on Schlumberger Array
[IEEE] 2026-8-14 | Dynamic Graph Feature Refinement for Detection of Epileptic Seizure using the Graph Neural Network
[IEEE] 2026-8-14 | Deep Learning based Automatic Modulation Classification for Wireless Communication Systems
[IEEE] 2026-8-14 | Self-Adaptive Natural Evolution Strategy for Categorical Optimization With Applications to Hard Prompt Search_supp1-3716884.pdf
[IEEE] 2026-8-14 | Author Index
[IEEE] 2026-8-14 | Low Rank Denoising for Chinese Spaceborne Hyperspectral Imagery with Spectral Fidelity Preservation_supp1-3722911.pdf
[IEEE] 2026-8-14 | Table of Contents
[IEEE] 2026-8-14 | A Stress- and Temperature-Compensated TMR Current Sensor With ±0.13% Sensitivity Variation
[IEEE] 2026-8-14 | ICSCSS 2026 Cover Page
[IEEE] 2026-8-14 | Adaptive Tracking with Harmonic Beamforming by 2-Bit Time Modulated Array
[IEEE] 2026-8-14 | Grasp Pose Estimation of Articulated Objects Based on Semantic and Geometric Feature Fusion
[IEEE] 2026-8-14 | CRA-Net: A Wavelet-Decomposed Vision Transformer with Cross-Radiomics Attention for Fine-Grained Biomedical Image Classification
[IEEE] 2026-8-14 | Broadband C-Band Tunable Hybrid-Integrated Optical Transmitter Based on PWB-Interconnected Matrix DFB Laser Array and TFLN Modulator
[IEEE] 2026-8-14 | Operational Memory Architecture for Kubernetes: Evidence Horizon Taxonomy and Extended Causal Pattern Preservation
[IEEE] 2026-8-14 | Automated Business Process Model Generation with Large Language Models: A Systematic Literature Review
[IEEE] 2026-8-14 | Scalable Renewal Architecture: Efficient Processing of 10,000+ License Orders with Optimized Output Generation
[IEEE] 2026-8-14 | AI-Augmented Microservices Architecture: Rapid Design and Validation of an Authentication Service Using GitHub Copilot
[IEEE] 2026-8-14 | An Echocariogram based Heart Disease using Deep Learning Model
[IEEE] 2026-8-14 | A Kinematic-Constraint Multimodal Perception Data Fusion Method for Non-Cooperative UAVs Localization
[IEEE] 2026-8-14 | Graph-Bi-LSTM Hybrid Model for Topology-Aware Intrusion Detection in Wireless Sensor Networks
[IEEE] 2026-8-14 | Advanced Machine Learning Framework for Early Detection and Classification of Polycystic Ovary Syndrome (PCOS)
[IEEE] 2026-8-14 | A Lightweight Script-Aware OCR Framework for Multilingual Text Recognition in Real-World Images
[IEEE] 2026-8-14 | Design of a Cross-Domain Data 3D Modeling and Remote Error-Free Perception System for Power Grids using Computer Vision and Edge Computing Collaboration
[IEEE] 2026-8-14 | Analysis of Oil Conservators and Coolers Design for Transformers of Transmission System
[IEEE] 2026-8-14 | Determination of Renewable Energy Utilization and Installed Capacity Based on Accommodation Coefficient
[IEEE] 2026-8-14 | A Method and System for Status Identification of Cabinet-Mounted Equipment in Extra-High Voltage Substations
[IEEE] 2026-8-14 | Animation Simulation Design of Intelligent Robots based on Virtual Reality
[IEEE] 2026-8-14 | Evaluation of Corporate Green Innovation Performance using the Improved Particle Swarm Attention Model
[IEEE] 2026-8-14 | AcadVault: A Privacy-First Blockchain Credential Framework Achieving O(1) Batch Issuance via Merkle Tree and SSS-based Distributed Key Recovery
[IEEE] 2026-8-14 | FloodLens: A Semi-Supervised Segmentation Framework for Post-Flood Assessment using UAV Imagery
[IEEE] 2026-8-14 | Context-Aware Semantic Dynamic Time Warping Framework for Error Detection in English Machine Translation
[IEEE] 2026-8-14 | Sentiment and Discourse Analysis of Philippine Political Conversations on Social Media using Natural Language Processing
[IEEE] 2026-8-14 | Implementation of Machine Learning Algorithm Recommendation Model based on Knowledge Graph
[IEEE] 2026-8-14 | AI-Based Early-Canary Risk Prediction for Backend Releases
[IEEE] 2026-8-14 | Quantum Dots Embedded Graphene Thin Films for EMI and Sensing Applications
[IEEE] 2026-8-14 | Structure-Grounded Document Agents for Faithful Long-Context Reasoning
[IEEE] 2026-8-14 | Design of a Knowledge Graph-Based Intelligent Resource Push System for Vocational Education English
[IEEE] 2026-8-14 | A Novel Dual-Channel Fusion Network Combined with VMD for the Transient Signals Identification of Power System
[IEEE] 2026-8-14 | Automated 3D Brain Tumor Segmentation using Attention U-Net with Multi-Task Regularization on Multiparametric MRI
[IEEE] 2026-8-14 | Scalable Cross-Region Disaster Recovery Models for Ensuring High Availability Data Platforms
[IEEE] 2026-8-14 | Circular Edge Notched Hexagonal Patch Antenna For 60 GHz Millimeter Wave Wireless Networks
[IEEE] 2026-8-14 | AI-based Analytical System for Anomaly Detection in Industrial Processes
[IEEE] 2026-8-14 | Edge-AI Power Auditor: Decentralized Harmonic Analysis and NILM-based Diagnostics
[IEEE] 2026-8-14 | Feature Engineering and Machine Learning-based Analysis of Tourist Satisfaction and Interest-Driven Segmentation
[IEEE] 2026-8-14 | Low-Power MSDF Multiply Accumulate Unit with Reduced Working Precision
[IEEE] 2026-8-14 | IRW-FL: Improvement-Based Reliability Weighted Federated Learning
[IEEE] 2026-8-14 | A Comparative Machine Learning-based State-of-Charge Estimation of Lithium-Ion Batteries using OCV-Corrected Reference Modeling and Multi-Domain Feature Engineering
[IEEE] 2026-8-14 | Efficient Oilfield Digital Systems using Digital Twin-Assisted Transformer-BiLSTM with Multi-Head Self-Attention
[IEEE] 2026-8-14 | Real–Time Data Backup using the Seed block algorithm and Data Recovery using the PPCS-MAA Algorithm
[IEEE] 2026-8-14 | Distributed Transaction Processing and Consistency Guarantee of E-Commerce Transaction Systems under Cloud-Native Architecture
[IEEE] 2026-8-14 | Gen-AI Interview Simulator &amp; Resume Advisor for Top IT Firms
[IEEE] 2026-8-14 | An Efficient and Accurate Complex Permittivity Retrieval Method in Waveguides with Arbitrary Cross-Sectional Filling
[IEEE] 2026-8-14 | Multimode Near-Infrared Refractive Index Biosensor Based on Graphene-Integrated Split Elliptical-in-Square Metamaterial
[IEEE] 2026-8-14 | An Enhanced Breast Lesion Segmentation using DeepLabv3+ for Improved Ultrasound Diagnosis
[IEEE] 2026-8-14 | A Web-Based Mental Health Assessment Framework using Natural Language Processing Techniques
[IEEE] 2026-8-14 | Hybrid Evolutionary Optimization and Neural Network Models for Climate Adaptive Renewable Energy Forecasting
[IEEE] 2026-8-14 | Cloud-Driven Browser-Based Ethical AI Model Evaluation Sandbox
[IEEE] 2026-8-14 | Analysis of Abnormal Events and Defect Elimination Technology Status of New Energy Stations in Western Yunnan
[IEEE] 2026-8-14 | Towards Architecting LLM-Based Systems
[IEEE] 2026-8-14 | Towards a Reference Architecture for Blockchain-Based Document Management Systems
[IEEE] 2026-8-14 | A Hybrid Deep Learning Framework for Automated Glaucoma Classifcation using Neuroretinal Rim Analysis
[IEEE] 2026-8-14 | Multiphysics CFD Analysis and Computational Modeling of Implantable Chemo ports Using ANSYS for Enhanced Clinical Performance
[IEEE] 2026-8-14 | Research on Optimal Pricing Decision-Making Mechanism Under Mechanism Electricity Price Bidding and Power Market Transactions
[IEEE] 2026-8-14 | Self-Supervised Multimodal Learning for Early Detection of Complex Diseases
[IEEE] 2026-8-14 | Optimization of Thermal Efficiency in Internal Combustion Engines using Data-Driven Modeling
[IEEE] 2026-8-14 | An Oil-Port Detection Method for Sampling Robots Based on Improved YOLOv11 Network
[IEEE] 2026-8-14 | Regional Economic Development Prediction and Evaluation based on Adaptive Rule-Extracted Random Forest
[IEEE] 2026-8-14 | APDT: A Digital Twin for Assessing Access Point Characteristics in a Network
[IEEE] 2026-8-14 | Design and Research of Digital Education Platform for Ideological and Political Education using XAI-COERNN
[IEEE] 2026-8-14 | Federated Machine Learning Framework for Secure Blockchain-based Healthcare Data Sharing in Multi-Cloud Environments
[IEEE] 2026-8-14 | Early Detection of Cardiac Arrest Risk using Clinical and ECG-Based AI Models
[IEEE] 2026-8-14 | T-Type Modular DC/DC Converter and its Bidirectional Fault Isolation Research
[IEEE] 2026-8-14 | MASAC: A Multi-Agent Soft Actor-Critic Framework for Decentralized EV Charging Networks
[IEEE] 2026-8-14 | AI-Assisted Test Case Generation and Management System
[IEEE] 2026-8-14 | Fair and Budget-Controlled Federated Retrieval-Augmented Generation for Open-Domain QA
[IEEE] 2026-8-14 | Pediatric Brain Tumor Segmentation in MRI using Residual U-Net with scSE Attention Networks
[IEEE] 2026-8-14 | An Adaptive Defense Framework for Enhancing Adversarial Robustness in Deep Learning-based Network Intrusion Detection Systems
[IEEE] 2026-8-14 | Numerical Optimization of Lead-Free Cs
                    <sub>4</sub>
                    CuSb
                    <sub>2</sub>
                    Cl
                    <sub>12</sub>
                    Perovskite Solar Cell with WS
                    <sub>2</sub>
                    and CuSCN Charge Transport Layers
[IEEE] 2026-8-14 | Adaptive Contrastive Feature Learning-Based Explainable Long Short-Term Memory Framework for Digital Financial Fraud Risk Prediction
[IEEE] 2026-8-14 | Cross-Modal Semantic Alignment Network and Bayesian Cognitive State Inference-Based Immersive Teaching System for Higher Vocational English based on Artificial Intelligence Visual Perception Technology
