[2026-03-24 09:42:22] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-23
正在获取论文...
[arXiv] 2026-03-23 | Dark energy and accelerating cosmological evolution in a Universe with a Weylian boundary
[arXiv] 2026-03-23 | Approximate Butterfly Counting in Sublinear Time
[arXiv] 2026-03-23 | Many-body mobility edges in one dimension revealed by efficient and interpretable feature-based learning with Kolmogorov-Arnold Networks
[arXiv] 2026-03-23 | Semigroup decay for the wave equation with unbounded damping
[arXiv] 2026-03-23 | Timing In stand-up Comedy: Text, Audio, Laughter, Kinesics (TIC-TALK): Pipeline and Database for the Multimodal Study of Comedic Timing
[arXiv] 2026-03-23 | Non-uniqueness of smooth solutions of the 5D magnetohydrodynamic equations from critical data
[arXiv] 2026-03-23 | Image-Conditioned Adaptive Parameter Tuning for Visual Odometry Frontends
[arXiv] 2026-03-23 | Impact of heavy-tailed synaptic strength distributions on self-sustained activity in networks of spiking neurons
[arXiv] 2026-03-23 | Spacelike and timelike structure functions: a dispersive crossing relation
[arXiv] 2026-03-23 | A Lego Block Approach to Flow in Complex Microfluidic Networks
[arXiv] 2026-03-23 | Time to Get Closer: Longing for Care Ethics Under the Neoliberal Logic of Public Services
[arXiv] 2026-03-23 | Interpreted Higher-Dimensional Automata for Concurrent Discrete-Event Control
[arXiv] 2026-03-23 | Cognitive Agency Surrender: Defending Epistemic Sovereignty via Scaffolded AI Friction
[arXiv] 2026-03-23 | All-optical quantum memory using bosonic quantum error correction codes
[arXiv] 2026-03-23 | A quasi-star is born: formation and evolution of accreting quasi-stars as a metallicity-independent pathway to Little Red Dots
[arXiv] 2026-03-23 | FGIM: a Fast Graph-based Indexes Merging Framework for Approximate Nearest Neighbor Search
[arXiv] 2026-03-23 | Data-Free Layer-Adaptive Merging via Fisher Information for Long-to-Short Reasoning LLMs
[arXiv] 2026-03-23 | LipsAM: Lipschitz-Continuous Amplitude Modifier for Audio Signal Processing and its Application to Plug-and-Play Dereverberation
[arXiv] 2026-03-23 | RESPOND: Responsive Engagement Strategy for Predictive Orchestration and Dialogue
[arXiv] 2026-03-23 | SPINONet: Scalable Spiking Physics-informed Neural Operator for Computational Mechanics Applications
[arXiv] 2026-03-23 | PRM-as-a-Judge: A Dense Evaluation Paradigm for Fine-Grained Robotic Auditing
[arXiv] 2026-03-23 | Isospin-breaking effects of the double-charm molecular pentaquarks
[arXiv] 2026-03-23 | Multimessenger Concordance for the Cygnus Region as the Source of the Cosmic-Ray Knee
[arXiv] 2026-03-23 | Efficient Gaussian Simulations of Fermionic Open Quantum Systems
[arXiv] 2026-03-23 | Towards Secure Retrieval-Augmented Generation: A Comprehensive Review of Threats, Defenses and Benchmarks
[arXiv] 2026-03-23 | TLS Certificate and Domain Feature Analysis of Phishing Domains in the Danish .dk Namespace
[arXiv] 2026-03-23 | Full Timescale Hierarchical MPC-MTIP Framework for Hybrid Energy Storage Management in Low-Carbon Industrial Microgrid
[arXiv] 2026-03-23 | Acoustic limit of Boltzmann equations for gas mixture
[arXiv] 2026-03-23 | Proximal Policy Optimization in Path Space: A Schrödinger Bridge Perspective
[arXiv] 2026-03-23 | Contrasting Perspectives on Engagement Across Three Digital Behavior Change Interventions
[arXiv] 2026-03-23 | Conditional Wasserstein GAN for Simulating Neutrino Event Summaries using Incident Energy of Electron Neutrinos
[arXiv] 2026-03-23 | Distilling the knowledge with quantum neural networks
[arXiv] 2026-03-23 | Computing the Girth of a Segment Intersection Graph
[arXiv] 2026-03-23 | TERS-ABNet: A Deep Learning Approach for Automated Single-Molecule Structure Reconstruction with Atomic Precision from TERS Mapping
[arXiv] 2026-03-23 | Adaptive Robust Estimator for Multi-Agent Reinforcement Learning
[arXiv] 2026-03-23 | Counterfactual Credit Policy Optimization for Multi-Agent Collaboration
[arXiv] 2026-03-23 | From Part to Whole: 3D Generative World Model with an Adaptive Structural Hierarchy
[arXiv] 2026-03-23 | Emergent Detailed Balance in Human Mobility under Temporal Coarse-Graining
[arXiv] 2026-03-23 | AI In Cybersecurity Education -- Scalable Agentic CTF Design Principles and Educational Outcomes
[arXiv] 2026-03-23 | Detection of a Molecular Cloud toward the Heartbeating Gamma-ray Source near the Microquasar SS 433
[arXiv] 2026-03-23 | One-Year Internship Program on Software Engineering: Students' Perceptions and Educators' Lessons Learned
[arXiv] 2026-03-23 | PROBE: Diagnosing Residual Concept Capacity in Erased Text-to-Video Diffusion Models
[arXiv] 2026-03-23 | Auction-Based Task Allocation with Energy-Conscientious Trajectory Optimization for AMR Fleets
[arXiv] 2026-03-23 | Evolutionary Biparty Multiobjective UAV Path Planning: Problems and Empirical Comparisons
[arXiv] 2026-03-23 | Non-Exclusive Notifications for Ride-Hailing at Lyft I: Single-Cycle Approximation Algorithms
[arXiv] 2026-03-23 | Non-Exclusive Notifications for Ride-Hailing at Lyft II: Simulations and Marketplace Analysis
[arXiv] 2026-03-23 | BOxCrete: A Bayesian Optimization Open-Source AI Model for Concrete Strength Forecasting and Mix Optimization
[arXiv] 2026-03-23 | Efficient Failure Management for Multi-Agent Systems with Reasoning Trace Representation
[arXiv] 2026-03-23 | Plane Floer homology and the odd Khovanov homology of 2-knots
[arXiv] 2026-03-23 | Here, there and everywhere: state-dependent time-inconsistent stochastic control
[arXiv] 2026-03-23 | Inflationary Phase Transitions in the Early Universe: A Bayesian Study with Space-Based Gravitational Waves Detectors
[arXiv] 2026-03-23 | Charmed baryon decays at Belle and Belle II
[arXiv] 2026-03-23 | Moment inequalities for Chow polynomials of matroids and bounds on Chern numbers
[arXiv] 2026-03-23 | EpiMask: Leveraging Epipolar Distance Based Masks in Cross-Attention for Satellite Image Matching
[arXiv] 2026-03-23 | $p$-Ordinary Part of Hyperbolic Cycles on Modular Curves
[arXiv] 2026-03-23 | Can a Robot Walk the Robotic Dog: Triple-Zero Collaborative Navigation for Heterogeneous Multi-Agent Systems
[arXiv] 2026-03-23 | Feedback percolation on complex networks
[arXiv] 2026-03-23 | A robust method for classification of chimera states
[arXiv] 2026-03-23 | FISformer: Replacing Self-Attention with a Fuzzy Inference System in Transformer Models for Time Series Forecasting
[arXiv] 2026-03-23 | Computationally lightweight classifiers with frequentist bounds on predictions
[arXiv] 2026-03-23 | Energy loss predicts no $v_2$ in small systems
[arXiv] 2026-03-23 | Ctrl-A: Control-Driven Online Data Augmentation
[arXiv] 2026-03-23 | Modal Logic for Distributed Trust
[arXiv] 2026-03-23 | ROM: Real-time Overthinking Mitigation via Streaming Detection and Intervention
[arXiv] 2026-03-23 | VP-VLA: Visual Prompting as an Interface for Vision-Language-Action Models
[arXiv] 2026-03-23 | CRPS-Optimal Binning for Conformal Regression
[arXiv] 2026-03-23 | Adiabatic renormalization for modified dispersion relations in cosmology
[arXiv] 2026-03-23 | Pair-based estimators of infection and removal rates for stochastic epidemic models
[arXiv] 2026-03-23 | Surfacing and Applying Meaning: Supporting Hermeneutical Autonomy for LGBTQ+ People in Taiwan
[arXiv] 2026-03-23 | TREX: Trajectory Explanations for Multi-Objective Reinforcement Learning
[arXiv] 2026-03-23 | Speed by Simplicity: A Single-Stream Architecture for Fast Audio-Video Generative Foundation Model
[arXiv] 2026-03-23 | Quadratic flatness and Regularity for Codimension-One Varifolds with Bounded Anisotropic First Variation Part II
[arXiv] 2026-03-23 | Fast undersampled dynamic MRI reconstruction using explicit representation learning with Gaussian splatting
[arXiv] 2026-03-23 | Observations of Early Black Holes Before and After JWST
[arXiv] 2026-03-23 | Bessel Gaussian Beam Propagation in a Thermally Induced Axially Varying GRIN Medium
[arXiv] 2026-03-23 | Demystifying Reinforcement Learning for Long-Horizon Tool-Using Agents: A Comprehensive Recipe
[arXiv] 2026-03-23 | Gravitational waves from holographic first-order QCD phase transition with magnetic field
[arXiv] 2026-03-23 | A Simple and Efficient Implementation of Strong Call by Need by an Abstract Machine
[arXiv] 2026-03-23 | A Note on the Perturbative Expansion of the Schwinger Model on $S^2$
[arXiv] 2026-03-23 | Camera-Agnostic Pruning of 3D Gaussian Splats via Descriptor-Based Beta Evidence
[arXiv] 2026-03-23 | Variations on a theme of MacDowell-Mansouri
[arXiv] 2026-03-23 | Mechanical stress induced by the polymerisation of an active gel near a surface
[arXiv] 2026-03-23 | The Cascade Identity: 2SLS as a Policy Parameter in Capacity-Constrained Settings
[arXiv] 2026-03-23 | AnkleType: A Hands- and Eyes-free Foot-based Text Entry Technique in Virtual Reality
[arXiv] 2026-03-23 | On the identifiability of Dirichlet mixture models
[arXiv] 2026-03-23 | A Novel Method for Enforcing Exactly Dirichlet, Neumann and Robin Conditions on Curved Domain Boundaries for Physics Informed Machine Learning
[arXiv] 2026-03-23 | CLEAR: Context-Aware Learning with End-to-End Mask-Free Inference for Adaptive Video Subtitle Removal
[arXiv] 2026-03-23 | Ara-Best-RQ: Multi Dialectal Arabic SSL
[arXiv] 2026-03-23 | Long-time behavior of multi-step Finite Difference schemes with boundary via steepest descent and analytic combinatorics
[arXiv] 2026-03-23 | $π$-Girsanov: A Generalized Method to Construct Markov State Models from Non-Equilibrium and Multiensemble Biased Simulations
[arXiv] 2026-03-23 | IGV-RRT: Prior-Real-Time Observation Fusion for Active Object Search in Changing Environments
[arXiv] 2026-03-23 | Disentangling Speaker Traits for Deepfake Source Verification via Chebyshev Polynomial and Riemannian Metric Learning
[arXiv] 2026-03-23 | Accurate ground state energy estimation with noise and imperfect state preparation
[arXiv] 2026-03-23 | Manifold-Aware Exploration for Reinforcement Learning in Video Generation
[arXiv] 2026-03-23 | Triangular Decomposition of the Crystal Lattice of Quantized Function Algebras: Revisited
[arXiv] 2026-03-23 | Holistic Scaling Laws for Optimal Mixture-of-Experts Architecture Optimization
[arXiv] 2026-03-23 | New surface composition and temperature maps of Pluto from New Horizons LEISA data
[arXiv] 2026-03-23 | On splitting strategies for the numerical solution of stochastic delay differential equations with correlated noises
[arXiv] 2026-03-23 | Sim-to-Real of Humanoid Locomotion Policies via Joint Torque Space Perturbation Injection
[arXiv] 2026-03-23 | A Moser-Type Construction for the Liouville Equation
[arXiv] 2026-03-23 | Investigating and Comparing Discussion Topics in Multilingual Underground Forums
[arXiv] 2026-03-23 | Select, Label, Evaluate: Active Testing in NLP
[arXiv] 2026-03-23 | SteelDefectX: A Coarse-to-Fine Vision-Language Dataset and Benchmark for Generalizable Steel Surface Defect Detection
[arXiv] 2026-03-23 | Fiber-optic quantum interface with an array of more than 100 individually addressable atoms on an optical nanofiber
[arXiv] 2026-03-23 | Partial Attention in Deep Reinforcement Learning for Safe Multi-Agent Control
[arXiv] 2026-03-23 | Diffraction of deep-water solitons
[arXiv] 2026-03-23 | Connecting Distributed Ledgers: Surveying Novel Interoperability Solutions in On-chain Finance
[arXiv] 2026-03-23 | Viscous evolution of a point vortex in a half-plane
[arXiv] 2026-03-23 | Why does it fail? Explanation of verification failures
[arXiv] 2026-03-23 | SHARP: Spectrum-aware Highly-dynamic Adaptation for Resolution Promotion in Remote Sensing Synthesis
[arXiv] 2026-03-23 | Cluster-Specific Predictive Modeling: A Scalable Solution for Resource-Constrained Wi-Fi Controllers
[arXiv] 2026-03-23 | Memory-Efficient Boundary Map for Large-Scale Occupancy Grid Mapping
[arXiv] 2026-03-23 | Quantifying Uncertainty in FMEDA Safety Metrics: An Error Propagation Approach for Enhanced ASIC Verification
[arXiv] 2026-03-23 | Materials Beyond Hamiltonian Limits -- Quantum Measurement as a Resource for Material Design
[arXiv] 2026-03-23 | DualCoT-VLA: Visual-Linguistic Chain of Thought via Parallel Reasoning for Vision-Language-Action Models
[arXiv] 2026-03-23 | Development and large-scale benchmarks of a protein-ligand absolute binding free energy toolkit
[arXiv] 2026-03-23 | DUO-VSR: Dual-Stream Distillation for One-Step Video Super-Resolution
[arXiv] 2026-03-23 | GenOpticalFlow: A Generative Approach to Unsupervised Optical Flow Learning
[arXiv] 2026-03-23 | Mainly on the Plane: Observing the Extended, Ionized Disks of Milky Way Analogs in IllustrisTNG
[arXiv] 2026-03-23 | Entropy of affine permutations and universality of affine atomic lengths
[arXiv] 2026-03-23 | New Anosov flows via bicontact structures
[arXiv] 2026-03-23 | Confidence-Based Decoding is Provably Efficient for Diffusion Language Models
[arXiv] 2026-03-23 | Two hot pre-white dwarfs inside the red-giant-branch planetary nebula Pa 13 -- Double core evolution or common envelope-induced rejuvenation?
[arXiv] 2026-03-23 | Dressed-state master equation for two strongly coupled two-level atoms with long-lived entanglement
[arXiv] 2026-03-23 | One Model, Two Markets: Bid-Aware Generative Recommendation
[arXiv] 2026-03-23 | Dyadic: A Scalable Platform for Human-Human and Human-AI Conversation Research
[arXiv] 2026-03-23 | Dynamics of the Takagi function and the shadowing property
[arXiv] 2026-03-23 | Universal inverse-cube thickness scaling of projectile penetration energy in ultrathin films
[arXiv] 2026-03-23 | Make Tracking Easy: Neural Motion Retargeting for Humanoid Whole-body Control
[arXiv] 2026-03-23 | The Scholar-Priest and the Paradox of Service: Jozsef Sutak's Role in the Hungarian Mathematical Golden Age
[arXiv] 2026-03-23 | Enhancing Document-Level Machine Translation via Filtered Synthetic Corpora and Two-Stage LLM Adaptation
[arXiv] 2026-03-23 | The Cahn--Hilliard--Darcy--Forchheimer system with surfactant: Existence and long-time behavior of global weak solutions
[arXiv] 2026-03-23 | The exceptional locus of a motivic local system
[arXiv] 2026-03-23 | Human-Inspired Pavlovian and Instrumental Learning for Autonomous Agent Navigation
[arXiv] 2026-03-23 | Calibeating Made Simple
[arXiv] 2026-03-23 | J-PAS: unprecedented precision in stellar populations of diffuse tidal features
[arXiv] 2026-03-23 | The Unitary Conjugation Groupoid as a Universal Mediator of the Baum--Connes Assembly Map
[arXiv] 2026-03-23 | Multimodal Survival Analysis with Locally Deployable Large Language Models
[arXiv] 2026-03-23 | OpenEarth-Agent: From Tool Calling to Tool Creation for Open-Environment Earth Observation
[arXiv] 2026-03-23 | From Singleton Obstacles to Clutter: Translation Invariant Compositional Avoid Sets
[arXiv] 2026-03-23 | Tangent equations of motion for nonlinear response functions
[arXiv] 2026-03-23 | Lemma Discovery in Agentic Program Verification
[arXiv] 2026-03-23 | Landau-Level-Resolved Mode Mixing and Shot Noise in Gate-Defined Graphene Quantum Point Contacts
[arXiv] 2026-03-23 | SpecTM: Spectral Targeted Masking for Trustworthy Foundation Models
[arXiv] 2026-03-23 | Principled Steering via Null-space Projection for Jailbreak Defense in Vision-Language Models
[arXiv] 2026-03-23 | Direct spectroscopic confirmation of the young embedded proto-planet WISPIT 2c
[arXiv] 2026-03-23 | Semiclassical picture of the Heisenberg spin glass in two dimensions: from weak localization to hydrodynamics
[arXiv] 2026-03-23 | Isoperimetric inequalities and spectral consequences in warped product manifolds
[arXiv] 2026-03-23 | Lava Lakes on Io: crust age and implications for thermal output
[arXiv] 2026-03-23 | Abelian Galois cohomology of quasi-connected reductive groups
