[2026-05-26 23:10:01] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-25
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202605250000+TO+202605252359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[IEEE] 2026-5-25 | Nezha-FX: A Morphing HAUV Designed Based on Balanced Cross-Domain Performance Optimization
[IEEE] 2026-5-26 | An Intelligent Home Interior Design Suggestion System Using Deep Learning
[IEEE] 2026-5-26 | Total Ionizing Dose Effects on Clock Systems and Peripheral Modules of the MSP430FR6989
[IEEE] 2026-5-26 | SEE Evaluation of a Serverless Computing Architecture Under 14-MeV Neutrons
[IEEE] 2026-5-26 | EnViD: A Predictive Vision Framework with Temporal Contrast for Efficient and Robust Video Analysis in Dynamic Visual Fields
[IEEE] 2026-5-26 | Study on Classroom Temperature Distribution in Hybrid Cooling System at Different Air Conditioner Setpoints
[IEEE] 2026-5-26 | Vehicle Speed Estimation and Classification Using a Low-Cost Continuous-Wave Doppler Radar
[IEEE] 2026-5-25 | Efficient Partially-Connected Hybrid Beamforming for Communication Capacity Maximization in FD-DFRC Systems
[IEEE] 2026-5-25 | ICAD: Rethinking the Role of Inference and Cues for the Anomaly Detection of Time Series in IIoT
[IEEE] 2026-5-26 | Do Not Forget the Role of Address Mapping Policy in Achieving DRAM-Less SSD Performance
[IEEE] 2026-5-26 | Variable Step-Size General Bias-Compensated M-estimate Adaptive Filtering for Robust DOA Estimation
[IEEE] 2026-5-26 | Virtually Supervised Depth-Aware Registration for Monocular Endoscopic Navigation
[IEEE] 2026-5-26 | FPGA Realization of an Operand-Aware Dual-Mode Hybrid Arithmetic Unit for 64-Bit Embedded Systems
[IEEE] 2026-5-26 | Comparison of Multi-Modal Sentiment and Behavior Analysis of Chat Applications Using Text and Emoji-Based Features
[IEEE] 2026-5-26 | AI-Enabled Voice Replication for Scalable and Personalized Education
[IEEE] 2026-5-26 | Mitigating Context Loss in Legal RAG: A Metadata-Aware Chunking Strategy for Hierarchical Indian Statutes
[IEEE] 2026-5-26 | Structure-Aware Mask and Detail-Augmented Transformer Network for Remote Hyperspectral Image Classification
[IEEE] 2026-5-25 | FlashSAM: Lightweight Vision Model for Multi-UAV Token Communication in Low-Altitude Wireless Networks
[IEEE] 2026-5-26 | Koopman Operator based Integral Reinforcement Learning for
                    <i>H</i>
                    <sub>∞</sub>
                    Tracking Control of Nonlinear Systems
[IEEE] 2026-5-26 | Personal Healthcare Assistant Using AI
[IEEE] 2026-5-26 | End-to-End Warehouse Automation: A System-Level Review of Robotics, Order Fulfillment, and Intelligent Software System
[IEEE] 2026-5-26 | Emotion Detection from Text Using TF-IDF and Logistic Regression: A Hybrid NLP Framework with Real-Time Deployment
[IEEE] 2026-5-26 | A Geo-enabled Employment Platform for Connecting Rural Workforce to Rural Employers
[IEEE] 2026-5-26 | A Toxicological Assessment of Solar Panels Via a Soil Microbiome Analysis Across the Northeast US
[IEEE] 2026-5-26 | Data-Driven Predictive Maintenance Using Fuzzy Clustering Approaches for Oil Temperature Forecasting in 8E Electrical Locomotives
[IEEE] 2026-5-26 | A Comprehensive Review on Applications for Emotion AI and Affective Computing Across Various Fields
[IEEE] 2026-5-26 | IoT enabled Smart Classroom Management System using Raspberry Pi
[IEEE] 2026-5-26 | An Intelligent ML-Based Decision Support System for Waste Trade and Recycling
[IEEE] 2026-5-26 | VisionLearn: An Intelligent Educational Platform for Touchless Interaction
[ACM] 2026-5-26 | Power Scheduling for Maximizing Throughput and Fairness in Co-running Applications
[ACM] 2026-5-26 | <scp>ObliQ:</scp>
                    Solving Quadratic Unconstrained Binary Optimization Problems on Real Photonic Quantum Machines
[ACM] 2026-5-25 | ‘It's not only my Issue, but also a Community Issue’: an Atlas of Design Actions for Commoning Flood Adaptation
[ACM] 2026-5-25 | Mediating Digital Security: Participatory Learning with Older Adults in Smartphone Café Sessions
[IEEE] 2026-5-25 | High Voltage Power Lines Conductor Anomaly Detection using Magnetic Field
[IEEE] 2026-5-25 | Performance Analysis of Multiple User Average BLER in Downlink NOMA Short-Packet Communications over $\alpha - \kappa - \mu$ Shadowed Fading
[IEEE] 2026-5-25 | Foundations of Efficient Model Reconstruction Using Counterfactual Explanations_supp1-3695917.pdf
[IEEE] 2026-5-25 | Estimating the Temperature Distribution of Pouch-Type Li-Ion Batteries Based on a Distributed-Parameter Electrothermal Coupling Model
[IEEE] 2026-5-25 | IEEE Transactions on Energy Conversion Information for Authors
[IEEE] 2026-5-25 | Impedance-Spectrum Driven Frequency Weighted Functional Fault Location in Undersea Observation Network Power Systems
[IEEE] 2026-5-25 | Urban Environmental Challenges and Health: Environmental Determinants of Respiratory Illnesses in Samarkand
[IEEE] 2026-5-25 | Multi-Objective UAV–HAP Collaborative Offloading for Hotspot Region Computing in Urban Non-Terrestrial Networks
[IEEE] 2026-5-25 | Research on Data Integrity Verification and Tracing in the Power Internet of Things
[IEEE] 2026-5-25 | A Concise Review of Resilience Assessment for Power Systems Against Typhoons
[IEEE] 2026-5-25 | Short-Term Load Forecasting Based on Graph Convolutional and Kolmogorov-Arnold Network
[IEEE] 2026-5-25 | High-Sensitivity MEMS Optical Switch with Wide Spectral Response
[IEEE] 2026-5-25 | Hierarchical Long-Term Operation Optimization of Flexible Resources Considering Multi-Scale Temporal Characteristics
[IEEE] 2026-5-25 | Optimization Design of Uplift Safety Reserve Factor for Transmission Line Foundations in Collapsible Loess Sites
[IEEE] 2026-5-25 | Research on Optimization Method of Medium Voltage Target Network Based on Reliability and Economy
[IEEE] 2026-5-25 | Research and Application of Artificial Intelligence in Pattern Recognition of Power Grid Connection
[IEEE] 2026-5-26 | Reinforcement Learning-based Sequential Route Recommendation for System-Optimal Traffic Assignment
[IEEE] 2026-5-26 | Adaptive Inverse Reinforcement Learning Optimal for Nonlinear System via Takagi-Sugeno Fuzzy Model
[IEEE] 2026-5-25 | Integrating Robust CRT with Signal Unwrapping for Modulo Sampling
[IEEE] 2026-5-25 | From the Society: President's Message
[IEEE] 2026-5-26 | VN-YOLO: Detail-Preserving and Recalibrated Multi-Scale YOLO for Small Objects in UAV Imagery
[IEEE] 2026-5-26 | Harmonic Mitigation and Switching Frequency Reduction in LCL-Filtered Grid-Tied Converters
[IEEE] 2026-5-26 | Flexible Physical Camouflage Generation Based on a Differential Approach
[IEEE] 2026-5-25 | CCSFusion: A Hierarchical Semantic Chain-of-Thought Reasoning Architecture for Infrared-Visible Image Fusion and Captioning
[ACM] 2026-5-26 | Demonstration of Vega-Video: Incorporating Video into the Grammar of Interactive Graphics
[ACM] 2026-5-26 | Indian Database Research: The Journey to SIGMOD 2026
[IEEE] 2026-5-26 | Fault Diagnosis of Rolling Bearings Based on 1D-CNN
[ACM] 2026-5-26 | Data Agents: Levels, State of the Art, and Open Problems
[ACM] 2026-5-26 | ExDis: Causal Explanations for Disparate Trends
[IEEE] 2026-5-26 | Embedded Hafnia-based Ferroelectric Devices and Applications
[IEEE] 2026-5-26 | Named Entity Recognition in COVID-19 tweets with Entity Knowledge Augmentation
[IEEE] 2026-5-26 | Distilling Knowledge via Attention Transfer for Efficient Facial Expression Recognition in Classrooms
[IEEE] 2026-5-26 | A Study and Analysis of Permanent Magnet Biased Hybrid Excited Inductor Motors for Energy Storage Flywheels
[IEEE] 2026-5-26 | Detection of Illicit Content on Online Marketplaces using Large Language Models
[IEEE] 2026-5-26 | QUEST: A Multi-Metric Framework for Analyzing Consensus in LLM Outputs
[IEEE] 2026-5-26 | Design and Optimization of an Instruction-Level Reconfigurable FPGA-Based Low-Power DNN Accelerator
[IEEE] 2026-5-26 | Detection of AI Generated Audio Using Deep Learning and Signal Processing Techniques
[IEEE] 2026-5-26 | Design and Performance Analysis of a Coplanar Antenna at Millimeter-Wave Frequencies 39-66 GHz
[IEEE] 2026-5-26 | Artificial Intelligence Approaches for Toxic Comment Classification: A Systematic Review
[IEEE] 2026-5-26 | High-RA STT-MRAM for In-Memory Computing: From Device Engineering to Prototype-IMC Validation
[IEEE] 2026-5-26 | Differentiable Sensitivity-Based Skew Scheduling Framework for Timing Optimization
[IEEE] 2026-5-26 | Removal of Lamotrigine From Wastewater Using Activated Carbon Derived From Ziziphus Jujube Leaves
[IEEE] 2026-5-26 | System-Level Single Event Effects Testing of the PIRT 1280MVCam InGaAs Infrared Camera
[IEEE] 2026-5-26 | The Radiation Performance and Production Flows of Renesas's Radiation Tolerant and Radiation Hardened Space Plastic Parts
[IEEE] 2026-5-26 | Measuring the Complexity of Sub-Policies in Online Terms of Service Networks
[IEEE] 2026-5-26 | End-To-End Hyperbolic Graph Neural Networks for Brain Age Prediction with MEG Data
[IEEE] 2026-5-26 | Performance of TENG Device using Cornstarch and PTFE as Charge Generating Layer
[IEEE] 2026-5-26 | Compiler and System Optimizations for Gem5 Simulator
[IEEE] 2026-5-26 | Deep Cross-modal Fusion by Attention for Proxy Hashing
[IEEE] 2026-5-26 | Self-Supervised Learning of Behavioral User Representations for Authorship Similarity Analysis
[IEEE] 2026-5-26 | Hybrid Deep Ensemble Learning with Metaheuristic Optimization for Heart Disease Prediction
[IEEE] 2026-5-26 | Design Considerations for High Performance Vertical Channel DRAM Cell Array Transistor
[IEEE] 2026-5-26 | Design and Control of 5DOF Tiltrotor Quadcopter Aerial Operation Platform
[IEEE] 2026-5-26 | Front-Cover
[IEEE] 2026-5-26 | Cryogenic Reliability Physics of 28nm HKMG nMOSFETs: Insights from A ΔDIBL Model and Gated-Diode Measurement
[IEEE] 2026-5-26 | Towards System-2 AI: Workloads and Characterizations of Energy-Based Models
[IEEE] 2026-5-26 | Enhancing Wildlife Conservation Using Deep Learning and Nocturnal Surveillance
[IEEE] 2026-5-26 | Can I Park Here? Understanding Complicated Parking Signs on the Street
[IEEE] 2026-5-26 | Statistical Assessment of Soil Heat Flux Variability Using Time-Series Data
[IEEE] 2026-5-26 | Dual-Function Surface Topology: Optimizing Ohmic Contacts and Channel Mobility via Cycle-Controlled PEALD Ga
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    on 20nm Si Nanosheet
[IEEE] 2026-5-26 | Effective Atrial Fibrillation Recognition by Wearable ECGs using Gradient Boosting Mechanism
[IEEE] 2026-5-26 | Fault Diagnosis of Oil Well Working Conditions Based on Dual-Modal Feature Weighted Fusion
[IEEE] 2026-5-26 | Cardiovascular Risk Prediction using Retinal Eye Images
[IEEE] 2026-5-26 | Deep Unfolding for RIS Enabled Backscatter Integrated Sensing and Communication System
[IEEE] 2026-5-26 | Magnetic sensor for real-time decoupling of tactile and non-tactile bimodal perception
[IEEE] 2026-5-26 | NSDE-Net: An Observation-Driven Neural SDE Framework for State Estimation in Unknown Dynamical Systems
[IEEE] 2026-5-26 | Multi-Axis Mechatronic Object Handling System
[IEEE] 2026-5-26 | CSI-Based NOMA–ISAC with AFDM for Multiple Sensing Users
[IEEE] 2026-5-26 | Uplift Pricing for Inertia and Reserve via ML-Based Frequency-Constrained Unit Commitment
[IEEE] 2026-5-26 | An IoT-Based System for Early Detection of Soil Health
[IEEE] 2026-5-26 | Automated and Personalized Catheter Design for Right Ventricular Endomyocardial Biopsies
[IEEE] 2026-5-26 | Example Guided Prompt Tuning for Sentiment Analysis of African Languages on Llama
[IEEE] 2026-5-26 | AFRICON 2025 Cover Page
[IEEE] 2026-5-26 | EmotionSense: A Real-Time Emotion Monitoring and Analysis System Based on Physiological Signals
[IEEE] 2026-5-26 | Multi-Band Noise-Adaptive DEMON with SNR-Weighted Fusion for Bearing Fault Diagnosis
[IEEE] 2026-5-26 | Alternating 2-Face Path Unfoldings of the Tesseract
[IEEE] 2026-5-26 | An ISAR Time Window Selection Processor for Focused Maritime Vessel Imaging
[ACM] 2026-5-25 | Proceedings of the 19th Participatory Design Conference 2026, Vol. 1: Full Papers
[ACM] 2026-5-25 | Participating in Designing Sustainable Futures: The Challenges of Imagination and Envisioning
[IEEE] 2026-5-25 | Aging Behaviors of Ester-Insulated Oil–Paper Composite Systems under Combined Electrical and Thermal Stresses – Part I: Evolution of Oil Properties and Molecular Microscopic Mechanism
[IEEE] 2026-5-25 | Coding Agents in the Wild: Failure Modes and Rejection Patterns of AI-Generated Pull Requests
[IEEE] 2026-5-25 | ST-GCN and Reinforcement Learning-Assisted Dynamic Multi-Strategy Task Offloading in Edge-IoT Vehicular Networks
[IEEE] 2026-5-25 | Technical and economic feasibility study of a grid-connected solar power plant in northwest Algeria for charging Electric Vehicles
[IEEE] 2026-5-25 | Robust Multi-Level Forecast-Based Anomaly Detection for Smart Grid Overload Attacks
[IEEE] 2026-5-25 | DuSS-PET: Self-Supervised Low-Dose PET Reconstruction Using Pseudo-Dual-Domain Consistency Without Paired Data
[IEEE] 2026-5-25 | Sensor Fusion with Neural Virtual Measurements for Aerial GNSS/INS Integration
[IEEE] 2026-5-25 | Transceive Beamforming in FDA-MIMO-Based Dual-Function Radar-Communication Systems for Low Probability of Interception
[IEEE] 2026-5-25 | Routing of LEO Satellite Networks Based on Characteristic Graph Embedding Heuristic Approach
[IEEE] 2026-5-25 | FOF-X: Towards Real-time Detailed Human Reconstruction from a Single Image_supp1-3696142.pdf
[ACM] 2026-5-26 | MULLER: A Multimodal Data Lake Format for Collaborative AI Data Workflows
[ACM] 2026-5-26 | DeepEye: A Steerable Self-driving Data Agent System
[IEEE] 2026-5-26 | Repositioning Terahertz Wireless: Compact Beamforming for Medium-Range Mobile Connectivity
[IEEE] 2026-5-26 | Construction of a Knowledge Graph for Job Skill Extraction and Curriculum Mapping from Recruitment Information
[IEEE] 2026-5-26 | DRAM Evolution and Challenges in Cloud Era
[IEEE] 2026-5-26 | Modifying Simple Preference Optimization with Adaptive Margins
[IEEE] 2026-5-26 | Smart Kitchenmate AI: An Intelligent Assistant for Cooking
[IEEE] 2026-5-26 | An Attention-Enhanced Deep Learning Model for Robust Identification of Atypical Mitotic Figures
[IEEE] 2026-5-26 | Deep Reinforcement Learning-Based Parameter Tuning for Backstepping Control of Autonomous Reach Stackers in Container Alignment
[IEEE] 2026-5-26 | PixSA: Hardware Efficient Pixel-Level Systolic-Array Architecture Design for AI Workloads
[IEEE] 2026-5-26 | Autonomous Neural Vector Control for Hybrid AC/DC Microgrids
[IEEE] 2026-5-26 | Performance Enhancement of Nanosheet/Nanowire RF Transistor Arrays by Backside Metal Layout
[IEEE] 2026-5-26 | Closing the Yield Gap: A Scalable Computer Vision Pipeline for In-Field Detection of Devastating Banana Diseases
[IEEE] 2026-5-26 | Recent Advances in Charge Amplifiers for Particle Detection
[IEEE] 2026-5-26 | Gesture-Controlled VLC Player: A Vision-based Human-Computer Interface
[IEEE] 2026-5-26 | EMCA: Embedded Multi-scale Causal Attention for Glioma Classification and Interpretation
[IEEE] 2026-5-26 | Supervised and Reinforcement Learning for Grid-based Robotic Path Planning Using Structured Navigation Data
[IEEE] 2026-5-26 | Overhead Perching Strategy on Arbitrary Branches for Nano UAVs
[IEEE] 2026-5-26 | Dynamic Pricing and Predictive Analytics in E-Commerce using Machine Learning: Analyzing Market Fluctuations and Demand Patterns
[IEEE] 2026-5-26 | Chain Accident Prevention Through Automatic Braking System Using V2V Communication
[IEEE] 2026-5-26 | Heavy Ions Single Event Latchup Test Results for the NA2200 Analog Front-End
[IEEE] 2026-5-26 | Deep Learning-Powered VGGNet Framework for Efficient Diagnosis and Stage Assessment of Bladder Cancer
[IEEE] 2026-5-26 | Research on Knowledge Mining and Intelligent Diagnostic Decision-Making for Electric Drive System Failures in New Energy Vehicles
[IEEE] 2026-5-26 | EnergAIzer: Fast and Accurate GPU Power Estimation Framework for AI Workloads
[IEEE] 2026-5-26 | Precise Prediction and Classification of Cardiomegaly Using an Autoencoder-CNN Integrated Deep Learning Framework on Chest X-Ray and Multimodal Imaging
[IEEE] 2026-5-26 | Imw 2026 Sponsors
[IEEE] 2026-5-26 | Structure-Circuit Integrated Manufacturing of Conformal Conductive/Dielectric Electromagnetic Metamaterials for Aircraft Skins
[IEEE] 2026-5-26 | Short-Term Wind Power Forecasting Based on Joint Optimization of VMD and HHO-LSTM
[IEEE] 2026-5-26 | RIS-Assisted Millimetre Wave MIMO Channel Estimation
[IEEE] 2026-5-26 | Challenges and Innovations in High-Bandwidth DRAM: The Case for Z Angle Memory
[IEEE] 2026-5-26 | AI-Driven Sequential-Contextual Anomaly Detection Engine Based Improved Archimedes Optimization Algorithm for Data Quality Validation in Regulatory Filings
[IEEE] 2026-5-26 | Table of Contents
[IEEE] 2026-5-25 | A Hybrid Cascaded Active Power Quality Conditioner for Railway Power System
[IEEE] 2026-5-25 | Adaptive Phase Selection for Stator High-Impedance Grounding Fault Considering Winding Parameter Asymmetry and Nonlinear Potential Distribution
[IEEE] 2026-5-26 | Dynamic Event-Triggered Quantized Control for Positive Markov Jump Systems Under DoS Attacks_supp1-3693759.pdf
[IEEE] 2026-5-26 | Probabilistic Lifetime Estimation of IGBT Power Modules Under Mission Profiles: Supporting Predictive Maintenance and Functional Safety
