[2026-04-03 22:34:19] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-02
正在获取论文...
[arXiv] 2026-04-02 | Sensitivity analysis for stopping criteria with application to organ transplantations
[arXiv] 2026-04-02 | Spatially-informed Image Harmonization Results in Improved Scanner Effect Removal and Prediction
[arXiv] 2026-04-02 | Single-shot measurement learning as a self-certifying estimator for quantum-enhanced sensing
[arXiv] 2026-04-02 | PHMForge: A Scenario-Driven Agentic Benchmark for Industrial Asset Lifecycle Maintenance
[arXiv] 2026-04-02 | Insulator-to-Metal Transitions Driven by Quantized Formal Polarization Mismatch
[arXiv] 2026-04-02 | Learning ECG Image Representations via Dual Physiological-Aware Alignments
[arXiv] 2026-04-02 | Reverberation-Robust Localization of Speakers Using Distinct Speech Onsets and Multi-channel Cross-Correlations
[arXiv] 2026-04-02 | ToolMisuseBench: An Offline Deterministic Benchmark for Tool Misuse and Recovery in Agentic Systems
[arXiv] 2026-04-02 | The Quantum Walk Characteristic Polynomial Distinguishes All Strongly Regular Graphs of Prime Orde
[arXiv] 2026-04-02 | Magic, Madness, Heaven, Sin: LLM Output Diversity is Everything, Everywhere, All at Once
[arXiv] 2026-04-02 | Commutator Estimates for Low-Temperature Fermi Gases
[arXiv] 2026-04-02 | Tensor invariants for multipartite entanglement classification
[arXiv] 2026-04-02 | Gradient estimators for parameter inference in discrete stochastic kinetic models
[arXiv] 2026-04-02 | A construction of 2-arc-transitive non-solvable covers of complete graphs
[arXiv] 2026-04-02 | A Positivity-Preserving Relaxation Algorithm
[arXiv] 2026-04-02 | A Mean-Field Game Model For Large-Scale Attrition in Attacker-Defender Systems
[arXiv] 2026-04-02 | The velocity field of our Milky Way outer stellar halo based on DESI DR2
[arXiv] 2026-04-02 | Chiral skyrmionic superconductivity from doping a Chern Ferromagnet
[arXiv] 2026-04-02 | Wavefront sets for genuine representations of $\rm GL$-covers of Kazhdan--Patterson or Savin types
[arXiv] 2026-04-02 | Multi-Agent Video Recommenders: Evolution, Patterns, and Open Challenges
[arXiv] 2026-04-02 | Novel Self-similar Finite-time Blowups with Singular Profiles of the 1D Hou-Luo Model and the 2D Boussinesq Equations: A Numerical Investigation
[arXiv] 2026-04-02 | Beyond Referring Expressions: Scenario Comprehension Visual Grounding
[arXiv] 2026-04-02 | Large-scale Codec Avatars: The Unreasonable Effectiveness of Large-scale Avatar Pretraining
[arXiv] 2026-04-02 | A weak transport approach to the Schrödinger-Bass bridge
[arXiv] 2026-04-02 | Large values of exponential sums with multiplicative coefficients
[arXiv] 2026-04-02 | The Retraction Epidemic in Science Across Publishers, Fields, and Countries
[arXiv] 2026-04-02 | Covariate-Balanced Weighted Stacked Difference-in-Differences
[arXiv] 2026-04-02 | Taming the Exponential: A Fast Softmax Surrogate for Integer-Native Edge Inference
[arXiv] 2026-04-02 | Omni123: Exploring 3D Native Foundation Models with Limited 3D Data by Unifying Text to 2D and 3D Generation
[arXiv] 2026-04-02 | Bayesian covariance regression for differential network analysis of zero-inflated microbiome data
[arXiv] 2026-04-02 | CIVIC: Cooperative Immersion Via Intelligent Credit-sharing in DRL-Powered Metaverse
[arXiv] 2026-04-02 | AlloyVAE: A generative model for complex probabilistic field-to-field relationships in alloys
[arXiv] 2026-04-02 | Novel Memory Forgetting Techniques for Autonomous AI Agents: Balancing Relevance and Efficiency
[arXiv] 2026-04-02 | S-packing chromatic critical paths and cycles
[arXiv] 2026-04-02 | Theory of Lineshapes in Optical-Optical Double Resonance Spectroscopy
[arXiv] 2026-04-02 | Dark Patterns in Indian Quick Commerce Apps: A Student Perspective
[arXiv] 2026-04-02 | Data-Driven Koopman Predictive Control for Frequency Regulation of Power Systems using Black-Box IBRs
[arXiv] 2026-04-02 | Analytic Optimal Control for a Class of Driftless x-Flat Systems
[arXiv] 2026-04-02 | Formal definition of intrinsic collectivity in the continuum via Takagi factorization of the Jost-RPA S-matrix residue
[arXiv] 2026-04-02 | Probabilistic AVL Trees (p-AVL): Relaxing Deterministic Balancing
[arXiv] 2026-04-02 | Impact of Multimodal and Conversational AI on Learning Outcomes and Experience
[arXiv] 2026-04-02 | Scale-critical curve diffusion flows
[arXiv] 2026-04-02 | Matching Accuracy, Different Geometry: Evolution Strategies vs GRPO in LLM Post-Training
[arXiv] 2026-04-02 | Compact Runge-Kutta flux reconstruction methods with entropy and/or kinetic energy preserving fluxes
[arXiv] 2026-04-02 | Variational LSTM with Augmented Inputs: Nonlinear Response History Metamodeling with Aleatoric and Epistemic Uncertainty
[arXiv] 2026-04-02 | Detecting Symmetry-Resolved Entanglement: A Quantum Monte Carlo Approach
[arXiv] 2026-04-02 | Goal oriented error estimation for adaptive sampling of PINNS
[arXiv] 2026-04-02 | Sound propagation in striped supersolid cold gases at zero temperature
[arXiv] 2026-04-02 | ROS 2-Based LiDAR Perception Framework for Mobile Robots in Dynamic Production Environments, Utilizing Synthetic Data Generation, Transformation-Equivariant 3D Detection and Multi-Object Tracking
[arXiv] 2026-04-02 | Faster Symmetric Rendezvous on Four or More Locations
[arXiv] 2026-04-02 | A research roadmap for assessing the feasibility of warming Mars
[arXiv] 2026-04-02 | Circle coverings driven by arithmetic sequences: a percolation approach to Diophantine approximation and fractal intersections
[arXiv] 2026-04-02 | On the universality of multiexcisive functors
[arXiv] 2026-04-02 | Robust Correlation-Induced Localization Under Time-Reversal Symmetry Breaking
[arXiv] 2026-04-02 | Stochastic Control for Organ Donations: A Review
[arXiv] 2026-04-02 | Axial gravitational perturbations and echo-like signals of a hairy black hole from gravitational decoupling
[arXiv] 2026-04-02 | Diagnosing Translated Benchmarks: An Automated Quality Assurance Study of the EU20 Benchmark Suite
[arXiv] 2026-04-02 | Physics-Informed Transformer for Multi-Band Channel Frequency Response Reconstruction
[arXiv] 2026-04-02 | Captioning Daily Activity Images in Early Childhood Education: Benchmark and Algorithm
[arXiv] 2026-04-02 | Probabilistic classification from possibilistic data: computing Kullback-Leibler projection with a possibility distribution
[arXiv] 2026-04-02 | Architectural Implications of the UK Cyber Security and Resilience Bill
[arXiv] 2026-04-02 | Cuspidal $\ell$-modular representations of ${\rm GL}_n(F)$ distinguished by a Galois involution, II
[arXiv] 2026-04-02 | Enhancing the Reliability of Medical AI through Expert-guided Uncertainty Modeling
[arXiv] 2026-04-02 | Behavior and Sublinear Algorithm for Opinion Disagreement on Noisy Social Networks
[arXiv] 2026-04-02 | Hölder regularity of Siciak-Zaharjuta extremal functions on compact Hermitian manifolds
[arXiv] 2026-04-02 | Characterization of continuity of Siciak-Zaharjuta extremal functions on compact Hermitian manifolds
[arXiv] 2026-04-02 | Semicircle laws with combined variance for non-uniform Erdős-Rényi hypergraphs
[arXiv] 2026-04-02 | Triply Heavy $Ω$ Baryons with JETHAD: A High-Energy Viewpoint
[arXiv] 2026-04-02 | Heavy-Flavor Fragmentation: The QCD Portal to Exotic Matter
[arXiv] 2026-04-02 | Bilevel Programming Approach for Image Restoration Problems with Automatically Hyperparameter Selection
[arXiv] 2026-04-02 | Posterior Optimization with Clipped Objective for Bridging Efficiency and Stability in Generative Policy Learning
[arXiv] 2026-04-02 | Combining Boundary Supervision and Segment-Level Regularization for Fine-Grained Action Segmentation
[arXiv] 2026-04-02 | Elastic softening and fracture in randomly perforated solids
[arXiv] 2026-04-02 | Enhanced Polarization Locking in VCSELs
[arXiv] 2026-04-02 | Curvature-induced bound states in quantum wires
[arXiv] 2026-04-02 | CORSIKA 8: A General Framework for Particle Cascade Simulations
[arXiv] 2026-04-02 | Semantic Richness or Geometric Reasoning? The Fragility of VLM's Visual Invariance
[arXiv] 2026-04-02 | Not All Tokens See Equally: Perception-Grounded Policy Optimization for Large Vision-Language Models
[arXiv] 2026-04-02 | Free Information Disrupts Even Bayesian Crowds
[arXiv] 2026-04-02 | Semantic Segmentation of Textured Non-manifold 3D Meshes using Transformers
[arXiv] 2026-04-02 | Training-Free Private Synthesis with Validation: A New Frontier for Practical Educational Data Sharing
[arXiv] 2026-04-02 | Interior geometry of black holes as a probe of first-order phase transition
[arXiv] 2026-04-02 | GPU-RMQ: Accelerating Range Minimum Queries on Modern GPUs
[arXiv] 2026-04-02 | Ground state solutions for logarithmic p-Laplacian systems on locally finite graphs
[arXiv] 2026-04-02 | Graph Neural Operator Towards Edge Deployability and Portability for Sparse-to-Dense, Real-Time Virtual Sensing on Irregular Grids
[arXiv] 2026-04-02 | TestDecision: Sequential Test Suite Generation via Greedy Optimization and Reinforcement Learning
[arXiv] 2026-04-02 | The IAEA Fusion Data Lake Project -- Accelerating AI and Big Data Applications through Open Science and FAIR Data
[arXiv] 2026-04-02 | Effects of gas diffusion layer thickness on PEM fuel cells with composite foam-rib flow fields
[arXiv] 2026-04-02 | DEFT: Distribution-guided Efficient Fine-Tuning for Human Alignment
[arXiv] 2026-04-02 | Understanding ultrafast x-ray 'echoes' diffracted from single crystals
[arXiv] 2026-04-02 | Taming CATS: Controllable Automatic Text Simplification through Instruction Fine-Tuning with Control Tokens
[arXiv] 2026-04-02 | Domain-constrained knowledge representation: A modal framework
[arXiv] 2026-04-02 | Dual-Attention Based 3D Channel Estimation
[arXiv] 2026-04-02 | Channel Measurements and Modeling based on Composite Environmental Factor for Urban Street-Canyon Intersections
[arXiv] 2026-04-02 | Cosine-Normalized Attention for Hyperspectral Image Classification
[arXiv] 2026-04-02 | Control-DINO: Feature Space Conditioning for Controllable Image-to-Video Diffusion
[arXiv] 2026-04-02 | Diverse lifestyles of bar-like galaxies and their coevolution with the brightest galaxy in the most massive cluster of TNG50
[arXiv] 2026-04-02 | Day-Ahead Offering for Virtual Power Plants: A Stochastic Linear Programming Reformulation and Projected Subgradient Method
[arXiv] 2026-04-02 | Estimates of the Dynamic Characteristics of Binary Systems for Traversable Wormholes Search
[arXiv] 2026-04-02 | Overton Engage: A Structured Database and Matching System for Academic Policy Engagement Opportunities
[arXiv] 2026-04-02 | MATA-Former & SIICU: Semantic Aware Temporal Alignment for High-Fidelity ICU Risk Prediction
[arXiv] 2026-04-02 | Adaptive Fully Dynamic $k$-Center Clustering with (Near-)Optimal Worst-Case Guarantees
[arXiv] 2026-04-02 | Complete synchronization in networks of Sakaguchi-Kuramoto oscillators with bi-harmonic coupling
[arXiv] 2026-04-02 | A Differentiable Physical Framework for Goal-Driven Spin-State Engineering in Magnetic Resonance Spectroscopy
[arXiv] 2026-04-02 | Hi-LOAM: Hierarchical Implicit Neural Fields for LiDAR Odometry and Mapping
[arXiv] 2026-04-02 | Mixed Consistent PINNs for Elliptic Obstacle Problems with Stability Analysis
[arXiv] 2026-04-02 | Small-Scale Dynamo for Full Spectrum of Hydrodynamic Turbulence in Kazantsev Model
[arXiv] 2026-04-02 | SteerFlow: Steering Rectified Flows for Faithful Inversion-Based Image Editing
[arXiv] 2026-04-02 | Cosmological Constraints on the Generalized Uncertainty Principle from Redshift-Space Distortions
[arXiv] 2026-04-02 | On the Role of Depth in the Expressivity of RNNs
[arXiv] 2026-04-02 | A unified framework for synchronization optimization in directed multiplex networks
[arXiv] 2026-04-02 | From High-Dimensional Spaces to Verifiable ODD Coverage for Safety-Critical AI-based Systems
[arXiv] 2026-04-02 | Neural network methods for two-dimensional finite-source reflector design
[arXiv] 2026-04-02 | ViT-Explainer: An Interactive Walkthrough of the Vision Transformer Pipeline
[arXiv] 2026-04-02 | The Expert Strikes Back: Interpreting Mixture-of-Experts Language Models at Expert Level
[arXiv] 2026-04-02 | Transformer-Enhanced Data-Driven Output Reachability with Conformal Coverage Guarantees
[arXiv] 2026-04-02 | SDSS J153231.80+420342.7: a triple black hole candidate with a close binary black hole
[arXiv] 2026-04-02 | Designing Transformational Games to Support Socio-ethical Reasoning about Generative AI
[arXiv] 2026-04-02 | Samplet limits and multiwavelets
[arXiv] 2026-04-02 | Localized Steps toward ACT-Favored Inflation
[arXiv] 2026-04-02 | Suppression of the tendency toward antiferromagnetic order in the Dirac semimetal SrIrO$_3$
[arXiv] 2026-04-02 | Flux-equilibrated based a posteriori error analysis for an interface problem with CutFEM
[arXiv] 2026-04-02 | Search for Higgs boson pair production in the $\mathrm{b\bar{b}WW}$ decay channel with two leptons in the final state using proton-proton collision data at $\sqrt{s}$ = 13.6 TeV
[arXiv] 2026-04-02 | LLM-as-a-Judge for Time Series Explanations
[arXiv] 2026-04-02 | Complete Resolution of the Butler-Costello-Graham Conjecture on Monochromatic Constellations
[arXiv] 2026-04-02 | Reliable Control-Point Selection for Steering Reasoning in Large Language Models
[arXiv] 2026-04-02 | Center-Aware Detection with Swin-based Co-DETR Framework for Cervical Cytology
[arXiv] 2026-04-02 | FlowSlider: Training-Free Continuous Image Editing via Fidelity-Steering Decomposition
[arXiv] 2026-04-02 | A Model-Driven Digital Twin for the Systematic Improvement of DevOps Pipelines
[arXiv] 2026-04-02 | Cross-Commuting Nonabelian Squares in Affine Groups over Finite Commutative Principal Ideal Rings
[arXiv] 2026-04-02 | Diff-KD: Diffusion-based Knowledge Distillation for Collaborative Perception under Corruptions
[arXiv] 2026-04-02 | Collective attention under digital exposure: A dynamical systems approach
[arXiv] 2026-04-02 | True to Tone? Quantifying Skin Tone Fidelity and Bias in Photographic-to-Virtual Human Pipelines
[arXiv] 2026-04-02 | Efficient Auxiliary-Field Quantum Monte Carlo using Isometric Tensor Hypercontraction
[arXiv] 2026-04-02 | Gauge invariant momentum broadening of hard probes in glasma
[arXiv] 2026-04-02 | Secant rank and syzygies of projections of elliptic normal curves
[arXiv] 2026-04-02 | On the Capacity Region of Additive-Multiplicative MAC with Heterogeneous Input Constraints
[arXiv] 2026-04-02 | High-threshold decoding of non-Pauli codes for 2D universality
[arXiv] 2026-04-02 | Compact system development of efficient quantum-entangled photon sources towards deployable and industrial devices
[arXiv] 2026-04-02 | APEX: Agent Payment Execution with Policy for Autonomous Agent API Access
[arXiv] 2026-04-02 | Demographic Parity Tails for Regression
[arXiv] 2026-04-02 | Merging and oscillations of dipolar Bose-Einstein condensate droplets
[arXiv] 2026-04-02 | Decouple and Rectify: Semantics-Preserving Structural Enhancement for Open-Vocabulary Remote Sensing Segmentation
[arXiv] 2026-04-02 | $k$NNProxy: Efficient Training-Free Proxy Alignment for Black-Box Zero-Shot LLM-Generated Text Detection
[arXiv] 2026-04-02 | ProCeedRL: Process Critic with Exploratory Demonstration Reinforcement Learning for LLM Agentic Reasoning
[arXiv] 2026-04-02 | SAFE: Stepwise Atomic Feedback for Error correction in Multi-hop Reasoning
[arXiv] 2026-04-02 | SenseMath: Do LLMs Have Number Sense? Evaluating Shortcut Use, Judgment, and Generation
[arXiv] 2026-04-02 | Do We Need Bigger Models for Science? Task-Aware Retrieval with Small Language Models
[arXiv] 2026-04-02 | Real-Time and Scalable Zak-OTFS Receiver Processing on GPUs
[arXiv] 2026-04-02 | Continuity of Weighted Dirac Spectra
[arXiv] 2026-04-02 | Topology-First B-Rep Meshing
[arXiv] 2026-04-02 | PTC-Depth: Pose-Refined Monocular Depth Estimation with Temporal Consistency
[arXiv] 2026-04-02 | Topological Effects in Neural Network Field Theory
[arXiv] 2026-04-02 | CXR-LT 2026 Challenge: Projection-Aware Multi-Label and Zero-Shot Chest X-Ray Classification
