[2026-04-18 22:36:07] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-17
正在获取论文...
[ACM] 2026-4-17 | A Hybrid Chebyshev Chaotic Map-based Authentication Protocol for Industrial Internet of Things
[NO] 351/706 | Forgery-Resistant Range Queries via Multi-Client Order-Revealing Encryption
[NO] 352/706 | AEGIS: Throughput-Guaranteed Resilient Routing via a Conditional Value-at-Risk Approach_supp1-3684425.pdf
[NO] 353/706 | A Proof-of-Concept Autoencoding Pixelated SiPM Detector Constructed with Analog Neural Network Front-End Circuits for High-Speed Continuous X-ray Imaging
[NO] 354/706 | Estimation of surface upwelling longwave radiation under cloudy sky conditions using a physical algorithm
[NO] 355/706 | IEEE/ASME Transactions on Mechatronics Information for Authors
[NO] 356/706 | Author Index
[NO] 357/706 | Proceedings
[NO] 358/706 | Track Statistics
[NO] 359/706 | Design and Development of PIN Diode-Based Switchable Metamaterial Absorber in S Band
[NO] 360/706 | TacMan-Turbo: Proactive Tactile Control for Robust and Efficient Articulated Object Manipulation
[YES] 361/706 | A Unified Perspective for Learning Graph Representations across Multi-Level Abstractions_supp1-3681811.pdf
[NO] 362/706 | Sec-GNN-Driven Joint Multidimensional Anti-Eavesdropping Optimization for Secure UAV-Satellite Communications
[NO] 363/706 | Humidity Sensing in a Flexible SnO
                    <sub>2</sub>
                    /MWCNT/PVP Nanocomposite for Wearable Devices
[NO] 364/706 | Modeling of Far-Field Quantum Coherence by Dielectric Bodies Based on the Volume Integral Equation Method
[NO] 365/706 | Inclusive Digital Health Solution for Ensuring Employee Well-Being, Women's Health, and Workplace Rights
[NO] 366/706 | Enhancing Cloud Resource Utilization with Predictive Autoscaling Using Transformer Models
[NO] 367/706 | Routing Dynamics in Distributed Quantum Networks: Trading-Off Computational Efficiency and Quantum Coherence
[NO] 368/706 | Examination on the Moderation Effect of Gender on AI Literacy and Use of AI Tools in Education
[NO] 369/706 | Investigating Self-Body Perception and its Effect on Affordance in Augmented Reality
[NO] 370/706 | Fault-Tolerant Design and Multi-Objective Model Checking for Real-Time Deep Reinforcement Learning Systems
[NO] 371/706 | Low-Overhead Passive Resilience Monitoring for AIoT Gateways: End-to-End Anomaly Detection via eBPF Timing Traces and Autoencoders
[NO] 372/706 | Impact of AC Voltage Control and Reactive Power Control on Transient Stability of Grid-forming Converters with Current Saturation under Phase to Ground Faults and Phase Jumps
[NO] 373/706 | TKS-TDM: A Temporal Key Point Selection Model for Efficient Fault Diagnosis of ZDJ9-RTA Using Multi-Sensor Signals
[NO] 374/706 | IEEE Photonics Technology Letters publication information
[NO] 375/706 | A New Framework for Guaranteed Click Ad Allocation in Mobile Location-Based Advertising Networks
[NO] 376/706 | Blank Page
[NO] 377/706 | Reconfigurable Bio-Plausible Spiking Neurons Based on Antiferromagnetic Skyrmions Utilizing Anisotropy Gradient
[NO] 378/706 | On the Design Techniques of High Gain Packaged Printed Circuit Board (PCB) Based Antennas for Sensing and Internet of Things (IoT) Millimeter Wave Applications: Challenges and Analysis
[NO] 379/706 | A Survey of Trust Chain in Secure Embedded Systems: From Secure Boot to TEE Applications
[NO] 380/706 | Passive RIS Is Not Silent: Revisiting Performance Limits Under Thermal Noise
[NO] 381/706 | Secondary constructions of plateaued Boolean functions through addition of indicators
[NO] 382/706 | Miniaturized SIW Single-Branch Diplexer Based on Novel Mixed-Mode Cavities
[NO] 383/706 | Randomization Effect for Enhanced IoT-Network Intrusion Detection Systems
[NO] 384/706 | Inventory Prediction Using ABC Analysis and Decision Tree Algorithm
[NO] 385/706 | Proposal for a Tidal Barrage Power Plant on the Sandwip Channel
[NO] 386/706 | Minimizing EV Battery Degradation in V2G Systems via XGBoost-Guided Particle Swarm Optimization
[NO] 387/706 | Cyclic Delay-Doppler Shift: A Simple Transmit Diversity Technique for Ultra-Reliable Communications in Doubly-Selective Channels
[NO] 388/706 | Adoption and Usage of ChatGPT Among Women Educators in Higher Education- A Study Based on UTAUT 2 Model
[NO] 389/706 | An Integrated CL-PKC and PUF-Based Authentication and Key Agreement Protocol for Cross-Domain UAVs
[NO] 390/706 | ARIS-Aided Multipath Suppression for Enhanced Wireless Localization
[NO] 391/706 | K/Ka-Band Wideband LNAs With Pole-Converging Gain Flattening and Triple-Resonance Input Matching
[NO] 392/706 | HSSCOA: Constant-Round Secure Collaborative Analytics on Secret-Shared Database
[NO] 393/706 | Dual-Teacher Prototype Consistency for Unsupervised Domain Adaptive Object Detection in Remote Sensing Images
[NO] 394/706 | From Image to Pixels: towards Fine-Grained Medical Vision-Language Models_supp1-3682684.pdf
[NO] 395/706 | Design of Multi-Band Dual-Polarized AFSS With Flexibly Controllable Passbands for Wireless Systems
[NO] 396/706 | Channel Estimation for Rydberg Atomic Quantum Receivers: Unrolled Phase Retrieval from Holographic Snapshots
[NO] 397/706 | Blank Page
[NO] 398/706 | ISAR Sparse Imaging Method Based on Block-Coupled Structure Under One-Dimensional Basis Mismatch
[NO] 399/706 | Exploring The Potential of Large Language Models for Assisting with Mental Health Diagnostic Assessments
[NO] 400/706 | Fault-Tolerance in FINN-Based CNN Accelerator for In-Orbit Land Cover Classification
[NO] 401/706 | SPIM: Split-Packet Interference Management for Uplink RSMA in Next-Generation Wireless Networks
[NO] 402/706 | The Influence of Chatbot Implementation on Consumer Purchase Intention on Platforms That Use Live Streaming Shopping
[NO] 403/706 | FLAM: Federated Learning Based on Asynchronous Model Distillation
[NO] 404/706 | Radiation Robustness Assessment of StrongARM Comparators in 130nm, 65nm and 45nm Technologies
[NO] 405/706 | Digital Empowerment: A Participatory Framework for Rural Women's Economic Upliftment
[NO] 406/706 | Design and Analysis of Fiber Optic Sensor System for Monitoring Leakage Parameters in Apron Pipeline Network
[NO] 407/706 | Certificateless Signcryption Scheme for Emergency Communication
[NO] 408/706 | Session Chairs
[NO] 409/706 | Towards adaptive optimal personalization control of robotic hip exoskeleton assistance for individuals with paretic stroke
[NO] 410/706 | Blank Page
[NO] 411/706 | IEEE Geoscience and Remote Sensing Society Publication Information
[NO] 412/706 | Mathematical Analysis of the Physical Properties of High- and Low-Frequency Capacitively Coupled Plasma
[NO] 413/706 | Pathology-Aligned Contrastive Representation Learning for Gleason Grading
[NO] 414/706 | Leveraging Contrastive Vision-Language Pretraining for Zero-Shot Open Learning Behavior Detection in Smart Education
[NO] 415/706 | An Intelligent Data-Model Fusion Method for Predicting VHF and UHF Propagation Loss
[NO] 416/706 | Blank Page
[NO] 417/706 | Blank Page
[NO] 418/706 | Pulse Shaping to Mitigate the Impact of Device Imperfections in Field-Free Switching Using Combined Spin-Orbit and Spin-Transfer Torques
[NO] 419/706 | Physics-Informed Deep Reinforcement Learning for Inter-Area Oscillation Damping via Shapley-based Generator Selection_supp1-3684848.pdf
[NO] 420/706 | profitAware: a Cost Effective Service Placement Technique for Multi-access Edge Clouds
[NO] 421/706 | AI-Driven Employee Performance Prediction in the Public Sector with GAs and SHAP Interpretability
[NO] 422/706 | Driving Behavior Classification From Smartphone Sensor Data Using Graph Attention Network
[NO] 423/706 | Comparative Performance Analysis in Melanoma Detection with DeepLabV3+ Segmentation
[NO] 424/706 | High-Accuracy Data Aggregation via Personalized Local Differential Privacy in Smart Grid
[NO] 425/706 | Particle Filter-Based Fault Diagnosis With Hidden Markov Models for Nonlinear and Uncertain Dynamical Systems
[NO] 426/706 | Fuzzy Logic Control System Assisted Operator Selection for Constrained Multi-Objective Optimization
[NO] 427/706 | CIP-BaseX: A Lightweight RFC 4648-Compatible Obfuscation Layer Against IoT Payload Fingerprinting
[NO] 428/706 | Analysis of Collaborative Data Privacy Leakage: A Macro-Level Perspective
[NO] 429/706 | Power-efficient retrospective transmit beamforming in range-Doppler frequency domain
[NO] 430/706 | IEEE/ASME Transactions on Mechatronics Publication Information
[NO] 431/706 | Representative Spectral Correlation Network for Multi-source Remote Sensing Image Classification
[NO] 432/706 | Analytical Computation and Experimental Validation of Self-Inductance for High-Voltage Pulse Capacitors
[NO] 433/706 | A Novel Quasi-Constant Current Output LCCL Resonant Converter with Transformer Parasitic Capacitance Impact for HVCC
[NO] 434/706 | Table of Contents
[NO] 435/706 | GRotate: Drum-Type Hydroponic System for Plant Growth using NDVI Monitoring
[NO] 436/706 | Validating Statistical Delay Test Generation Under Timing Variations via SAT-Based ATPG
[NO] 437/706 | Generating Adversarial Examples of Time Series Data for Time Series Classification Using Differential Evolution
[NO] 438/706 | Case Study: Neutron-Induced SEE Evaluation in a Mixed-Signal Programmable SoC
[YES] 439/706 | PowerCourt: Formally Judging Benign-Looking Circuits in Multi-Tenant FPGA Environments
[NO] 440/706 | Exploring AI-Driven Personalized Fashion: A Survey on Styling Preferences, Challenges, and Privacy Concerns
[NO] 441/706 | A Systematic Review of Narrative Game-based Interventions for Mental Health
[NO] 442/706 | Bytecode Obfuscation for Smart Contracts via Structural and Semantic Perturbation
[NO] 443/706 | Automated Construction of a Knowledge Graph of Nuclear Fusion Energy for Effective Elicitation and Retrieval of Information
[NO] 444/706 | Lightweight Privacy-Preserving Mobile Sensing Framework via Additive Secret Sharing for Integrated Sensing Communication Computing Systems
[NO] 445/706 | Rate-Adaptive Generalized Space Shift Keying Modulation Over Time-Varying Channels
[NO] 446/706 | Evaluating the errors of Oceansat-3 winds over the Indian Ocean
[NO] 447/706 | Organizing Committee
[NO] 448/706 | 2025 9th International Conference on Cloud and Big Data Computing (ICCBDC)
[NO] 449/706 | 2025 Gender and Technology Conference (GTC)
[NO] 450/706 | Reinforcement Learning-Driven Honeypots: Tactic-Based Defense for Industrial Control Systems
[NO] 451/706 | A Hybrid FeedForward Neural Network-Genetic Algorithm Approach for Beam Selection Optimization in 5G Massive MIMO Systems
[NO] 452/706 | Exploring Interlinkages Between Assistive Technology and Individuals with Disabilities in India
[NO] 453/706 | Exploring the Role of Technology, Gender and their Relationship between Self-Efficacy &amp; Academic Performance
[NO] 454/706 | Sparing User Time With a Socially Aware Independent Metaverse Avatar
[NO] 455/706 | Measurements of water quality and growth metrics in freshwater aquaculture: Dataset and technical challenges
[NO] 456/706 | Multi-Fidelity Dynamic Line Rating Fusion for System Load Margin Enhancement with Large-Scale Offshore Wind Generations
[NO] 457/706 | Hybrid machine learning pipeline for predicting and segmenting academic performance at a Mexican public university
[NO] 458/706 | Observer-Based Adaptive Practical Fixed-Time Event-Triggered Fault-Tolerant Control for Nonlinear Systems With Sensor Faults
[NO] 459/706 | Visual and Text Prompt Segmentation: A Novel Multi-Model Framework for Remote Sensing
[NO] 460/706 | Advanced Input Shaping Control Based on Reinforcement Learning for SCARA Robot
[NO] 461/706 | Front Cover
[NO] 462/706 | Byzantine-Resilient Distributed Economic Dispatch for Interconnected Microgrids: A Trusted Agent-Based Method
[NO] 463/706 | Doubly-Dispersive Continuous MIMO Systems: Channel Modeling and Beamforming Design
[NO] 464/706 | An interval discrete wavelet neural network for rolling bearing fault diagnosis with uncertain information
[NO] 465/706 | Rotation-Based Complex Permittivity Characterization of Low-Loss Slabs by Free-Space Reflection Measurements At Terahertz
[NO] 466/706 | Wideband Single Conductive Layer Glass Picture Frame Electromagnetic Skin for 6G Upper-Mid Band Indoor Communication
[YES] 467/706 | LRASGen: LLM-based RESTful API Specification Generation
[NO] 468/706 | GateFormer-CS: Enhancing Dynamic Malware Detection through Channel-Sequence Gating and Multi-Scale Expansion Fusion
[NO] 469/706 | Design and Adversarial Robustness Verification of Network Intrusion Detection Model for Raw Traffic
[NO] 470/706 | Proceedings
[NO] 471/706 | Keynote Speaker: “Conjuga Molecule Design and Synthesis for Advanced Organic and Perovskite Photovoltaics”
[NO] 472/706 | LiFeChain: Lightweight Blockchain for Secure and Efficient Federated Lifelong Learning in IoT
[NO] 473/706 | Machine Learning-Enhanced Power Allocation for mMIMO-NOMA Systems in 6G Networks
[NO] 474/706 | HopeAI: A Chatbot Framework to Support Survivors of Sex and Labor Trafficking
[NO] 475/706 | Gender Equality in a Digital Science Research Laboratory
[NO] 476/706 | Enhancing the Scope of Social Work Interventions for Women Substance Users Through Technology and Digital Innovations in India
[NO] 477/706 | Advanced Uses of Generative Adversarial Networks (GANs) for Class Imbalance in Machine Learning
[NO] 478/706 | Research on Optimization of Multi-Modal Transportation System Network Considering Transfer Relationships
[NO] 479/706 | Improving Multi-Label Classification Accuracy for High School Mathematics Problems Using LLM Re-Ranking
[YES] 480/706 | Case Study: Integrating RISC-V Zicfiss Shadow Stack Support for Control-Flow Integrity on the CVA6 Processor
[NO] 481/706 | AI-Assisted Complementary Negative Capacitance Tunnel FETs: A Path Toward Superior Circuit Performance
[NO] 482/706 | EXACT: An Explainable Anomaly Classification Tool
[NO] 483/706 | Front Cover
[NO] 484/706 | Dynamic Event-Triggered Data-Driven Hierarchical Control for Networked MASs Against Byzantine Attacks
[NO] 485/706 | Spectral-Efficient LoRa with Low Complexity Detection
[NO] 486/706 | Table of Contents
[NO] 487/706 | Higher-Order Difference Phase Unwrapping for Microwave-based Vibration Measurements
[NO] 488/706 | TechRxiv: Share Your Preprint Research with the World!
[NO] 489/706 | Low-Level CDM Radiated ESD Event Detection and Classification Using a CMOS Logarithmic SoC
[NO] 490/706 | Concurrent Dual-Band Continuous Class-F Power Amplifier: From Theory to Practice
[NO] 491/706 | Imaging Results from a Direct Conversion X-ray Detector with TlBr and CMOS Pixel Array
[NO] 492/706 | Pump Flow Compensation and Variable-Gain Sliding Mode Control for Mitigating Temperature-Induced Degradation in Servo Pump-Controlled Systems
[NO] 493/706 | A Novel Dynamic Sparse Convolution Residual Network for Incipient ITSC Fault Diagnosis of Electric Machines
[NO] 494/706 | HRIS-Assisted Communications: Trade-off between Combination and Separation
[NO] 495/706 | Analysis and Design of IRS-Assisted NOMA for Vehicular Visible Light Communication Systems
[NO] 496/706 | Index Author
[NO] 497/706 | Bayesian Calibration for High-dimensional Parameter Identification in Transformer Winding Diagnostics via FRA-derived Modal Features
[NO] 498/706 | Learning to Evade: Adaptive and Stealthy Attack on Reputation-Based Federated Learning
[NO] 499/706 | CONV_GBERT: Leveraging BERT-GPT Fusion and IMP-FGSM for Adversarially Robust Sentiment Classification
[NO] 500/706 | IEEE Photonics Technology Letters Information for Authors
[NO] 501/706 | Analysis of Accuracy, Area, Latency, and Energy Consumption of Gas-sensing-based In-sensor Neuromorphic Computing
[NO] 502/706 | A Novel Approach with Channel Reduction Scheme for Depression Symptom Identification based on Resting-State EEG_supp1-3679027.docx
[NO] 503/706 | A Transformer-based probabilistic deep learning framework for uncertainty-aware long-range flood forecasting using satellite-derived mesoscale inputs_supp1-3681213.pdf
[NO] 504/706 | Multi-Sensor Multi-Source Localization under Clutter and Uncertainty
[NO] 505/706 | Dual 1-Bit Quantization for Conformer-CTC: A Decomposition-Based Mixed Precision Approach
[NO] 506/706 | Inclusive Learning Model for Technology-Enhanced Vocational Education Through Culturally Responsive Pedagogy
[NO] 507/706 | The Impact of Privacy and Security on E-Commerce Adoption: A Cross-Country Analysis
[NO] 508/706 | Bending Loss Phenomenon in Optical Signal Evaluation on Single-Mode Fiber
[NO] 509/706 | EdgeGuard: Blockchain-Enhanced Secure Data Circulation via Aggregatable Distributed Key Generation_supp1-3679770.pdf
[NO] 510/706 | ZSS/Certificateless Signature-based Hierarchical Verification Scheme for IIoT Hot/Cold Data
[NO] 511/706 | Life-Cycle-Oriented Based Design and Optimization of LLC Resonant Converters for Light-EV Charging
[NO] 512/706 | Uncooled Poisson Bolometer for High-Speed Event-Based Long-wave Thermal Imaging_supp1-3682677.pdf
[NO] 513/706 | Adaptive Neural Boundary Control of a Rotating Flexible Beam with Input Dead-Zone and Output Constraint
[NO] 514/706 | Concurrent Dual-Band Quadrature Phase Shift Frequency-Selective Receiver
[NO] 515/706 | Novel Transform Based Optimization for Resource Allocation and Task Offloading in Communication Networks
[NO] 516/706 | Compression and
                    <i>k</i>
                    -mer Based Approach for Anticancer Peptide Analysis
[NO] 517/706 | Dual-Mode Seamless Transition for Hybrid Distribution Transformer With Energy Storage
[NO] 518/706 | On Inverse Log-Digamma Difference Function for Wireless Signal Processing
[NO] 519/706 | Two-Stage Risk-Based Scheduling for Electricity-Biogas Rural Microgrids with Biomass Fermentation
[NO] 520/706 | Interaction Mechanism Analysis of Rainstorm‑Induced Disruptive Incidents in Power and Transportation Systems
[NO] 521/706 | Strengthening EV Charging Infrastructure Against Mass-Scale Cyber Threats
[NO] 522/706 | Wearable Fractal Antenna for 1.575 GHz of Global Positioning System and 2.4 GHz of Wireless LAN Applications
[NO] 523/706 | LPCG: A Capture Activity-Aware Technique for Low-Power Scan Testing
[NO] 524/706 | Convolutional Neural Networks for Energy Estimation in High-Energy Calorimetry
[NO] 525/706 | Assessing the Limitations of Activation Clipping for Fault Mitigation in Vision and Language Transformers
[NO] 526/706 | A Textile Antenna Embedded in Traditional Attire for Body-Centric Communication
[NO] 527/706 | A Conceptual Framework for Enhancing Sustainability of Halal SMEs in Malaysia Using Blockchain Technology
[NO] 528/706 | Generative AI for Analyzing Participatory Rural Appraisal Data: An Exploratory Case Study in Gender Research
[NO] 529/706 | Empowering Social Interventions: An Adaptive Monitoring Solution with Integrated NLP Analytics
[NO] 530/706 | Enhancing Access to Health Information for Adolescent Girls in Bangladesh Through a Culturally Responsive AI Chatbot
[NO] 531/706 | AI's Influence on Gender Representation and Societal Norms in Emerging Technologies
[NO] 532/706 | IEEE Photonics Technology Letters Information for Authors
[NO] 533/706 | COOPMamba: Efficient Vehicle-to-Vehicle Cooperative Perception based on 3-D Point Clouds
[NO] 534/706 | Three-wavelength laser interferometric absolute measurement technique for static/dynamic composite signals
[NO] 535/706 | 2025 10th International Conference on Computer and Communication Engineering (ICCCE)
[NO] 536/706 | Free-Running EPI Motion Tracking in MRI via Gradient-Coupled Coil Signal
[NO] 537/706 | A Modular Coupled Inductor-Based Regenerative Cascaded Multicell Converter for Medium Voltage Drive
[NO] 538/706 | Case Study: Exploring nMR Implementations for Energy Monitoring in Telecom Base Stations Under Non-Ionizing Radiation
[NO] 539/706 | Impact of Alpha-Induced Single Events on the Inference Confidence of Quantized Neural Networks on Cortex-M
[NO] 540/706 | On the Study of Development of Broadband Pyramidal Microwave Absorber Using Date Palm Leaf Waste: A Sustainable Approach
[NO] 541/706 | Evaluating the Usability, Performance, and Cost-Efficiency of Deploying ML Models on Cloud Computing Platforms
[NO] 542/706 | Gendering Digital Inclusion: A Study on Kudumbashree Women's Access, Awareness and Empowerment
[NO] 543/706 | Social Dynamics of Energy Transition: Gender and Cultural Implications in Rural India
[NO] 544/706 | Hierarchical Single-Event Effect Avoidance and Handling Methods for TT&amp;C Links of GEO All-Electric Propulsion Orbit-Injection Satellites
[NO] 545/706 | A Survey of Model Inversion Attacks: An Interface-Prior Perspective
[NO] 546/706 | A Deep Neural Network Optimization Framework Based on Optimal Transport Bridge Feature Selection and Sparse Representation
[NO] 547/706 | Confidence Matters: Balanced Pseudo-Label Selection for Semi-Supervised Few-Shot Learning
[NO] 548/706 | NeuroHBM: A 3D-Integrated Neuromorphic Processing-in-Memory Architecture Using HBM
[NO] 549/706 | Memristor-Based Directional Forgetting Neural Network Circuit With Emotion Memory and Its Application in Intelligent Robots
[NO] 550/706 | Certification of Linear Inclusions for Nonlinear Systems
[NO] 551/706 | Thin Magnetic Sensor for Angle Measurement in Folding Structures
[NO] 552/706 | iFuzz-Meta: An Interpretable Fuzzy Learning Framework Bridging Top-Down and Bottom-Up Knowledge Integration_supp1-3683688.pdf
[NO] 553/706 | RUOD-R: A High-Fidelity Re-Annotated Benchmark for Underwater Object Detection
[YES] 554/706 | Using Task Graph Caching to Accelerate TVM Code Generation
[NO] 555/706 | Semantic Graph Based Learning for Trend Prediction from Long Financial Documents
[NO] 556/706 | Breaker Page
[NO] 557/706 | Keynote Speaker: “Cloud Remote System with AI Chatbot”
[YES] 558/706 | Embedded Tutorial: Security in Reconfigurable Scan Networks
[NO] 559/706 | Web-Based Disaster Detection and Impact Prediction: Integrating Gender Perspectives for Inclusive Disaster Resilience
[NO] 560/706 | From Shadows to Solutions: A Kaleidoscopic Approach to Safety
[NO] 561/706 | Implementation of Convolutional Neural Networks with Transfer Learning for Brain Tumor Detection Using Large-Scale Magnetic Resonance Image Datasets
[NO] 562/706 | Design of a RISC Processor-Based Data Acquisition System for a 3D Vibration Analyzer
[NO] 563/706 | Improving Harmful Brain Activity Classification Model with Electroencephalography Spectrogram Using Transfer Learning
[NO] 564/706 | OntoChat Assistant for User Story Generation in Ontology Engineering
[NO] 565/706 | Environment Perception and Remote Control Method for Intelligent Power Box Oriented to Secure Communication
[NO] 566/706 | Improved Classical Meet in the Middle Nostradamus Attack
[NO] 567/706 | Governing Cybersecurity for Small Developing State - Challenges, Drivers and Way Ahead
[NO] 568/706 | Improved quantum differential Meet-In-The-Middle attack and some applications
[NO] 569/706 | UAV Intrusion Detection Based on iTransformer for MAVLink Message ID Sequence
[NO] 570/706 | A New Construction Structure on Coded Caching with Linear Subpacketization: Non-Half-Sum Disjoint Packing
[NO] 571/706 | A 25/75 GHz 2TX–4RX FMCW Radar Transceiver Utilizing Non-uniform Linear Arrays and Phase Dithering to Achieve 5.1° Angular Resolution
[NO] 572/706 | Mitigating the Lateral Movement of APT in IIoT with an Efficient Moving Target Defense and Cyber Deception Approach
[NO] 573/706 | Structure-Function Aware Evolutionary Multitasking for Therapeutic Peptide Co-discovery_supp1-3684226.pdf
[NO] 574/706 | Parallelizable Complex Neural Dynamics Models for PMSM Temperature Estimation with Hardware Acceleration
[NO] 575/706 | TunCLIP: Adaptive Multi-Scale Zero-Shot Anomaly Detection Via Vision-Language Feature Infiltration and Semantic Enhancement
[YES] 576/706 | IDEA: Automated Design Space Exploration for Visualization Design
[NO] 577/706 | A New Setup of the STEM Lab to Enhance Creative Collaboration Among Deaf Students_supp1-3679541.pdf
[NO] 578/706 | UWASR-GAN: An Attention-Guided Multi-Scale Residual Framework for Underwater Image Enhancement in Underwater Internet of Things Applications
[NO] 579/706 | Spectral-Bounded Consistency Certification for Heterogeneous Wireless Sensor Networks
[NO] 580/706 | Pipelining Split Learning in Multi-hop Edge Networks
[NO] 581/706 | TacMan-Turbo: Proactive Tactile Control for Robust and Efficient Articulated Object Manipulation_supp5-3683863.mp4
[NO] 582/706 | TacMan-Turbo: Proactive Tactile Control for Robust and Efficient Articulated Object Manipulation_supp2-3683863.mp4
[NO] 583/706 | Low-Light Enhancement via Encoder-Decoder Network with Illumination Guidance
[NO] 584/706 | FedDSC: A Federated Learning Framework for Driving Style Profiling
[NO] 585/706 | Dynamic Feature Fusion Learning for Efficient and Accurate Skin Cancer Lesion Segmentation
[NO] 586/706 | Featurization and Visualization for City Tourism Analysis Utilizing Posted Photographs on SNS
[NO] 587/706 | RESQ: A Unified Framework for ReLiability- and SEcurity Enhancement of Quantized Deep Neural Networks
[NO] 588/706 | IEEE Photonics Technology Letters publication information
[NO] 589/706 | Introducing IEEE Collabratec
[NO] 590/706 | Optimized Motion Planners for Virtual-Joint Soft Growing Manipulators in Static Environments_supp1-3684202.pdf
[NO] 591/706 | Physics-Informed Multi-Head Attention-Based SOC Estimation for LFP Batteries Using Only Measured Signals
[NO] 592/706 | UT-Planner: Energy-Efficient Trajectory Planner for Unmanned Ground Vehicles on Uneven Terrain
[NO] 593/706 | Table of Contents
[NO] 594/706 | Towards Robust Receiver-Invariant Specific Emitter Identification via Multi-Task Adversarial Learning
[NO] 595/706 | BC-GTM: A Bidirectional Causal Graph Transformer Mapping for Modeling Brain Structural and Functional Connectivity
[NO] 596/706 | RSPoint-SAM: A SAM-driven method with cross-aware feature fusion for point supervised segmentation
[NO] 597/706 | IEEE Vehicular Technology Society Publication Information
[NO] 598/706 | A SOTIF-Oriented Framework for Safety Assessment in Autonomous Vehicles using Integrated Fault Tree and Bayesian Network Analysis
[NO] 599/706 | A 3D-Printed Multilayer Conformal FSS for Ultrawideband Electromagnetic Shielding
[NO] 600/706 | “Who has the Time?”: Understanding Receptivity to Health Chatbots Among Underserved Women in India
[NO] 601/706 | Enhanced Quality Aware Scalable Underwater Image Compression
[NO] 602/706 | Prototype-based Multi-dimension Intensity Mapping Density Sampling Network for Corrosion Segmentation
[NO] 603/706 | Vision-Language Collaborative Representation Learning for Action Quality Assessment
[NO] 604/706 | A Heterogeneous Protocols Compatible External Guidance System for Electro-Optical Telescopes in Distributed Networks
[NO] 605/706 | Two-Layer Robust Optimal Configuration of Photovoltaic-Storage-Charging Systems for Highway Microgrids Integrating Charging Load Prediction
[NO] 606/706 | Front Cover
[NO] 607/706 | On-Site Precise Diagnosis of COVID-19 Using an Attention-Based PLS-1D-CNN Model With Biomolecular Infrared Signatures
[NO] 608/706 | Gate-Field-Plated InGaO High-Voltage TFT on a Si Substrate with a Breakdown Voltage of 1348 V
[NO] 609/706 | Transfer Learning for Data-Efficient Magnetic Core Loss Modeling in Electrical Machines via Parametric Homogenization and Neural Networks
[NO] 610/706 | Copyright Page
[NO] 611/706 | Copyright Page
[NO] 612/706 | Sri Mata Amritanandamayi Devi (Amma)
[NO] 613/706 | T
                    <sup>3</sup>
                    AT: Threshold-Authorized, Threshold-Redeemable, and Non-Transferable Anonymous Tokens
[NO] 614/706 | Learning to Generate Preferences for Multiobjective Deep Learning_supp1-3680097.pdf
[NO] 615/706 | A Novel Hybrid Global Maximum Power Point Tracking Algorithm Based on Neural Network Surrogate Model
[NO] 616/706 | Detecting Audio Adversarial Examples Using Filtering Method Based on Spectral Subtraction
[NO] 617/706 | Design and Reliability Analysis of a Pipeline RISC-V Processor Core
[NO] 618/706 | LA-SCG: Layout-Aware Scan Chain Grouping for Peak Shift Power and IR-Drop Mitigation in Scan-Based Testing
[NO] 619/706 | Deep Learning-Based Early Detection of Retinopathy of Prematurity from Retinal Images of Preterm Infants
[NO] 620/706 | Leveraging Technology - Effects of Wearable Devices on Women in Kerala: Insights from a Mixed Method Study
[NO] 621/706 | AI Technology-Based Communication Training as Preventive Measure to Deal with Breaking Bad News and Healthcare Violence
[NO] 622/706 | Development of Online Power Energy Monitoring System Using Internet of Things (IoT)
[NO] 623/706 | Stretchable Distributed Fiber Bragg Grating for Sensor Applications
[NO] 624/706 | Utilizing Machine Learning Algorithms for Diagnosing Diabetic Retinopathy
[NO] 625/706 | Data-Driven Prediction of MBA Admissions: Utilizing Extra Trees and Grid Search for Model Enhancement
[NO] 626/706 | Adaptive RLWE-Based Lightweight Mutual Authentication Protocol for Medical RFID Systems
[NO] 627/706 | Adaptive Neural Network Optimization of Vehicle Start-Stop Systems Using Digital Twin Framework
[NO] 628/706 | Efficient Control of a Bidirectional DC-DC Converter for Battery Charging and Discharging in Electric Vehicle Motor Drives
[NO] 629/706 | Table of Contents
[NO] 630/706 | A Large-dimensional Analysis of ESPRIT DoA Estimation: Inconsistency and a Correction via RMT
[NO] 631/706 | Data-Oriented Parallel-in-Time Electromagnetic Transient Simulation of AC-DC Grid
[NO] 632/706 | Multi-dimensional Hypergraph Fusion Network: A Novel Approach for Pediatric Seizure Detection Using Multimodal Physiological Signals
[NO] 633/706 | Table of Contents
[NO] 634/706 | Research on Risk Assessment Method for Urban Dense Cable Trenches Based on Improved Arrhenius Formula and Spatial Inversion Algorithm_supp1-3678730.doc
[NO] 635/706 | Dynamic Resource Allocation in Maritime Unmanned Networks: A Hybrid Approach of Three-Sided Matching and Reinforcement Learning
[NO] 636/706 | SceneGlue: Scene-Aware Transformer for Feature Matching without Scene-Level Annotation
[NO] 637/706 | Diffusion-driven RGB-D Salient Object Detection with Temporal Modulation
[NO] 638/706 | Author Index
[NO] 639/706 | A Bilateral Attribute-Aware State Space Model for Pan-sharpening
[NO] 640/706 | Mapping Afghanistan's Mineral Diversity with NASA EMIT Hyperspectral Data: Spatial-Spectral Transformer Versus CNN for Geo-Mineralogical Classification
