[2026-03-03 09:29:17] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-02
正在获取论文...
[arXiv] 2026-03-02 | Bimanual XR Specification of Relative and Absolute Assembly Hierarchies for Teleoperation
[arXiv] 2026-03-02 | ACDC: Adaptive Curriculum Planning with Dynamic Contrastive Control for Goal-Conditioned Reinforcement Learning in Robotic Manipulation
[arXiv] 2026-03-02 | Recursive Think-Answer Process for LLMs and VLMs
[arXiv] 2026-03-02 | FluxMem: Adaptive Hierarchical Memory for Streaming Video Understanding
[arXiv] 2026-03-02 | The statistical properties of the cross spectrum
[arXiv] 2026-03-02 | Effective degrees of freedom, trace anomaly and c-theorem like condition in the hadron resonance gas model
[arXiv] 2026-03-02 | Modeling Grammatical Hypothesis Testing in Young Learners: A Sequence-Based Learning Analytics Study of Morphosyntactic Reasoning in an Interactive Game
[arXiv] 2026-03-02 | From Pixels to Patches: Pooling Strategies for Earth Embeddings
[arXiv] 2026-03-02 | When an AI Judges Your Work: The Hidden Costs of Algorithmic Assessment
[arXiv] 2026-03-02 | Explainability and justification of automatic-decision making: A conceptual framework and a practical application
[arXiv] 2026-03-02 | Exploring Plan Space through Conversation: An Agentic Framework for LLM-Mediated Explanations in Planning
[arXiv] 2026-03-02 | SINR Estimation under Limited Feedback via Online Convex Optimization
[arXiv] 2026-03-02 | Spinodal instability in nuclear matter with light cluster degrees of freedom
[arXiv] 2026-03-02 | TRAKNN: Efficient Trajectory Aware Spatiotemporal kNN for Rare Meteorological Trajectory Detection
[arXiv] 2026-03-02 | Boundary driven weakly asymmetric Blume-Capel model: Large deviations for mixed Dirichlet-Neumann boundary conditions
[arXiv] 2026-03-02 | Anisotropic two-dimensional magnetoexciton with exact center-of-mass separation
[arXiv] 2026-03-02 | "When to Hand Off, When to Work Together": Expanding Human-Agent Co-Creative Collaboration through Concurrent Interaction
[arXiv] 2026-03-02 | WorldStereo: Bridging Camera-Guided Video Generation and Scene Reconstruction via 3D Geometric Memories
[arXiv] 2026-03-02 | Leave-One-Out Prediction for General Hypothesis Classes
[arXiv] 2026-03-02 | Ionic Liquid-Driven Modulation of DNA Brush Morphology on Nanoparticle Surfaces
[arXiv] 2026-03-02 | LAD-Drive: Bridging Language and Trajectory with Action-Aware Diffusion Transformers
[arXiv] 2026-03-02 | CodecFlow: Efficient Bandwidth Extension via Conditional Flow Matching in Neural Codec Latent Space
[arXiv] 2026-03-02 | MatRIS: Toward Reliable and Efficient Pretrained Machine Learning Interaction Potentials
[arXiv] 2026-03-02 | On the upper critical dimension of the KPZ universality class: KPZ and related equations on a fully connected graph
[arXiv] 2026-03-02 | Harmonic morphisms and minimal submanifolds
[arXiv] 2026-03-02 | Process Over Outcome: Cultivating Forensic Reasoning for Generalizable Multimodal Manipulation Detection
[arXiv] 2026-03-02 | Analysis of the steady solutions of the Fisher's infinitesimal model; a Hilbertian approach
[arXiv] 2026-03-02 | From Transportation to Manipulation: Transforming Magnetic Levitation to Magnetic Robotics
[arXiv] 2026-03-02 | Quantifying Uncertainty in Void Swelling Prediction: A Conformal Prediction Framework for Reactor Safety Margins
[arXiv] 2026-03-02 | Quantitative Convergence of Wasserstein Gradient Flows of Kernel Mean Discrepancies
[arXiv] 2026-03-02 | Cancellation of loop corrections to soft scalar power spectrum
[arXiv] 2026-03-02 | PreSight: Preoperative Outcome Prediction for Parkinson's Disease via Region-Prior Morphometry and Patient-Specific Weighting
[arXiv] 2026-03-02 | BAED: a New Paradigm for Few-shot Graph Learning with Explanation in the Loop
[arXiv] 2026-03-02 | Sector Theory of Levin-Wen Models II : Fusion and Braiding
[arXiv] 2026-03-02 | Dream2Learn: Structured Generative Dreaming for Continual Learning
[arXiv] 2026-03-02 | Radiation safety challenges in plasma accelerators
[arXiv] 2026-03-02 | ScreenAnt: Transparent On-Screen Antennas for 6G
[arXiv] 2026-03-02 | The permutation automorphism groups of irreducible cyclic codes
[arXiv] 2026-03-02 | Dynamic Connectivity and Local Frequency Strength under Stochastic Variations
[arXiv] 2026-03-02 | Configurational control of photon emission from a molecular dimer
[arXiv] 2026-03-02 | Open $3$-manifolds with non negative Ricci curvature in a spectral or integral sense
[arXiv] 2026-03-02 | Geomagnetic signatures of the slurry F-layer inferred from dynamo simulations
[arXiv] 2026-03-02 | KDFlow: A User-Friendly and Efficient Knowledge Distillation Framework for Large Language Models
[arXiv] 2026-03-02 | Bi-TEAM: A Unified Cross-Scale Representation Learning Framework for Chemically Modified Biomolecules
[arXiv] 2026-03-02 | Transfer of generalized amalgamation in simple theories
[arXiv] 2026-03-02 | Streaming Real-Time Trajectory Prediction Using Endpoint-Aware Modeling
[arXiv] 2026-03-02 | Existence, properties, and parametric inference for possibly hyperuniform Gibbs perturbed lattices
[arXiv] 2026-03-02 | An Embedded Mesh Approach for Isogeometric Boundary Layers in Contact Mechanics
[arXiv] 2026-03-02 | Information-fluctuation inequalities for collective response
[arXiv] 2026-03-02 | Defect dependent dynamic nanoindentation hardness of copper up to 25 000 s-1
[arXiv] 2026-03-02 | Mapping g-factors and complex intervalley coupling in Si/SiGe by conveyor-mode shuttling
[arXiv] 2026-03-02 | Uncertainty Quantification of Click and Conversion Estimates for the Autobidding
[arXiv] 2026-03-02 | Quantification of Tides in Giant Planets from Observations
[arXiv] 2026-03-02 | PleaSQLarify: Visual Pragmatic Repair for Natural Language Database Querying
[arXiv] 2026-03-02 | Information and communications technologies for carbon sinks from economics and engineering perspectives
[arXiv] 2026-03-02 | LLM-as-an-Annotator: Training Lightweight Models with LLM-Annotated Examples for Aspect Sentiment Tuple Prediction
[arXiv] 2026-03-02 | FreeAct: Freeing Activations for LLM Quantization
[arXiv] 2026-03-02 | Testing the isothermal Jeans model for self-interacting dark matter halos in the collapse phase
[arXiv] 2026-03-02 | ImpCresst -- A versatile simulation tool focusing on solid-state detectors at keV energies
[arXiv] 2026-03-02 | Downstream Task Inspired Underwater Image Enhancement: A Perception-Aware Study from Dataset Construction to Network Design
[arXiv] 2026-03-02 | Experimental engineering of Floquet topological phases in a one-dimensional optical lattice
[arXiv] 2026-03-02 | NeuroSymb-MRG: Differentiable Abductive Reasoning with Active Uncertainty Minimization for Radiology Report Generation
[arXiv] 2026-03-02 | Strategic Advice in the Age of Personal AI
[arXiv] 2026-03-02 | Exact bounds on quantum partial search algorithm and improving the parallel search
[arXiv] 2026-03-02 | Construction of infinite time bubble tower solutions to critical wave maps equation
[arXiv] 2026-03-02 | Asymptotic Analysis of Shallow Water Moment Equations
[arXiv] 2026-03-02 | Surgical Post-Training: Cutting Errors, Keeping Knowledge
[arXiv] 2026-03-02 | Jailbreaking Embodied LLMs via Action-level Manipulation
[arXiv] 2026-03-02 | On the Rate of Convergence of GD in Non-linear Neural Networks: An Adversarial Robustness Perspective
[arXiv] 2026-03-02 | Future stability of large-data wave maps in energy-supercritical dimensions
[arXiv] 2026-03-02 | Tiny-DroNeRF: Tiny Neural Radiance Fields aboard Federated Learning-enabled Nano-drones
[arXiv] 2026-03-02 | Valleytronics in 2D Materials Roadmap
[arXiv] 2026-03-02 | Tri-path DINO: Feature Complementary Learning for Remote Sensing Multi-Class Change Detection
[arXiv] 2026-03-02 | Inference-Time Safety For Code LLMs Via Retrieval-Augmented Revision
[arXiv] 2026-03-02 | Identification and Estimation of Production Function and Consumer Demand Function under Monopolistic Competition from Revenue Data
[arXiv] 2026-03-02 | Agentic Multi-Source Grounding for Enhanced Query Intent Understanding: A DoorDash Case Study
[arXiv] 2026-03-02 | Towards Robot Skill Learning and Adaptation with Gaussian Processes
[arXiv] 2026-03-02 | Multimodal Adversarial Quality Policy for Safe Grasping
[arXiv] 2026-03-02 | Non-Markovian Long-Horizon Robot Manipulation via Keyframe Chaining
[arXiv] 2026-03-02 | UltraStar: Semantic-Aware Star Graph Modeling for Echocardiography Navigation
[arXiv] 2026-03-02 | From Verbatim to Gist: Distilling Pyramidal Multimodal Memory via Semantic Information Bottleneck for Long-Horizon Video Agents
[arXiv] 2026-03-02 | Applicability and Limitations of Quantum Circuit Cutting in Classical State-Vector Simulation
[arXiv] 2026-03-02 | Plasmonic- and Electronic-Enhancement-Free Coherent Raman Detection of Ångström-Scale Molecular Layers at Metal Interfaces
[arXiv] 2026-03-02 | Enhancing Persona Following at Decoding Time via Dynamic Importance Estimation for Role-Playing Agents
[arXiv] 2026-03-02 | Color symmetry in the Potts spin glass at high temperature
[arXiv] 2026-03-02 | Bounded frequency lattices in integrated lithium niobate coupled ring cavities
[arXiv] 2026-03-02 | UniTalking: A Unified Audio-Video Framework for Talking Portrait Generation
[arXiv] 2026-03-02 | Securing the Floor and Raising the Ceiling: A Merging-based Paradigm for Multi-modal Search Agents
[arXiv] 2026-03-02 | When Humans Don't Feel Like an Option: Contextual Factors That Shape When Older Adults Turn to Conversational AI for Emotional Support
[arXiv] 2026-03-02 | Naturalness and Fisher Information
[arXiv] 2026-03-02 | GraphScout: Empowering Large Language Models with Intrinsic Exploration Ability for Agentic Graph Reasoning
[arXiv] 2026-03-02 | MIST-RL: Mutation-based Incremental Suite Testing via Reinforcement Learning
[arXiv] 2026-03-02 | One Operator to Rule Them All? On Boundary-Indexed Operator Families in Neural PDE Solvers
[arXiv] 2026-03-02 | Message Passing Without Temporal Direction: Constraint Semantics and the FITO Category Mistake
[arXiv] 2026-03-02 | D-GVIO: A Buffer-Driven and Efficient Decentralized GNSS-Visual-Inertial State Estimator for Multi-Agent Systems
[arXiv] 2026-03-02 | An Information-Theoretic Framework For Optimizing Experimental Design To Distinguish Probabilistic Neural Codes
[arXiv] 2026-03-02 | Topological Diagnosis of Optical Composites via Inversion of Nonlinear Dielectric Mixing Rules
[arXiv] 2026-03-02 | Integration of Individual Participant and Aggregate Data Under Dataset Shift: Summary Statistic Comparison and Scalable Computation
[arXiv] 2026-03-02 | 3BASiL: An Algorithmic Framework for Sparse plus Low-Rank Compression of LLMs
[arXiv] 2026-03-02 | Words & Weights: Streamlining Multi-Turn Interactions via Co-Adaptation
[arXiv] 2026-03-02 | Fed-GAME: Personalized Federated Learning with Graph Attention Mixture-of-Experts For Time-Series Forecasting
[arXiv] 2026-03-02 | Quantum framework for parameterizing partial differential equations via diagonal block-encoding
[arXiv] 2026-03-02 | Beta Ensembles in the Freezing Regime and Finite Free Convolutions
[arXiv] 2026-03-02 | Protostellar Outflows Shed Light on the Dominant Close Companion Star Formation Pathways
[arXiv] 2026-03-02 | Scattering problem for Zakharov-Kuznetsov equation in three space dimensions
[arXiv] 2026-03-02 | Testing Gravitational-Wave Signal From Verification Binaries with Space-Based Gravitational-Wave Detectors
[arXiv] 2026-03-02 | Reconciling 3D Models for the Central 10 parsecs of the Milky Way
[arXiv] 2026-03-02 | Novel technique based on Léja Points Approximation for Log-determinant Estimation of Large matrices
[arXiv] 2026-03-02 | Frontier Models Can Take Actions at Low Probabilities
[arXiv] 2026-03-02 | A Matrix Theory Construction of the IIA/IIB Wall
[arXiv] 2026-03-02 | Conformal Policy Control
[arXiv] 2026-03-02 | Algebraic statistics of Hüsler-Reiss graphical models in multivariate extremes
[arXiv] 2026-03-02 | MAC: A Conversion Rate Prediction Benchmark Featuring Labels Under Multiple Attribution Mechanisms
[arXiv] 2026-03-02 | Universal Behavior on the Relaxation Dynamics of Far-From-Equilibrium Quantum Fluids
[arXiv] 2026-03-02 | Interpreting map-based $E$/$B$ spectral properties of CMB foregrounds
[arXiv] 2026-03-02 | GeoDiT: Point-Conditioned Diffusion Transformer for Satellite Image Synthesis
[arXiv] 2026-03-02 | Commutators, mean-field, and supercritical mean-field limits for Coulomb/Riesz gases
[arXiv] 2026-03-02 | Boosting Device Utilization in Control Flow Auditing
[arXiv] 2026-03-02 | Instrumental and Proximal Causal Inference with Gaussian Processes
[arXiv] 2026-03-02 | Crossover from generalized to conventional hydrodynamics in nearly integrable systems under relaxation time approximation
[arXiv] 2026-03-02 | Constant-Time Surgery on 2D Hypergraph Product Codes with Near-Constant Space Overhead
[arXiv] 2026-03-02 | Degree Sequences vs. Forests in Bipartite Graphs
[arXiv] 2026-03-02 | Zero- and Few-Shot Named-Entity Recognition: Case Study and Dataset in the Crime Domain (CrimeNER)
[arXiv] 2026-03-02 | Effective potentials for de Sitter and anti de Sitter quantum fields
[arXiv] 2026-03-02 | Basin Riddling in Coupled Phase Oscillators
[arXiv] 2026-03-02 | Deep Unfolding for SIM-Assisted Multiband MU-MISO Downlink Systems
[arXiv] 2026-03-02 | Solving Convex Quadratic Optimization with Indicators Over Structured Graphs
[arXiv] 2026-03-02 | OmniRet: Efficient and High-Fidelity Omni Modality Retrieval
[arXiv] 2026-03-02 | Detection-Gated Glottal Segmentation with Zero-Shot Cross-Dataset Transfer and Clinical Feature Extraction
[arXiv] 2026-03-02 | Reinforcement Learning-Based Filters for Convection-Dominated Flows: Reference-Free and Reference-Guided Training
[arXiv] 2026-03-02 | GenDB: The Next Generation of Query Processing -- Synthesized, Not Engineered
[arXiv] 2026-03-02 | Accelerating PDE Surrogates via RL-Guided Mesh Optimization
[arXiv] 2026-03-02 | ORGAN: Object-Centric Representation Learning using Cycle Consistent Generative Adversarial Networks
[arXiv] 2026-03-02 | Teen Vigilance: Navigating Risky Social Interactions on Discord
[arXiv] 2026-03-02 | EstLLM: Enhancing Estonian Capabilities in Multilingual LLMs via Continued Pretraining and Post-Training
[arXiv] 2026-03-02 | Graph neural network force fields for adiabatic dynamics of lattice Hamiltonians
[arXiv] 2026-03-02 | Positivity of vector bundles and Dominance
[arXiv] 2026-03-02 | Decoherence and entropy production due to quantum fluctuations of spacetime
[arXiv] 2026-03-02 | MMR-Life: Piecing Together Real-life Scenes for Multimodal Multi-image Reasoning
[arXiv] 2026-03-02 | $\ell^1$ mapping properties, smoothness and decay for $SU(2)$-valued nonlinear Fourier transform
[arXiv] 2026-03-02 | Partial weight one modularity for Galois representations associated to mod $p$ Hilbert modular forms
[arXiv] 2026-03-02 | CHOP: Counterfactual Human Preference Labels Improve Obstacle Avoidance in Visuomotor Navigation Policies
[arXiv] 2026-03-02 | Bespoke OLAP: Synthesizing Workload-Specific One-size-fits-one Database Engines
[arXiv] 2026-03-02 | Event-Only Drone Trajectory Forecasting with RPM-Modulated Kalman Filtering
[arXiv] 2026-03-02 | Groups of generalized Moufang type and $\mathbb Z_2$-graded algebras
[arXiv] 2026-03-02 | ViTex: Visual Texture Control for Multi-Track Symbolic Music Generation via Discrete Diffusion Models
[arXiv] 2026-03-02 | An Analysis of Multi-Task Architectures for the Hierarchic Multi-Label Problem of Vehicle Model and Make Classification
[arXiv] 2026-03-02 | Higgs Branch and VOA of 4d $\mathcal{N}=2$ SCFTs from IIB
[arXiv] 2026-03-02 | Detection of weak signals under arbitrary noise distributions
[arXiv] 2026-03-02 | Block-coordinate Plug-And-Play Methods with Armijo-like line-search for Image Restoration
[arXiv] 2026-03-02 | Ultraviolet completion of the inflationary paradigm
[arXiv] 2026-03-02 | A spatial scan statistical for categorical, functional data
[arXiv] 2026-03-02 | TopoCurate:Modeling Interaction Topology for Tool-Use Agent Training
