[2026-03-05 09:30:38] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-04
正在获取论文...
[arXiv] 2026-03-04 | Strong Approximation for the Character Variety of the Four-Times Punctured Sphere
[arXiv] 2026-03-04 | Dynamical Behaviour of Density Correlations Across the Chaotic Phase for Interacting Bosons
[arXiv] 2026-03-04 | ManipulationNet: An Infrastructure for Benchmarking Real-World Robot Manipulation with Physical Skill Challenges and Embodied Multimodal Reasoning
[arXiv] 2026-03-04 | Service Function Chain Routing in LEO Networks Using Shortest-Path Delay Statistical Stability
[arXiv] 2026-03-04 | A Soft Robotic Demonstration in the Stratospher
[arXiv] 2026-03-04 | Exp-ParaDiag: Time-Parallel Exponential Integrators for Parabolic PDEs
[arXiv] 2026-03-04 | FocusGraph: Graph-Structured Frame Selection for Embodied Long Video Question Answering
[arXiv] 2026-03-04 | ArtHOI: Articulated Human-Object Interaction Synthesis by 4D Reconstruction from Video Priors
[arXiv] 2026-03-04 | On Theoretical Stability Proof and Stability Margin Analysis of Enhanced Droop-Free Control Schemes for Islanded Microgrids
[arXiv] 2026-03-04 | SpotIt+: Verification-based Text-to-SQL Evaluation with Database Constraints
[arXiv] 2026-03-04 | On the operational and algebraic quantum correlations
[arXiv] 2026-03-04 | Incompressible limit for an age-structured tumor model
[arXiv] 2026-03-04 | Single-minus graviton tree amplitudes are nonzero
[arXiv] 2026-03-04 | Gaussian Mixture-Based Inverse Perception Contract for Uncertainty-Aware Robot Navigation
[arXiv] 2026-03-04 | Theory Discovery in Social Networks: Automating ERGM Specification with Large Language Models
[arXiv] 2026-03-04 | FlowW2N: Whispered-to-Normal Speech Conversion via Flow-Matching
[arXiv] 2026-03-04 | LabelBuddy: An Open Source Music and Audio Language Annotation Tagging Tool Using AI Assistance
[arXiv] 2026-03-04 | Position: Vector Prompt Interfaces Should Be Exposed to Enable Customization of Large Language Models
[arXiv] 2026-03-04 | Hierarchical cosmological constraints through strong lensing distance ratio
[arXiv] 2026-03-04 | ViterbiPlanNet: Injecting Procedural Knowledge via Differentiable Viterbi for Planning in Instructional Videos
[arXiv] 2026-03-04 | Quantum Kinetic Theory for Quantum Chromodynamics
[arXiv] 2026-03-04 | When AI Fails, What Works? A Data-Driven Taxonomy of Real-World AI Risk Mitigation Strategies
[arXiv] 2026-03-04 | Memex(RL): Scaling Long-Horizon LLM Agents via Indexed Experience Memory
[arXiv] 2026-03-04 | Learning Read-Once Determinants and the Principal Minor Assignment Problem
[arXiv] 2026-03-04 | EmbodiedSplat: Online Feed-Forward Semantic 3DGS for Open-Vocabulary 3D Scene Understanding
[arXiv] 2026-03-04 | Online Learning for Multi-Layer Hierarchical Inference under Partial and Policy-Dependent Feedback
[arXiv] 2026-03-04 | DeNuC: Decoupling Nuclei Detection and Classification in Histopathology
[arXiv] 2026-03-04 | DiverseDiT: Towards Diverse Representation Learning in Diffusion Transformers
[arXiv] 2026-03-04 | A comparative numerical study of graph-based splitting algorithms for linear subspaces
[arXiv] 2026-03-04 | Constraint-Aware Generative Re-ranking for Multi-Objective Optimization in Advertising Feeds
[arXiv] 2026-03-04 | ZeSTA: Zero-Shot TTS Augmentation with Domain-Conditioned Training for Data-Efficient Personalized Speech Synthesis
[arXiv] 2026-03-04 | Resumming Spinning Black Hole Dynamics at Third Post-Minkowskian Order
[arXiv] 2026-03-04 | Beyond Edge Deletion: A Comprehensive Approach to Counterfactual Explanation in Graph Neural Networks
[arXiv] 2026-03-04 | GSeg3D: A High-Precision Grid-Based Algorithm for Safety-Critical Ground Segmentation in LiDAR Point Clouds
[arXiv] 2026-03-04 | Beyond Mixtures and Products for Ensemble Aggregation: A Likelihood Perspective on Generalized Means
[arXiv] 2026-03-04 | Collimation
[arXiv] 2026-03-04 | OptiQKD: A Machine Learning-Optimized Framework for Real-Time Parameter Tuning in Quantum Key Distribution
[arXiv] 2026-03-04 | CAM-LDS: Cyber Attack Manifestations for Automatic Interpretation of System Logs and Security Alerts
[arXiv] 2026-03-04 | NOVA3R: Non-pixel-aligned Visual Transformer for Amodal 3D Reconstruction
[arXiv] 2026-03-04 | Relative $\mathbb{A}^1$-Contractibility of Smooth Schemes and Exotic Motivic Spheres
[arXiv] 2026-03-04 | Learning Hip Exoskeleton Control Policy via Predictive Neuromusculoskeletal Simulation
[arXiv] 2026-03-04 | The Making of Delta Sunspots
[arXiv] 2026-03-04 | Exploiting Subgradient Sparsity in Max-Plus Neural Networks
[arXiv] 2026-03-04 | Evaluation of the performance of an analytical-numerical coupled method for droplet impacts on soft material surfaces
[arXiv] 2026-03-04 | A Baseline Study and Benchmark for Few-Shot Open-Set Action Recognition with Feature Residual Discrimination
[arXiv] 2026-03-04 | BeamPERL: Parameter-Efficient RL with Verifiable Rewards Specializes Compact LLMs for Structured Beam Mechanics Reasoning
[arXiv] 2026-03-04 | Topological observables and domain wall tension from finite temperature chiral perturbation theory
[arXiv] 2026-03-04 | Any2Any: Unified Arbitrary Modality Translation for Remote Sensing
[arXiv] 2026-03-04 | Believe Your Model: Distribution-Guided Confidence Calibration
[arXiv] 2026-03-04 | Dualities and Topological Classification of the $S=1$ Pyrochlore Spin Ice
[arXiv] 2026-03-04 | Measures on Cameron's treelike classes and applications to tensor categories
[arXiv] 2026-03-04 | Collective purification of interacting quantum networks beyond symmetry constraints
[arXiv] 2026-03-04 | A New Class of Geometric Analog Error Correction Codes for Crossbar Based In-Memory Computing
[arXiv] 2026-03-04 | Near-infrared spectroscopy of RS Ophiuchi in 2021: the calm, the storm, and the abatement
[arXiv] 2026-03-04 | Error as Signal: Stiffness-Aware Diffusion Sampling via Embedded Runge-Kutta Guidance
[arXiv] 2026-03-04 | Design of a monolithic source of photon pairs comprising a semiconductor laser and a Bragg reflection waveguide
[arXiv] 2026-03-04 | Rapid stabilization of general linear systems with F-equivalence
[arXiv] 2026-03-04 | Harnessing Selective State Space Models to Enhance Semianalytical Design of Fabrication-Ready Multilayered Huygens' Metasurfaces: Part I - Field-based Semianalytical Synthesis
[arXiv] 2026-03-04 | Linearized Stability of Non-Isolated Equilibria of Quasilinear Parabolic Problems in Interpolation Spaces
[arXiv] 2026-03-04 | Philosophical foundations of statistics
[arXiv] 2026-03-04 | Evolutionary Multimodal Reasoning via Hierarchical Semantic Representation for Intent Recognition
[arXiv] 2026-03-04 | From Narrow to Panoramic Vision: Attention-Guided Cold-Start Reshapes Multimodal Reasoning
[arXiv] 2026-03-04 | Impact of perturbed eddy-viscosity modeling on stability and shape sensitivity of the hydro-turbine vortex rope using linearized Reynolds-averaged Navier-Stokes equations
[arXiv] 2026-03-04 | Fairness Begins with State: Purifying Latent Preferences for Hierarchical Reinforcement Learning in Interactive Recommendation
[arXiv] 2026-03-04 | Existence of the minimal model program for log canonical generalized pairs
[arXiv] 2026-03-04 | The projected isotropic normal distribution with applications in neuroscience
[arXiv] 2026-03-04 | Topological defects in buckled colloidal monolayers
[arXiv] 2026-03-04 | Robust LLM-based Audio-Visual Speech Recognition with Sparse Modality Alignment and Visual Unit-Guided Refinement
[arXiv] 2026-03-04 | A Bi-Stage Framework for Automatic Development of Pixel-Based Planar Antenna Structures
[arXiv] 2026-03-04 | Learning Surgical Robotic Manipulation with 3D Spatial Priors
[arXiv] 2026-03-04 | TAP: A Token-Adaptive Predictor Framework for Training-Free Diffusion Acceleration
[arXiv] 2026-03-04 | A successive difference-of-convex method for a class of two-stage nonconvex nonsmooth stochastic conic program via SVI
[arXiv] 2026-03-04 | A variational principle for holomorphic correspondences
[arXiv] 2026-03-04 | The Effect of Planetary Rotation Period on Clouds in a Global Climate Model with a Bin Microphysics Scheme
[arXiv] 2026-03-04 | Seeing as Experts Do: A Knowledge-Augmented Agent for Open-Set Fine-Grained Visual Understanding
[arXiv] 2026-03-04 | Accelerating Inverse Design of Optical Metasurfaces: Analytic Gradients of Periodic Green's Functions via Quasi-Modular Forms
[arXiv] 2026-03-04 | Interaction-Aware Whole-Body Control for Compliant Object Transport
[arXiv] 2026-03-04 | WSI-INR: Implicit Neural Representations for Lesion Segmentation in Whole-Slide Images
[arXiv] 2026-03-04 | The Semantic Arrow of Time, Part II: The Semantics of Open Atomic Ethernet
[arXiv] 2026-03-04 | HALyPO: Heterogeneous-Agent Lyapunov Policy Optimization for Human-Robot Collaboration
[arXiv] 2026-03-04 | Exploring Challenges in Developing Edge-Cloud-Native Applications Across Multiple Business Domains
[arXiv] 2026-03-04 | Glass Segmentation with Fusion of Learned and General Visual Features
[arXiv] 2026-03-04 | When Relaxation Does Not Help: RLDCs with Small Soundness Yield LDCs
[arXiv] 2026-03-04 | Order Is Not Layout: Order-to-Space Bias in Image Generation
[arXiv] 2026-03-04 | Insights into hydrogen-induced vacancy stability and creep in chemically complex alloys
[arXiv] 2026-03-04 | GraphLake: A Purpose-Built Graph Compute Engine for Lakehouse
[arXiv] 2026-03-04 | UrbanHuRo: A Two-Layer Human-Robot Collaboration Framework for the Joint Optimization of Heterogeneous Urban Services
[arXiv] 2026-03-04 | Measurement of angular correlations inside jets induced by gluon polarization in proton-proton collisions at $\sqrt{s}$ = 13.6 TeV
[arXiv] 2026-03-04 | Polyp Segmentation Using Wavelet-Based Cross-Band Integration for Enhanced Boundary Representation
[arXiv] 2026-03-04 | HiMAP: Hilbert Mass-Aligned Parameterization for Multivariate Barycenters and Frećhet Regression
[arXiv] 2026-03-04 | Local Shapley: Model-Induced Locality and Optimal Reuse in Data Valuation
[arXiv] 2026-03-04 | Graph Negative Feedback Bias Correction Framework for Adaptive Heterophily Modeling
[arXiv] 2026-03-04 | Parameterized D-torsors in differential Galois theory
[arXiv] 2026-03-04 | Linguistically Informed Graph Model and Semantic Contrastive Learning for Korean Short Text Classification
[arXiv] 2026-03-04 | Freezing of Gait Prediction using Proactive Agent that Learns from Selected Experience and DDQN Algorithm
[arXiv] 2026-03-04 | One-Step Face Restoration via Shortcut-Enhanced Coupling Flow
[arXiv] 2026-03-04 | Variational Quantum Transduction
[arXiv] 2026-03-04 | The Evolution of Eco-routing under Population Growth: Evidence from Six U.S. Cities
[arXiv] 2026-03-04 | Behind the Prompt: The Agent-User Problem in Information Retrieval
[arXiv] 2026-03-04 | LeafInst - Unified Instance Segmentation Network for Fine-Grained Forestry Leaf Phenotype Analysis: A New UAV based Benchmark
[arXiv] 2026-03-04 | Parallax to Align Them All: An OmniParallax Attention Mechanism for Distributed Multi-View Image Compression
[arXiv] 2026-03-04 | Weibel Instability-Driven Seed Magnetic Fields during Reionization
[arXiv] 2026-03-04 | ARMOR: Robust and Efficient CNN-Based SAR ATR through Model-Hardware Co-Design
[arXiv] 2026-03-04 | Air-stable bright entangled photon-pair source from graphene-encapsulated van der Waals ferroelectric NbOI2
[arXiv] 2026-03-04 | Revisiting the Role of Foundation Models in Cell-Level Histopathological Image Analysis under Small-Patch Constraints -- Effects of Training Data Scale and Blur Perturbations on CNNs and Vision Transformers
[arXiv] 2026-03-04 | Study of flow of crystals and deformable particles in a channel and the effective segregation of soft and hard particles
[arXiv] 2026-03-04 | Physics Informed Deep Unfolded Full Waveform Inversion for Edema Detection
[arXiv] 2026-03-04 | The Construction Principle and superstability of free objects in varieties of algebras
[arXiv] 2026-03-04 | Sim2Sea: Sim-to-Real Policy Transfer for Maritime Vessel Navigation in Congested Waters
[arXiv] 2026-03-04 | A scalar auxiliary variable-based semi-implicit scheme for stochastic Cahn--Hilliard equation
[arXiv] 2026-03-04 | Localization operators on Bergman and Fock spaces
[arXiv] 2026-03-04 | mlx-vis: GPU-Accelerated Dimensionality Reduction and Visualization on Apple Silicon
[arXiv] 2026-03-04 | Multi-Stage Music Source Restoration with BandSplit-RoFormer Separation and HiFi++ GAN
[arXiv] 2026-03-04 | Weak Interaction Contribution to the Muonium Hyperfine Structure in the Standard Model
[arXiv] 2026-03-04 | An Unconventional View on Beta-Reduction in Namefree Lambda-Calculus
[arXiv] 2026-03-04 | A Generalized Algebraic Theory for Type Theory with Explicit Universe Polymorphism
[arXiv] 2026-03-04 | Lambdas at the Far Edge: a Tale of Flying Lambdas and Lambdas on Wheels
[arXiv] 2026-03-04 | A Short-Timescale Optical Quasi-Periodic Oscillation in PKS\,0805$-$07 from High-Cadence TESS Observations
[arXiv] 2026-03-04 | MLOps-Assisted Anomalous Reflector Metasurfaces Design Based on Red Hat OpenShift AI
[arXiv] 2026-03-04 | Generative AI in Managerial Decision-Making: Redefining Boundaries through Ambiguity Resolution and Sycophancy Analysis
[arXiv] 2026-03-04 | Scaling Dense Event-Stream Pretraining from Visual Foundation Models
[arXiv] 2026-03-04 | Nominal techniques as an Agda library
[arXiv] 2026-03-04 | UniRain: Unified Image Deraining with RAG-based Dataset Distillation and Multi-objective Reweighted Optimization
[arXiv] 2026-03-04 | Towards Generalized Multimodal Homography Estimation
[arXiv] 2026-03-04 | GIPO: Gaussian Importance Sampling Policy Optimization
[arXiv] 2026-03-04 | RVN-Bench: A Benchmark for Reactive Visual Navigation
[arXiv] 2026-03-04 | Trainable Neuromorphic Spintronic Hardware Via Analog Finite-Difference Gradient Methods
[arXiv] 2026-03-04 | Lang2Str: Two-Stage Crystal Structure Generation with LLMs and Continuous Flow Models
[arXiv] 2026-03-04 | Identification of Nonlinear Acyclic Networks in Continuous Time from Nonzero Initial Conditions and Full Excitations
[arXiv] 2026-03-04 | Joint Gaussian Beam Pattern and Its Optimization for Positioning-Assisted Systems
[arXiv] 2026-03-04 | DISC: Dense Integrated Semantic Context for Large-Scale Open-Set Semantic Mapping
[arXiv] 2026-03-04 | Hydrostatic Pressure Driven Band Gap Tuning and Self-Trapped Exciton Formation in (4FPEA)$_2$SnBr$_{4}$ Halide Perovskite
[arXiv] 2026-03-04 | Harmonic Modeling and Control under Variable-Frequency
[arXiv] 2026-03-04 | Excitation function for natMo(p,x) reactions with covariance analysis
[arXiv] 2026-03-04 | Principal twistor models and asymptotic hyperkähler metrics
[arXiv] 2026-03-04 | Automated Testbed for Repeatable Evaluation of Ultra-Wideband Localization Performance
[arXiv] 2026-03-04 | Fine-grained Image Aesthetic Assessment: Learning Discriminative Scores from Relative Ranks
[arXiv] 2026-03-04 | Breakdown of Linear Response in Uniformly Hyperbolic Systems with Hierarchical Structure
[arXiv] 2026-03-04 | Harnessing Selective State Space Models to Enhance Semianalytical Design of Fabrication-Ready Multilayered Huygens' Metasurfaces: Part II - Generative Inverse Design (MetaMamba)
[arXiv] 2026-03-04 | Ising Models of Cooperativity in Muscle Contraction
[arXiv] 2026-03-04 | The variety of group actions on all algebraic real hyperbolic spaces
[arXiv] 2026-03-04 | A Robust Compressible APIC/FLIP Particle Grid Method with Conservative Resampling and Adaptive APIC/PIC Blending
[arXiv] 2026-03-04 | DeepScan: A Training-Free Framework for Visually Grounded Reasoning in Large Vision-Language Models
[arXiv] 2026-03-04 | Topological-numerical analysis of global dynamics in the discrete-time two-gene Andrecut-Kauffman model
[arXiv] 2026-03-04 | SimpliHuMoN: Simplifying Human Motion Prediction
[arXiv] 2026-03-04 | HyQBench: A Benchmark Suite for Hybrid CV-DV Quantum Computing
[arXiv] 2026-03-04 | Abelian-normal decimal expansions
