[2026-08-13 22:40:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-12
正在获取论文...
[arXiv] 2026-08-12 | Direct Acceleration of Stochastic Root-Finding Without Variance Reduction and Regularization
[arXiv] 2026-08-12 | Pure-swirl loss of boundedness under $L^1_tL^2_x$ forcing: exact mixed-norm ranges
[arXiv] 2026-08-12 | Ward identities: a geometric point of view and applications
[arXiv] 2026-08-12 | Poisson Tangent Limits and Critical Policy Switching for Sampled Bellman Operators
[arXiv] 2026-08-12 | Towards Scalable Fuzzy PSI via Efficient Fuzzy Matching
[arXiv] 2026-08-12 | Contour Hankel dynamics and indicator fields for the Riemann $Ξ$-function
[arXiv] 2026-08-12 | Predicting Functions, Not Features: KANs with Function-Space Joint-Embedding Predictive Learning for Medical Image Segmentation
[arXiv] 2026-08-12 | Confinement transitions in half-space constrained Riesz gases
[arXiv] 2026-08-12 | Average hitting times and recurrence structures II: Cartesian products of powers of cycles and regular graphs
[arXiv] 2026-08-12 | DreamFly: Causal Memory and Receding-Horizon Diffusion Planning for Aerial Vision-Language Navigation
[arXiv] 2026-08-12 | Structural Silence: When AI Infrastructure Fails Speakers of Underrepresented Languages
[arXiv] 2026-08-12 | Variable Exponent Regularity via Muckenhoupt Condition
[arXiv] 2026-08-12 | Quasisymmetric universality, quasi-isometric classification and topological rigidity of Kleinian groups
[arXiv] 2026-08-12 | LazyTrain: Limited-resource Allocation toward Zero-waste Yield Optimization in Large Language Model Training
[arXiv] 2026-08-12 | Emergent scalar field dynamics in a cosmological spacetime from GFT quantum gravity
[arXiv] 2026-08-12 | On-Shell Amplitudes and Black-Hole Perturbations: Exact Reissner-Nordström Mixing
[arXiv] 2026-08-12 | RoadWeaver: Large-Scale Lane-Level HD Map Generation from Scratch for Autonomous Driving Simulation
[arXiv] 2026-08-12 | Interface phases and dynamics in two-dimensional quantum magnets: A "holographic" approach from universality to quantum simulation
[arXiv] 2026-08-12 | From Safety Documentation to Safety Knowledge Support: An Evidence-Grounded LLM Framework for Medical Devices
[arXiv] 2026-08-12 | The Min-Rains Relative Entropy Is Not Tight for Exact PPT Entanglement Distillation
[arXiv] 2026-08-12 | Transferable Above-Ground Biomass (AGB) Estimation Model from Multi-Sensor Data with Sparse Field Calibration
[arXiv] 2026-08-12 | Token-Level Credit Assignment Optimization for Generative Document Retrieval
[arXiv] 2026-08-12 | Superharmonicity of the fractional ground state
[arXiv] 2026-08-12 | Spin nematic liquid crystal and scalar spin chirality in tetragonal lattice YbMnBi$_2$
[arXiv] 2026-08-12 | Excited states of $^{148}$Nd studied via the $^{150}$Nd$(p,t){}^{148}$Nd reaction and the observation of possible low-spin two-phonon octupole states at $N=88$
[arXiv] 2026-08-12 | Existence and non-existence results for a fractional Lane-Emden equation with nonlocal Neumann conditions
[arXiv] 2026-08-12 | LIGO A$^\sharp$: Detector Design and Science Prospects Beyond A+
[arXiv] 2026-08-12 | Sparse spanning $k$-strong oriented subdigraphs in split digraphs
[arXiv] 2026-08-12 | Kernel Methods for Learning Operators with Multiple Inputs and Outputs
[arXiv] 2026-08-12 | Double Yangian and reflection algebras of the Lie superalgebra $\mathfrak{gl}_{M|N}$, II: Quantum currents
[arXiv] 2026-08-12 | The $D^Δ$-pair biset category
[arXiv] 2026-08-12 | Topology-Preserving Meshing of Implicit Scalar Fields via Monotonicity Constraints
[arXiv] 2026-08-12 | Hybrid Gated Attention
[arXiv] 2026-08-12 | MiDashengLM-Gen: Unified Audio Scene Generation via LLM-Driven Autoregressive Flow Matching
[arXiv] 2026-08-12 | Towards Model-based Run-time Cybersecurity: On Control-Flow Anomaly Detection, Attack Identification, and Hardware Monitoring
[arXiv] 2026-08-12 | TradingMoE: Routing the Right Experts in Evolving Markets
[arXiv] 2026-08-12 | Antibunching Enhancement via Non-Markovianity in a Hybrid Optical-Microwave Cross-Cavity
[arXiv] 2026-08-12 | HyperANFIS: Enhancing Rule Representation and Interpretability in Adaptive Neuro-Fuzzy Systems via Hyperbolic Geometry
[arXiv] 2026-08-12 | Automated binary classification of hazelnut X-ray images: A deep-learning benchmark for quality assessment
[arXiv] 2026-08-12 | LabelFusion-TS: Fusing Large Language Models, Transformer Encoders, and Financial Time Series for Monetary-Policy Stance Classification
[arXiv] 2026-08-12 | MOON: Multi-Objective OrthoNormalized Updates for Multitask Learning
[arXiv] 2026-08-12 | Artin algebras of small representation bound
[arXiv] 2026-08-12 | Ripple-Pivot Search: Active Parallel Decoding for Diffusion Large Language Models
[arXiv] 2026-08-12 | Quantum mixing for eigenfunctions of rational polygons in configuration space
[arXiv] 2026-08-12 | Deep-Learning-Accelerated Dopant Selection for High-k HfO2 Dielectrics: A Disorder-Resolved Study of Y, Si and Al
[arXiv] 2026-08-12 | Scalar Finite-Proper-Time Field Theory as Spectral Operator Calculus
[arXiv] 2026-08-12 | Chain-of-Thought Shows the Path to a Tree: Realizing Branching Complexity
[arXiv] 2026-08-12 | When the API Speaks the Wrong Language: Revisiting Post-Training for Multilingual Tool Use
[arXiv] 2026-08-12 | Quantum Channel-Induced Geometry of the Uhlmann Phase in Qubit Systems
[arXiv] 2026-08-12 | Consolidator: Learning Persistent Routed Memory Across Context Boundaries
[arXiv] 2026-08-12 | LEMUR: Latent Entropy-aware Multimodal Unlearning via Visual-anchored Reasoning Redirection
[arXiv] 2026-08-12 | Drift and Dependence: Layer-wise Information-Theoretic Bounds for Replay-Based Continual Learning
[arXiv] 2026-08-12 | First-principles cumulant approach to the vibronic structure of spin defects
[arXiv] 2026-08-12 | A Proof of a Conjecture on Fixed Perimeter Partitions
[arXiv] 2026-08-12 | A Solution to the Roommate Problem
[arXiv] 2026-08-12 | A statistical theory of graph regularization for RNA velocity near developmental bifurcations
[arXiv] 2026-08-12 | Rubric Dropout: A Simple Way to Mitigate Reward Hacking in Rubric-as-Reward RL
[arXiv] 2026-08-12 | Twenty-Five Years of Air Quality in Bangladesh: Trends, Seasonality, and Spatial Pollution Regimes
[arXiv] 2026-08-12 | A Frequency-Space Terahertz Transceiver Chip for Multi-Agent Communications and Spatial Awareness
[arXiv] 2026-08-12 | A Quantum/Classical Example Oracle Separation for Making Things Up
[arXiv] 2026-08-12 | The Dirac Information Carrier for Relativistic Quantum Computation
[arXiv] 2026-08-12 | Hybrid-LUT: Channel-Aware Hybrid Lookup Table and Filtering for Efficient Image Denoising
[arXiv] 2026-08-12 | Energy-Aware Wind-Resilient Routing for Truck-Assisted Multi-UAV Delivery under Wind Uncertainty
[arXiv] 2026-08-12 | Reverse Migration of Cloud Applications to On-premises
[arXiv] 2026-08-12 | Towards Terabit/$λ$/s Multidimensional Silicon Photonic Engine
[arXiv] 2026-08-12 | Construction and Periodicity of Minimal Resolution Graphs of Suspension Singularities
[arXiv] 2026-08-12 | Reconstructive AI Spectroscopy of Charged Particle Beams
[arXiv] 2026-08-12 | Constraints on ultralight bosons from merging binary and remnant black holes observed during the second and third parts of the fourth LIGO-Virgo-KAGRA observing run
[arXiv] 2026-08-12 | Generative Video Compression Based on Hierarchical Referencing
[arXiv] 2026-08-12 | Upper bound for the moment of shifted values of cubic $L$-functions over function fields
[arXiv] 2026-08-12 | IoT-Enabled Autonomous Maritime Navigation in Smart Ports: A Curriculum-Guided Shared Policy Learning Framework
[arXiv] 2026-08-12 | Video2Track: From Real-World Interaction Videos to Steerable Adversarial Closed-Track Testing for Automated Driving Systems
[arXiv] 2026-08-12 | CookVoice: Unified Framework for Style Controllable Multi-Modal Human Voice Generation
[arXiv] 2026-08-12 | CoAdapt-GUI: Joint Workflow Context and Policy Adaptation for Unseen GUI Applications
[arXiv] 2026-08-12 | Scopes equivalence for blocks of Ariki-Koike algebras
[arXiv] 2026-08-12 | Sparse and robust geometric twin support vector machine via asymmetric RoBoSS loss function
[arXiv] 2026-08-12 | Repurposing RGB-based Foundation Model for Depth Estimation on Thermal Images Using Hierarchical Supervision
[arXiv] 2026-08-12 | Enhancing the power of a quantum heat engine via control of the system--reservoir coupling
[arXiv] 2026-08-12 | Greedy approaches for Gold Grabbing on subclasses of split graphs
[arXiv] 2026-08-12 | Duality formulas for $\widehat{\mathcal{Q}}$-multiple zeta values
[arXiv] 2026-08-12 | Search and Rescue on the Plane
[arXiv] 2026-08-12 | Clustered Randomized Smoothing for Stochastic Prediction Functions
[arXiv] 2026-08-12 | Mechanist: AI as a Scientific Instrument for Discovering the Mechanisms of Intelligence
[arXiv] 2026-08-12 | Term structure shapes in the Hull-White model with Svensson-parameterized initial yield curves
[arXiv] 2026-08-12 | Asymptotic Risk Calibration for Selective Question Answering
[arXiv] 2026-08-12 | Dual-Model Sentiment Analysis of Consumer Reviews in the Retail Coffee Sector Using Machine Learning and Deep Learning Approaches
[arXiv] 2026-08-12 | HCGRec: Hint-Conditioned Generative Recommendation with Semantic IDs
[arXiv] 2026-08-12 | Deep MUSE observations of SNR 0509-67.5 reveal a double degenerate merger progenitor
[arXiv] 2026-08-12 | Standard morphisms and Pythagorean triples
[arXiv] 2026-08-12 | Ideal heat engine cycles at maximal efficiency -- the ideal gas and beyond
[arXiv] 2026-08-12 | Causal inference for group-contaminated structured outcomes: observable quotients, lossless reduction and exact randomization inference
[arXiv] 2026-08-12 | Carrollian Dictionary for Massive Particles at Null Infinity
[arXiv] 2026-08-12 | Dual Anchors, Do It Better: Hierarchical Group Merging for Zero-Shot Anomaly Detection
[arXiv] 2026-08-12 | Nonlinear parabolic characterizations of stochastic completeness at infinity on weighted graphs
[arXiv] 2026-08-12 | Nonisomorphic Graphs Can Share an Arbitrarily Large Fraction of Their Vertex-Deleted Cards
[arXiv] 2026-08-12 | Disaster Information Reachability of Medium-Wave AM Broadcasting as a Wide-Area Disaster Information Infrastructure: Lessons from the 2024 Noto Peninsula Earthquake
[arXiv] 2026-08-12 | Positive quadrature and mobile sampling of multivariate trigonometric polynomials
[arXiv] 2026-08-12 | Comparative Analysis of Low-Rank Adaptation in Large Language Models versus Dense Embedding Regression for Headline Click-Through Rate Prediction
[arXiv] 2026-08-12 | Magneto-optical magnetoelectric voltage sensor
[arXiv] 2026-08-12 | On-Policy Self-Distillation for Multi-Dialect ASR: Mastering Dialects, Retaining Mandarin
[arXiv] 2026-08-12 | First and Comprehensive Study of V0757 Pup : $γ-$Doradus Pulsator in Detached Eclipsing Binary
[arXiv] 2026-08-12 | Notes on $K^{\infty}
[arXiv] 2026-08-12 | Fast eight-order Pade schemes based on Chebyshev polynomials for direct Zakharov-Shabat problem
[arXiv] 2026-08-12 | Testing Deep Learning Library APIs via Cross-Framework Differential Fuzzing
[arXiv] 2026-08-12 | Chemical Tracers for 3D Atmospheric Asymmetries on WASP-69 b
[arXiv] 2026-08-12 | Power Stability of Finitely Generated Dynamical Frames for Positive Operators
[arXiv] 2026-08-12 | DCM Bandits: Multiplayer Information Asymmetric Cascading Bandits for Multiple Clicks
[arXiv] 2026-08-12 | Equalities among simplest quartic fields: a complete classification
[arXiv] 2026-08-12 | Effect of Weak Non-Conservative Dynamics on Pattern Formation in Scalar Active Matter
[arXiv] 2026-08-12 | On Arithmetic Cordial Labeling of Product Graphs
[arXiv] 2026-08-12 | Enabling Differentiated QoS Degradation for Replicated Databases under Failures
[arXiv] 2026-08-12 | Inferring Empirical Sound Resource Bounds via Symbolic Execution and Linear Programming (Extended Version)
[arXiv] 2026-08-12 | Optically Tunable Threshold Switching and Thermally Activated Transport in Planar Ag/MAPbI$_3$ Thin Single-Crystal Devices
[arXiv] 2026-08-12 | Vishveshwara's waveform revisited: insights from a Keldysh quasinormal mode expansion
[arXiv] 2026-08-12 | Quantum Inequalities from the Second Law
[arXiv] 2026-08-12 | How China-Origin Vision-Language Models Move from Refusal to Reframing in State Alignment
[arXiv] 2026-08-12 | Continuous-variable state moments from randomized homodyne and heterodyne measurements
[arXiv] 2026-08-12 | A Proof of Gluck's Conjecture
[arXiv] 2026-08-12 | Keep the Future, Drop the Rollout: RIFT for World Action Models
[arXiv] 2026-08-12 | Trapping Sets of Detector Error Models
[arXiv] 2026-08-12 | Through Van Gogh's Eyes: Global Style Transfer with Diffusion Mod
[arXiv] 2026-08-12 | A solution to Butler's positivity conjecture
[arXiv] 2026-08-12 | Player Perceptions of Generative AI in Games: A Steam Review Analysis
[arXiv] 2026-08-12 | Temporal Coupled-Mode Theory for Quantum-Confined Stark Tuning of Intersubband-Polaritonic Metasurfaces
[arXiv] 2026-08-12 | Testing the EPYC Conjecture on Real Hardware: MoA-Guided Dense Matrix Multiplication on NCSA Delta (AMD EPYC 7763 Milan)
[arXiv] 2026-08-12 | Relativistic Dirac-Coulomb-Breit Four-Component Multireference Perturbation Theory within the Small Tensor Product Distributed Active Space Framework
[arXiv] 2026-08-12 | Group Alignment-Induced Sycophancy: A Two-Sided Evaluation of Steerable Pluralistic Alignment
[arXiv] 2026-08-12 | One Frozen Simulator Is Not Enough: Simulator Collapse in Multi-Agent RL
[arXiv] 2026-08-12 | Regime-Gated Residual Mixture-of-Experts for Cross-Sectional Volatility Forecasting
[arXiv] 2026-08-12 | Isospectral majorization and isoperimetric inequalities for coherent states on the Bloch sphere
[arXiv] 2026-08-12 | A sharp bound on spacetime distance from quantum entanglement
[arXiv] 2026-08-12 | Random close packing at extreme size ratios with an Adam-based inflation protocol
[arXiv] 2026-08-12 | Apnea Burden-Guided Framework: Enhancing Out-of-Distribution Generalization in PPG-Based Sleep Apnea Characterization
[arXiv] 2026-08-12 | Lossy Compression, Realism, and Coordination
[arXiv] 2026-08-12 | Electron transport in a 1.6~nm-thick double-gated (100) silicon nanosheet: A theoretical study accounting for phonon confinement and remote-phonon scattering
[arXiv] 2026-08-12 | A Sharp Four-Layer Theorem for Integer-Occupied Slices of a Planar Disk-Slab
[arXiv] 2026-08-12 | A 2D Hydrothermodynamic Analytical Model for Rapid Tumor Ablation using High-Intensity Focused Ultrasound
[arXiv] 2026-08-12 | K3 atoms of the cubic fourfold and the BPS structure of the Painlevé I determinant line
[arXiv] 2026-08-12 | Making Collaborative Signals Count: Graph-Aware Large Language Models for Sequential Recommendation
[arXiv] 2026-08-12 | The $D^*D^*π$ and $B^*B^*π$ couplings from light-cone sum rules
[arXiv] 2026-08-12 | Map-Det3D: Metric Feed-Forward 3D Reconstruction Prior for Multi-view 3D Object Detection from Streaming Inputs
[arXiv] 2026-08-12 | TGRHuman: Text-Guided Realistic 3D Human Generation via Diffusion Renderer
[arXiv] 2026-08-12 | Context Blindness in DPO: Mitigating Object Hallucination in MLLMs via Context-Calibrated Preference Optimization
[arXiv] 2026-08-12 | The Shape of the Vertical Action Distribution Locates the Scatterers that Heat the Galactic Disc
[arXiv] 2026-08-12 | Who Thinks Best Depends on How Long You Let Them: Budget-Dependent Rankings in LLM Evaluation
[arXiv] 2026-08-12 | Robustness over efficiency in climate coalitions: a bistable model and a map of architectures
[arXiv] 2026-08-12 | Why There is No Memory Burden in Holographic Space-time Models of Black Hole Formation and Evaporation
[arXiv] 2026-08-12 | Adversarial Resilience of Poisson-Process Submodular Maximization over Matroids: From Robust Offline Optimization to Full-Bandit Learning
[arXiv] 2026-08-12 | Sharp instability of planar isotropic--nematic interfaces in the Landau--de Gennes model
[arXiv] 2026-08-12 | Do LLMs Take Care of Their Own? Similarity Signals Can Induce Cooperation
[arXiv] 2026-08-12 | QV-PIC: Query-Aware Visual Position-Independent Caching for Efficient RAG Serving
[arXiv] 2026-08-12 | Quasi-real photons as a probe of exotic nuclei
