[2026-09-23 00:02:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-22
正在获取论文...
[ACM] 2026-9-22 | I/O-Cool: Using I/Os for Temperature Regulation When Training on the Edge
[IEEE] 2026-9-22 | Multi-Timescale Optimal Scheduling Strategy for Energy Storage Based on Dual-Signal of Carbon Intensity and Electricity Price
[IEEE] 2026-9-22 | Assessment of Dynamic Carbon Emission Factors in Power Grids Based on Source-Load Forecasting and Carbon Flow Calculation
[IEEE] 2026-9-22 | Incentive-Based Pricing of Multi-Energy Retailer's Integrated Demand Response with Individual Techno-Economic Contribution
[IEEE] 2026-9-22 | Detection and Characterization of Hydrogen-Induced Stepwise Cracks Using Multi-Plane Wave Imaging, Coherence Factor Fusion and Physics-Constrained Temporal Pair Tracking
[IEEE] 2026-9-22 | Acceptability of using assistant robots at emergency departments: results of a cross-sectional population-based survey
[IEEE] 2026-9-22 | Steady-State Operating and Loss Characteristics of Hydraulic Short-Circuit Operation in a Two-Unit Pumped-Storage System with a Common Penstock
[IEEE] 2026-9-22 | Copyright Page
[IEEE] 2026-9-22 | Privacy-Preserving Bearing-Based Distributed Localization for Multiagent Networks
[IEEE] 2026-9-22 | Region-Aware Convolutional Vision Transformer for Tuberculosis Detection from Chest X-Rays
[IEEE] 2026-9-22 | Ultra-Short-Term Wind Power Prediction via Adaptive Feature Enhancement and Attention-Assisted Hybrid Residual Network
[IEEE] 2026-9-22 | HQFL-DR: Hybrid Quantum-Federated Learning for Multi-Objective Demand Response in Decentralized Green Energy Communities
[IEEE] 2026-9-22 | Protecting Facial Biometrics from Malicious Generative Editing via Latent Optimization
[IEEE] 2026-9-22 | A Growth-Prior-Informed Forest Age Estimation Method Using Overlapping ICESat/GLAS and GEDI Footprints with Reduced Dependence on Field Calibration Data
[IEEE] 2026-9-22 | FedCardioNet: A Federated Deep Neural Network for Privacy-Preserving Heart Failure Risk Prediction
[IEEE] 2026-9-22 | ICSSIP 2025 Author Index
[IEEE] 2026-9-22 | Exploring the Muscle-Tendon Biomechanics and Load Mitigation of a Passive Shoulder Exoskeleton During Overhead Work_supp1-3735723.docx
[IEEE] 2026-9-22 | DC-to-DC Efficiency Maximization in Wireless Power Transfer with PA and Rectifier Nonlinearities via Semidefinite Relaxation
[IEEE] 2026-9-22 | AI-Enabled Intelligent Channel Modeling for UWB RFID in IoT
[IEEE] 2026-9-22 | Computation Caching and Reuse for Mobile CNN Optimization
[IEEE] 2026-9-22 | Performance Optimization of Mllm-Based 3D Spatial Perception Tasks Via Sam
[IEEE] 2026-9-22 | Computational Social Network Analysis of Political Participation and Educational Brokerage: An Empirical Study Based on CBDB
[IEEE] 2026-9-22 | Application Research on Intelligent Safety Supervision System for Power System Dispatching Based on Text Corpus
[IEEE] 2026-9-22 | MeshSeqGen: Zero-shot Mesh Animation based on a Large Video Generation Model_supp1-3735839.mp4
[IEEE] 2026-9-22 | A Copula-Based Approach for Power Consumption Uncertainty Modeling of Data Centers with Distributed PV
[IEEE] 2026-9-22 | Research on a Fast Retrieval Method Based on Multimodal Representation Learning with Improved Tree Structure
[IEEE] 2026-9-22 | Enhanced Transformer-Driven Probabilistic Inertia Forecasting for Renewable Power Systems
[IEEE] 2026-9-22 | Analysis and Design of Intermediate Coil Detuning for Enhanced Output Power in WPT Systems
[IEEE] 2026-9-22 | Natural Language-Driven Low-Voltage Distribution Network Topology Generation Using an Improved Artificial Bee Colony Algorithm
[IEEE] 2026-9-22 | Dynamic Energy Management in 5G and Beyond Wireless Networks Using Reinforcement Learning
[IEEE] 2026-9-22 | MeshSeqGen: Zero-shot Mesh Animation based on a Large Video Generation Model
[IEEE] 2026-9-22 | GRAD: Gated Recurrent Anomaly Detection for GPS Sensor Data in Autonomous Vehicles
[IEEE] 2026-9-22 | Research and Application of Industrial Equipment Full Life Cycle Management Platform Based on AI and Big Data Technology
[IEEE] 2026-9-22 | An Enhanced Sustainable Human Activity Recognition Using Convolutional Neural Networks
[IEEE] 2026-9-22 | SoK: Data Minimization in Machine Learning
[IEEE] 2026-9-22 | A Multi-Scenario Collaborative Scheduling Method for EV Charging Infrastructure Operation and Maintenance
[IEEE] 2026-9-22 | FedSpy-LLM: Towards Scalable and Generalizable Data Reconstruction Attacks from Gradients on LLMs
[IEEE] 2026-9-22 | Cost-Risk Coordinated Optimization for the Electricity Spot Market Based on Hourly Risk Exposure
[IEEE] 2026-9-22 | Grasp Pose Estimation for Transparent Test Tubes Using Rep-YOLOv8 and GRCNN
[IEEE] 2026-9-22 | Agentic Cybersecurity: Autonomous Threat Detection Defense Against Adversarial Metamorphic Malware Attacks
[ACM] 2026-9-22 | A Hybrid Classical/Quantum Algorithm to Estimate Network Violation Probabilities
[ACM] 2026-9-22 | The Power of Clouds: The Power Metric for Cloud Auto-Scaling Under Attack
[ACM] 2026-9-22 | Co-Simulation Errors Due to Step Size Changes
[ACM] 2026-9-22 | Joint Optimization of Offloading, Phase-Shift, Trajectory and Resource Allocation in Priority-Aware IRS-Assisted UAV-MEC Systems
[IEEE] 2026-9-22 | Multi-Objective Optimization of Regional Reactive Power Re-serve for AC/DC Hybrid Power System Considering Wind Power Scenarios
[IEEE] 2026-9-22 | SPAM-Net: Spectral Prior-Guided Attentive Mamba Network for Sparse-view Multi-energy CT Reconstruction
[IEEE] 2026-9-22 | WEIDJ: A Deep Visual Segmentation and DOM-JSON Framework for High-Recall Academic Web Content Extraction
[IEEE] 2026-9-22 | Bi-Level Optimal Control Strategy for V2G Electric Vehicle Aggregations Considering Nodal Voltage Regulation and Battery Degradation
[IEEE] 2026-9-22 | A Hybrid Modeling Learning Method for Lithium-Ion Battery Based on Fractional-Order and Gaussian Process Regression
[IEEE] 2026-9-22 | An Explainable and Efficient Ensemble Framework for Phishing Email Detection
[IEEE] 2026-9-22 | Exact Unlearning of Finetuning Data via Model Merging at Scale
[IEEE] 2026-9-22 | A Grid-Port Bilevel Game for Shore-Power Pricing with Port Alliances
[IEEE] 2026-9-22 | Comparative Evaluation of Data-Driven Models for Electricity-Gas Coupled Energy Flow Calculation
[IEEE] 2026-9-22 | Physics-Aware Latent Modeling for Unsupervised Anomaly Detection in VANETs
[IEEE] 2026-9-22 | IoT Intrusion Detection on Large Scale Network Data: From Classical ML and DL to Robust, Explainable and Deployable Benchmarking
[IEEE] 2026-9-22 | Component Failure Prediction for the SCANIA Component X Dataset
[IEEE] 2026-9-22 | Cross-Domain Generalization from Synthesized to Human-Imitated Speech Detection
[IEEE] 2026-9-22 | A Machine Learning Framework for Nutritional Health Risk Assessment of University Campus RTC Foods Incorporating Genetic Priors
[IEEE] 2026-9-22 | Rapid Flood Risk Prediction for Power Transmission and Distribution Facilities Based on a Multi-GPU Parallel 2D Hydrodynamic Model
[IEEE] 2026-9-22 | Performance Assessment of Indoor LEO-PNT Using Next-Generation VHF/UHF Services
[IEEE] 2026-9-22 | Physical Traceability of Multi-Source Green Electricity in Industrial Parks Based on Power Metering Automation System 3.0
[IEEE] 2026-9-22 | A Typical Boundary Scenario Generation Method for Renewable Energy Based on Forecast-Condition Partitioning and Boundary-Anchored K-Medoids
[IEEE] 2026-9-22 | A Robust High-Efficiency Class-E Power Oscillator for Inductive Power Transmission
[IEEE] 2026-9-22 | Lifecycle Aware Metadata Framework for Accelerating AI Data Center Rack Commissioning
[IEEE] 2026-9-22 | A Novel Attention-Based Hybrid Deep Learning Framework for Interpretable Subclass Identification in Paint Manufacturing
[IEEE] 2026-9-22 | Performance Analysis of UL Tx Switching, Carrier Aggregation and UL-MIMO in 5G NR Systems
[IEEE] 2026-9-22 | Transmission of the Galileo E6-C Encrypted Signal: Analysis of the Data Processing
[IEEE] 2026-9-22 | Motion-Aided Pose Estimation for Visible Light Positioning With Sparse LEDs
[IEEE] 2026-9-22 | Classification of Artificial Turf Stiffness using Heel-mounted Inertial Sensors and Pressure Sensing Insoles
[IEEE] 2026-9-22 | Hierarchical Hybrid PSO-GA NAS: Automated U-Net Design for Retinal Vessel Segmentation
[IEEE] 2026-9-22 | Research on Calculation Method of Flow Balance and Distribution in Canal System
[IEEE] 2026-9-22 | Intelligent Near-RT RIC xAPP for 5G O-RAN Small Cells: Energy-Efficient PRB Optimization with E2 Control
[IEEE] 2026-9-22 | Author Index
[IEEE] 2026-9-22 | Inference Tasks in Intelligent Computing Centers Modeling and Migration Method for Flexible Regulation
[IEEE] 2026-9-22 | NW-EHA: A Misalignment-Tolerant Neck-Worn Electromagnetic Halbach Array Structure for Charging Implantable Devices
[IEEE] 2026-9-22 | Road to Quantifying the Impact of Asphalt on Resonant Capacitive Power Transfer Systems
[IEEE] 2026-9-22 | Structure-Preserving Grayscale Preprocessing for Generalizable Deepfake Detection
[IEEE] 2026-9-22 | Uniaxial 3D Shape Measurement with Optotune Electronically Focus-tunable Lens
[IEEE] 2026-9-22 | Risk Identification Method for Multiple Coupled Failures of New Energy Power Grid Based on Deep Time Series Neural Network
[IEEE] 2026-9-22 | A Matrix-Based Method for Counting Modern Tibetan Syllabic Characters
[IEEE] 2026-9-22 | SoK: Enhancing Cryptographic Collaborative Learning with Differential Privacy
[IEEE] 2026-9-22 | TD3-Based Logistics Distribution and Charge-Discharge Strategies for eVTOL Aircraft Under Time-Varying Electricity Prices
[IEEE] 2026-9-22 | Vision-Based Automated Operational Inspection for Wind Energy Systems
[IEEE] 2026-9-22 | A Short-Term Power Prediction Method for Distributed Photovoltaic Based on Grid Feature Extraction
[IEEE] 2026-9-22 | DRL-Powered OpenCAPWAP for Self-Healing SDWN Coverage
[IEEE] 2026-9-22 | Analyzing the Impact of Magnetic Energy Harvesters on Power Quality in Underground Cable System
[IEEE] 2026-9-22 | A Wireless Passive LC Flexible Strain Sensor Utilizing a Curved-Beam Interdigital Capacitor
[IEEE] 2026-9-22 | Targeted Current Conditioning for Transmission-Level Vacuum Interrupters
[IEEE] 2026-9-22 | Reduced-Order Multi-Physics Modeling and Active Power Derating for Preventing Voltage Collapse Under Constant-Power Loads
[IEEE] 2026-9-22 | DeepLeak: Privacy Enhancing Hardening of Model Explanations Against Membership Leakage
[IEEE] 2026-9-22 | Temperature-Resilient Flexible WS/NbO-based Memristor with Ultra-low Operating Voltages and Multilevel Switching for Neuromorphic Applications_supp1-3735989.docx
[IEEE] 2026-9-22 | Study on the Cyclic Aging Characteristics of Lithium-Ion Battery Under Vibration Condition
[IEEE] 2026-9-22 | Effect of Cyclic Annealing on Electrical Tree Inception Voltage of XLPE at Different Temperatures
[IEEE] 2026-9-22 | Time-Dependent Behavioral Model of TVS Devices and Its Application in ESD-Induced Soft Failure Analysis of an IC Port
[IEEE] 2026-9-22 | Research and Development of Slot Array Antenna with Variable Waveguide Width for Beamforming
[IEEE] 2026-9-22 | An Adaptive Hybrid Low-Power BIST Architecture Using LFSR and Gray Code for Efficient Switching Reduction
[IEEE] 2026-9-22 | Beyond Tilt: Albedo as the Critical Design Lever for Tropical Bifacial Photovoltaic Systems
[IEEE] 2026-9-22 | Sparse-Candidate Computation of the TGOSPA Metric for Visual Multi-Object Tracking Evaluation
[IEEE] 2026-9-22 | Dual-Luneburg Lens for Quasi-Bessel Beam Generation for MmWave Wireless Power Transfer
[IEEE] 2026-9-22 | Measurement-Driven Uncertainty-Aware Visual–LiDAR–Inertial SLAM for UAV Navigation in Degraded Environments
[IEEE] 2026-9-22 | A Data-Driven Analysis of Programming Language Adoption Using Adoption Pressure and Forecasting Models
[IEEE] 2026-9-22 | Deep Reinforcement Learning Based Low-Carbon Optimal Scheduling for Integrated Energy Systems
[IEEE] 2026-9-22 | Membership Inference Attacks for Retrieval Based In-Context Learning for Document Question Answering
[IEEE] 2026-9-22 | A Semantic-Aware Single-Ended Protection Strategy Based on SNN
[IEEE] 2026-9-22 | Dynamic Shear Mapping Prescribed Performance Control for Multi-PMSM Speed Synchronization
[IEEE] 2026-9-22 | Interpretable Ensemble Learning Framework for Predictive Maintenance with Causal and Counterfactual Insights
[IEEE] 2026-9-22 | Multi-physics Study on the Thermal Response of a Coupled Inductive Power Transfer Pad
[IEEE] 2026-9-22 | Grouped Multi-Agent Deep Reinforcement Learning for Cooperative Charging and Discharging Scheduling in Large-Scale Battery Swapping Stations
[IEEE] 2026-9-22 | Research on Fault-Tolerant Performance of Modular Winding In-Wheel Motor Under Inter-Turn Shortcircuit Fault
[IEEE] 2026-9-22 | Coordinated Scheduling and Energy Storage Planning for Grid-AIDC Systems Considering Heterogeneous Tasks
[IEEE] 2026-9-22 | Novel MTPA and Field-Weakening Control Algorithm Based on Active Flux for Permanent Magnet Synchronous Motor Drives
[IEEE] 2026-9-22 | Analytical Investigation of a Modular-Multilevel Inverter for Inductive Charging and Comparison with a Conventional Single Inverter Topology
[IEEE] 2026-9-22 | Copyright Page
[IEEE] 2026-9-22 | Estimation of Mutual Inductance and Transmitter-Side Voltage Based on Receiver-Side Non-Resonant Frequency for PWM-Controlled Wireless Power Transfer
[IEEE] 2026-9-22 | Making Large Vision Language Models Better Few-Shot Learners
[IEEE] 2026-9-22 | A Terrain- and SNR-Aware Framework for UAV-FSO Backbone Deployment in Post-Disaster Networks: AeroFSO-Deploy
[IEEE] 2026-9-22 | Deep Peak Shaving Technology and Scheme Analysis of Heating Unit in Thermal Power Plant
[IEEE] 2026-9-22 | Multi-Dimensional Risk Assessment of Coupled Disruptions in Power and Transportation Systems Under Extreme Weather Conditions
[IEEE] 2026-9-22 | Re-detection UAV target tracking algorithm based on twin network
[IEEE] 2026-9-22 | Benchmarking GNSS-SDR on RISC-V: Hardware Acceleration, Channel Processing, and OSNMA/HAS Workloads
[IEEE] 2026-9-22 | Dynamic Vehicle Selection and Bandwidth Allocation for Federated Learning with Long-Term Latency Constraint in Vehicular Networks
[IEEE] 2026-9-22 | EyeNet: Automated Eye Disease Detection Using Deep Learning
[IEEE] 2026-9-22 | Motion-Aided Pose Estimation for Visible Light Positioning With Sparse LEDs_supp1-3735352.pdf
[ACM] 2026-9-22 | Special Issue on The Workshop on MAthematical performance Modeling and Analysis (MAMA 2026)
[ACM] 2026-9-22 | UI2Case: A Multi-Agent Framework for Test Case Generation from UI Designs via Multimodal Large Language Models
[ACM] 2026-9-22 | FAESRec: Frequency Adaptive Encoder for Sequential Recommendation
[ACM] 2026-9-22 | TemplateGBM: Learning Gradient Boosting Decision Trees with Predefined Structures
[ACM] 2026-9-22 | DASched: Dependency-Aware Scheduling for Multi-Stage Pipelines under Shared GPU Resources
[ACM] 2026-9-22 | Energy Efficiency in Actor Systems: A Comparative Study of Akka and Elixir
[ACM] 2026-9-22 | Towards A System Model for DNA-based Storage
[IEEE] 2026-9-22 | Degradation Mechanisms of Lithium-Ion Batteries Under Wide-Frequency Grid Fluctuation Conditions
[IEEE] 2026-9-22 | An Attention-Enhanced U-Net Model for Histopathology Image Segmentation
[IEEE] 2026-9-22 | Integrating Ecological Modeling and Machine Learning for Ecosystem Service Bundling in Mountain Urban Regions
[IEEE] 2026-9-22 | Maximum Power Point Tracking in Photovoltaic Systems Under Partial Shading Conditions Based on an Improved Salp Swarm Algorithm
[IEEE] 2026-9-22 | Optimization of Hardware Structure and Performance Testing for Multi-Source Environmental Energy Acquisition in Power Perception Terminals
[IEEE] 2026-9-22 | LASER4Doc: A Layout-Adaptive Structured Extraction and Reconstruction Framework for Industrial PDF Documents
[IEEE] 2026-9-22 | ICSSIP 2025 Contributor Page
[IEEE] 2026-9-22 | Transport Mechanisms of SF
                    <sub>6</sub>
                    Decomposition Products and Sensor Placement Optimization in GIS
[IEEE] 2026-9-22 | Power Quality Disturbance Classification Based on Conv1D-DAE and Multi-View Image Encoding with CNN
[IEEE] 2026-9-22 | HorizonUNet: A Structure-Aware Spatiotemporal Mamba Architecture for Extreme Precipitation Nowcasting
[IEEE] 2026-9-22 | ICSSIP 2025 Cover Page
[IEEE] 2026-9-22 | ICSSIP 2025 TOC
[IEEE] 2026-9-22 | A Fully Underground Wireless Powered Communication Network Using Long-Range Through-the-Soil Wireless Power
[IEEE] 2026-9-22 | Proposal of Synchronous Rectification Method Using Only DC Current Values Based on Three-Phase Assumption for Reducing Leakage Magnetic Fields in Dynamic Wireless Power Transfer
