[2026-02-18 09:33:59] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-17
正在获取论文...
[arXiv] 2026-02-17 | A Content-Based Framework for Cybersecurity Refusal Decisions in Large Language Models
[arXiv] 2026-02-17 | TARZAN: A Region-Based Library for Forward and Backward Reachability of Timed Automata (Extended Version)
[arXiv] 2026-02-17 | Temperature-dependent photoionization thresholds of alkali-metal nanoparticles reveal thermal expansion and the melting transition
[arXiv] 2026-02-17 | From Earthquake Solidarity to Educational Equity: Conceptualizing a Sustainable, Volunteer-Driven P2P Learning Ecosystem at Scale
[arXiv] 2026-02-17 | Optimal conditions for detecting optical dichroism at the nanoscale by electron energy-loss spectroscopy
[arXiv] 2026-02-17 | Lyapunov-Based $\mathcal{L}_2$-Stable PI-Like Control of a Four-Wheel Independently Driven and Steered Robot
[arXiv] 2026-02-17 | Non-Markovian environment induced chaos in optomechanical system
[arXiv] 2026-02-17 | Total variation regularization with reduced basis in electrical impedance tomography
[arXiv] 2026-02-17 | A Regularized Framework and Admissible Solutions for Liquid-Vapor Phase Transitions in Steady Compressible Flows
[arXiv] 2026-02-17 | Space-filling lattice designs for computer experiments
[arXiv] 2026-02-17 | Iterative LLM-Based Assertion Generation Using Syntax-Semantic Representations for Functional Coverage-Guided Verification
[arXiv] 2026-02-17 | From Chain-Ladder to Individual Claims Reserving
[arXiv] 2026-02-17 | World-Model-Augmented Web Agents with Action Correction
[arXiv] 2026-02-17 | Bridging Day and Night: Target-Class Hallucination Suppression in Unpaired Image Translation
[arXiv] 2026-02-17 | Making Large Language Models Speak Tulu: Structured Prompting for an Extremely Low-Resource Language
[arXiv] 2026-02-17 | Orchestration-Free Customer Service Automation: A Privacy-Preserving and Flowchart-Guided Framework
[arXiv] 2026-02-17 | Joint Modeling of Longitudinal EHR Data with Shared Random Effects for Informative Visiting and Observation Processes
[arXiv] 2026-02-17 | Data Informativeness in Linear Optimization under Uncertainty
[arXiv] 2026-02-17 | Intrinsic low-spin state and strain-tunable anomalous Hall scaling in high-quality SrRuO3 (111) films
[arXiv] 2026-02-17 | Crane: An Accurate and Scalable Neural Sketch for Graph Stream Summarization
[arXiv] 2026-02-17 | Symmetry shifting for monoidal bicategories
[arXiv] 2026-02-17 | DAV-GSWT: Diffusion-Active-View Sampling for Data-Efficient Gaussian Splatting Wang Tiles
[arXiv] 2026-02-17 | A Comparison of Bayesian Prediction Techniques for Mobile Robot Trajectory Tracking
[arXiv] 2026-02-17 | Feasibility-aware Imitation Learning from Observation with Multimodal Feedback
[arXiv] 2026-02-17 | Benchmarking Self-Supervised Models for Cardiac Ultrasound View Classification
[arXiv] 2026-02-17 | Human-AI Interaction: Evaluating LLM Reasoning on Digital Logic Circuit included Graph Problems, in terms of creativity in design and analysis
[arXiv] 2026-02-17 | Corrected-Inverse-Gaussian First-Hitting-Time Modeling for Molecular Communication Under Time-Varying Drift
[arXiv] 2026-02-17 | Noncooperative Coordination for Decentralized Air Traffic Management
[arXiv] 2026-02-17 | Higher-twist effect in inclusive electron-positron annihilation
[arXiv] 2026-02-17 | Point Count of the Top-dimensional Open Positroid Variety
[arXiv] 2026-02-17 | Mnemis: Dual-Route Retrieval on Hierarchical Graphs for Long-Term LLM Memory
[arXiv] 2026-02-17 | OSCAR: An Ovipositor-Inspired Self-Propelling Capsule Robot for Colonoscopy
[arXiv] 2026-02-17 | Bayes Risk for Goodness of Fit Tests
[arXiv] 2026-02-17 | Highly correlated electronic bounding and spin effect: confirmation of an autodetaching state of O$^-$
[arXiv] 2026-02-17 | Complex-Valued Unitary Representations as Classification Heads for Improved Uncertainty Quantification in Deep Neural Networks
[arXiv] 2026-02-17 | High-Fidelity Network Management for Federated AI-as-a-Service: Cross-Domain Orchestration
[arXiv] 2026-02-17 | Supporting Multimodal Data Interaction on Refreshable Tactile Displays: An Architecture to Combine Touch and Conversational AI
[arXiv] 2026-02-17 | Far Out: Evaluating Language Models on Slang in Australian and Indian English
[arXiv] 2026-02-17 | The Obfuscation Atlas: Mapping Where Honesty Emerges in RLVR with Deception Probes
[arXiv] 2026-02-17 | Szemerédi's Theorem Along Cantor Sets of Integers
[arXiv] 2026-02-17 | Natural Privacy Filters Are Not Always Free: A Characterization of Free Natural Filters
[arXiv] 2026-02-17 | High-rate Scalable Entanglement Swapping Between Remote Entanglement Sources on Deployed New York City Fibers
[arXiv] 2026-02-17 | On the long time behavior of ancient homogeneous Ricci flows
[arXiv] 2026-02-17 | Approximation Theory for Lipschitz Continuous Transformers
[arXiv] 2026-02-17 | Quantum Coulomb Liquids of Different Rank in the Breathing Pyrochlore Antiferromagnet
[arXiv] 2026-02-17 | Tight Communication Bounds for Distributed Algorithms in the Quantum Routing Model
[arXiv] 2026-02-17 | Tensor Decomposition for Non-Clifford Gate Minimization
[arXiv] 2026-02-17 | Non-Stationary Covariance Functions for Spatial Data on Linear Networks
[arXiv] 2026-02-17 | On Surprising Effectiveness of Masking Updates in Adaptive Optimizers
[arXiv] 2026-02-17 | The Roper Resonance: Still Controversial 60 Years Later
[arXiv] 2026-02-17 | Sparrow: Text-Anchored Window Attention with Visual-Semantic Glimpsing for Speculative Decoding in Video LLMs
[arXiv] 2026-02-17 | Extracting Consumer Insight from Text: A Large Language Model Approach to Emotion and Evaluation Measurement
[arXiv] 2026-02-17 | General Chen's First Inequalities for Riemannian Submersions and Their Applications
[arXiv] 2026-02-17 | Carleman Inequalities for the Heat Equation with Fourier Boundary Conditions: Applications to Null Controllability Problems
[arXiv] 2026-02-17 | X-MAP: eXplainable Misclassification Analysis and Profiling for Spam and Phishing Detection
[arXiv] 2026-02-17 | Update to the U.S. National Input to the European Strategy Update for Particle Physics
[arXiv] 2026-02-17 | Structural grouping of extreme value models via graph fused lasso
[arXiv] 2026-02-17 | AI-Paging: Lease-Based Execution Anchoring for Network-Exposed AI-as-a-Service
[arXiv] 2026-02-17 | Dynamics of perturbed elliptical billiard tables
[arXiv] 2026-02-17 | Enhancing Diversity and Feasibility: Joint Population Synthesis from Multi-source Data Using Generative Models
[arXiv] 2026-02-17 | Dex4D: Task-Agnostic Point Track Policy for Sim-to-Real Dexterous Manipulation
[arXiv] 2026-02-17 | Computation and Size of Interpolants for Hybrid Modal Logics
[arXiv] 2026-02-17 | VideoSketcher: Video Models Prior Enable Versatile Sequential Sketch Generation
[arXiv] 2026-02-17 | Effective energy-enstrophy diffusion process and condensation bound
[arXiv] 2026-02-17 | Measurement-Based Validation of Geometry-Driven RIS Beam Steering in Industrial Environments
[arXiv] 2026-02-17 | Inviscid limit and an effective energy-enstrophy diffusion process
[arXiv] 2026-02-17 | General Casorati Inequality for Riemannian Submersions Involving Horizontal and Vertical Casorati Curvatures and Applications
[arXiv] 2026-02-17 | On the triple product property for subgroups of finite nilpotent groups of class $2$
[arXiv] 2026-02-17 | Enhancing Building Semantics Preservation in AI Model Training with Large Language Model Encodings
[arXiv] 2026-02-17 | Steady state coherence in a qubit is incompatible with a quantum map
[arXiv] 2026-02-17 | Stability in Distance Preservation Games on Graphs
[arXiv] 2026-02-17 | Neural Scaling Laws for Boosted Jet Tagging
[arXiv] 2026-02-17 | TAC: Timestamped Audio Captioning
[arXiv] 2026-02-17 | Development of an accurate formalism to predict properties of two-neutron halo nuclei: case study of $^{22}$C
[arXiv] 2026-02-17 | Polarization-resolved measurement of forward volume spin waves by micro-focused Brillouin light scattering
[arXiv] 2026-02-17 | Beyond Match Maximization and Fairness: Retention-Optimized Two-Sided Matching
[arXiv] 2026-02-17 | Enabling Low-Latency Machine learning on Radiation-Hard FPGAs with hls4ml
[arXiv] 2026-02-17 | UrbanVerse: Learning Urban Region Representation Across Cities and Tasks
[arXiv] 2026-02-17 | A Generative-First Neural Audio Autoencoder
[arXiv] 2026-02-17 | How to Train a Shallow Ensemble
[arXiv] 2026-02-17 | Impact of rotation on the amplitude of acoustic modes in solar-like stars: Insights from hydrodynamical simulations
[arXiv] 2026-02-17 | MeshMimic: Geometry-Aware Humanoid Motion Learning through 3D Scene Reconstruction
[arXiv] 2026-02-17 | Minimal Projective Resolutions, Möbius Inversion, and Bottleneck Stability
[arXiv] 2026-02-17 | Recursive Concept Evolution for Compositional Reasoning in Large Language Models
[arXiv] 2026-02-17 | Asymptotics and zero distribution of geometric polynomials
[arXiv] 2026-02-17 | Fine regularity of fractional harmonic maps and applications
[arXiv] 2026-02-17 | On the minimum modulus of dual truncated Toeplitz operators
[arXiv] 2026-02-17 | All roads lead to Rome: Path-following Augmented Lagrangian Methods via Bregman Proximal Regularization
[arXiv] 2026-02-17 | On the depth of depth-weighted trees
[arXiv] 2026-02-17 | Proactive Conversational Assistant for a Procedural Manual Task based on Audio and IMU
[arXiv] 2026-02-17 | Nef divisors of surfaces given by pencils at infinity
[arXiv] 2026-02-17 | A Weighted-to-Unweighted Reduction for Matroid Intersection
[arXiv] 2026-02-17 | Income Inequality and Economic Growth: A Meta-Analytic Approach
[arXiv] 2026-02-17 | Safe hypotheses testing with application to order restricted inference
[arXiv] 2026-02-17 | LLM-to-Speech: A Synthetic Data Pipeline for Training Dialectal Text-to-Speech Models
[arXiv] 2026-02-17 | Revisiting Backdoor Threat in Federated Instruction Tuning from a Signal Aggregation Perspective
[arXiv] 2026-02-17 | State-selected preparation of molecular ions for precision measurements in radio-frequency traps
[arXiv] 2026-02-17 | On the Robin problem for the Laplace equation in multiply connected domains
[arXiv] 2026-02-17 | Who Is Doing the Thinking? AI as a Dynamic Cognitive Partner: A Learner-Informed Framework
[arXiv] 2026-02-17 | On certain subspaces of $2$-configuration spaces of graphs
[arXiv] 2026-02-17 | Relativistic nuclear recoil effects in hyperfine splitting of hydrogenic systems
[arXiv] 2026-02-17 | Ambipolar doping-induced surface in-gap state on Mott-insulating Ca$_2$RuO$_4$
[arXiv] 2026-02-17 | Periodic orbits and gravitational waveforms of spinning particles in nonlocal Gravity
[arXiv] 2026-02-17 | Grip as Needed, Glide on Demand: Ultrasonic Lubrication for Robotic Locomotion
[arXiv] 2026-02-17 | Neel temperature and helical spin order of altermagnetic RuO2
[arXiv] 2026-02-17 | The geometry of online conversations and the causal antecedents of conflictual discourse
[arXiv] 2026-02-17 | Engineering interactions shape in resonantly driven bosonic gas
[arXiv] 2026-02-17 | Confidence as Forecast: A Decision-Theoretic Interpretation of Confidence Intervals
[arXiv] 2026-02-17 | Semisimplifying Frank Lie algebras
[arXiv] 2026-02-17 | Simultaneous Ordinal Maximin Share and Envy-Based Guarantees
[arXiv] 2026-02-17 | Beyond Static Pipelines: Learning Dynamic Workflows for Text-to-SQL
[arXiv] 2026-02-17 | jina-embeddings-v5-text: Task-Targeted Embedding Distillation
[arXiv] 2026-02-17 | Waveform Design for ISAC System: A Consensus ADMM Approach
[arXiv] 2026-02-17 | Perspectives - Interactive Document Clustering in the Discourse Analysis Tool Suite
[arXiv] 2026-02-17 | ZeroSyl: Simple Zero-Resource Syllable Tokenization for Spoken Language Modeling
[arXiv] 2026-02-17 | Novel distance-based masking and adaptive alpha-shape methods for CNN-ready reconstruction of arbitrary 2D CFD flow domains
[arXiv] 2026-02-17 | The role of VSG parameters in shaping small-signal SG dynamics
[arXiv] 2026-02-17 | Mazur-Ulam Theorem With Gromov-Hausdorff Distance
[arXiv] 2026-02-17 | Universality of the Hall conductivity for a weakly interacting magnetic fermionic gas in the Hartree-Fock approximation
[arXiv] 2026-02-17 | Semantic-Guided 3D Gaussian Splatting for Transient Object Removal
[arXiv] 2026-02-17 | Generating Theorems by Generating Proof Structures
[arXiv] 2026-02-17 | MMPersistence: A mathematical morphology-oriented software library for computing persistent homology on cubical complexes
[arXiv] 2026-02-17 | Confidence Distributions for FIC scores
[arXiv] 2026-02-17 | LEADER: Lightweight End-to-End Attention-Gated Dual Autoencoder for Robust Minutiae Extraction
[arXiv] 2026-02-17 | Meekly SC*-Normal Spaces in Topological Spaces
[arXiv] 2026-02-17 | A Degenerate Elliptic System Solvable by Transport: A Cautionary Example
[arXiv] 2026-02-17 | Quantum Computing for Healthcare Digital Twin Systems
[arXiv] 2026-02-17 | On the Out-of-Distribution Generalization of Reasoning in Multimodal LLMs for Simple Visual Planning Tasks
[arXiv] 2026-02-17 | Impact of front-end parameters of the ARCADIA MD3 on charged particle detection
[arXiv] 2026-02-17 | Cosmological Averaging in Nonminimally Coupled Gravity
[arXiv] 2026-02-17 | Resonant inelastic x-ray scattering in layered trimer iridate Ba4Ir3 O10 : the density functional approach
[arXiv] 2026-02-17 | Tropical linearization and stability analysis of discrete dynamical systems
[arXiv] 2026-02-17 | Isotope effect in the work function of lithium
[arXiv] 2026-02-17 | Non-Markovian environment induced Schrödinger cat state transfer in an optical Newton's cradle
[arXiv] 2026-02-17 | Deep description of static and dynamic network ties in Honduran villages
[arXiv] 2026-02-17 | Generalized bilinear Koopman realization from input-output data for multi-step prediction with metaheuristic optimization of lifting function and its application to real-world industrial system
[arXiv] 2026-02-17 | Conservativeness of time changed processes and Liouville property for Schrödinger operators
[arXiv] 2026-02-17 | Quantum Pontus--Mpemba Effect in Dissipative Quasiperiodic Chains
[arXiv] 2026-02-17 | Common Belief Revisited
[arXiv] 2026-02-17 | ActionCodec: What Makes for Good Action Tokenizers
[arXiv] 2026-02-17 | Doubly Stochastic Mean-Shift Clustering
[arXiv] 2026-02-17 | Giant atoms coupled to waveguide: Continuous coupling and multiple excitations
[arXiv] 2026-02-17 | Potassium influence on Earth's mantle convection and Borexino data
[arXiv] 2026-02-17 | The Vision Wormhole: Latent-Space Communication in Heterogeneous Multi-Agent Systems
[arXiv] 2026-02-17 | A Geometric Approach to Feedback Stabilization of Nonlinear Systems with Drift
[arXiv] 2026-02-17 | CDRL: A Reinforcement Learning Framework Inspired by Cerebellar Circuits and Dendritic Computational Strategies
[arXiv] 2026-02-17 | Fluoroscopy-Constrained Magnetic Robot Control via Zernike-Based Field Modeling and Nonlinear MPC
[arXiv] 2026-02-17 | Co-Design and Evaluation of a CPU-Free MPI GPU Communication Abstraction and Implementation
[arXiv] 2026-02-17 | Transition radiation in helical metamaterials with strong spatial dispersion
[arXiv] 2026-02-17 | SACS: A Code Smell Dataset using Semi-automatic Generation Approach
[arXiv] 2026-02-17 | A brief review of high-entropy oxides in solid oxide fuel cell applications
[arXiv] 2026-02-17 | Discovering Implicit Large Language Model Alignment Objectives
[arXiv] 2026-02-17 | Universal electrical transport of composite Fermi liquid to Metal transition in Moiré systems
[arXiv] 2026-02-17 | Physics-informed data-driven inference of an interpretable equivariant LES model of incompressible fluid turbulence
[arXiv] 2026-02-17 | GPS constellation search for exotic physics messengers coincident with the binary neutron star merger GW170817
