[2026-07-21 22:56:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-20
正在获取论文...
[arXiv] 2026-07-20 | On the Impact of Stability and the Helly Property on the Dominating Set Problem
[arXiv] 2026-07-20 | Comparing Missing Data Methods for Estimating Average Treatment Effects Under Time-Varying Confounding: A Simulation Study
[arXiv] 2026-07-20 | Measuring Monosemanticity in Sparse Autoencoders via Latent Activation Coherence
[arXiv] 2026-07-20 | When to Use Extra Context: Evidence-Grounded Terminology Adaptation for Simultaneous Speech Translation
[arXiv] 2026-07-20 | Time-Frequency Consistency Learning for Robust Speech Deepfake Detection
[arXiv] 2026-07-20 | Seg2Grasp: A Robust Modular Suction Grasping in Bin Picking
[arXiv] 2026-07-20 | DA-Fusion: Deformable Attention-Based RGB-D Fusion Transformer for Unseen Object Instance Segmentation
[arXiv] 2026-07-20 | Far-Infrared Star Formation Rates of Quasar Host Galaxies from Multiwavelength Spectral Energy Distribution Decomposition
[arXiv] 2026-07-20 | WuYu-EnvLE-Bench: A Benchmark for Evaluating Large Language Models in Environmental Law Enforcement
[arXiv] 2026-07-20 | Feedback-mediated circulation and persistence of stochastic fluctuations in gene regulatory circuits
[arXiv] 2026-07-20 | Generative Transmission: Rethinking Computation, Bandwidth, and Memory in Communication
[arXiv] 2026-07-20 | Identification and Inference with Machine-Learned Instruments
[arXiv] 2026-07-20 | RAMP: Robust Ad Recommendation Under Limited Personalized-Feature Availability via Masking and Alignment Pathways
[arXiv] 2026-07-20 | The deformed Vortex equations and equivariant stability conditions
[arXiv] 2026-07-20 | Super-resolution imaging enabled by higher-order Bessel Gaussian beams in nanoscale optical structures
[arXiv] 2026-07-20 | Rapidity-even Dipolar Flow in Relativistic Heavy-Ion Collisions
[arXiv] 2026-07-20 | Optically Thick Outflow Driven by Supercritical Accretion May Explain Little Red Dots
[arXiv] 2026-07-20 | Calibrating Semantic Uncertainty from Observable Language-Model Probabilities
[arXiv] 2026-07-20 | Small growth rates of free groups
[arXiv] 2026-07-20 | Calibrated Alzheimer's Conversion Risk in Mild Cognitive Impairment: Persistent Homology of Clinical Trajectories with Conformal Guarantees
[arXiv] 2026-07-20 | Sharp Asymptotics for Regularized Optimal Transport
[arXiv] 2026-07-20 | LLM-as-a-Coach: Experiential Learning for Non-Verifiable Tasks
[arXiv] 2026-07-20 | Fine-Detail Monocular Geometry Estimation with Self-Guided Sparse Volumetric Refinement
[arXiv] 2026-07-20 | Causal Discovery on Irregular Time Series
[arXiv] 2026-07-20 | Online Scheduling with a Stochastic Signal
[arXiv] 2026-07-20 | Rigidity for capillary liquid drops of nearly circular section with constant vorticity
[arXiv] 2026-07-20 | Non-vanishing uniqueness threshold for hyperbolic Poisson-Voronoi percolation in dimension at least three
[arXiv] 2026-07-20 | Hardy spaces of discrete holomorphic functions on the upper half-lattice
[arXiv] 2026-07-20 | Integrating High-Level Requirements to Low-Level Tests with Machine-Readable V&V Specifications
[arXiv] 2026-07-20 | A Hardware-oriented Approach for Efficient Bayesian Inference Computation and Deployment
[arXiv] 2026-07-20 | Depth Determination of Individual Shallow NV-Centers via Spin-Lock NMR
[arXiv] 2026-07-20 | Macroscopic Multistability and Bifurcations in Theta-Neuron Networks with Distributed Delays
[arXiv] 2026-07-20 | Enhanced Dynamic Beamwidth Selection-based THz MAC Protocol for Wireless Data Center Networks
[arXiv] 2026-07-20 | Isolation Failure From Shared Storage: Characterizing and Exploiting Page-Cache SCA Leakage Across Containers and VMs
[arXiv] 2026-07-20 | Token-Level Off-Policy Learning for Faithful Generation Under Distribution Shift
[arXiv] 2026-07-20 | Long-time behavior and turnpike properties of linear-quadratic graphon mean field control problems
[arXiv] 2026-07-20 | Entropy production in Knudsen thermodynamics of compartmented systems
[arXiv] 2026-07-20 | Cosmological consequences of a dynamical dark matter in the light of DESI DR2 measurements
[arXiv] 2026-07-20 | Correlated comagnetometry for precision measurements
[arXiv] 2026-07-20 | HOMIE: Human-object Centric Video Personalization via Multimodal Intelligent Enchancement
[arXiv] 2026-07-20 | Sharp Weitzenböck and PIC2 Estimates from Sectional-Scalar Curvature Pinching
[arXiv] 2026-07-20 | PPL-Factory: Task-Aware and Budget-Aware Data Selection from Language Modeling to Reasoning
[arXiv] 2026-07-20 | Three-Body Scattering for Generative Modeling
[arXiv] 2026-07-20 | A Self-Consistent 3D Hydrodynamic Model for Helium Transit Signatures in Evaporating Hot Jupiters
[arXiv] 2026-07-20 | Excitonic effects in the photocarriers dynamics of two-dimensional materials
[arXiv] 2026-07-20 | Gravitational Vacuum Polarization: Decoupling and the Conformal Anomaly
[arXiv] 2026-07-20 | Improved Convergence Rate for Stochastic Multi-Gradient Descent: A Proof Discovered with AI
[arXiv] 2026-07-20 | Non-injective field redefinitions and quantum inequivalence in scalar theories
[arXiv] 2026-07-20 | Periodic phenomena in stable motivic homotopy theory
[arXiv] 2026-07-20 | The Calibration Channel Determines the Bayes-Error Proxy: An Exact Law for Temperature-Induced Distortion
[arXiv] 2026-07-20 | Tunable Superconductivity Mediated by Heavy-Electron Plasmons: Band-Structure and Quantum-Geometric Engineering
[arXiv] 2026-07-20 | World Translation: Minimizing Sim-to-Real Gap with Backward Dynamics Extraction and Unpaired Domain Translation
[arXiv] 2026-07-20 | 1-out-of-5 Maximin-Share Allocations Always Exist for Four Agents
[arXiv] 2026-07-20 | SGA: Plug&Play Geometric Verification for Educational Video Synthesis
[arXiv] 2026-07-20 | Importance Sampling and PCA for Finding Failures in Commercial Autonomous Vehicles
[arXiv] 2026-07-20 | An Implicit Time-Domain Harmonic Balance Method for Radio-Frequency Capacitively Coupled Plasma Simulations
[arXiv] 2026-07-20 | Empowering On-Device Model Adaptation with an Edge AI Inference Accelerator
[arXiv] 2026-07-20 | SuperPass: Fast-Tracking Blocking Threads to Mitigate Priority Inversion on Mobile Devices
[arXiv] 2026-07-20 | Optimal transition states for polaron hopping transport without supercells
[arXiv] 2026-07-20 | Symmetry-Based Microscopic Theory of the Unconventional Pairing Mechanism in La$_5$Ni$_3$O$_{11}$
[arXiv] 2026-07-20 | Correcting DFT formation energies towards experimental accuracy using foundational MLIPs and latent-feature delta-learning
[arXiv] 2026-07-20 | Particle-scale structure of granular suspensions
[arXiv] 2026-07-20 | Judge-dependent safety gains and model-specific helpfulness costs of evidence-sufficiency prompting in clinical LLMs
[arXiv] 2026-07-20 | A binomial-like probability distribution with heavy tails
[arXiv] 2026-07-20 | Enhancing Rubric-based RL via Self-Distillation
[arXiv] 2026-07-20 | Hardware Mechanisms to Dynamically Throttle AI Performance
[arXiv] 2026-07-20 | Pancasila-Dilemmas: Evaluating Large Language Models on Indonesian Human Value Dilemmas Grounded in Pancasila
[arXiv] 2026-07-20 | Adaptive Adversaries: A Multi-Turn, Multi-LLM Benchmark for LLM Agent Security
[arXiv] 2026-07-20 | Programmable photonics enabled by ferroionic two-dimensional materials
[arXiv] 2026-07-20 | RoboHarness: Memory-Driven Orchestration of Heterogeneous Robot Policies for Long-Horizon Planning
[arXiv] 2026-07-20 | On the gradient of the torsion function for elongated cylinders
[arXiv] 2026-07-20 | Fiber-Optic Communication and Torsion Sensing via a BB84-Inspired Polarization Scheme
[arXiv] 2026-07-20 | Comparing the Near-infrared Spectral Energy Distributions from Different Stellar Population Synthesis Models with SPHEREx Observations
[arXiv] 2026-07-20 | Towards a strengthening of the second neighborhood conjecture
[arXiv] 2026-07-20 | SEE: Structure-aware Exploring \& Exploiting for Long-horizon GUI Agent Trajectory Synthesis
[arXiv] 2026-07-20 | Adaptive Mamba Neural Operators
[arXiv] 2026-07-20 | Self-Interference-Aware AS-Assisted Tri-Hybrid Beamforming for Full-Duplex Massive MIMO
[arXiv] 2026-07-20 | Natural Language Access to Domain-Specific Metadata: A Reusable Framework for LLM Query Generation
[arXiv] 2026-07-20 | L1 Augmented Attention as an Improved Vector Similarity Metric
[arXiv] 2026-07-20 | Benchmarking Machine Learning Architectures for ttH Multilepton Signal Sensitivity
[arXiv] 2026-07-20 | Optimal Domain-Aware Privacy Mechanisms for Synthetic Data Generation
[arXiv] 2026-07-20 | Quantitative Fourier decay for Patterson-Sullivan measures of dimension larger than $1/2$
[arXiv] 2026-07-20 | Bayesian Conway-Maxwell-Poisson model with spike-and slab priors for dispersed count data with application to football scores
[arXiv] 2026-07-20 | PAMD: Structured Adaptive Distances for Bisimulation Representations in Visual Reinforcement Learning
[arXiv] 2026-07-20 | A principled closure framework for higher-order SIS epidemic models on networks
[arXiv] 2026-07-20 | AlphaZeroBeta: Deep Reinforcement Learning for Market-Neutral Portfolios
[arXiv] 2026-07-20 | A Direct Approach to Hermite Interpolation
[arXiv] 2026-07-20 | Frustration induced dimensional reduction and coexistence of long and short-range magnetic order in NdCl$_{3}$
[arXiv] 2026-07-20 | Optimal Market Making in Prediction Markets
[arXiv] 2026-07-20 | Surrogate models for type II supernovae: Probing low-energy explosions and interaction-free regimes
[arXiv] 2026-07-20 | TraversRL: Traversable Pedestrian Pathway Generation With Reinforcement Learning
[arXiv] 2026-07-20 | Disturbance-Aware Flight for Aerial Robots in Narrow Space
[arXiv] 2026-07-20 | The Dimension of Nonterminating Resampling Computations
[arXiv] 2026-07-20 | Couette Flow with Robin Boundary Condition (I): the viscosity-independent friction
[arXiv] 2026-07-20 | DA-MergeLoRA: Hypernetwork-Based LoRA Merging for Few-Shot Test-Time Domain Adaptation
[arXiv] 2026-07-20 | PSASpotter: A Tool to Detect the Usage of Platform-Specific APIs in Python
[arXiv] 2026-07-20 | How Reliable Are Multimodal Signals of Conversational State? Evidence from Remote Dyadic Collaborative Tasks
[arXiv] 2026-07-20 | A Variance-Based Test for Heterogeneous Treatment Effects
[arXiv] 2026-07-20 | Operator-centric Clifford algebra for variational eigensolvers and finite-shot adaptive selection
[arXiv] 2026-07-20 | Decision-Centric Large Deviations for Data-Driven Capital Buffers in Ruin Models
[arXiv] 2026-07-20 | Jacob's ladders and new $ζ$-functionals and corresponding $ζ$-equivalents of the Fermat-Wiles theory based on sums of elementary $ζ$-pulses
[arXiv] 2026-07-20 | Efficient Quantum-Mechanical Modeling of Nonradiative Charge Transfer Processes
[arXiv] 2026-07-20 | Fast VEM Fluid Simulation
[arXiv] 2026-07-20 | Analytic HTEE in Moving Plasmas and Its Transition
[arXiv] 2026-07-20 | Algebraic Knots and their Universal K^MW_2-Coverings
[arXiv] 2026-07-20 | C$^2$KV: Compressed and Composable KV Cache Reuse for Efficient LLM Inference
[arXiv] 2026-07-20 | Formal Verification of Continuous-Variable Quantum Programs
[arXiv] 2026-07-20 | SLAM in Low-Light Environments: Project Report
[arXiv] 2026-07-20 | Numerical Investigation of a 3D End-Firing Antenna Array Based on Two-Photon Polymerization on Thin-Film Lithium Niobate for Optical Beam Steering
[arXiv] 2026-07-20 | On some Lie automorphisms of a class of Kadison-Singer algebras
[arXiv] 2026-07-20 | Tokenizing Crosslingual Homographs
[arXiv] 2026-07-20 | History-dependent discharge of compressed particle rafts
[arXiv] 2026-07-20 | $L^2$-cohomology and deformations of the left regular representation
[arXiv] 2026-07-20 | Hindman's theorem does not code $\emptyset^{(ω)}$ in one application
[arXiv] 2026-07-20 | Toward Site-Aware MR Art Exhibitions: A SLAM-Based Deployment Pipeline for Spatial Coherence and Exhibition Experience
[arXiv] 2026-07-20 | RayOcc: Occlusion-Aware Ray Occupancy Estimation via Gaussian Mixture Intensity
[arXiv] 2026-07-20 | BMFA: Boundary-Minority Free-Energy Adaptive Screening
[arXiv] 2026-07-20 | HCPG-Flow:Hierarchical Contact-Progress Guidance for Flow-Policy Robot Manipulation
[arXiv] 2026-07-20 | Active Optical Frequency Measurements with Superradiance Prolonged by a Modulated Magnetic Field
[arXiv] 2026-07-20 | Baxter Q-operators from a Schwinger-Boson construction of the master T-operator and the mKP hierarchy
[arXiv] 2026-07-20 | On Optimal Event-Triggered Distributed Control for Stochastic Multi-Agent Systems via Reinforcement Learning
[arXiv] 2026-07-20 | Hypercomplex formulation of dissipative scalar electrodynamics and phase transitions
[arXiv] 2026-07-20 | Brain-Aligned Multi-Stream Video Transformers with Sparse Self-Selection
[arXiv] 2026-07-20 | Coarse-to-fine Framework for Generative MEF via Implicit Neural Representation
[arXiv] 2026-07-20 | Massive Compact Stars Beyond the General Relativity Limit in Finslerian Gravity: A Possible Explanation for the GW190814 Secondary
[arXiv] 2026-07-20 | The next-to-next-to-leading order BFKL eigenvalue at odd conformal spin in planar N=4 super Yang-Mills
[arXiv] 2026-07-20 | Space of norms on locally algebraic representations
[arXiv] 2026-07-20 | Trustworthy Protein-Ligand Binding Affinity Prediction via Reliability-Aware Multi-Engine Fusion
[arXiv] 2026-07-20 | SSTMark: Robust Training-Free Semantic-Level Speech Watermarking
[arXiv] 2026-07-20 | Constrained Tensor Decomposition-Based Target Sensing for Sparse Non-Uniform Array-Enabled AFDM ISAC Systems
[arXiv] 2026-07-20 | Detection, Attribution, Narration: An End-to-End Pipeline for Explainable Money Mule Identification
[arXiv] 2026-07-20 | Single-atom sensor for low-frequency electric field
[arXiv] 2026-07-20 | ANNLib: A Development Framework for Efficient Approximate Nearest Neighbor Search
[arXiv] 2026-07-20 | Scalable Model-Assisted Multi-Target Estimation in Large Image Collections
[arXiv] 2026-07-20 | A Dual-Hypothesis Reasoning Framework for LLM Guardrails
[arXiv] 2026-07-20 | AGG: Jacobian-Aggregated Group Gradient for Efficient GRPO Training of Diffusion Models
[arXiv] 2026-07-20 | Reinforcement Learning: From Algorithms To Foundation Models
[arXiv] 2026-07-20 | Beyond Spin: QCD Magnetars
[arXiv] 2026-07-20 | Lie-Group Mode Connectivity in Quantum Machine Learning from a Dynamical Lie Algebra Perspective
[arXiv] 2026-07-20 | (A)iSpy: Parasitic Trojans for Machine Learning Infrastructure
[arXiv] 2026-07-20 | Universal Jamming Criticality and Self-Organizing Principles from Disorder to the Limit of Perfect Crystalline Order
[arXiv] 2026-07-20 | Fefferman--Stein-type estimates and fractional NLS in Fourier Sobolev spaces
[arXiv] 2026-07-20 | FlowSonic: Stable Zero-Shot Music Editing via High-Order Trajectory Integration
[arXiv] 2026-07-20 | Optical observations on the young Type Ia SN 2021fxy with detached high velocity features
[arXiv] 2026-07-20 | Analysis of the hidden-charm pentaquark candidates in the $J/ψΣ^*$ mass spectrum via the QCD sum rules
[arXiv] 2026-07-20 | Gate-tunable giant anomalous Hall effect in magnetic topological insulator bilayer
[arXiv] 2026-07-20 | Self-State Attacks on Self-Hosted AI Agents: How Far Can OS Defenses Go?
[arXiv] 2026-07-20 | Scanless quantum Fourier-transform mid-infrared spectroscopy for rapid high-sensitivity hyperspectral mapping
[arXiv] 2026-07-20 | Where onshore wind meets forests: electricity system planning with ecologically graded forests
[arXiv] 2026-07-20 | The Autonomous Agency Scale: A Behavioral Framework for Measuring Self-Directed Behavior in AI Systems
[arXiv] 2026-07-20 | A Geometric Perspective on Stabilizing Value Conflict Resolution
[arXiv] 2026-07-20 | A Taxonomy of Distance Metrics for Time-Sensitive Importance Splitting: Timer Bounds, Resampling, and the Global Age
[arXiv] 2026-07-20 | Large scale behavior in the Kuramoto-Sivashinsky equation: The Schwinger-Dyson route
[arXiv] 2026-07-20 | AutoEncoder-Compressed Parallel Split Learning for Pre-trained Model Fine-Tuning
[arXiv] 2026-07-20 | Harnack estimates for the nonlocal Trudinger equation
[arXiv] 2026-07-20 | Chemical filters for ultra-high-throughput materials screening and generation
[arXiv] 2026-07-20 | Portable surrogate-free 4D MRI from standard fast multi-slice 2D MRI via implicit neural representations
