[2026-07-24 23:02:43] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-23
正在获取论文...
[arXiv] 2026-07-23 | Structure theory of $BV$ functions and finite perimeter sets on Riemannian manifolds
[arXiv] 2026-07-23 | Nonlinear and Quantum Optics with Whispering Gallery Resonators Revisited
[arXiv] 2026-07-23 | Fluctuation impossibility results for stochastic burst networks
[arXiv] 2026-07-23 | Ball-Codifference Screening for Heavy-Tailed Predictors
[arXiv] 2026-07-23 | Enhancing Explainable Cardiac Diagnosis with Guide-Grounded Multimodal LLMs
[arXiv] 2026-07-23 | Constructions for supersaturation of eventown problems
[arXiv] 2026-07-23 | XMM-Newton and Swift Unveil Another X-Ray Transient in NGC 4945, XMM J130514.64-493311.27
[arXiv] 2026-07-23 | Flow-based Phase-space Tomography of Continuous-variable Quantum States
[arXiv] 2026-07-23 | Symmetry and Quantum Geometry in Bloch Bands
[arXiv] 2026-07-23 | GraphVid: Interactive Graph-Controllable Video Generation
[arXiv] 2026-07-23 | Synthetic data generation framework for quality control automation in gravure printing
[arXiv] 2026-07-23 | Surprisal Theory is Tautological (without Rational Grounding)
[arXiv] 2026-07-23 | Generic degrees of real polynomial Keller maps with non-dense image
[arXiv] 2026-07-23 | Scene Parameter Saliency via Differentiable Light Transport
[arXiv] 2026-07-23 | Beyond Sycophancy: Structured Resistance and Compliance in LLM Moral Reasoning
[arXiv] 2026-07-23 | Enhancing Entanglement Purification with Shared Randomness
[arXiv] 2026-07-23 | MIRROR: Learning from the Other View for Multi-Modal Reasoning
[arXiv] 2026-07-23 | Unconditional Unclonable Encryption
[arXiv] 2026-07-23 | X$^3$-OPD: Distilling Reasoning into Large Audio-Language Models via On-Policy Alignment
[arXiv] 2026-07-23 | Neural solutions of coupled ghost and gluon Dyson--Schwinger equations in Landau gauge
[arXiv] 2026-07-23 | The Boundaries of Automation: A Theory of Persistent Human Participation
[arXiv] 2026-07-23 | Windowed-MTP: Removing the Full-Context Draft-KV Tax at Million-Token Context
[arXiv] 2026-07-23 | A lower bound on primordial power spectrum from halo substructure
[arXiv] 2026-07-23 | On the strong coupling limit of Yang-Mills matrix models
[arXiv] 2026-07-23 | Fluctuation-Induced Bistability in the Dissipative Dynamics of Generic Cavity-Matter Quantum Systems
[arXiv] 2026-07-23 | Machine learning based prediction of optical properties in two-dimensional Mo-W-S-Se-Te transition-metal dichalcogenide alloys through physics-informed sampling
[arXiv] 2026-07-23 | Where Animacy Lives in Large Language Models: Tracing the Circuits of the Animacy Concept
[arXiv] 2026-07-23 | Bridging the Gap Between Plausibility and Admissibility: Constraint-Aware Flow Maps for Dynamic Graph Systems
[arXiv] 2026-07-23 | One More Turn, Less Regret: A Regret-Based Multi-Turn Benchmark for LLMs' Clarification Policies
[arXiv] 2026-07-23 | Global bifurcation for steady viscous roll waves on an incline
[arXiv] 2026-07-23 | Beyond Heavy Log Curation: Perplexity-Based APT Detection via Unsupervised, Context-Augmented Language Models
[arXiv] 2026-07-23 | Automated Full-Sphere Measurement Methodology for Reconfigurable Intelligent Surface Beam Steering in an Anechoic Chamber
[arXiv] 2026-07-23 | Endpoint estimates for multiparameter multipliers of Marcinkiewicz type
[arXiv] 2026-07-23 | MIGHTEE: The Host-Galaxy Associated Catalogue of the Radio Sources in MIGHTEE Continuum Data Release 1
[arXiv] 2026-07-23 | Beyond Episodic Evaluation: Memory Architectural Bottlenecks in Sequential Embodied Question Answering
[arXiv] 2026-07-23 | Discrete version of topological complexity of maps
[arXiv] 2026-07-23 | Dynamic Cloud Service-Capacity Deployment with Costly Response Readiness
[arXiv] 2026-07-23 | Fault-tolerant quantum algorithms for simulating atomic nuclei
[arXiv] 2026-07-23 | Information is all you need: Requirements Engineering Quality Reframed
[arXiv] 2026-07-23 | Determination of fundamental properties of nitrogen from first principles. III. Temperature and frequency dependence of the molecular polarizability and magnetic susceptibility
[arXiv] 2026-07-23 | Unlearning Under Imbalance: Benchmarking Fairness in Multimodal LLM Unlearning
[arXiv] 2026-07-23 | Energy-Energy Correlators at Strong Coupling
[arXiv] 2026-07-23 | Advances in STV Margin Computation
[arXiv] 2026-07-23 | Simultaneous non-vanishing of Dirichlet $L$--functions, II: Weighted central limit theorem
[arXiv] 2026-07-23 | What's Missing in AGN Feedback? Lessons learnt from Magneticum, IllustrisTNG and Simba
[arXiv] 2026-07-23 | High-dimensional sparsity-adaptive multiple change-point detection
[arXiv] 2026-07-23 | Doubling for chronological diamonds in Lorentzian geometry
[arXiv] 2026-07-23 | Cautious optimism for deep parameterized quantum circuits
[arXiv] 2026-07-23 | Statistical properties of Hecke correspondences
[arXiv] 2026-07-23 | Flavour current correlators and the non-Abelian hydrodynamic approximation: the charged sector
[arXiv] 2026-07-23 | Strategic Plan for Neutral Atom Quantum Computation
[arXiv] 2026-07-23 | Measurements of the electroweak production of a $W$ boson in association with two jets at $\sqrt{s}=13\,\mathrm{TeV}$ with the ATLAS detector
[arXiv] 2026-07-23 | Optimal feedback control under stepwise equilibration and partial observation
[arXiv] 2026-07-23 | Extended Single-Atom Tweezer Arrays in High-Cooperativity Cavity-QED
[arXiv] 2026-07-23 | Hubble tension: a short review of theoretical explanations
[arXiv] 2026-07-23 | Interoperability of Electric Drive Models using HELICS
[arXiv] 2026-07-23 | 3d-3d correspondence for knot complements with finite and large $N$
[arXiv] 2026-07-23 | Fatness and Flatness
[arXiv] 2026-07-23 | CO second overtone line variability in three carbon-rich early post-AGB stage stars
[arXiv] 2026-07-23 | AREX: Towards a Recursively Self-Improving Agent for Deep Research
[arXiv] 2026-07-23 | Diffusion posterior sampling enables zero shot kilometre scale wind forecasting over complex terrain
[arXiv] 2026-07-23 | SPDCN: Strip-based Deformable Convolutional Network for Steel Surface Defect Segmentation
[arXiv] 2026-07-23 | GrainGS: Gradient-Decoupled Gaussian Splatting for Efficient Dynamic Novel View Synthesis
[arXiv] 2026-07-23 | Context-weighted Discrete Flow Matching
[arXiv] 2026-07-23 | PATS: Policy-Aware Training Scaffolding for Agentic Reinforcement Learning
[arXiv] 2026-07-23 | Experimental Measurements of Benzene Ice Critical Saturation Ratios on Titan Tholins and Impact on the Microphysical Modeling of Titan's South Polar Benzene Cloud
[arXiv] 2026-07-23 | Selection-structure generalizations of the Borsuk-Ulam theorem
[arXiv] 2026-07-23 | Cycle-Consistent and Uncertainty-Aware Neural Surrogates for Tokamak Edge Plasmas
[arXiv] 2026-07-23 | MSBraM: A Multi-scale Self-supervised Brain Foundation Model for Hierarchical EEG Dynamics Learning
[arXiv] 2026-07-23 | Wilson Towers as Local Bulk Fields
[arXiv] 2026-07-23 | Moderate Deviations for Gaussian Maxima and an Entropy Proof of Critical SK Free Energy Fluctuations
[arXiv] 2026-07-23 | Ultra-High-Energy Particle Production in Binary Mergers Endowed with Magnetic Fields
[arXiv] 2026-07-23 | Multimodal Pretraining for Generalizable EEG Representation Learning
[arXiv] 2026-07-23 | Flexible generation of daily Earth system model projections across radiative forcing scenarios
[arXiv] 2026-07-23 | Towards Faithful Graph Explanations with Synergistic Edge Effects via Granular Balls
[arXiv] 2026-07-23 | Free-volume origin of diverging direct correlations in hard crystals: insights from an exact one-dimensional model
[arXiv] 2026-07-23 | Pressure and asymmetry govern the shape and stiffness of inflatables
[arXiv] 2026-07-23 | Incremental Optimal Assignment for Real-Time Crowd Tracking
[arXiv] 2026-07-23 | Frieze patterns and aperiodic tilings of the plane
[arXiv] 2026-07-23 | Regulating autonomous and agentic AI
[arXiv] 2026-07-23 | Teaching Business Process Modeling to Leverage Soft Skills of Computing Students
[arXiv] 2026-07-23 | Grasp, Handover, Rotate: Bimanual Object Reorientation via Compositional Diffusion and Energy-Based Optimization
[arXiv] 2026-07-23 | Front End Amplifiers for Simultaneous Dual Readout of SiPM Sensors
[arXiv] 2026-07-23 | Ensemble Logic for Symbolic Representation of Sleep Medicine Guidelines
[arXiv] 2026-07-23 | From Static Bibliometrics to Dynamic Knowledge Graphs: An LLM-Powered Framework for Modernizing Science, Technology, and Innovation (STI) Analytics
[arXiv] 2026-07-23 | Open Veins of Algorithmic Auditing: Why AI Assessment Lags Behind Its Deployment in the Global South
[arXiv] 2026-07-23 | Spirited Away: Advective Loss of Cosmic Rays into the Milky Way's Circumgalactic Medium Explains the Large Magellanic Cloud's Low Gamma-ray Luminosity
[arXiv] 2026-07-23 | Collisionless stationary states of a stratified plasma in an expanding magnetic tube with stochastic heating
[arXiv] 2026-07-23 | Using Pre-Trends for Inference in Difference-in-Differences
[arXiv] 2026-07-23 | Factorized Spatio-Temporal Convolutions for Human Pose Estimation from Planar Lidar
[arXiv] 2026-07-23 | On the Approximation of the Unitary Operator Group Associated with a Rotation Matrix and Its Applications to Abstract Hyperbolic Equations
[arXiv] 2026-07-23 | Adaptive Depth Sparse Framework: Similarity-Driven Resource Allocation for Pre-Trained LLMs
[arXiv] 2026-07-23 | The Dark Room in the Reward Channel: Dense Prediction Rewards Collapse GRPO-Trained LLM Agents -- and What Actually Works
[arXiv] 2026-07-23 | From Berg-Purcell precision bounds to clock-limited information capacity
[arXiv] 2026-07-23 | Contribution to the 2026 Cosmology session of the 60th Rencontres de Moriond: Galactic moments: Understanding polarized foregrounds complexity in the quest for CMB primordial $B$ modes with LiteBIRD
[arXiv] 2026-07-23 | Detectors Learn the Wrong Thing: Shortcut-Resistant Adversarial Training Against Physically Realizable Attacks
[arXiv] 2026-07-23 | Exceptional supersphere integration and logarithmic Pizzetti kernels
[arXiv] 2026-07-23 | Stokes-Informed Diffusion for Robust Linear Polarization Estimation
[arXiv] 2026-07-23 | Plasma screening and configuration interaction effects induced large enhancement on L-shell photoionization cross sections and opacity
[arXiv] 2026-07-23 | High-Resolution [CI] $({^3\mathrm{P}_2}\rightarrow{^3\mathrm{P}_1})$ and CO $(J=7\rightarrow6)$ Observations of Circumnuclear Disks in Nearby Seyfert Galaxies
[arXiv] 2026-07-23 | Comparative 3D Asymmetric Expansion and Angular Widths Evolution of Fast and Slow Coronal Mass Ejections
[arXiv] 2026-07-23 | T-STAR: A Large-Scale Benchmark for Spatio-Temporal Panoptic Scene Graph Generation in Satellite Video
[arXiv] 2026-07-23 | Controlled Periodic Synchronization for Efficient Data-Parallel Training
[arXiv] 2026-07-23 | Emergent ferromagnetism in the NiI$_2$-NbSe$_2$ van der Waals heterostructure
[arXiv] 2026-07-23 | Explainable Belief Harmonization under Dynamic Epistemic Partitions
[arXiv] 2026-07-23 | Explainability Framework for Policy-Aware Autonomous Agents
[arXiv] 2026-07-23 | Hybrid MKNF with Classical Negation in the Rule Component
[arXiv] 2026-07-23 | Chess\_db: A framework for working with large chess game datasets
[arXiv] 2026-07-23 | Encoding Event-B Proof Rules in Prolog: An Interactive Sequent Prover for ProB
[arXiv] 2026-07-23 | GLP: A Grassroots, Multiagent, Concurrent, Logic Programming Language for AI
[arXiv] 2026-07-23 | Identifying Good Rules for Efficient SAT Encodings of Single-Constant Multiplication Using Machine Learning
[arXiv] 2026-07-23 | Do emulated quantum circuits change what CNNs look at? Performance and explainability comparison in medical image classification
[arXiv] 2026-07-23 | Continuum limit of discretized matrix-valued Fourier multipliers
[arXiv] 2026-07-23 | Basis-independent coherence and quantum correlations in two dipole-dipole-coupled electrons in double quantum-dot molecules
[arXiv] 2026-07-23 | Decoupling Cross-Modality Manifold Discrepancy: Leveraging Visible Diffusion Priors for Infrared Super-Resolution
[arXiv] 2026-07-23 | Thermal Hall Resistivity as a Unifying Description of Phonon Thermal Hall Effect in Various Insulators
[arXiv] 2026-07-23 | Helical stability of double-stranded semiflexible chains with interstrand interactions
[arXiv] 2026-07-23 | Hardware-Software Co-Design for Float16 On-Device Training on RISC-V Single-Core
[arXiv] 2026-07-23 | Inferences for f(R) Models from Late-Time Megamaser Observational Data
[arXiv] 2026-07-23 | GlucoTune: A Unified Framework for Blood Glucose Preprocessing, Forecasting, and Benchmarking in Diabetes
[arXiv] 2026-07-23 | The mean-field limit of non-exchangeable particle systems with non-conservative dynamics and adaptive weights
[arXiv] 2026-07-23 | AttriMem: Attribution-Guided Process Feedback for Agent Memory Learning
[arXiv] 2026-07-23 | Entanglement, Evolutionary Stability, and Strategy-Space Dependence in an EWL Quantum Game
[arXiv] 2026-07-23 | Construction and Dynamic Update of Channel Gain Maps via 3D Gaussian Splatting
[arXiv] 2026-07-23 | Design and Optimization of Metasurfaces for Silicon Photonics: PhD Thesis
[arXiv] 2026-07-23 | Training Large Language Models for Self-Explanation Faithfulness
[arXiv] 2026-07-23 | VibeVoice-ASR-BitNet Technical Report
[arXiv] 2026-07-23 | From Evaluation to Optimisation: Hierarchy-Aware Training Signals for CWE Prediction in Python
[arXiv] 2026-07-23 | Stabilization of 1D Linear Hyperbolic Balance Laws by Integral Difference Control and Application to Networks Stabilization
[arXiv] 2026-07-23 | Transport of angular momentum and chemical elements by the MRI dynamo in stellar radiative zones
[arXiv] 2026-07-23 | Achieving Text-based Person Retrieval with Any Granularity
[arXiv] 2026-07-23 | Discrete Truthful Heterogeneous Two-Facility Location: The Line and Beyond
[arXiv] 2026-07-23 | Regularized Optimization on Grassmann Manifold: Theory, Algorithm and Applications
[arXiv] 2026-07-23 | Spectral-Spatial Synergistic Guided Network for Hyperspectral Salient Object Detection
[arXiv] 2026-07-23 | Selecting Complex Extremal Surfaces with the Kontsevich--Segal--Witten Criterion
[arXiv] 2026-07-23 | Dissecting the multiple-component outflow in NGC 5548 with absorption-line Variability
[arXiv] 2026-07-23 | ZONDA: Zero-shot Object Navigation with Dynamic Avoidance in Multi-floor Environments
[arXiv] 2026-07-23 | WAT3R: Feedforward Underwater 3D Reconstruction
[arXiv] 2026-07-23 | A framework for general discrete probability calculations
[arXiv] 2026-07-23 | Reexamining zero-shot summarization: Empirical investigation of trustworthiness of LLM-summarizers
[arXiv] 2026-07-23 | Explainable Deepfake Detection Challenge
[arXiv] 2026-07-23 | Weight-norm Criticality: A Mechanism for Loss Spikes Induced by the Normalization and Weight Decay
[arXiv] 2026-07-23 | The optimal constant for minimum weight feedback arc sets in oriented graphs
[arXiv] 2026-07-23 | Latent Variable-Mediated Cross-Learning for Few-Shot Acoustic Impedance Imaging
[arXiv] 2026-07-23 | Compact deterministic liquid-crystal polarization controller with single-measurement direct control
[arXiv] 2026-07-23 | Evidence for fully-gapped superconductivity in BCS superconductor NiBi3
[arXiv] 2026-07-23 | An Explicit Characteristic-$2$ Counterexample to the Separable Jacobian Conjecture
[arXiv] 2026-07-23 | Statistical Analysis of Speckle Fields
[arXiv] 2026-07-23 | On the existence of extremizers for the sum of eigenvalues of Toeplitz operators
[arXiv] 2026-07-23 | Topological measures in weighted hypergraphs
[arXiv] 2026-07-23 | An inverse coefficient problem for a semilinear wave equation by the first order linearization
[arXiv] 2026-07-23 | Boundary control and periodic trajectories of semilinear Euler equations with application to hydrogen transport
