[2026-06-16 23:23:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-15
正在获取论文...
[arXiv] 2026-06-15 | NeuronFabric: A Software Reference Architecture for On-Chip Transformer Training with Local Adam
[arXiv] 2026-06-15 | UXBench: Measuring the Actionability of LLM-Generated UX Critiques
[arXiv] 2026-06-15 | Super-Arrhenius relaxation of the triangular plaquette model in any dimension
[arXiv] 2026-06-15 | StorRep: Storage Research Experiment Patterns on Chameleon Cloud and Trovi
[arXiv] 2026-06-15 | Topological spectral gap, multiscale Weyl's law, and homogenization in high-contrast PDEs
[arXiv] 2026-06-15 | Benchmarking Exact, GP-Emulated, and Simulation-Based Inference for Late-Time Cosmology
[arXiv] 2026-06-15 | Orbital-selective band evolution and out-of-plane correlation in the FeGe-family kagome antiferromagnet ScFe$_6$Ge$_6$
[arXiv] 2026-06-15 | The Backward Stochastic Partial Differential Integral Equations: Solvability and Comparison Principle
[arXiv] 2026-06-15 | Hidden chirality and half-vortex formation in exciton-polariton condensates
[arXiv] 2026-06-15 | did:crdt: Coordination-Free Decentralised Identifiers via Signed CRDTs
[arXiv] 2026-06-15 | symveig: Verified eigenvalue enclosures for symmetry-decomposed Hermitian matrices
[arXiv] 2026-06-15 | On periodic sign changes for weighted representations of integers as colored sums of triangular and generalized pentagonal numbers
[arXiv] 2026-06-15 | Dark Matter Attenuation inside the Earth: A Boltzmann Equation Approach
[arXiv] 2026-06-15 | Recent results on open heavy flavor production ($pp$, $p$Pb, PbPb) from LHCb
[arXiv] 2026-06-15 | Multi-Turn Reflective Masking Elicits Reasoning in Mask Diffusion Models
[arXiv] 2026-06-15 | PATCH: Action-Chunk-Conditioned Latent Patch Innovation Monitoring for Robot Manipulation
[arXiv] 2026-06-15 | Progressive Knowledge-Guided Large Language Model Framework for Bearing Fault Diagnosis
[arXiv] 2026-06-15 | Two fully specified Bayes factors for hypothesis testing and sensitivity analysis in process tracing
[arXiv] 2026-06-15 | Multimodal Evaluator Preference Collapse: Cross-Modal Contagion in Self-Evolving Agents
[arXiv] 2026-06-15 | Distributional Forecasting of EU Asylum Applications with Dynamic Multivariate Count Models
[arXiv] 2026-06-15 | Optical vortex probe of loop-current chirality in moiré materials
[arXiv] 2026-06-15 | Jordan rigidity of full matrix algebras
[arXiv] 2026-06-15 | Effect of the hyperbolic photon mode on the metal insulator transition in a proximate material
[arXiv] 2026-06-15 | FraudSMSWalker: Benchmarking Agentic Large Language Models for SMS-to-Webpage Fraud Detection
[arXiv] 2026-06-15 | Generalized Bell polynomial operators arising from generalized normal ordering
[arXiv] 2026-06-15 | Closed-loop Optimal Fault Detection for Uncertain Systems
[arXiv] 2026-06-15 | Exponential Weighting Model Predictive Control with Observer for Modular Multilevel Converters
[arXiv] 2026-06-15 | Divided differences and complex variations of multiple zeta-star values
[arXiv] 2026-06-15 | MR-GVNO: A Geometry-Aware Variational Physics-Informed Neural Operator for Mindlin-Reissner Plates on Irregular Domains
[arXiv] 2026-06-15 | Fuzzy-processing quantum computation
[arXiv] 2026-06-15 | Entropy-Gated Latent Recursion
[arXiv] 2026-06-15 | Sycophancy as Material Failure under Pushback Loading: A Multi-Axis Characterization Across Three Loading Cases and up to Seventeen Material Charges
[arXiv] 2026-06-15 | Oscillating concentrations suppress condensate coarsening
[arXiv] 2026-06-15 | Beyond Artifacts: Towards Generalizable Synthetic Song Detection via Music-Intrinsic Features
[arXiv] 2026-06-15 | Electronic Band Structure of Silicon Determined via a Variational Adiabatic Eigensolver: Theory and Experiment
[arXiv] 2026-06-15 | PhysGuard: Fisher-Guided Gradient Projection for Sim-to-Real Neural PDE Surrogates
[arXiv] 2026-06-15 | Rotational Symmetry based Object Pose Estimation from Point Clouds in the Absence of Known 3D Models
[arXiv] 2026-06-15 | RepNet: Tackling spectral bias in deep neural networks via parameter reparameterization
[arXiv] 2026-06-15 | Interactions in the dark sector: intrinsic entropy couplings
[arXiv] 2026-06-15 | Automated Digital Twin Construction for Highway Scenarios Using LiDAR Point Clouds and OpenStreetMap
[arXiv] 2026-06-15 | MIRAGE: Auditing Anti-Muslim Bias in Frontier LLMs Across Reasoning, Agentic, and Time-Coupled Conditions
[arXiv] 2026-06-15 | A data-driven security quantification framework for IoT-based systems
[arXiv] 2026-06-15 | The BD-LSC Dataset: Facilitating the Benchmarking of Models for Lexical Semantic Change Detection in Slang and Standard Usage
[arXiv] 2026-06-15 | Incentives and Evidence in Learned Service Orchestration
[arXiv] 2026-06-15 | Pluripotential operadic calculus
[arXiv] 2026-06-15 | Kairos: A Native World Model Stack for Physical AI
[arXiv] 2026-06-15 | Phase controlled spectral topology, dynamic stability and sensitivity in Non-Hermitian Cavity Magnonics
[arXiv] 2026-06-15 | Agile Fall Recovery for Quadrotors with Bidirectional Thrust via Reinforcement Learning
[arXiv] 2026-06-15 | Petrov-Galerkin Variational Physics-Informed Neural Network Framework for Two-Dimensional Singularly Perturbed Problems
[arXiv] 2026-06-15 | On the Lyapunov equation with the state matrix in companion form
[arXiv] 2026-06-15 | Logarithmic Large Deviations for Heavy-Tailed Sums
[arXiv] 2026-06-15 | AI systems out-persuade expert humans
[arXiv] 2026-06-15 | Geodesic Interpolation on the Grassmann Manifold: GLERP and Recursive GIDER Interpolants
[arXiv] 2026-06-15 | Privacy from Symmetry: Orthogonally Equivariant Transformers for LLM Inference
[arXiv] 2026-06-15 | Module-Structured Mixture Factor Models to Identify Outcome-Specific Signatures in Gene Expression Data
[arXiv] 2026-06-15 | SDS-LoRA: Overcoming Anisotropic Gradient Scaling in Low-Rank Adaptation
[arXiv] 2026-06-15 | Impact of ADAS and V2X Penetration Rates on Cooperative Active Safety
[arXiv] 2026-06-15 | Latent Space Reinforcement Learning for Inverse Material Estimation in Food Fracture Simulation
[arXiv] 2026-06-15 | Federated Medical Image Segmentation under Real-World Label Noise: A Benchmark Suite for Noisy Label Learning Method Selection
[arXiv] 2026-06-15 | Revisiting the Systematicity in Negation in the Era of In-Context Learning
[arXiv] 2026-06-15 | Studies of Neutrino-Nucleus Elastic Scattering with Point-Contact Germanium Detectors at the Kuo-Sheng Reactor Neutrino Laboratory
[arXiv] 2026-06-15 | Optically Invisible Galaxies at Cosmic Noon and beyond with JWST/UNCOVER
[arXiv] 2026-06-15 | The Ghosts of Polymarket: When Off-Chain Matches Meet On-Chain Reverts
[arXiv] 2026-06-15 | Follow the Latent Roadmap: Navigating Revocable Decoding for Diffusion LLMs with Anchor Tokens
[arXiv] 2026-06-15 | Beyond Models: Reflections on Engineering AI-enabled Systems in a Project-Based Course
[arXiv] 2026-06-15 | Towards LLM Accelerated Rapid Reviews for Software Tool Discovery -- Case for Log Anomaly Detection
[arXiv] 2026-06-15 | Deformation theory of complex structures via Hamilton-Nash-Moser theory
[arXiv] 2026-06-15 | Augmented Lagrangian Method for Mathematical Programs with Second-Order Cone Complementarity Constraints
[arXiv] 2026-06-15 | A Perception vs. Distortion Perspective on Score-Based Generative Channel Estimation
[arXiv] 2026-06-15 | Detection and luminosity-dependent evolution of the high-energy hump in the Be/X-ray pulsar 1A 1118-61
[arXiv] 2026-06-15 | Cell Division Changes Fate Decisions in a Genetic Toggle Switch
[arXiv] 2026-06-15 | LabOSBench: Benchmarking Computer Use Agents for Scientific Instrument Control
[arXiv] 2026-06-15 | Riviera model with egoistical settlers
[arXiv] 2026-06-15 | Decision-Weighted Flow Matching for Contextual Stochastic Optimization
[arXiv] 2026-06-15 | SoK: Security and Privacy of Foundation-Model-Powered Robots
[arXiv] 2026-06-15 | Gen-VCoT: Generative Visual Chain-of-Thought Reasoning via Diffusion-Based RGB Intermediate Representations
[arXiv] 2026-06-15 | DIFF-IPPO: Diffusion-Based Informative Path Planning with Open-Vocabulary Belief Maps
[arXiv] 2026-06-15 | Neutral kaon mass measurement with the CMD-3 derector at VEPP-2000
[arXiv] 2026-06-15 | The 3D Architecture of a pair of 6:1 Resonant Brown Dwarfs around the Naked-eye star $ν$ Ophiuchi
[arXiv] 2026-06-15 | From a Voucher Puzzle to Extremal Sums of Adjacent Products
[arXiv] 2026-06-15 | Multilayer resistive-wall impedance with a material-filled beam region
[arXiv] 2026-06-15 | On the Bloch--Carleson measure problems
[arXiv] 2026-06-15 | Maximum Entropy Inverse Reinforcement Learning for Mean-Field Games with Average Reward
[arXiv] 2026-06-15 | Revealing Artifacts via Noise Amplification: A Novel Perspective for AI-Generated Video Detection
[arXiv] 2026-06-15 | Pride and Prejudice: Toward an Information-Theoretic Framework for Mutually Communicative Driver Behavior Modeling
[arXiv] 2026-06-15 | MuVAP: Multimodal Multiparty Voice Activity Projection for Turn-taking Prediction in the Wild
[arXiv] 2026-06-15 | A magnetic environment with reproducible spatio-temporal magnetic conditions at picotesla level
[arXiv] 2026-06-15 | Medical world models: representing medical states, modelling clinical dynamics and guiding intervention policies
[arXiv] 2026-06-15 | Connectivity and Rigidity in Borosilicate Glasses
[arXiv] 2026-06-15 | Effective Lifshitz-Born-Infeld black holes from general covariance breaking
[arXiv] 2026-06-15 | Field-selected seven-site topological magnons in a classical frustrated triangular-lattice K-$Γ$-$Γ'$ magnet
[arXiv] 2026-06-15 | Harmonizing Semantic and Collaborative in LLMs: Reasoning-based Embedding Generator for Sequential Recommendation
[arXiv] 2026-06-15 | Categorified Spectral Duality: From Operator Systems to Spectral Stacks and Back
[arXiv] 2026-06-15 | Edge-Enhanced Diffractive Neural Networks Based on Spin-Multiplexed Nonlocal Metasurfaces
[arXiv] 2026-06-15 | A Scalable All-to-All Reconfigurable Ising Solver Using Pulsed Time-Division Multiplexing
[arXiv] 2026-06-15 | Detection of C$_{60}$ Combination Bands in the Near-IR Spectrum of Tc 1
[arXiv] 2026-06-15 | MA-SBI: Misspecification-Aware Simulation-Based Inference via Side-Channel Guidance
[arXiv] 2026-06-15 | Magnetic Fields in Massive Star-forming Regions (MagMaR). VII. On the dynamical importance of B-fields in massive protocluster W33 A
[arXiv] 2026-06-15 | Quantum gravity and spectral running cutoff
[arXiv] 2026-06-15 | IMPACTeen: Intentions, Manipulation, Persuasion, Annotations, and Consequences in Teen Communication Dataset
[arXiv] 2026-06-15 | Binary Tracking for Spatial QA and Navigation with Open Vision-Language Models
[arXiv] 2026-06-15 | Semantic Flip: Synthetic OOD Generation for Robust Refusal in Embodied Question Answering and Spatial Localization
[arXiv] 2026-06-15 | Distinguishing between Direct and Parametric Driving in Nanomechanics Using a Vibrating Carbon Nanotube
[arXiv] 2026-06-15 | Spin-orbit-entangled $J_{\rm eff}=\frac{1}{2}$ magnetism and unconventional spin freezing in the bond-disordered pyrochlore antiferromagnet NaCdCo$_2$F$_7$
[arXiv] 2026-06-15 | A parametric family of primes p = km(m+1) + e + 2kq: heuristic laws, conditional theorems, and unconditional primality certificates
[arXiv] 2026-06-15 | Scaling Short-Term Memory of Visuomotor Policies for Long-Horizon Tasks
[arXiv] 2026-06-15 | Decoupling and Discrete Strichartz Estimates for Dispersive Equations on the Torus
[arXiv] 2026-06-15 | TimeVista: Exploring and Exploiting Vision-Language Models as Judges for Time Series Forecasting
[arXiv] 2026-06-15 | On a Taylor-Zwicker Construction for Balanced Families and a Conjecture of Moss and Pedersen
[arXiv] 2026-06-15 | Data-driven Control with Real-time Uncertainty Compensation for Multi-Fuel Engines
[arXiv] 2026-06-15 | Synergizing Global Pattern Learning and Time Order Characterization in Mobile Channel Prediction: An RWKV-Based Approach
[arXiv] 2026-06-15 | Massive right-handed neutrinos in $\bar{B} \to D^* τ\bar X$ decay
[arXiv] 2026-06-15 | Multimodal LLM-Empowered Re-Ranking for Generalizable Person Re-Identification
[arXiv] 2026-06-15 | Continuous Splatting meets Retinex: Continuous Gaussian Splatting and Implicit Reflectance Modeling for Low-Light Image Enhancement
[arXiv] 2026-06-15 | Focus When Necessary: Adaptive Routing and Collaborative Grounding for Training-Free Visual Grounding
[arXiv] 2026-06-15 | GRACE: Step-Level Benchmark for Faithful Reasoning over Context
[arXiv] 2026-06-15 | Neutrino Constraints on memory-burdened Primordial Black Holes from Dwarf Spheroidal Galaxies
[arXiv] 2026-06-15 | AIA: A Customized Multi-core RISC-V SoC for Discrete Sampling Workloads in 16 nm
[arXiv] 2026-06-15 | XAI-Grounded Explanation Generation for Speech Deepfake Detection with Training-Free Multimodal Large Language Models
[arXiv] 2026-06-15 | Stabilizing Short Duration Speaker Verification through Neural Re-scoring with Hybrid Enrollment
[arXiv] 2026-06-15 | Variable-Rate Deep Image Compression based on Low-Rank Adaptation by Progressive Learning
[arXiv] 2026-06-15 | VinQA: Visual Elements Interleaved Long-form Answer Generation for Real-World Multimodal Document QA
[arXiv] 2026-06-15 | Residue ideals of hyperplane arrangements
[arXiv] 2026-06-15 | Vector Magnetic Field associated with an Active Region Filament Observed by SUNRISE III/SCIP in the Ca II 8542 Å Line
[arXiv] 2026-06-15 | Rhythm of the Deep: A Computational-Linguistic Test of Duality of Patterning in Sperm Whale Codas
[arXiv] 2026-06-15 | A Deployment Case Study in Robotic Apparel Automation: Digital Twin Integration, Interoperability, and Workforce Enablement
[arXiv] 2026-06-15 | Probabilistic Identification of Technology Tipping Points in Deeply Decarbonised Energy Systems
[arXiv] 2026-06-15 | AuAu: A Benchmark for Auditing Authoritarian Alignment in Large Language Models
[arXiv] 2026-06-15 | CRIM: A Natural Game on Integer Partitions
[arXiv] 2026-06-15 | Extracting Boundary Conformal Data from Periodic Non-Hermitian Critical Chains
[arXiv] 2026-06-15 | Encoding Phylogenetic Networks with Least Common Ancestor Constraints
[arXiv] 2026-06-15 | Time-of-flight photon spectroscopy for scanning tunneling microscopy luminescence
[arXiv] 2026-06-15 | Reducing Turbulence-Induced Outages in a Deployed Terrestrial Free-Space Optical Communication Link via Interleaving
[arXiv] 2026-06-15 | Ionization Potentials at Mean-Field Computational Cost: The Extended Koopmans' Framework for pCCD
[arXiv] 2026-06-15 | Lengths of Reeb chords and Viterbo restriction
[arXiv] 2026-06-15 | An Open-Source Monitoring Framework for Data Exploration and Progress Tracking in Multi-Center Radiology Studies
[arXiv] 2026-06-15 | Novel insights into Pareto fronts in multiobjective topology optimization and a comparative study of scalarization strategies
[arXiv] 2026-06-15 | SoK: Taxonomizing the Low-Level Attack Surface of Modern Web Browsers
[arXiv] 2026-06-15 | Can LLM Agents Infer World Models? Evidence from Agentic Automata Learning
[arXiv] 2026-06-15 | A First Post-Friedmann Extension of the Schrödinger Approach to Cosmic Structure Formation
[arXiv] 2026-06-15 | Upper bound to optical forces through the multipolar control of optical beams
[arXiv] 2026-06-15 | A characterization of pseudo-Anosov orbit spaces via bifoliated planes
[arXiv] 2026-06-15 | pFedUL: Layer-Aware Federated Unlearning for Personalized Federated Learning
[arXiv] 2026-06-15 | The Complexity of Min-Max Optimization for Quadratic Polynomials
[arXiv] 2026-06-15 | Quantifying Coherence-to-Entanglement Conversion Efficiency under Noisy Operations
[arXiv] 2026-06-15 | Rotation Sets and Topological Entropy for Random Circle Endomorphisms
[arXiv] 2026-06-15 | Long-Context Modeling via GSS-Transformer Hybrid Architecture with Learnable Mixing
[arXiv] 2026-06-15 | Luttinger liquid parameters in one-dimensional Rydberg arrays
