[2026-02-28 09:14:59] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-27
正在获取论文...
[IEEE] 2026-2-27 | Prediction of the Breast Cancer in Histopathology Images using JAYA-Optimized Deep Network
[IEEE] 2026-2-27 | Comparative Analysis of the Effect of Merging Layers on Vision Transformers and Convolutional Neural Networks
[IEEE] 2026-2-27 | A Predictive Study on Early Alzheimer's Diagnosis Using Statistical Learning Methods
[IEEE] 2026-2-27 | Grid Connected PV Energy Stable Control with Distributed Generation and Energy Storage Integration
[IEEE] 2026-2-27 | A Review of Data-Driven Frameworks for State of Health (SOH) Estimation and Remaining Useful Life (RUL) Prediction of Supercapacitors
[IEEE] 2026-2-27 | High-Precision Trajectory Generation Based on Data-Driven Model Predictive Control With Weight Optimization
[IEEE] 2026-2-27 | Explainable AI for Preclinical Risk Detection of Bile Duct Cancer Using Multi-Omics, Microbiome Data and Clinical Biomarkers
[IEEE] 2026-2-27 | Substrate-Type High-Temperature and Large-Strain Optical Fiber Sensor
[IEEE] 2026-2-27 | Artificial Intelligence Integrated Microsoft Power Apps for Streamlining Small-Scale Businesses
[IEEE] 2026-2-27 | Flexible AC-AC Voltage Regulation Strategy for Low-Voltage Distribution Networks with High-Penetration Distributed Scenarios
[IEEE] 2026-2-27 | YOLOv8s-AeroLite: A Lightweight and Aerial-Optimized Detector for UAV-Based Object Detection on the VisDrone Dataset
[IEEE] 2026-2-27 | Zero-Rendered Lightweight Digital Twin Campus Network Operation and Maintenance System Based on AI Foundation
[IEEE] 2026-2-27 | An Analytical Study on the Gender Digital Divide With Reference to Women's Digital Literacy
[IEEE] 2026-2-27 | Threshold Strategies in Swarm Robotics: A Game-Theoretic Approach to Equilibrium in Task Allocation
[IEEE] 2026-2-27 | Research on a Calibration Method for Optoelectronic Parameters of Medical Electronic Endoscopes
[IEEE] 2026-2-27 | Aging Behavior of Transformer Oil: A Comparative Experimental Investigation Between Accelerated and Real-Time Aging
[IEEE] 2026-2-27 | Per-Unit Normalized High-Power Three-Level Converter Prototype and Research on Harmonic Optimization Strategies
[IEEE] 2026-2-27 | Stability Analysis of A 100% Renewable Energy System with Different Power allocation of Grid-Forming and Grid-Following Inverters
[IEEE] 2026-2-27 | Low-latency online estimation of human upper-limb pose and kinematics from a single 360° camera
[IEEE] 2026-2-27 | Stable In-hand Manipulation for a Lightweight Four-motor Prosthetic Hand
[IEEE] 2026-2-27 | An Active EMI Filter for On-Board Chargers Based on a Three-Winding Common Mode Choke
[IEEE] 2026-2-27 | The Analytical Model of Redistribution Layers for Thermal Management in Heterogeneous Multi-chips
[IEEE] 2026-2-27 | Trajectory Generation for Tip-Over Prevention and Collision Avoidance of Automatic Excavators
[IEEE] 2026-2-27 | Exploratory Factor Analysis of AI Chatbot Use in Supporting University Students’ Academic Mental Health
[IEEE] 2026-2-27 | Classroom Teacher Behavior Recognition Algorithm Based on Deep learning
[IEEE] 2026-2-27 | Editing 3D Scenes via Text Prompts without Retraining
[IEEE] 2026-2-27 | Design and Evaluation of A High Step-Down DC-DC Converter With Current-Doubler Rectifier and Heterogeneous Integrated Transformers
[IEEE] 2026-2-27 | A Concise Review of Suicide Surveillance and Prevention Technologies on Bridges
[IEEE] 2026-2-27 | Vision-Based Grasp Section Recognition and Pose Estimation for Bent Metal Tubing
[IEEE] 2026-2-27 | Modeling and Diagnosis for Steel Surface Defects Based on Feature Selection of Gray Level Distribution
[IEEE] 2026-2-27 | DGF-Net: A Dilated Gating Fusion Network for Brain Tumor Segmentation
[IEEE] 2026-2-27 | TGSA: An Elite Perturbation Strategy for Balanced Exploration-Exploitation
[IEEE] 2026-2-27 | Security-Aware Joint Sensing, Communication, and Computing Optimization in Low Altitude Wireless Networks
[IEEE] 2026-2-27 | Efficient Voxel-Based mmWave Radar HAR with Early Temporal Fusion and a Compact 3D–2D Hybrid Network
[IEEE] 2026-2-27 | Computational Thinking in Rural Education: Evidence of Gains in Problem-Solving Abilities
[IEEE] 2026-2-27 | Surrogate-Assisted Evolutionary Multi-Objective Optimization Grouped by Significant Influence for High-Dimensional Problems
[IEEE] 2026-2-27 | IEEE Circuits and Systems Society Information
[IEEE] 2026-2-27 | Prototype Perturbation for Relaxing Alignment Constraints in Backward-Compatible Learning
[IEEE] 2026-2-27 | Multi-Contrastive and Dynamic Topological Matching Network for Cross-Scene Hyperspectral Image Classification
[IEEE] 2026-2-27 | Edge-Aided Radar-Based Exercise Form Classification Using Lightweight Ensemble Learning for Personalized Healthcare
[IEEE] 2026-2-27 | Privacy-Preserving Continuous Sign Language Recognition
[IEEE] 2026-2-27 | Grounding is All You Need? Dual Temporal Grounding for Video Dialog
[IEEE] 2026-2-27 | Quadtree-Based Optimized MLS Protocol with Inactive-User Isolation
[IEEE] 2026-2-27 | IEEE Guide for Databases Used in Utility Automation Systems
[IEEE] 2026-2-27 | A Survey of Large Language Models for Traffic Forecasting: Methods and Applications
[IEEE] 2026-2-27 | Comments on “Optimal dual frames of probabilistic erasures"
[IEEE] 2026-2-27 | Identifying Bottlenecks in Student Learning using Eye Tracking Measurements in Lathe Operation Training
                    <sup>*</sup>
[IEEE] 2026-2-27 | ANature-InspiredOptimizationFrameworkfor EnhancedIntrusionDetectionUsingMultiple Machine Learning Models
[IEEE] 2026-2-27 | Relative Geometrical Constraint on Finger Motion for Dexterous Teleoperation of Multifingered Hand
[IEEE] 2026-2-27 | Image Resolution Enhancement Using Time-of-Flight-Based Backscatter Rejection in Compton Camera
[IEEE] 2026-2-27 | Voltage Loop Controller Design for Grid-Forming Current Source Inverter Considering Low-Frequency Range Differentiator Characteristics of Control Plant
[IEEE] 2026-2-27 | Finite Element Simulation Based Thermal Field Analysis of Power Modules Combine with Heatsink Thermal Network Models
[IEEE] 2026-2-27 | Fast and Realistic Automated Scenario Simulations and Reporting for an Autonomous Racing Stack
[IEEE] 2026-2-27 | From Feedback to Insights: Analyzing User Reviews of BRPL Power Utility App
[IEEE] 2026-2-27 | Multi-Disease Detection Using Deep Learning
[IEEE] 2026-2-27 | Effect of Vertical Force Sensation on Fingertips by Grasping a Balloon on Muscle Activity
[IEEE] 2026-2-27 | Time-Coding Metasurface for SAR Deceptive Jamming of Three-Dimensional False Targets
[IEEE] 2026-2-27 | BERTopic Analysis of Autism-Related Twitter Conversations: Insights into Public Discourse on ASD
[IEEE] 2026-2-27 | A Broadband Transparent Circularly Polarized Antenna for GNSS Applications
[IEEE] 2026-2-27 | Real-Time Detection of DNS Spoofing Attacks using LSTM-Based Neural Networks
[IEEE] 2026-2-27 | Secure and Intelligent Healthcare: Evaluating Blockchain with AI for Chronic Disease Prediction
[IEEE] 2026-2-27 | A Systematic Design Methodology of Time-Based Non-Uniform In-Pixel Quantizers for IR Sensors
[IEEE] 2026-2-27 | Generative Diffusion Contrastive Network for Multi-View Clustering
[IEEE] 2026-2-27 | DHMCNN: Deep Hybrid Morphological CNN with Learnable White Top-Hat Pooling for Infrared UAV Classification
[IEEE] 2026-2-27 | Exploring Presence Patterns in an Educational Setting through Electromagnetic Activity
[IEEE] 2026-2-27 | SimDEM: Audio-driven Emotional Talking Head Generation with Simplified and Decoupled Expression Modeling
[IEEE] 2026-2-27 | Unsupervised Spectral-Geometric Fusion for Single Building Stereo Segmentation for High-Resolution Satellite Images
[IEEE] 2026-2-27 | An Iterative Electric-Magnetic-Thermal Bidirectional Coupled Method for Multi-Chip SiC Power Modules Considering Current Sharing
[IEEE] 2026-2-27 | Efficient VVC Intra Partitioning With Shared Feature Extraction and Complexity-Aware Threshold Decision
[IEEE] 2026-2-27 | Fixed-time disturbance rejection control for PMSM drives via estimation-error compensation and a fuzzy event-triggering mechanism
[IEEE] 2026-2-27 | AraOptical Testbed: Design, Field Trials, and Channel Analysis of Long-Range FSOC System With COTS Transceivers_supp1-3667493.pdf
[IEEE] 2026-2-27 | MambaGesture2: Co-Speech Gesture Generation via Hierarchical Fusion and Spatiotemporal Aggregation
[IEEE] 2026-2-27 | Dynamic Key-Based Certificateless Authentication Protocol for Seamless RSU switching in VANETs
[IEEE] 2026-2-27 | Design and Control of PI Controller Based ZVS Boost Converter
[IEEE] 2026-2-27 | Disaster Management in the Digital Age: A Study on the Use of Digital Media During Delhi's 2023 Yamuna Flood
[IEEE] 2026-2-27 | A Calibration Method Based on Binocular Vision for Eye-to-hand Configuration
[IEEE] 2026-2-27 | Optimized Current Limiting Protection Strategy for the MMC-HVDC System based on the Finite-Control-Set Model Predictive Control
[IEEE] 2026-2-27 | A High-PSRR, Ultra-Low Quiescent Current, Capless LDO Regulator Using a Self-Biased Recycling Folded-Cascode Error Amplifier in 90nm CMOS
[IEEE] 2026-2-27 | Proposal and Fundamental Evaluation of a Hand Posture Guidance Method Using Air-Jet-Based Force Feedback
[IEEE] 2026-2-27 | Scalable, Fault-Tolerant Quantum Algorithms for Cryptanalysis-Resistant Communications
[IEEE] 2026-2-27 | Detecting Fraud on the Ethereum Blockchain Using the XGBoost Algorithm
[IEEE] 2026-2-27 | Explainable Ensemble Machine Learning Approach for severity prediction of Hemophilia A
[IEEE] 2026-2-27 | Submodule Capacitor Voltage Control for T-Type Modular Multilevel DC/DC Converter
[IEEE] 2026-2-27 | Feature Attention-Enhanced CNN-LSTM for Real Time Stress Prediction &amp; Management
[IEEE] 2026-2-27 | Solar-Powered Wearable Device for Real-Time Health Monitoring with Integrated SOS and GPS Tracking
[IEEE] 2026-2-27 | Design and Implementation of a 32-bit RISC-V Pipelined Processor by using Verilog for IoT
[IEEE] 2026-2-27 | Basic Study for Drive Mechanism with Synthetic Fiber Rope : Feasibility Study of a Tension Measurable High-Strength Synthetic Fiber Rope
[IEEE] 2026-2-27 | Large-Model-Based Knowledge Transfer for Industrial Data Fusion and Interoperability Research
[IEEE] 2026-2-27 | Mobile Manipulation System for In-Store Product Stocking, Disposal, and Customer Detection with Minimal Environment Modification
                    <sup>*</sup>
[IEEE] 2026-2-27 | Inter-turn Short Circuit Fault Diagnosis of Permanent Magnet Synchronous Motor Using an Adaptive Super-Twisting Sliding Mode Observer
[IEEE] 2026-2-27 | Power Optimized AES Using CFA for Secure Memory Access and FPGA Implementation
[IEEE] 2026-2-27 | Agrivoltaics: A Review of Systems, Performance and Future Directions
[IEEE] 2026-2-27 | Artificial Neural Network Approach for Forecasting the Mechanical Behavior of Prosopis Juliflora Fibre-Reinforced Epoxy Composites
[IEEE] 2026-2-27 | Dual-Active-Bridge Converters for Large-step Time -Domine Simulation
[IEEE] 2026-2-27 | An Improved Dynamic Power Decoupling Method for Grid-Forming Inverters
[IEEE] 2026-2-27 | Analytical Model for Series-Connected SiC MOSFETs Under Heavy and Light Load Scenario
[IEEE] 2026-2-27 | Embedding Remote Center of Motion Constraints into Robotic Manipulator Control via Recurrent Neural Networks
[IEEE] 2026-2-27 | AI in Financial Forecasting: Enhancing Portfolio Optimization with Deep Learning
[IEEE] 2026-2-27 | HybridNet: A High-Accuracy Attention-Based Lightweight CNN for UAV-Based Aerial Disaster Image Classification
[IEEE] 2026-2-27 | A Reinforcement Learning Approach for Fast and Efficient Fault Recovery in Cloud-Based Microservices
[IEEE] 2026-2-27 | Improved HSI Classification via Hybrid Spatial-Spectral Deep Features and Kernel ELM
[IEEE] 2026-2-27 | Dynamic Bimanual Cloth Manipulation via Dynamic Movement Primitives and Reinforcement Learning
[IEEE] 2026-2-27 | ‘Aquarencia’ Serious Game as an Effort to Educate and Revitalize the Conservation of Endangered Sea Turtle
[IEEE] 2026-2-27 | A Single-Stage AC-DC Converter Based Resonant Semi-DAB with Hybrid Discontinuous Conduction Mode and Fixed Switching Frequency Control
[IEEE] 2026-2-27 | A Relative Assessment of Data Privacy Standards in AI Personalization of Media Platforms
[IEEE] 2026-2-27 | Human-in-the-Loop Control of a Soft Pneumatic Exosuit for Step Width Guidance via Hip Abduction/Adduction
[IEEE] 2026-2-27 | A Decentralized Control Scheme for SoC-Balancing in Single-Phase Cascaded H-Bridge Energy Storage System in PV Plant
[IEEE] 2026-2-27 | ISCEIC 2025 Author Information Page
[IEEE] 2026-2-27 | An Intelligent Task Scheduling Framework in Fog Computing Using Q-Learning
[IEEE] 2026-2-27 | An efficient Low overshoot Driving Circuit For High-performance XPU Power Supply
[IEEE] 2026-2-27 | Collaborative Optimization of 2-DOF PI Parameters for PMSM Based on Visualization
[IEEE] 2026-2-27 | An Improved DVM-PLL Structure Considering Large Disturbance
[IEEE] 2026-2-27 | Improved DQ-Current Decoupling Control for Single-Stage EV OBCs Considering DAB Outer Mode Operation
[IEEE] 2026-2-27 | Modified Series Active Power Filter for L-type Single-phase Bridge Inverter
[IEEE] 2026-2-27 | Control Strategy of VSC-HVDC System based on Frequency Trajectory Planning
[IEEE] 2026-2-27 | Transformer-Enhanced Indonesian Cryptocurrency Sentiment Analysis for Social Media Trading Prediction
[IEEE] 2026-2-27 | Sparse Gaussian Markov Modeling for Robust and Trustworthy Unknown Cyber Defense
[IEEE] 2026-2-27 | Extended State Observer-Based Predefined Time Composite Anti-Disturbance Control for Hydraulic Cutting Arm
[IEEE] 2026-2-27 | Prompt-Image-Caption Consistency for AI-Generated Image Quality Assessment
[IEEE] 2026-2-27 | The Role of Reinforcement Learning in Production Control: A Systematic Literature Review
[IEEE] 2026-2-27 | I've Got Proof! Dataset-Specific Watermarking for Detecting Excessive Dataset Usage in Text-to-Image Diffusion Model Fine-Tuning
[IEEE] 2026-2-27 | Joint Trajectory and RIS Phase Shift Design for RIS-assisted SAGIN: A FL-MADRL Approach
[IEEE] 2026-2-27 | GSO-SLAM: Bidirectionally Coupled Gaussian Splatting and Direct Visual Odometry
[IEEE] 2026-2-27 | Efficient Modeling of Quasi-Periodic Structures Using a Physics-Informed Deep Operator Network
[IEEE] 2026-2-27 | T-Mamba: A Unified Framework with Long-Range Dependency in Dual-Domain for 2D &amp; 3D Tooth Segmentation
[IEEE] 2026-2-27 | Bimodal Commuting Alignment Network for Zero-shot Recognition
[IEEE] 2026-2-27 | Model Parameter Free Observer based-Robust Predictive Current Control for PMSM Drives
[IEEE] 2026-2-27 | HGC-Herd: Efficient Heterogeneous Graph Condensation via Representative Node Herding
[IEEE] 2026-2-27 | SurveiLens: Natural Language-Based Moment Retrieval for Surveillance Video Analysis
[IEEE] 2026-2-27 | Laugh, Engage, and Remember through Online Humor Advertising on Social Media
[IEEE] 2026-2-27 | Fast Action Generation via Knowledge Distillation with Flow Matching for Social Navigation
[IEEE] 2026-2-27 | Action Transition Recognition using ST-GCN for Worker Following in Agricultural Support Robots
[IEEE] 2026-2-27 | Design of Load-Mismatch-Resilient Doherty PA Using Multiload Dual-State Optimization
[IEEE] 2026-2-27 | Distributed Flow Shop Scheduling for Prefabricated Components with Soft Time Windows and Resource Constraints
[IEEE] 2026-2-27 | A Survey on Quantum Resistant Dead Drop Communication System
[IEEE] 2026-2-27 | Enhancing Accuracy in Heart Disease Prediction Using GAN
[IEEE] 2026-2-27 | A Novel Blockchain Framework for Agriculture: Enhancing Security and Transparency with Weighted Bidding and MBP-AgroBFT
[IEEE] 2026-2-27 | Exploring Energy Arbitrage Opportunities for Battery Energy Storage Systems in United States and India
[IEEE] 2026-2-27 | Multimodal Signal Fusion via Transformer for Underwater Thruster Fault Diagnosis
[IEEE] 2026-2-27 | scikit-robot: An Integrated Framework for Solving Structural Challenges in Dynamic Modeling for Reconfigurable Robotics
[IEEE] 2026-2-27 | Design and Control Technology of Four-Switch DC Converter for Battery Energy Storage System
[IEEE] 2026-2-27 | Nature-Inspired Optimization of FO-LQR for the Control of Rotary Double Inverted Pendulum
[IEEE] 2026-2-27 | Design and Implementation of a Hall Effect-Based Pressure Monitoring System with IoT Connectivity
[IEEE] 2026-2-27 | Power Transmission Limiting Design of the Grid-Forming Converter Under Different SCRs
[IEEE] 2026-2-27 | Planar Magnetic Integration for Three-phase LCL Filter Based on Y-type Magnetic Core and Planar Litz Wire
