[2026-07-18 22:50:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-17
正在获取论文...
[ACM] 2026-7-17 | Holmes: Multimodal Agentic Diagnosis for Mixed-Language Mobile Crashes at Industrial Scale
[ACM] 2026-7-18 | Digital Transformation, TFP, and the Bullwhip Effect — The Moderating Role of Digital-Savvy Executives
[ACM] 2026-7-18 | Development of a Teaching Evaluation Indicator System for Open University Lecturers Based on the CIPP Model: A Hybrid Method Integrating AHP and Artificial Neural Network Dynamic Validation
[ACM] 2026-7-18 | Machine Learning in Complex Data Modeling: A Case Study of Wastewater Pollutants
[ACM] 2026-7-18 | Measure Twice, Locate Once: Mitigating Hallucinations in LLM-based Agents for Repository-Scale Fault Localization
[ACM] 2026-7-17 | BackportCheck: An Open-Source Tool to Support Backport Decisions in Large Software Ecosystems
[ACM] 2026-7-17 | AVDA: Autonomous Vibe Detection Authoring for Cybersecurity
[ACM] 2026-7-17 | Evaluating and Improving the Quality of LLM-Generated Code
[ACM] 2026-7-17 | SPECTRA: Specification-Oriented Static Analysis for Smart Contract Security and Behavioral Contract Inference
[ACM] 2026-7-17 | How to Value Open Source Contributions? An Institutional Perspective from CERN
[ACM] 2026-7-17 | A Survey on Consensus Mechanism in Internet of Vehicles
[IEEE] 2026-7-17 | Bilayer Polarization-Asymmetric Impedance Matching Surface for Wide-Angle Scanning Enhancement of Planar Ultra-Wideband Arrays
[IEEE] 2026-7-17 | Track 7: Smart Applications for Sustainability
[IEEE] 2026-7-17 | ICAIM 2026 Cover Page
[IEEE] 2026-7-17 | SPM-DETR: Scene-Prior Guided Cross-Partial Mixing Network for Small Object Detection in UAV Remote Sensing Imagery
[IEEE] 2026-7-17 | CAM-CD: Change-Aware Mamba for Remote Sensing Change Detection
[IEEE] 2026-7-17 | Agentic AI for Consumer Health: Conceptual Framework, Applications, and Challenges
[IEEE] 2026-7-17 | Fast Electromagnetic Transient Modeling of Transformers Based on the Partial Element Equivalent Circuit and Image Methods
[IEEE] 2026-7-17 | SpatialPower-QA: A Benchmark for Spatial Intelligence Question Answering and Reasoning in Power Scenarios
[IEEE] 2026-7-17 | Regression-aware Continual Learning for Android Malware Detection_supp1-3714132.pdf
[IEEE] 2026-7-17 | Enhancing Cancer Driver Genes Prediction via Multi-view Hypergraph and Dynamic Reward-Penalty Model_supp1-3713986.docx
[IEEE] 2026-7-17 | Unsupervised Learning Optimization for Joint Precoding and Phase Design in Mobile RIS-MIMO
[IEEE] 2026-7-17 | A Review of Machine Learning Approaches for Multi-Horizon Prediction in Sustainable Aquatic Systems
[IEEE] 2026-7-17 | Integration of IOT Technologies in Marketing, Logistics and Customer Service Management: A Comparative Analysis Between Bulgaria and EU (2021–2024)
[IEEE] 2026-7-17 | UV-Curable Additive Manufacturing for 3D RF Integration
[IEEE] 2026-7-17 | A Real-Time FPGA Accelerator for FAST Feature Detection
[IEEE] 2026-7-17 | Enhancing Edge Detection in Noisy Images by an Adaptive Threshold-Based Improved Canny Algorithm
[IEEE] 2026-7-17 | SAFENET: Image-Based Infrastructure Classification of Bridges and Viaducts for Seismic Risk Assessment
[IEEE] 2026-7-17 | AI-Enhanced Digital Twin for Carbon Capture and Storage in Extreme Climate Conditions: A Bahrain Case Study
[IEEE] 2026-7-17 | Efficient Algorithm for Rectilinear Spanning Graph Construction for 3D Integrated Circuits Routing
[IEEE] 2026-7-17 | Margin-Based Early Stopping for Adaptive Graph Reasoning in Multiple-Choice Question Answering
[IEEE] 2026-7-17 | Gas Flare Detection System based on YOLO Technique
[IEEE] 2026-7-17 | Assessing Quantum Threats to Cryptographic Hash Structures in Cyber Defense Systems Using Grover Based Oracle Modeling
[IEEE] 2026-7-17 | Research on Parameter Tuning of Quadrotor Slung Load Controller Based on Hybrid Mutation MOPSO Algorithm
[IEEE] 2026-7-17 | Comparative Efficiency Analysis of PQC Hash Algorithms (Ascon vs. SHA-3) on 64-bit Architecture for Military Data Integrity Systems
[IEEE] 2026-7-17 | Sentry: Efficient Real-Time Weapon Detection on Edge-Mobile Platforms
[IEEE] 2026-7-17 | Design System of Fish Caller Equipment based on Electromagnetic Wave and Light Emitting Diode
[IEEE] 2026-7-17 | A Decentralized Security Framework for Cloud Computing Using Blockchain and Cryptographic Techniques
[IEEE] 2026-7-17 | A Hybrid Framework for Detection of Kawasaki Disease from Clinical Images Using Yolo Resnet
[IEEE] 2026-7-17 | Design and Energy Performance Analysis of a Low-Power Solar-Assisted Indoor Air Purification System for Sustainable Buildings
[IEEE] 2026-7-17 | Recognition of Cardiac Pathology and Late Potentials on ECG Signals Using Multimodal Large Language Models
[IEEE] 2026-7-17 | Multi-Agent Federated Learning Framework for Distributed Intrusion Detection and Cyber-Physical Attack Mitigation in Smart Grid IoT Systems
[IEEE] 2026-7-17 | Community-Aware Graph Learning for Enhanced GNN-Based Recommendation
[IEEE] 2026-7-17 | Optimizing Traffic Efficiency and Emissions Using SIDRA: A Case Study of Buraydah Urban Network
[IEEE] 2026-7-17 | Ultra-Wideband Patch Antenna Simulated on a Paper-Based Substrate
[IEEE] 2026-7-17 | Exact-Inverse of Memory Behavioral PA Model for Indirect-Learning Digital Predistorter Linearization
[IEEE] 2026-7-17 | Siamese-Based Spectrogram Analysis for Children Arabic Mispronunciation Diagnosis
[IEEE] 2026-7-17 | TRIDENT: A Temporal Reinforcement Intrusion Detection Engine for Network Traffic
[IEEE] 2026-7-17 | From Innovation to Investigation: A Forensic-Centric Approach to AI Adoption in Healthcare
[IEEE] 2026-7-17 | Development of a Low-Cost Smart Navigation System for Nile River in Egypt
[IEEE] 2026-7-17 | Effect of recalescence on nucleation probability at different cooling rates in SAC305 solder
[IEEE] 2026-7-17 | An Intelligent and Accessible Framework for Cognitive Assessment in Children with Cerebral Palsy: A Scoping Review
[IEEE] 2026-7-17 | Architecture Quality Prediction Using QMOOD Metrics and Machine Learning Models: CatBoost vs TabNet
[IEEE] 2026-7-17 | Flame-Retarded and Sustainable Stereolithography Resin for Printed Circuit Boards
[IEEE] 2026-7-17 | Plant Leaf Disease Segmentation Using U-Net++: A Comparative Evaluation with Classical Baselines
[IEEE] 2026-7-17 | Distilled Hubert for Mobile Speech Emotion Recognition: A Cross-Corpus Validation Study
[IEEE] 2026-7-17 | Market Intelligence Framework for Electric Vehicle Adoption Using Consumer Preference and Demand Analysis
[IEEE] 2026-7-17 | From Simulated Networks to Trained Models: Declarative Automl for Network Research
[IEEE] 2026-7-17 | An Automated Configuration Verification Framework for Substation Equipment Based on Security Baseline Compliance
[IEEE] 2026-7-17 | Into the Wild: Bringing Federated Learning to Life
[IEEE] 2026-7-17 | Designing a Lightweight Cybersecurity Framework for Enhancing the Security of Smart Home IoT Devices
[ACM] 2026-7-18 | Research on Terminal Immersive Environment Design Based on Multimodal Interaction and Artificial Intelligence
[ACM] 2026-7-18 | A Study on Emission Characteristics and The Evaluation Rubrics of 3 Types of Fuel with Different Chemical Species
[ACM] 2026-7-18 | Multi-Agent Coordination-Based Emergency Disposal Framework for Expressway Accidents
[ACM] 2026-7-18 | Proceedings of the 2nd International Conference on Smart City and Sustainable Development
[ACM] 2026-7-18 | SPARK-KT: Illuminating Student Cognition through Stepwise Prerequisite-Aware Reasoning in Knowledge Tracing
[IEEE] 2026-7-17 | VMFormer:Visual Clues Guided Multi-Stage Transformer for Image Captioning
[IEEE] 2026-7-17 | Development of a Fully-Decoupled and Overconstrained Serial-Parallel Hybrid Mechanism with Remote Center of Motion_supp2-3714003.mp4
[IEEE] 2026-7-17 | CSFlow: A Content-Aware Secure Flow Control System for Encrypted Data Sharing in Cloud-Edge
[IEEE] 2026-7-17 | URGE: Efficient cient Decentralized Multi-Robot Exploration Guided by Unknown Regions under Limited Communication
[IEEE] 2026-7-17 | Tokenizing Complex Passwords Using Breadth-First Search and Dictionary Matching
[IEEE] 2026-7-17 | Design-Oriented Analysis and Experimental Validation of a Three-Phase Single-Stage Soft-Switching AC–DC Converter
[IEEE] 2026-7-17 | A Rational Collaborative Cross-Domain Authentication Scheme for IoV
[IEEE] 2026-7-17 | Authors Index
[IEEE] 2026-7-17 | Copyright Page
[IEEE] 2026-7-17 | A Byzantine-Robust Secure Federated Learning Scheme in Heterogeneous Data_supp1-3714122.pdf
[IEEE] 2026-7-17 | SafeSteer: Adaptive Subspace Steering for Efficient Jailbreak Defense in Vision Language Models
[IEEE] 2026-7-17 | ICCSPA 2026 Author Index
[IEEE] 2026-7-17 | Special Session 4: Artificial Intelligence for Secure, Trustworthy &amp; Resilient Autonomy (AISTRA)
[IEEE] 2026-7-17 | Implementation and Validation of An Automated Experimental Platform for Vector Network Analysis Based on Software Defined Radio
[IEEE] 2026-7-17 | Design and Fabrication of a Broadband Meta-Surface RF Window for W-Band Gyro-TWT
[IEEE] 2026-7-17 | Active Outage Mapping for Emergency Communications with Uncertainty-Aware Radio Environment Maps
[IEEE] 2026-7-17 | BALANCE: Body-Aware Locomotion With Adaptive Networked Critics and Estimation for Conflicting Objectives on Legged Robots
[ACM] 2026-7-18 | Research on Structure Deformation Monitoring Based on UAV
[ACM] 2026-7-18 | Evaluation of Urban Road Importance and Vulnerability Simulation Analysis Based on Complex Graph Theory
[ACM] 2026-7-18 | Sensitivity Analysis of Dominant Factors Affecting Capacity at a Signalized Urban Intersection
[ACM] 2026-7-18 | Research on the Driving Mechanism of AI Empowerment on Agricultural E-commerce in Revolutionary Base Areas: The Mediating Role of Supply Chain Resilience and the Moderating Role of Digital Infrastructure
[ACM] 2026-7-18 | Evaluation of the Capacity of Disaster Emergency Shelters Based on ArcGIS Spatial Network Analysis
[IEEE] 2026-7-17 | Development and Performance Evaluation of an Automatic ON and OFF Switch for Street Light System Using Analog Components
[IEEE] 2026-7-17 | Mitigating Bias in LLM-Augmented Knowledge Graphs: A Holistic Overview
[IEEE] 2026-7-17 | A Recommender System for Faculty Members to Support Students with Disabilities in Higher Education
[IEEE] 2026-7-17 | Loss Compensation and Tunable Surface Polaritons in Ferrite–Semiconductor Hypercrystals under Magnetic Bias
[IEEE] 2026-7-17 | Analysis of Linearity Degradation due to Clock Routing Delay In Digital Transmitters
[IEEE] 2026-7-17 | ECG-Sense: Demonstration of a Wearable ECG Patch with an On-Device TinyML Engine for Real-Time Arrhythmia Detection
[IEEE] 2026-7-17 | Machine Learning-Assisted Optimization of Photonic Crystal Fiber-Surface Plasmon Resonance (PCF-SPR) Sensors for Microplastic Detection
[IEEE] 2026-7-17 | Concurrent Speech-Related Throat Vibration and Vital Signs Sensing Using a mmWave Radar
[IEEE] 2026-7-17 | Performance Evaluation of Meta-Heuristic Algorithms for Multi-Robot Task Allocation
[IEEE] 2026-7-17 | Current-Voltage Characterisation Of por-Si Metal-Phthalocyanine Heterostructures
[IEEE] 2026-7-17 | Tenancy-Aware AI Automation for B2B SaaS Admin Workflows
[IEEE] 2026-7-17 | Multi-Hop Causal Evidence Retrieval for Retrieval Augmented Generation
[IEEE] 2026-7-17 | C'est Bon: Contrastive Explanation for Multi-Class Graph Neural Networks
[IEEE] 2026-7-17 | Energy Harvesting from Low-Amplitude Vibrations in Household Appliances
[IEEE] 2026-7-17 | IEEE Standard for Mobile Gaming Systems Integration Framework
[IEEE] 2026-7-17 | A Hybrid Feature Selection and Ensemble Learning Framework for Accurate Student Performance Prediction in E-Learning Environments
[IEEE] 2026-7-17 | Synthesis and Properties of the Composite Materials with Nickel-Zinc and Nickel-Zinc-Copper Spinels for the Microwave-Absorbing Coatings
[IEEE] 2026-7-17 | Advancing the Detection of Autism Spectrum Disorder: A Comparative Study on Machine Learning, Deep Learning and Multimodal EEG-Facial Image Approaches
[IEEE] 2026-7-17 | Validation and Optimization of Machine Learning-Based Intrusion Detection on Automotive Microcontrollers: Simulation-to-Hardware Comparison and Algorithm Refinement
[IEEE] 2026-7-17 | Detecting and Mitigating IoT-Based Threats Through Automated Self-Healing Defenses
[IEEE] 2026-7-17 | Magnetoelectric Information and Measurement System Based on Poly-Si Layers in Silicon-onInsulator Structures
[IEEE] 2026-7-17 | A Baseline SMILES-Based Machine Learning Framework for Binary Drug–Drug Interaction Prediction
[IEEE] 2026-7-17 | Estimation of Energy Consumption for the GCC Countries
[IEEE] 2026-7-17 | Passive Dipole Antenna Systems in Biomedical Use
[IEEE] 2026-7-17 | Smart Bed with Vital Signs Monitoring: ML-Driven Calibration, Agreement Testing, and Reliability Scoring
[IEEE] 2026-7-17 | Integrating Generative AI in Early Design Stages for Architectural and Interior Design Projects
[IEEE] 2026-7-17 | Trustworthy Mental Health Assessment via Confidence-Guided LLMs
[IEEE] 2026-7-17 | MAF-NET: Multi-Modal Adaptive Fusion Network for Robust Weapon Detection in Surveillance Videos
[IEEE] 2026-7-17 | Elastic Properties and Cascade Collisions of U-rich γ-phase Uranium-Zirconium Fuels: A Molecular Dynamic Calculation Study
[IEEE] 2026-7-17 | Hybrid Damping Strategies with Buckling-Restrained Braces and Viscous Dampers for High-Rise Seismic Protection
[IEEE] 2026-7-17 | IoT-Enabled Smart Biosensors with AI for Continuous Glucose Monitoring
[IEEE] 2026-7-17 | Pulse Coding in the Study of the Lower Ionosphere by the Incoherent Scatter Method
[IEEE] 2026-7-17 | Millimeter-Wave Interferometric Radar for Non-Contact Water Surface Velocity Measurement
[IEEE] 2026-7-17 | Automated Diabetes Stage Classification Using Tongue Visual Features
[IEEE] 2026-7-17 | Spatial Prediction of Fatal Road Accidents Using GIS and Machine Learning: Bahrain Case Study
[IEEE] 2026-7-17 | Preliminary Investigation of Urban Vertical Greening for a Dense Residential Area in Bahrain
[IEEE] 2026-7-17 | AI-Driven Bioinformatics for Deciphering Circular RNA (circRNA) Mechanisms in Qingre Huayu Recipe for Cerebral Infarction Therapy
[IEEE] 2026-7-17 | Research on GPU-accelerated L2 Regularization Optimization Techniques in Deep Learning and a Comprehensive Analysis of their Impact on Model Generalization Error
[IEEE] 2026-7-17 | Study on Influencing Factors of Anti-Reflective Cracking Performance of Highway Geotextile based on Extended Finite Element Method
[ACM] 2026-7-17 | MIMIC-Py: An Extensible Tool for Personality-Driven Automated Game Testing with Large Language Models
[ACM] 2026-7-17 | BayesInsights: Modelling Software Delivery and Developer Experience with Bayesian Networks at Bloomberg
[ACM] 2026-7-17 | Beyond Text: Understanding How Multimodal Generative AI Impacts Students Learning Software Development (Extended Abstract)
[ACM] 2026-7-17 | Improving AI tools using measures of brain activity
[ACM] 2026-7-17 | The Stylistic Blind Spot: Uncovering the Hidden Implicit Bias of Coding Style on LLM Code Evaluation
[ACM] 2026-7-17 | Representation Learning for Software Architecture Recovery
[ACM] 2026-7-17 | Round-trip Engineering for Tactical DDD: A Constraint-Based Vision for the Masses
[ACM] 2026-7-18 | SHAM-AI: A Self-Healing and Adaptive Multi-Modal Anomaly Intelligence Framework for Securing Cloud Digital Twins
[ACM] 2026-7-17 | ZION: System Exploration With Class Contours
[ACM] 2026-7-17 | It’s Not Just Timestamps: A Study on Docker Reproducibility
[ACM] 2026-7-17 | Detecting and Validating Read-Only Reentrancy-Induced Price Manipulation via Learned Contract Semantics
[ACM] 2026-7-17 | LLM-Based Grid-World Path Planning With Probabilistic Model Checking
[ACM] 2026-7-17 | Trust the AI, Doubt Yourself: The Effect of Urgency on Self-Confidence in Human-AI Interaction
[ACM] 2026-7-17 | Generative AI and the Future of Professional Software Development: Survey Findings from Finland
[IEEE] 2026-7-17 | MonoEndoCal: Autonomous Calibration for Tendon-Driven Endoscopic Robots Using Monocular Vision_supp1-3711078.mp4
[IEEE] 2026-7-17 | Front Cover
[IEEE] 2026-7-17 | LiteRoute: Lightweight Latent Routing for Low-Light Enhancement
[IEEE] 2026-7-17 | Health Damage Mitigation in Generation Expansion Planning via Surrogate Neural Network Reformulation and Embedding
[IEEE] 2026-7-17 | Spatially-Aligned Chroma from Luma Prediction for Lossless JPEG XS Raw Image Compression
[IEEE] 2026-7-17 | Bidding Aggregated Flexibility in European Electricity Auctions
