[2026-06-06 23:04:20] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-05
正在获取论文...
[ACM] 2026-6-5 | Hop-wise Planning with Iterative Explainable Self-Correction for Knowledge Base Question Answering
[IEEE] 2026-6-5 | System Integrated Global Machine Automation OS (SIGMA OS)
[IEEE] 2026-6-5 | Predicting Social Engineering Attacks Using an AI-Agent-Driven Detection Model
[IEEE] 2026-6-5 | Dynamic Factor Model-Based Multiperiod Mean-Variance Portfolio Selection with Portfolio Constraints
[IEEE] 2026-6-5 | A Parameter-Free Multi-view Clustering Framework with Adaptive Anchors for Large-scale Data
[IEEE] 2026-6-5 | Masthead
[IEEE] 2026-6-5 | UPhy-Diff: A Text-guided Multimodal Physical Diffusion Model for Underwater Image Enhancement
[IEEE] 2026-6-5 | Joint Optimization of Trajectory Control, Resource Allocation, and Task Offloading for Multi-UAV-Assisted IoV
[IEEE] 2026-6-5 | Embedded Computational Cost Analysis of a Hybrid AI/Physics-Based State-of-Charge Estimation Method for Lithium-Ion Batteries
[IEEE] 2026-6-5 | Integrating Identification and Regulation: A Foreign-Load Adaptive Balance Control Framework for Biped Robots via a Hierarchical Hip–Ankle Strategy
[IEEE] 2026-6-5 | Event-Triggered Fixed-Time Orbital Tracking Control of Spacecraft via Fuzzy Reinforcement Learning
[IEEE] 2026-6-5 | Multi-Domain Performance Assessment of Double-Gate Tunnel FETs for Low-Power Sensing Applications
[IEEE] 2026-6-5 | Data-Clustering based Adaptive Mechanism for Constrained Multi-objective Model Predictive Control Without Weighting Parameters
[IEEE] 2026-6-5 | AI-based Design, Optimization and Validation of a CMOS 65nm Current Conveyor IC for Chest Electrical Impedance Tomography
[IEEE] 2026-6-5 | Enhancement of RGB-based Human Action Recognition via Event-Inspired Multitask Learning
[IEEE] 2026-6-5 | MPQ-DMv2: Flexible Residual Mixed Precision Quantization for Low-Bit Diffusion Models With Temporal Distillation
[IEEE] 2026-6-5 | Steiner and Poisson Traversal Initializations: Initial Curve Optimization for Geometric Flow-based Surface Filling
[IEEE] 2026-6-5 | Fire Danger and Intensity Response to Vegetation Properties and Weather Conditions in Eastern Asia Using Multi-Layer Perceptron
[IEEE] 2026-6-5 | Composite Control With Prescribed Performance for High-Speed Maglev Train Levitation Systems
[IEEE] 2026-6-5 | Dynamic Asymmetric Group Key Agreement Without Pairing for Distributed Online Social Networks
[IEEE] 2026-6-5 | Front Cover
[IEEE] 2026-6-5 | A Worm-like Robot for Ferromagnetic Surface Inspection_supp4-3683248.mp4
[IEEE] 2026-6-5 | Call for Ideas
[IEEE] 2026-6-5 | Multi-Agent Deep Contrastive Reinforcement Learning-Based Energy-Efficient Routing for Internet of Things
[IEEE] 2026-6-5 | AI-Enhanced Financial NLP for Bitcoin Return Variation Prediction: Timestamp-Aware Evidence from Trump’s Tweets
[IEEE] 2026-6-5 | Deep Learning for Postpartum Depression Prediction Using Behavioral Data: A Systematic Review
[IEEE] 2026-6-5 | A Fully Linearized Electricity Market Clearing Model Utilizing Generalized Polynomial Approximation
[IEEE] 2026-6-5 | SKY-Chunks: A Session-Key-Guided Chunking System for Lightweight and Secure LoRaWAN Image Delivery
[IEEE] 2026-6-5 | Vertical GaN-on-GaN finFETs: Effect of SiN Spacer Layer on Breakdown Voltage and Device Stability Under Gate Bias Stress_supp1-3694359.pdf
[IEEE] 2026-6-5 | A Compact NIR dToF Sensor for High-precision LiDAR Measurement with an Area-efficient Error Calibration Circuit
[IEEE] 2026-6-5 | Dual-Comb Spectroscopy of SF
                    <sub>6</sub>
                    Using Free-Running Quantum Cascade Lasers Near 7.9 μm
[IEEE] 2026-6-5 | TSF-DETR: Two-Stage Frequency-Domain Enhancement DETR for Small Object Detection in Remote Sensing
[IEEE] 2026-6-5 | A Worm-like Robot for Ferromagnetic Surface Inspection_supp1-3683248.mp4
[IEEE] 2026-6-5 | Sardinia's Energy Future Hinges on its Past: Ancient and Recent History Keep the Island Stuck on Coal
[IEEE] 2026-6-5 | Zero Trust Network Architecture for Secure Cyberinfrastructure
[IEEE] 2026-6-5 | Preprocessing Real-world Hazy Images for Improved Results of DehazeFormer
[IEEE] 2026-6-5 | Modern Advances in Secure Multi-Party Computation: Protocols, Implementations, and Emerging Applications
[IEEE] 2026-6-5 | Tablet to Table:From Dosage to Dish-An AI Alchemy
[IEEE] 2026-6-5 | A Lightweight Framework for Emotion Drift and Asymmetry Detection in Explainable Deepfake Analysis
[IEEE] 2026-6-5 | Machine Learning and Smart PLS Approach to Understanding Individual and Technological Determinants of Work Engagement and Workplace Happiness
[IEEE] 2026-6-5 | Anomatrix: WiFi Anomaly Detection
[IEEE] 2026-6-5 | Evaluating Financial Impact of Misclassifications in Credit Scoring Through IRR Analysis
[IEEE] 2026-6-5 | SignGemma Multilingual Expansion: Integrating Indian Sign Language(ISL) For Accessible Real Time Translation
[IEEE] 2026-6-5 | Translator-Oriented AI for Medical Record Reconciliation (TOAI-MR)
[ACM] 2026-6-5 | Learning from Rendering: Realistic and Controllable Extreme Rainy Image Synthesis for Autonomous Driving Simulation
[IEEE] 2026-6-5 | Front Cover
[IEEE] 2026-6-5 | Beamforming and Deployment Design for Cooperative AAV-enabled ISAC with Rate-Splitting Multiple Access under Imperfect CSI
[IEEE] 2026-6-5 | EEPNet-V2: Patch-to-Pixel Solution for Efficient Cross-Modal Registration between LiDAR Point Cloud and Camera Image
[IEEE] 2026-6-5 | Analyzing gait pattern associated with neuropsychiatric symptoms in Parkinson’s Disease by a comprehensive approach
[IEEE] 2026-6-5 | Revocable Gateway-Centric Trust for Consumer Electronics Using Distributed Ledger Technology
[IEEE] 2026-6-5 | Voltage and Frequency Restoration Control With State-Constrained Prescribed Performance for Islanded AC Microgrids
[IEEE] 2026-6-5 | Causal Clothes-Invariant Feature Learning for Cloth-Changing Person Re-ID
[IEEE] 2026-6-5 | A Rate-Distortion Optimized Skip Mode Coding Framework for Neural Video Compression in AVS
[IEEE] 2026-6-5 | Table of Contents
[IEEE] 2026-6-5 | A Voltage-Controlled Current Source Approach for Transient Electrothermal Analysis of IC Interconnects Under ESD Pulses
[IEEE] 2026-6-5 | O
                    <sub>2</sub>
                    AS: Optimistic Online Aerial Search via Vision-Language Models
[ACM] 2026-6-6 | Data complement: Utilizing Realistic Wildlife Images Generated by Different Models as Training Data to Enhance the Performance of ViT and ConvNeXt Models for Wildlife Monitoring
[IEEE] 2026-6-5 | Zero-Shot Network Intrusion Detection Using Semantic Learning and CVAE Augmentation
[IEEE] 2026-6-5 | Pneumothorax Detection and Severity Estimation Via Chest Radiographs
[IEEE] 2026-6-5 | Finding My Path in Electromagnetics: Lessons Across Borders and Disciplines:
                    <i>A Personal Reflection on Research, Mentorship, and Global Collaboration</i>
                    (Young Professionals
                    <i>)</i>
[IEEE] 2026-6-5 | The Final Exam? [Turnstile]
[IEEE] 2026-6-5 | AquaScope: A Secure, Edge-Native Framework for Real-Time Aquatic Habitat Monitoring
[IEEE] 2026-6-5 | Text to Treatment - T2T: Memory Enhanced Retrieval Augmented Generation (RAG) Framework for Personalize Ayurvedic Medicine
[IEEE] 2026-6-5 | Benchmarking the Effectiveness of AI-Driven Red Teaming Across Safety-Aligned Language Models
[IEEE] 2026-6-5 | Hybrid Spiking Convolutional Neural Network (H-SCNN) on AudioMNIST
[IEEE] 2026-6-5 | Evaluation of Object Detection Models on Indian Road Scenarios for Pothole Detection
[IEEE] 2026-6-5 | Establishing a lightweight CNN Baseline on the SalmonScan Dataset for Fish Disease Detection
[ACM] 2026-6-5 | High performance fully in-GPU parallel inductive learner in description logic
[ACM] 2026-6-6 | The Challenge and Consideration for Informed Consent in Robotic and Intelligent Surgery
[IEEE] 2026-6-5 | Fuzzy Neural Networks-Based Prescribed-Time Fault-Tolerant Cooperative Control of Second-Order Nonlinear Heterogeneous Multiagent Systems
[IEEE] 2026-6-5 | Recessed-Gate Enhancement-Mode GaN HEMTs: Pre-Stress-Free High-Voltage Pulse Testing and Its Effects on Dynamic On-Resistance
[IEEE] 2026-6-5 | Beyond Switching: Adaptive Weighted Integration for Learning-Augmented Caching
[IEEE] 2026-6-5 | Diagonal Asymmetric Phase-Shift Modulation based Fault-Tolerant Method for Magnetic Network-based Energy Router under Switch Open-Circuit Fault
[IEEE] 2026-6-5 | MESE: Mining Emotional and Semantic Evolution from User Comments for Fake News Detection_supp1-3690971.pdf
[IEEE] 2026-6-5 | Online Max-Min Fairness Guarantee for Request Completion Rates in Collaborative Edge Inference_supp1-3698398.pdf
[IEEE] 2026-6-5 | LMQBDANet: A Lightweight Rolling Bearing Fault Diagnosis Model with Multiscale Quadratic and Broadcast Denoising Attention
[IEEE] 2026-6-5 | DARE: An Explainable AI-visualization Framework for Ill-defined Decision Making
[IEEE] 2026-6-5 | Correlation Mechanism of Cranial Bone Mechanical Characteristics and CT Imaging Features in Robot-Assisted Craniotomy
[IEEE] 2026-6-5 | Fine-Grained Detection and Analysis of Unknown Encrypted Malicious Traffic From Mixed Noisy Labels_supp1-3697849.pdf
[IEEE] 2026-6-5 | A Worm-like Robot for Ferromagnetic Surface Inspection_supp5-3683248.mp4
[IEEE] 2026-6-5 | Rethinking Your Writing: Rhetoric for Reflective Writers: E. Shelley Reid: [Book Review]
[IEEE] 2026-6-5 | High-dimensional Static Security Region Based on Hyper-planes–Vertex Calculation
[IEEE] 2026-6-5 | EBMIF: Energy-Balanced Multi-Path Interest Forwarding in Underwater Named Data Networking
[IEEE] 2026-6-5 | LAMC2026 CFP
[IEEE] 2026-6-5 | Table of Contents
[IEEE] 2026-6-5 | Electrochemical Characterization and DRT-Guided ECM Modeling of Commercial Sodium-Ion 18650 Cells
[IEEE] 2026-6-5 | ObjSplat: Geometry-Aware Gaussian Surfels for Active Object Reconstruction
[IEEE] 2026-6-5 | Automated Co-optimization Framework of Feature Selection and Ensemble Learning for Wafer Yield Prediction
[IEEE] 2026-6-5 | Resource-Efficient Neural Network for Crop Damage Classification in Precision Agriculture_supp1-3686363.pdf
[IEEE] 2026-6-5 | A diffusion-based sequential recommender via partial noise injection and cross-expert comparison
[IEEE] 2026-6-5 | Machine Learning Based System for Identification of Laghu and Guru in Sanskrit Verse
[IEEE] 2026-6-5 | Selective Layer Adaptive Attacks Against Federated Large Language Models
[IEEE] 2026-6-5 | LLM-Powered Text-to-SQL Generation and Data Visualization
[IEEE] 2026-6-5 | Leveraging Vision-Language Models for Movie Genre Prediction: A Comparative Analysis of BLIP, CLIP, ViLT, and FLaVA
[IEEE] 2026-6-5 | Integrating Supervised Learning Paradigms for Enhanced Marketing Campaign Outcome Prediction
[IEEE] 2026-6-5 | Speech Response Latency Analysis in Children for Early Autism Detection
[IEEE] 2026-6-5 | Sentiment Analysis on IMDB Reviews: A Comparative Study of Bag-of-Words, Deep Learning, and Transformer Models
[IEEE] 2026-6-5 | Attention Is All You Need [From the Editor]
[IEEE] 2026-6-5 | AI-Driven Sports Analytics: A Comprehensive Review of Player Performance and Injury Prediction Using Data Science
[ACM] 2026-6-6 | Create Classification model to Detect Glioma Meningioma Pituitary Malignant Cell Based on Artificial Intelligent
[IEEE] 2026-6-5 | Diffraction and Scattering Modeling for Laser Power Beaming in Lunar Environment
[IEEE] 2026-6-5 | SAFER: Self-Attentive Feature Extraction and Reduction
[IEEE] 2026-6-5 | Reinforcement Learning for Urban Business Intelligence_supp1-3692595.pdf
[IEEE] 2026-6-5 | Polarimetric Ground and Volume Decomposition based on the PolInSAR Two-Layer model
[IEEE] 2026-6-5 | Analysis and Optimization of OIRS-Aided VLC Systems with Random UE Orientation and Complete LoS Blockage
[IEEE] 2026-6-5 | Load Frequency Control of Multisource Power System: Enhanced Counterfactual Multiagent Strategy Approach
[IEEE] 2026-6-5 | Spatiotemporal Gap-Filling of GOCI-II Chlorophyll-a Using Attention-Based Partial Convolution Model_supp1-3700216.pdf
[IEEE] 2026-6-5 | Nonlinear PDE Constrained Optimal Dispatch of Gas and Power: A Global Linearization Approximation Approach
[IEEE] 2026-6-5 | CSS Distinguished Lecturers Program Highlights [Member Activities]
[IEEE] 2026-6-5 | Content-preserved augmentation and style-transferred normalization for single domain generalization
[IEEE] 2026-6-5 | Flexible Prescribed-Time Optimal Control With Adaptive State–Input Constraint Bounds via Actor–Critic Learning
[IEEE] 2026-6-5 | On the Construction and Correlation Properties of Permutation-Interleaved Zadoff-Chu Sequences
[IEEE] 2026-6-5 | Cylindrical Mechanical Projector for Omnidirectional Fringe Projection Profilometry
[IEEE] 2026-6-5 | Enhanced Dual-Phase Continuous Phase Modulation Spread-Spectrum Communication Method for LEO Constellations
[IEEE] 2026-6-5 | Corridor-Driven Topological Planning With Nonlinear MPC for Agile Quadrotor Flight_supp1-3700428.mp4
[IEEE] 2026-6-5 | Unsupervised Deep Learning Method for Non-Invasive Early Detection of Skin Cancer via Millimeter-Wave Imaging
[IEEE] 2026-6-5 | Deep Learning-Based Stock Prediction Leveraging Financial Sentiment and Market Indicators
[IEEE] 2026-6-5 | PIPE4EQ: Practical Secure ECG Abnormality Queries by Cloud-Assisted Biosignal Monitoring
[IEEE] 2026-6-5 | Evaluating CNN Model Accuracy and FPGA Resource Utilization in Quadrant-Based Facial Emotion Recognition
[IEEE] 2026-6-5 | A Systematic Survey on Cryptography-Driven Privacy in Machine Learning
[IEEE] 2026-6-5 | Secure AI-Driven eConsent Platforms: Enhancing Trust, Compliance, and Participation in Clinical Research
[IEEE] 2026-6-5 | Knowledge Graph-Driven Automated Generation of SystemVerilog Assertions from Design Specifications
[IEEE] 2026-6-5 | Impacted Tooth Detection Using MobileNetV2
[IEEE] 2026-6-5 | Acoustic Based Real-Time Monitoring and Alert System for Illegal Logging Detection
[IEEE] 2026-6-5 | Impact of TSV Geometry on Thermal Attack Vulnerability in 2.5D and 3D Integrated Circuits
[IEEE] 2026-6-5 | Investilyze - Personalized Investment Advisor for Diverse Asset Classes
[IEEE] 2026-6-5 | SAPH-Kyber: Stage-Aware Pipeline Hardening for CRYSTALS-Kyber NTT Against Transient Faults
[IEEE] 2026-6-5 | Deep Reinforcement Learning-Aided Strategies for Big Data Offloading in Vehicular Networks
[ACM] 2026-6-6 | Edge-Cloud Collaborative Semantic Image Compression and Generative Reconstruction for Low-Bandwidth Transmission
[IEEE] 2026-6-5 | Reliable LLM-Based Edge-Cloud-Expert Cascades for Telecom Knowledge Systems
[IEEE] 2026-6-5 | Temporal Redundancy-Aware Edge–Cloud Collaboration for Efficient Video Transformer Inference
[IEEE] 2026-6-5 | J. Microwaves Special 75th MTT Anniversary CFP
[IEEE] 2026-6-5 | IEEE Proceedings
[IEEE] 2026-6-5 | DifferSeg: Towards Diverse Multimodal Binary Segmentation via Differential Perception and Frequency Guidance
[IEEE] 2026-6-5 | Front Cover
[IEEE] 2026-6-5 | Design and Evaluation of an Educational Virtual Agent Based on Retrieval-Augmented Generation for the Entrepreneurship Culture Course in Higher Education
[IEEE] 2026-6-5 | Reinforcement Learning-Based Event-Triggered Neural Networks Adaptive Fault-Tolerant Optimal Control for Stochastic Nonlinear Systems
[IEEE] 2026-6-5 | Efficient Micro-LED Defect Detection Using a Pruned YOLO with CBAM and Class-Oriented Replacement Augmentation
[IEEE] 2026-6-5 | A Wideband Filtering Folded Transmitarray Antenna with High Selectivity Based on Metasurface
[IEEE] 2026-6-5 | Joint Design of Bandwidth-Constrained Waveform and Mismatched Filter for Integrated Detection and Jamming System
[IEEE] 2026-6-5 | Past Forward: Learning to Walk
[IEEE] 2026-6-5 | Hyperspectral Inversion of Soil Heavy Metals in Chuzhou City with Different Spectral Transformation and Modeling Methods
[IEEE] 2026-6-5 | Table of Contents
[IEEE] 2026-6-5 | Post-Quantum Authentication for Resource-Constrained IoT: A Comparative Study of Hash-Based Signatures on RP2350
[IEEE] 2026-6-5 | Engineering Spatiotemporal Forecasts at Scale: Dhaka Weather with State-Of-the Art Machine Learning Models
[IEEE] 2026-6-5 | PrepInterview: A Multimodal AI System To Enhance Student Interview Skills Through Behavioural And Speech Analysis
[IEEE] 2026-6-5 | Computer Vision Based Approach for Ergonomic Posture Monitoring in Working Environments: Leveraging YOLO11s Pose Model along with an XGBoost Classifier
[IEEE] 2026-6-5 | Outcome Prediction in Angioplasty Procedures Using ResNet18 and AlexNet
[IEEE] 2026-6-5 | AI-Driven Secure RIS Beam Prediction for O-RAN-Enabled B5G Networks
[IEEE] 2026-6-5 | Hardware Trojan Detection Through Electro-Optical Frequency Mapping Combined with Test Patterns
[ACM] 2026-6-6 | Modeling and Forecasting Genre Popularity in Spotify Music Through Audio Feature Analysis Using XGBoost and ARIMA Time Series Forecasting
[IEEE] 2026-6-5 | Cleansort: A Waste Image Classification System for Smart Cities
[IEEE] 2026-6-5 | Brain Models, Path Planning, and a Python Tool [About this Issue]
[IEEE] 2026-6-5 | EASEL: Effective Actionable Surveillance with Enhanced Layered User Interfaces for Secure Remote Drone Identification using LoRa Communication
