[2025-12-16 09:15:41] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-15
正在获取论文...
[arXiv] 2025-12-15 | Intrinsic Geometry of Operational Contexts: A Riemannian-Style Framework for Quantum Channels
[arXiv] 2025-12-15 | Developing a valence force field model for wurtzite semiconductors by exploiting similarities with [111]-oriented zinc blende systems: The case of wurtzite boron nitride, III-N materials and (B,In,Ga)N alloys
[arXiv] 2025-12-15 | Transport of Dirac magnons driven by gauge fields
[arXiv] 2025-12-15 | Automated User Identification from Facial Thermograms with Siamese Networks
[arXiv] 2025-12-15 | UCRBench: Benchmarking LLMs on Use Case Recovery
[arXiv] 2025-12-15 | Fast Policy Learning for 6-DOF Position Control of Underwater Vehicles
[arXiv] 2025-12-15 | Standardizing reverberation-mapped H$β$ active galactic nuclei using time-averaged radius$-$luminosity relations with 5100\,Å\,, broad H$β$, and narrow \OIII\ luminosities
[arXiv] 2025-12-15 | Idempotents in the Ellis semigroup of Floyd-Auslander systems
[arXiv] 2025-12-15 | Fault-tolerant multi-qubit gates in Parity Codes
[arXiv] 2025-12-15 | The free $F$-restriction semigroups
[arXiv] 2025-12-15 | Shadows of rotating traversable wormholes surrounded by plasma
[arXiv] 2025-12-15 | Error-Driven Prompt Optimization for Arithmetic Reasoning
[arXiv] 2025-12-15 | Chirality Imprinting and Spin-texture Tunability in Conformally Coated 3D Magnetic Nanostructured Metamaterials
[arXiv] 2025-12-15 | KlingAvatar 2.0 Technical Report
[arXiv] 2025-12-15 | Abelianization of the $\operatorname{SL}_2$ Hitchin connection at level four
[arXiv] 2025-12-15 | ShowTable: Unlocking Creative Table Visualization with Collaborative Reflection and Refinement
[arXiv] 2025-12-15 | DarkSHINE: Search for Light Dark Matter at the SHINE Facility in Shanghai
[arXiv] 2025-12-15 | MedInsightBench: Evaluating Medical Analytics Agents Through Multi-Step Insight Discovery in Multimodal Medical Data
[arXiv] 2025-12-15 | Determining social mechanisms for sequential decision-making in a virtual pedestrian route choice experiment
[arXiv] 2025-12-15 | Lightweight Dynamic Modeling of Cable-Driven Continuum Robots Based on Actuation-Space Energy Formulation
[arXiv] 2025-12-15 | Low-Complexity Monitoring and Compensation of Transceiver IQ Imbalance by Multi-dimensional Architecture for Dual-Polarization 16 Quadrature Amplitude Modulation
[arXiv] 2025-12-15 | Distillation of continuous variable qudits from single photon sources: A cascaded approach
[arXiv] 2025-12-15 | APOGEE physical properties of globular cluster tidal tails
[arXiv] 2025-12-15 | Chiral-helical junctions in screened graphene
[arXiv] 2025-12-15 | Non-detection of J1407b in ALMA Band 7 Observations
[arXiv] 2025-12-15 | Toward Ambulatory Vision: Learning Visually-Grounded Active View Selection
[arXiv] 2025-12-15 | Fair Coordination in Strategic Scheduling
[arXiv] 2025-12-15 | Interference-Free RIS-Aided Cell-Free Massive MIMO with Physical Layer Security
[arXiv] 2025-12-15 | A Decision Support Framework for Blockchain Pattern Selection Based on Soft Goals
[arXiv] 2025-12-15 | CORE: Contrastive Masked Feature Reconstruction on Graphs
[arXiv] 2025-12-15 | Beyond general relativity: probing gravity with gravitational redshifts
[arXiv] 2025-12-15 | A Unified Framework for Automated Assembly Sequence and Production Line Planning using Graph-based Optimization
[arXiv] 2025-12-15 | Rethinking Physics-Informed Regression Beyond Training Loops and Bespoke Architectures
[arXiv] 2025-12-15 | Multi-directional Safe Rectangle Corridor-Based MPC for Nonholonomic Robots Navigation in Cluttered Environment
[arXiv] 2025-12-15 | Towards Secure Decentralized Applications and Consensus Protocols in Blockchains (on Selfish Mining, Undercutting Attacks, DAG-Based Blockchains, E-Voting, Cryptocurrency Wallets, Secure-Logging, and CBDC)
[arXiv] 2025-12-15 | On infinitesimal deformations of singular varieties II
[arXiv] 2025-12-15 | Martingales On A Euclidean Manifold With A Boundary And Reflected BSDES In Non-Convex Domains
[arXiv] 2025-12-15 | Empirical Bayes learning from selectively reported confidence intervals
[arXiv] 2025-12-15 | Decomposition theorems for unmatchable pairs in groups and field extensions
[arXiv] 2025-12-15 | Asymptotic Normality of Subgraph Counts in Sparse Inhomogeneous Random Graphs
[arXiv] 2025-12-15 | Sharpness-aware Dynamic Anchor Selection for Generalized Category Discovery
[arXiv] 2025-12-15 | Open Source Software and Data for Human Service Development: A Case Study on Predicting Housing Instability
[arXiv] 2025-12-15 | Lie Superalgebras and Generalized Kazhdan-Lusztig Polynomials
[arXiv] 2025-12-15 | Observation of a Stripe/nematic Phase of Composite Fermions
[arXiv] 2025-12-15 | The spectral radius of $1$-planar graphs without complete subgraphs
[arXiv] 2025-12-15 | Predictive Sample Assignment for Semantically Coherent Out-of-Distribution Detection
[arXiv] 2025-12-15 | Non-equilibrium fluctuations for the stirring process with births and deaths
[arXiv] 2025-12-15 | Predicted-occupancy grids for vehicle safety applications based on autoencoders and the Random Forest algorithm
[arXiv] 2025-12-15 | Ergodic Average Dominance for Unimodular Amenable Groups
[arXiv] 2025-12-15 | Non-Compact Proofs
[arXiv] 2025-12-15 | Meta-GPT: Decoding the Metasurface Genome with Generative Artificial Intelligence
[arXiv] 2025-12-15 | Tracing the Early Milky Way with Globular Clusters: The Diagnostic Power of Neutron-Capture Elements
[arXiv] 2025-12-15 | Probing Pair Density Waves with Twisted Josephson Junctions
[arXiv] 2025-12-15 | Sharpen the Spec, Cut the Code: A Case for Generative File System with SYSSPEC
[arXiv] 2025-12-15 | On the magnetic 2+1- D space-time and its non-relativistic counterpart
[arXiv] 2025-12-15 | On diameter rigidity for Kähler manifolds with positive holomorphic sectional curvature
[arXiv] 2025-12-15 | Image Diffusion Preview with Consistency Solver
[arXiv] 2025-12-15 | A Deep Learning Model of Mental Rotation Informed by Interactive VR Experiments
[arXiv] 2025-12-15 | Historical claims problems
[arXiv] 2025-12-15 | Behavior and Representation in Large Language Models for Combinatorial Optimization: From Feature Extraction to Algorithm Selection
[arXiv] 2025-12-15 | The First X-Ray Polarimetry of an Eclipsing Low-Mass X-Ray Binary: Serendipitous IXPE Observation of AX J1745.6-2901
[arXiv] 2025-12-15 | Metasurface lasers programmed by optical pump patterns
[arXiv] 2025-12-15 | Non-parametric exploration of minimally coupled gravity with phantom crossing
[arXiv] 2025-12-15 | Bridging Simulations and EFT: A Hybrid Model of the Lyman-Alpha Forest Field
[arXiv] 2025-12-15 | SEDULity: A Proof-of-Learning Framework for Distributed and Secure Blockchains with Efficient Useful Work
[arXiv] 2025-12-15 | Performance Limits of Hardware-Constrained THz Inter-Satellite MIMO-ISAC Systems
[arXiv] 2025-12-15 | Why do we Need Observers? Spontaneous Breaking of Time-Reversal in de Sitter Space
[arXiv] 2025-12-15 | Linear Regression in a Nonlinear World
[arXiv] 2025-12-15 | Universality of high-dimensional scaling limits of stochastic gradient descent
[arXiv] 2025-12-15 | Torus Time-Spectral Method for Quasi-Periodic Problems
[arXiv] 2025-12-15 | Limit theorems for sticky SDEs with local times and applications to stochastic homogenization
[arXiv] 2025-12-15 | Quantum channel tomography and estimation by local test
[arXiv] 2025-12-15 | Machine learning to optimize precision in the analysis of randomized trials: A journey in pre-specified, yet data-adaptive learning
[arXiv] 2025-12-15 | Do-Undo: Generating and Reversing Physical Actions in Vision-Language Models
[arXiv] 2025-12-15 | DBT-DINO: Towards Foundation model based analysis of Digital Breast Tomosynthesis
[arXiv] 2025-12-15 | Thermoplasmonics under optically coupled regime: A Numerical Study of Dimers, Nanolenses, and Switchable Clusters
[arXiv] 2025-12-15 | On the existence of solutions of dynamic equations on time scales in Banach spaces
[arXiv] 2025-12-15 | DA-SSL: self-supervised domain adaptor to leverage foundational models in turbt histopathology slides
[arXiv] 2025-12-15 | Textual Gradients are a Flawed Metaphor for Automatic Prompt Optimization
[arXiv] 2025-12-15 | Lighting in Motion: Spatiotemporal HDR Lighting Estimation
[arXiv] 2025-12-15 | Laplacian Spectrum of cozero-divisor graphs of commutative polynomial rings
[arXiv] 2025-12-15 | Identification of radio and gamma-ray pulsars in X-rays using data from the SRG/eROSITA all-sky survey
[arXiv] 2025-12-15 | Spectral analysis of attached and separated turbulent flows over a Gaussian-shaped bump
[arXiv] 2025-12-15 | Optimised Fermion-Qubit Encodings for Quantum Simulation with Reduced Transpiled Circuit Depth
[arXiv] 2025-12-15 | Adaptive Efficiency Optimization in SDLC: An MILP Approach for Balanced and Cost-Effective Resource Allocation
[arXiv] 2025-12-15 | Fermionic versus Bosonic Dark Matter in Neutron Stars: A Bayesian Study with Multi-Density Constraints
[arXiv] 2025-12-15 | MMhops-R1: Multimodal Multi-hop Reasoning
[arXiv] 2025-12-15 | Ferromagnetic resonance in an antiferromagnetic crystal EuSn$_2$As$_2$
[arXiv] 2025-12-15 | A Distance Amplification Lemma for Monotonicity
[arXiv] 2025-12-15 | Verifying Rumors via Stance-Aware Structural Modeling
[arXiv] 2025-12-15 | Bidding Aggregated Flexibility in European Electricity Auctions
[arXiv] 2025-12-15 | Tides in Massive Binaries: Numerical Solutions and Semi-Analytical Comparisons
[arXiv] 2025-12-15 | DoNOF 2.0: A modern Open-Source Electronic Structure Program for Natural Orbital Functionals
[arXiv] 2025-12-15 | The classical-quantum disproportionation transition and magnetic ordering in RNiO$_3$ nickelates
[arXiv] 2025-12-15 | Adaptive Sampling for Hydrodynamic Stability
[arXiv] 2025-12-15 | Collective Annealing by Switching Temperatures: a Boltzmann-type description
[arXiv] 2025-12-15 | Fine-tuned LLM-based Code Migration Framework
[arXiv] 2025-12-15 | Unraveling the Quantum Mpemba Effect on Markovian Open Quantum Systems
[arXiv] 2025-12-15 | Defending the Hierarchical Result Models of Precedential Constraint
[arXiv] 2025-12-15 | The Flying Saucer edge-on disc's Near Infrared silhouette revealed by the JWST JEDIce program
[arXiv] 2025-12-15 | Behavior-Aware and Generalizable Defense Against Black-Box Adversarial Attacks for ML-Based IDS
[arXiv] 2025-12-15 | Multi-Method Timing of Transient Radio Pulsars with the GBT350 and GBNCC Surveys
[arXiv] 2025-12-15 | neuralFOMO: Can LLMs Handle Being Second Best? Measuring Envy-Like Preferences in Multi-Agent Settings
[arXiv] 2025-12-15 | Parsimonious Ultrametric Manly Mixture Models
[arXiv] 2025-12-15 | Thermodynamic analysis of a compact object in Rastall-Rainbow gravity
[arXiv] 2025-12-15 | A Voronoi Diagram-Based Approach for AC Optimal Power Flow
[arXiv] 2025-12-15 | Climate change impacts on net load under technological uncertainty in European power systems
[arXiv] 2025-12-15 | SSAS: Cross-subject EEG-based Emotion Recognition through Source Selection with Adversarial Strategy
[arXiv] 2025-12-15 | Nondimensionalization is more science than art
[arXiv] 2025-12-15 | Large language models are not about language
[arXiv] 2025-12-15 | Linear maps preserving the Cullis' determinant. I
[arXiv] 2025-12-15 | Decoding 3D color codes with boundaries
[arXiv] 2025-12-15 | Self-Supervised Ultrasound Representation Learning for Renal Anomaly Prediction in Prenatal Imaging
[arXiv] 2025-12-15 | Fast label-free point-scanning super-resolution imaging for endoscopy
[arXiv] 2025-12-15 | A Domain-Adapted Lightweight Ensemble for Resource-Efficient Few-Shot Plant Disease Classification
[arXiv] 2025-12-15 | MineTheGap: Automatic Mining of Biases in Text-to-Image Models
[arXiv] 2025-12-15 | Cyclotomic Euler-Mahonian polynomials
[arXiv] 2025-12-15 | QMon: Monitoring the Execution of Quantum Circuits with Mid-Circuit Measurement and Reset
[arXiv] 2025-12-15 | PSALM: applying Proportional SAmpLing strategy in Metamorphic testing
[arXiv] 2025-12-15 | Differentiable Evolutionary Reinforcement Learning
[arXiv] 2025-12-15 | The PAU Survey: Uncovering the connection between intrinsic and observed galaxy properties using symbolic regression
[arXiv] 2025-12-15 | Successive magnetic transitions and multiferroicity in layered honeycomb BiCrTeO$_{6}$
[arXiv] 2025-12-15 | Unlocking Generalization in Polyp Segmentation with DINO Self-Attention "keys"
[arXiv] 2025-12-15 | On Minimum Cost Rainbow Structures
[arXiv] 2025-12-15 | Parallel Heuristic Exploration for Additive Complexity Reduction in Fast Matrix Multiplication
[arXiv] 2025-12-15 | Stable equilibria in the Lotka-Volterra equations
[arXiv] 2025-12-15 | Beyond Missing Data: Questionnaire Uncertainty Responses as Early Digital Biomarkers of Cognitive Decline and Neurodegenerative Diseases
[arXiv] 2025-12-15 | Neural Control Barrier Functions for Signal Temporal Logic Specifications with Input Constraints
[arXiv] 2025-12-15 | Lefschetz theorems, Hodge-Riemann relations and Ample vector bundles
[arXiv] 2025-12-15 | Scaling Laws and Universal Features of Tethered Polymer Distributions in Confined Geometries
[arXiv] 2025-12-15 | Security and Detectability Analysis of Unicode Text Watermarking Methods Against Large Language Models
[arXiv] 2025-12-15 | Shell model study of isobaric analog states for $T_z= \pm 2$ nuclei using isospin non-conserving interactions
[arXiv] 2025-12-15 | Fractional and Integer Order Sobolev Spaces for Compact Metric Graphs
[arXiv] 2025-12-15 | On the impact of geometric variance on the performance of formed parts: A probabilistic approach on the example of airbag pressure bins
[arXiv] 2025-12-15 | No One Left Behind: How to Exploit the Incomplete and Skewed Multi-Label Data for Conversion Rate Prediction
[arXiv] 2025-12-15 | Information-Theoretic Limits of Integrated Sensing and Communication with Finite Learning Capacity
[arXiv] 2025-12-15 | LINA: Learning INterventions Adaptively for Physical Alignment and Generalization in Diffusion Models
[arXiv] 2025-12-15 | Dual-Qubit Hierarchical Fuzzy Neural Network for Image Classification: Enabling Relational Learning via Quantum Entanglement
[arXiv] 2025-12-15 | An End-to-End Neural Network Transceiver Design for OFDM System with FPGA-Accelerated Implementation
[arXiv] 2025-12-15 | BézierFlow: Bézier Stochastic Interpolant Schedulers for Few-Step Generation
[arXiv] 2025-12-15 | Raja's covering index of $L_p$ spaces
[arXiv] 2025-12-15 | High-purity frequency-degenerate photon pair generation via cascaded SFG/SPDC in thin film lithium niobate
[arXiv] 2025-12-15 | STARCaster: Spatio-Temporal AutoRegressive Video Diffusion for Identity- and View-Aware Talking Portraits
[arXiv] 2025-12-15 | Giant hysteretic magnetoresistance accompanying the Mott transition and spin-glass state in organic metal
[arXiv] 2025-12-15 | Learning to Retrieve with Weakened Labels: Robust Training under Label Noise
[arXiv] 2025-12-15 | On infinitesimal deformations of singular varieties III
[arXiv] 2025-12-15 | An abstract framework for a class of nonlocal structured population models: existence, uniqueness and stability of steady states
[arXiv] 2025-12-15 | Shared Nodes of Overlapping Communities in Complex Networks
[arXiv] 2025-12-15 | Higgs Boson CP Properties and Effective Field Theory Measurements from the ATLAS Experiment at the LHC
[arXiv] 2025-12-15 | Mixed Hodge structures for vanishing cycles and orbifold cohomology
[arXiv] 2025-12-15 | On the permanence properties of residually exact groups
