[2026-02-12 09:35:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-11
正在获取论文...
[arXiv] 2026-02-11 | Initial Guesses for Multicomponent Mean-Field Methods: Assessment and New Developments
[arXiv] 2026-02-11 | TEGRA: Text Encoding With Graph and Retrieval Augmentation for Misinformation Detection
[arXiv] 2026-02-11 | FastFlow: Accelerating The Generative Flow Matching Models with Bandit Inference
[arXiv] 2026-02-11 | Spontaneous phase separation and pattern formation in a lyotropic nematic mixture
[arXiv] 2026-02-11 | Enormous Fluid Antenna Systems (E-FAS) for Multiuser MIMO: Channel Modeling and Analysis
[arXiv] 2026-02-11 | Stochastic synthesis-degradation processes: first-passage properties and connections with resetting
[arXiv] 2026-02-11 | Simultaneous Speech-to-Speech Translation Without Aligned Data
[arXiv] 2026-02-11 | Most Strong Lensing Deflectors in the AGEL Survey are in Group and Cluster Environments
[arXiv] 2026-02-11 | Conversational Behavior Modeling Foundation Model With Multi-Level Perception
[arXiv] 2026-02-11 | MoToRec: Sparse-Regularized Multimodal Tokenization for Cold-Start Recommendation
[arXiv] 2026-02-11 | Early Architecture Concepts for the Habitable Worlds Observatory -- System Design, Modeling, and Analysis
[arXiv] 2026-02-11 | Recirculating Quantum Photonic Networks for Fast Deterministic Quantum Information Processing
[arXiv] 2026-02-11 | Fake stationary rough Heston volatility: Microstructure-inspired foundations
[arXiv] 2026-02-11 | Endo-Twisted Conjugacy and Outer Fixed Points in Solvable Baumslag--Solitar Groups
[arXiv] 2026-02-11 | Normalized Surveillance in the Datafied Car: How Autonomous Vehicle Users Rationalize Privacy Trade-offs
[arXiv] 2026-02-11 | IU-GUARD: Privacy-Preserving Spectrum Coordination for Incumbent Users under Dynamic Spectrum Sharing
[arXiv] 2026-02-11 | Benchmarks Are Not That Out of Distribution: Word Overlap Predicts Performance
[arXiv] 2026-02-11 | Active set identification and rapid convergence for degenerate primal-dual problems
[arXiv] 2026-02-11 | Learning to Compose for Cross-domain Agentic Workflow Generation
[arXiv] 2026-02-11 | Why Human Guidance Matters in Collaborative Vibe Coding
[arXiv] 2026-02-11 | Depth of free-by-cyclic groups
[arXiv] 2026-02-11 | Resource-Efficient Model-Free Reinforcement Learning for Board Games
[arXiv] 2026-02-11 | Singularity of cubic hypersurfaces and hyperplane sections of projectivized tangent bundle of projective space
[arXiv] 2026-02-11 | Mapping reservoir-enhanced superconductivity to near-long-range magnetic order in the undoped 1D Anderson- and Kondo-lattices
[arXiv] 2026-02-11 | Stability Analysis of Geometric Control for a Canonical Class of Underactuated Aerial Vehicles with Spurious Forces
[arXiv] 2026-02-11 | Parameterized Complexity of Finding a Maximum Common Vertex Subgraph Without Isolated Vertices
[arXiv] 2026-02-11 | TRACE: Theoretical Risk Attribution under Covariate-shift Effects
[arXiv] 2026-02-11 | On the Calderón sum formula for wavelet systems
[arXiv] 2026-02-11 | Dual-End Consistency Model
[arXiv] 2026-02-11 | Covariate-Adaptive Randomization in Clinical Trials Without Inflated Variances
[arXiv] 2026-02-11 | OccFace: Unified Occlusion-Aware Facial Landmark Detection with Per-Point Visibility
[arXiv] 2026-02-11 | Integrating Active Damping with Shaping-Filtered Reset Tracking Control for Piezo-Actuated Nanopositioning
[arXiv] 2026-02-11 | From Representational Complementarity to Dual Systems: Synergizing VLM and Vision-Only Backbones for End-to-End Driving
[arXiv] 2026-02-11 | RE-LLM: Refining Empathetic Speech-LLM Responses by Integrating Emotion Nuance
[arXiv] 2026-02-11 | Locomo-Plus: Beyond-Factual Cognitive Memory Evaluation Framework for LLM Agents
[arXiv] 2026-02-11 | Forward Arc Maximization for Hamilton Oriented Cycles and Paths in Generalizations of Tournaments
[arXiv] 2026-02-11 | Interpretable Graph-Level Anomaly Detection via Contrast with Normal Prototypes
[arXiv] 2026-02-11 | A Unified Experimental Architecture for Informative Path Planning: from Simulation to Deployment with GuadalPlanner
[arXiv] 2026-02-11 | Spend Search Where It Pays: Value-Guided Structured Sampling and Optimization for Generative Recommendation
[arXiv] 2026-02-11 | Fast and Large-Scale Unbalanced Optimal Transport via its Semi-Dual and Adaptive Gradient Methods
[arXiv] 2026-02-11 | Magneto-optical properties of the neutral silicon-vacancy center in diamond under extreme isotropic strain fields
[arXiv] 2026-02-11 | OmniVL-Guard: Towards Unified Vision-Language Forgery Detection and Grounding via Balanced RL
[arXiv] 2026-02-11 | High-voltage generation system for a traveling-wave Stark decelerator
[arXiv] 2026-02-11 | Analytic Nonlinear Theory of Shear Banding in Amorphous Solids
[arXiv] 2026-02-11 | The role of detailed gas and dust opacities in shaping the evolution of the inner disc edge subject to episodic accretion
[arXiv] 2026-02-11 | Inferring the presence and abundance of rare waterbirds species from scarce data
[arXiv] 2026-02-11 | Extrinsic derivatives for SDEs and SPDEs with distribution dependent noise
[arXiv] 2026-02-11 | An improved lower bound on the Banach--Mazur distance to the cross-polytope
[arXiv] 2026-02-11 | Dynamic Frequency Modulation for Controllable Text-driven Image Generation
[arXiv] 2026-02-11 | Multimodal Priors-Augmented Text-Driven 3D Human-Object Interaction Generation
[arXiv] 2026-02-11 | Linking {\it Fermi} blazars and radio galaxies through accretion and jet radiation mechanisms
[arXiv] 2026-02-11 | Towards Universal Spatial Transcriptomics Super-Resolution: A Generalist Physically Consistent Flow Matching Framework
[arXiv] 2026-02-11 | Explicit form of relaxation tensor for isotropic extended Burgers model and its spectral inversion
[arXiv] 2026-02-11 | OmniSapiens: A Foundation Model for Social Behavior Processing via Heterogeneity-Aware Relative Policy Optimization
[arXiv] 2026-02-11 | The Neurosymbolic Frontier of Nonuniform Ellipticity: Formalizing Sharp Schauder Theory via Topos-Theoretic Reasoning Models
[arXiv] 2026-02-11 | Generative clinical time series models trained on moderate amounts of patient data are privacy preserving
[arXiv] 2026-02-11 | Mitigating Reward Hacking in RLHF via Bayesian Non-negative Reward Modeling
[arXiv] 2026-02-11 | Improving Medical Visual Reinforcement Fine-Tuning via Perception and Reasoning Augmentation
[arXiv] 2026-02-11 | Supercharging Packet-level Network Simulation of Large Model Training via Memoization and Fast-Forwarding
[arXiv] 2026-02-11 | Optimal in tail Hölder estimates for weak solutions of the nonlocal parabolic p-Laplace equations on the Heisenberg group
[arXiv] 2026-02-11 | Pitch Angle Control of a Magnetically Actuated Capsule Robot with Nonlinear FEA-based MPC and EKF Multisensory Fusion
[arXiv] 2026-02-11 | Hierarchical Zero-Order Optimization for Deep Neural Networks
[arXiv] 2026-02-11 | Step 3.5 Flash: Open Frontier-Level Intelligence with 11B Active Parameters
[arXiv] 2026-02-11 | dnaHNet: A Scalable and Hierarchical Foundation Model for Genomic Sequence Learning
[arXiv] 2026-02-11 | The high speed analog optical readout system designed for low temperature experiments
[arXiv] 2026-02-11 | Neural Additive Experts: Context-Gated Experts for Controllable Model Additivity
[arXiv] 2026-02-11 | When Gradient Clipping Becomes a Control Mechanism for Differential Privacy in Deep Learning
[arXiv] 2026-02-11 | Flow of Spans: Generalizing Language Models to Dynamic Span-Vocabulary via GFlowNets
[arXiv] 2026-02-11 | LLM-Based Scientific Equation Discovery via Physics-Informed Token-Regularized Policy Optimization
[arXiv] 2026-02-11 | Rapid Boundary Stabilization of Two-Dimensional Elastic Plates with In-Domain Aeroelastic Instabilities
[arXiv] 2026-02-11 | Online Min-Max Optimization: From Individual Regrets to Cumulative Saddle Points
[arXiv] 2026-02-11 | Contrastive Learning for Multi Label ECG Classification with Jaccard Score Based Sigmoid Loss
[arXiv] 2026-02-11 | An Energy-Stable, Bound-Preserving and Locally Conservative Numerical Framework for Multicomponent Gas Flow in Poroelastic Media
[arXiv] 2026-02-11 | Labor, Capital, and Machine: Toward a Labor Process Theory for HCI
[arXiv] 2026-02-11 | ReSPEC: A Framework for Online Multispectral Sensor Reconfiguration in Dynamic Environments
[arXiv] 2026-02-11 | RealHD: A High-Quality Dataset for Robust Detection of State-of-the-Art AI-Generated Images
[arXiv] 2026-02-11 | Probing Plasmonic Oscillations in 2D Moiré Nanocrystal Superlattices by Low-Loss EELS
[arXiv] 2026-02-11 | From Collapse to Improvement: Statistical Perspectives on the Evolutionary Dynamics of Iterative Training on Contaminated Sources
[arXiv] 2026-02-11 | Characterization and Computation of Normal-Form Proper Equilibria in Extensive-Form Games via the Sequence-Form Representation
[arXiv] 2026-02-11 | Rational Points in Hyperbolic Regions and Multiplicative Diophantine Approximation on Manifolds
[arXiv] 2026-02-11 | On the hyperreal dual Steenrod algebra
[arXiv] 2026-02-11 | Relative Chaos for $C_0$-Semigroups Beyond Topological Notions
[arXiv] 2026-02-11 | LaSSM: Efficient Semantic-Spatial Query Decoding via Local Aggregation and State Space Models for 3D Instance Segmentation
[arXiv] 2026-02-11 | Noise-balanced multilevel on-the-fly sparse grid surrogates for coupling Monte Carlo models into continuum models with application to heterogeneous catalysis
[arXiv] 2026-02-11 | Simply connectedness of Kähler and Riemannian manifolds via spectral estimates
[arXiv] 2026-02-11 | Wavefront Sensor for Laser Beams Based on Reweighted Amplitude Flow Algorithm
[arXiv] 2026-02-11 | Implementation of Polynomial NP-Complete Algorithms Based on the NP Verifier Simulation Framework
[arXiv] 2026-02-11 | Sample Efficient Generative Molecular Optimization with Joint Self-Improvement
[arXiv] 2026-02-11 | Physically Consistent Evaluation of Commonly Used Near-Field Models
[arXiv] 2026-02-11 | The search for the gust-wing interaction \emph{textbook}
[arXiv] 2026-02-11 | Healthy Harvests: A Comparative Look at Guava Disease Classification Using InceptionV3
[arXiv] 2026-02-11 | The Computational Intractability of Not Worst Responding
[arXiv] 2026-02-11 | MoEEdit: Efficient and Routing-Stable Knowledge Editing for Mixture-of-Experts LLMs
[arXiv] 2026-02-11 | Prior Smoothing for Multivariate Disease Mapping Models
[arXiv] 2026-02-11 | Optimal Initialization in Depth: Lyapunov Initialization and Limit Theorems for Deep Leaky ReLU Networks
[arXiv] 2026-02-11 | Computational Phenomenology of Temporal Experience in Autism: Quantifying the Emotional and Narrative Characteristics of Lived Unpredictability
[arXiv] 2026-02-11 | Non-Hermitian curved space via inverted wave equation
[arXiv] 2026-02-11 | CMAD: Cooperative Multi-Agent Diffusion via Stochastic Optimal Control
[arXiv] 2026-02-11 | Annotated digital image correlation displacement fields from fatigue crack growth experiments
[arXiv] 2026-02-11 | Linear Operators on Polynomials and $K$-Positivity Preserver -- A journey from analysis to algebra and back
[arXiv] 2026-02-11 | Data assimilation via model reference adaptation for linear and nonlinear dynamical systems
[arXiv] 2026-02-11 | Traceable, Enforceable, and Compensable Participation: A Participation Ledger for People-Centered AI Governance
[arXiv] 2026-02-11 | Tuning the burn-in phase in training recurrent neural networks improves their performance
[arXiv] 2026-02-11 | Pollux test bench: from NUV to FUV polarimetric measurements
[arXiv] 2026-02-11 | AI Infrastructure Sovereignty
[arXiv] 2026-02-11 | Vacuum polarization in the Schwarzschild black hole with a global monopole
[arXiv] 2026-02-11 | GECAM discovery of the second FRB-associated Magnetar X-ray Burst from SGR J1935+2154
[arXiv] 2026-02-11 | Resilient Alerting Protocols for Blockchains
[arXiv] 2026-02-11 | Experimental study of matter-wave four-wave mixing in $^{39}$K Bose-Einstein condensates with tunable interaction
[arXiv] 2026-02-11 | FedPS: Federated data Preprocessing via aggregated Statistics
[arXiv] 2026-02-11 | The Sample Complexity of Uniform Approximation for Multi-Dimensional CDFs and Fixed-Price Mechanisms
[arXiv] 2026-02-11 | A note on smoothly slice links in $S^2 \times S^2$
[arXiv] 2026-02-11 | Invariant covers of multipartite hypergraphs
[arXiv] 2026-02-11 | Charged particle motion in a strong magnetic field: The first order expansion
[arXiv] 2026-02-11 | Mixed-State Topology in Non-Hermitian Systems
[arXiv] 2026-02-11 | Self-Supervised Learning for Speaker Recognition: A study and review
[arXiv] 2026-02-11 | Detecting and forecasting tipping points from sample variance alone
[arXiv] 2026-02-11 | EST: Towards Efficient Scaling Laws in Click-Through Rate Prediction via Unified Modeling
[arXiv] 2026-02-11 | PELLI: Framework to effectively integrate LLMs for quality software generation
[arXiv] 2026-02-11 | Integrating Generative AI-enhanced Cognitive Systems in Higher Education: From Stakeholder Perceptions to a Conceptual Framework considering the EU AI Act
[arXiv] 2026-02-11 | Establishing the Magnetoelastic Origin of Spin-Wave Routing through Focused Ion Beam Patterning
[arXiv] 2026-02-11 | PRISM: Parallel Residual Iterative Sequence Model
[arXiv] 2026-02-11 | Transport, Don't Generate: Deterministic Geometric Flows for Combinatorial Optimization
[arXiv] 2026-02-11 | Why summation by parts is not enough
[arXiv] 2026-02-11 | A novel approach to trading strategy parameter optimization using double out-of-sample data and walk-forward techniques
[arXiv] 2026-02-11 | Random chain complexes of real vector spaces
[arXiv] 2026-02-11 | Exact determinant formulas for coalescing particle systems
[arXiv] 2026-02-11 | Kill it with FIRE: On Leveraging Latent Space Directions for Runtime Backdoor Mitigation in Deep Neural Networks
[arXiv] 2026-02-11 | GoodVibe: Security-by-Vibe for LLM-Based Code Generation
[arXiv] 2026-02-11 | Unified Description of Pseudoscalar Meson Structure from Light to Heavy Quarks
[arXiv] 2026-02-11 | The Stochastic TR-BDF2 Scheme of Order 2
[arXiv] 2026-02-11 | From Steering to Pedalling: Do Autonomous Driving VLMs Generalize to Cyclist-Assistive Spatial Perception and Planning?
[arXiv] 2026-02-11 | Siegel modular forms associated to Weil representations: $\operatorname{SL}_2(\mathbb{R}) \& \operatorname{GL}_2(\mathbb{R})$ cases
[arXiv] 2026-02-11 | Constellation Design for Robust Interference Mitigation
[arXiv] 2026-02-11 | 3DXTalker: Unifying Identity, Lip Sync, Emotion, and Spatial Dynamics in Expressive 3D Talking Avatars
[arXiv] 2026-02-11 | 1%>100%: High-Efficiency Visual Adapter with Complex Linear Projection Optimization
[arXiv] 2026-02-11 | Admissibility of Hörmander--Bernhardsson extremal zeros
[arXiv] 2026-02-11 | Towards Remote Sensing Change Detection with Neural Memory
[arXiv] 2026-02-11 | Learning Adaptive Distribution Alignment with Neural Characteristic Function for Graph Domain Adaptation
[arXiv] 2026-02-11 | Robust Semantic Transmission for Low-Altitude UAVs: Predictive Channel-Aware Scheduling and Generative Reconstruction
[arXiv] 2026-02-11 | Efficient Computation of Maximum Flexi-Clique in Networks
[arXiv] 2026-02-11 | Distributed Online Convex Optimization with Nonseparable Costs and Constraints
[arXiv] 2026-02-11 | End-to-End Semantic ID Generation for Generative Advertisement Recommendation
[arXiv] 2026-02-11 | AI-rithmetic
[arXiv] 2026-02-11 | Pivoting as an Adaptive Strategy to Geopolitical Tensions in U.S. Science
[arXiv] 2026-02-11 | Disability-First AI Dataset Annotation: Co-designing Stuttered Speech Annotation Guidelines with People Who Stutter
[arXiv] 2026-02-11 | Resilient Voltage Estimation for Battery Packs Using Self-Learning Koopman Operator
[arXiv] 2026-02-11 | Improved linear Boltzmann transport model for hadron and jet suppression in ultra-relativistic heavy-ion collisions
[arXiv] 2026-02-11 | Integrals and Rigidity on Manifolds with Nonnegative Ricci Curvature
[arXiv] 2026-02-11 | Tensor Methods: A Unified and Interpretable Approach for Material Design
[arXiv] 2026-02-11 | Unmasking LHAASO J2108+5157: Near Infrared Insights into a Mysterious TeV Source
