[2026-09-15 23:59:06] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-14
正在获取论文...
[arXiv] 2026-09-14 | On the number of solutions to $S$-unit equations
[arXiv] 2026-09-14 | MoVT: Video-Augmented Motion Tokenizer for Text-to-Motion Generation
[arXiv] 2026-09-14 | Universal Defect Statistics in Reverse Quenches
[arXiv] 2026-09-14 | High-Probability Nash Regret for Decentralized Learning in Markov $α$-Potential Games: Episodic and Fully Online Asynchronous Algorithms with Applications to Markov Congestion Games
[arXiv] 2026-09-14 | A time explicit multiscale framework for heterogeneous elastic wave propagation based on multipoint stress discretization
[arXiv] 2026-09-14 | Componentwise and Measure-Sensitive Bounds for One-Dimensional Time-Frequency Localization
[arXiv] 2026-09-14 | Weighted ergodic averages along subpolynomials in Hardy fields and applications
[arXiv] 2026-09-14 | Comparing Trajectories from Positions Alone: Curvature-Based Time Alignment and Drift Error Metric
[arXiv] 2026-09-14 | The Complexity of Weak Partition Connectivity in Hedgegraphs
[arXiv] 2026-09-14 | Geometric Signatures of Conceptual Reorganization: A Counterfactual Embedding Framework for Detecting Scientific Revolutions
[arXiv] 2026-09-14 | Resolvent estimate for asymptotically hyperbolic surfaces without evenness assumption
[arXiv] 2026-09-14 | What Makes a 3D Scene Editable? A Factorized Benchmark of Fidelity, Locality, Consistency, and Preservation
[arXiv] 2026-09-14 | Stability-Aware Proactive Autoscaling Using a Double Deep Q-Network in Cloud Computing Environments
[arXiv] 2026-09-14 | Gaussian-splatting ptychography via explicit and interpretable primitives
[arXiv] 2026-09-14 | Toward an Empirical Probabilistic Risk Manifestation Model of Organizational Cybersecurity in SMEs
[arXiv] 2026-09-14 | Route Me If You Can: A Benchmark for Query Reformulation Selection
[arXiv] 2026-09-14 | Global front solutions converging to an asymptotic traveling wave in a time-fractional Amari model
[arXiv] 2026-09-14 | The relativistic Euler-Poisson equation as a mean-field limit
[arXiv] 2026-09-14 | Real-World Reinforcement Learning with MPC Scaffolding for Dexterous Manipulation
[arXiv] 2026-09-14 | Probing $Υ({1S})$, $η_b$ and $h_b$ resonances in proton-lead collisions at the LHCb
[arXiv] 2026-09-14 | Primitive-Informed Sampling-Based MPC for Multi-Fingered Dexterous Manipulation
[arXiv] 2026-09-14 | One Example Is Enough to Pass Fairness Benchmarks: Rethinking Fairness Evaluation for Aligned LLMs
[arXiv] 2026-09-14 | Pre-PEFT Probing: Weight Statistics and Perturbation Robustness for Layer Selection in VLM Vision Encoders
[arXiv] 2026-09-14 | Closed-form Bayesian homography estimation from noisy point correspondences
[arXiv] 2026-09-14 | MAST: Label-Efficient, Robust, and Generalizable Sound Detection for Biodiversity Monitoring via Masked Audio Pretraining and Self-Training
[arXiv] 2026-09-14 | A Deterministic $(2+\varepsilon)$-Approximation for Weighted Feedback Vertex Set in Tournaments
[arXiv] 2026-09-14 | Word Timestamps and Speaker Attribution with a Non-Autoregressive LLM
[arXiv] 2026-09-14 | X-WBC: A Cross-Embodiment Foundation Model for Humanoid Whole-Body Control
[arXiv] 2026-09-14 | Tight Subsidy Bounds for Weighted Proportional Allocation of Mixed Manna
[arXiv] 2026-09-14 | Quantization of Preprojective Algebras and the Type A Rational Cherednik Algebra
[arXiv] 2026-09-14 | Fractional Cumulative Past Inaccuracy in the Quantile Framework and its Applications
[arXiv] 2026-09-14 | PredTac: Learning Contact-Rich Manipulation with Predicted Touch
[arXiv] 2026-09-14 | Bilinear estimates for Schrödinger equation with repulsive inverse-square potential and its application
[arXiv] 2026-09-14 | The $γZ$-box correction and its impact on parity-violating deep-inelastic scattering
[arXiv] 2026-09-14 | Type C transpositions and strong marked tableaux
[arXiv] 2026-09-14 | Charged Black Hole Solution in Hoyle Narlikar Gravity and its Thermodynamic Properties
[arXiv] 2026-09-14 | Full-Wave-Calibrated Element-Wise RIS Modeling With Cross-Aperture Coefficient Transfer for Multipath Channel Prediction
[arXiv] 2026-09-14 | Determination of charged pion unpolarised TMDPDFs from Drell-Yan measurements
[arXiv] 2026-09-14 | On the largest prime factors less than $y$ of consecutive shifted primes
[arXiv] 2026-09-14 | K-contact manifolds admitting some geometric solitons with Semi-Symmetric Non-Metric Connection
[arXiv] 2026-09-14 | Automated Perceptually-Motivated Assessment of Photographic Consistency in Paired Clinical Photographs: Pipeline Development and Internal Evaluation
[arXiv] 2026-09-14 | SparseTalk - Sparsifying 3D Gaussian Language Fields for Efficient 3D Visual Question Answering
[arXiv] 2026-09-14 | A proof of the resistance diameter conjecture for line graphs
[arXiv] 2026-09-14 | woma: a real-time foundation model and its fine-tuned models for endoscopy
[arXiv] 2026-09-14 | Medical Knowledge Simplification for Patients in the Era of LLMs: A Case Study on Diabetes
[arXiv] 2026-09-14 | MoME: Mixture-of-Memory Embeddings for Context-Aware Sparse Lookup
[arXiv] 2026-09-14 | DepthBenchCAD: When Does Deeper Auditing Yield More Reliable Conclusions?
[arXiv] 2026-09-14 | Inspiraling waveforms of charged compact binaries and observational constraints
[arXiv] 2026-09-14 | Physics Informed Neural Network model for the dynamical study of Abdominal Aortic Aneurysm
[arXiv] 2026-09-14 | High-Intense Gamma-Ray Emission from a Crystalline Undulator with Realistic Bending Profiles
[arXiv] 2026-09-14 | ChatGPT Images 2.5 in the Wild: A Launch-Period Dataset and Detector Evaluation
[arXiv] 2026-09-14 | Beyond Numerical Time Series: A Unified Benchmark for Multimodal Forecasting with Heterogeneous Context
[arXiv] 2026-09-14 | Improved Impossibility Bounds for Maximin Share Allocations
[arXiv] 2026-09-14 | Shape calculus and automatic differentiation for multi-phase level-set topology optimisation with unfitted finite elements
[arXiv] 2026-09-14 | Ensemble-Conditioned Molecular Design
[arXiv] 2026-09-14 | Branched Optimal Transport Amortization
[arXiv] 2026-09-14 | What Does an LLM Learn from Reinforcement Learning? A Mechanistic Interpretability Perspective with Fixed-SAE Track
[arXiv] 2026-09-14 | The Exact Growth Rate of Space-Optimal Reversible Pebbling on Chains
[arXiv] 2026-09-14 | Mirror, Mirror on the Wall: Prompt Echoing in Small Instruct Language Models
[arXiv] 2026-09-14 | A self-consistent phasor-PIC algorithm for bidirectional inductive-capacitive coupling in ICPs
[arXiv] 2026-09-14 | SpliTEE: Improving LLM Inference on Trusted Hardware with Differentially Private GPU Outsourcing
[arXiv] 2026-09-14 | Tele360: Real-Time Feed-Forward Human Reconstruction from Sparse Unposed Cameras
[arXiv] 2026-09-14 | Shared KV Caching for Replicated 27B Inference: Correctness Failures and Performance Boundaries
[arXiv] 2026-09-14 | Efficient Branch-and-Bound Testing and Verification of zkVMs
[arXiv] 2026-09-14 | Failure of the Asymptotic Equipartition Property for Quantum Channels
[arXiv] 2026-09-14 | HGTO: A Unified Graph-Based Physics-Informed Formulation for Structural Topology Optimization
[arXiv] 2026-09-14 | 1D Interface-Induced Real-Space Berry Curvature Gradient Encoded in SpinValley-Coupled Nonlinear Photocurrent in Lateral Heterostructure
[arXiv] 2026-09-14 | Learned Bow Control on a Measured Bowed-String Model: a Revised Minimum-Bow-Force Law, a Recurrent Controller, and the Domain of a Supervision Ceiling
[arXiv] 2026-09-14 | IROH: Insightful Ranking Of Humor using Multi-Stage Hybrid Retrieval with Rationale-Distilled LLM Judges for JOKER 2026 Track Task 1 English
[arXiv] 2026-09-14 | Spatially-Indexed Longitudinal Distributional Outcome Regression for Environmental Monitoring
[arXiv] 2026-09-14 | Strong-coupling quantum optics in free space with holes in a Fermi sea
[arXiv] 2026-09-14 | Quantum Geometry in Hyperbolic Band Theory
[arXiv] 2026-09-14 | Modeling Gamma-Ray Bursts Using CRISP
[arXiv] 2026-09-14 | Bernoulli flow for Erdős-Rényi graphs
[arXiv] 2026-09-14 | The life and death of football team runs: survival of collective modes shapes Lévy-like transport
[arXiv] 2026-09-14 | AKE principles in roughly deeply ramified henselian valued fields
[arXiv] 2026-09-14 | Two proofs of the Cassels--Swinnerton-Dyer conjecture for cubic surfaces
[arXiv] 2026-09-14 | Naturality characterizes product measures and relative product measures
[arXiv] 2026-09-14 | Spook the Machine: Gamified Exploration of Human Imagination of Machine Fear
[arXiv] 2026-09-14 | Semantic Fibers and Cross-Gram Interference: A Calculus of Safety Drift in Overcomplete Representations
[arXiv] 2026-09-14 | Directivity-Conditioned Low-Latency Neural Filtering for Speech Enhancement in Hearing Aids
[arXiv] 2026-09-14 | An Information-Space Perspective to Scene Graph Sufficiency for Robotic Task Planning
[arXiv] 2026-09-14 | Pauli spectrum and nonstabilizerness of random fermionic Gaussian states
[arXiv] 2026-09-14 | On the Hausdorff dimension of the set of non-escaping points in the Julia set
[arXiv] 2026-09-14 | Verifiable by Construction: Claim-Level Evaluation of Verbatim Citation in Clinical Question Answering
[arXiv] 2026-09-14 | Direct-to-Symbol Integration from Landau Analysis
[arXiv] 2026-09-14 | Geometric Invariant Theory for Affine Superschemes
[arXiv] 2026-09-14 | Reducing Decoding Latency in Quantum Error Correction by Early Starting Clustering
[arXiv] 2026-09-14 | Digital Twin of an Argon-Hydrogen Plasma Reactor
[arXiv] 2026-09-14 | Issue Bias in Generative AI Writing Assistance: Political Issues and LLMs in the Swedish 2026 Election
[arXiv] 2026-09-14 | A self-compliant selector-free memory with functional bismuth ferrite
[arXiv] 2026-09-14 | Phase transition for the smallest eigenvalue of high-dimensional sample correlation matrices
[arXiv] 2026-09-14 | Virasoro extensions of generalized Kac-Moody algebras
[arXiv] 2026-09-14 | Automatic astrometric calibration of low-cost all-sky cameras
[arXiv] 2026-09-14 | Continuous Manifold-Decomposed Impedance Retargeting for Contact-Rich Imitation Learning
[arXiv] 2026-09-14 | Sharp degree bound for rational proper maps from $\mathbb B^2$ to $\mathbb B^4$
[arXiv] 2026-09-14 | Harnack Inequality for Parabolic Fractional $p$-Laplace Equations
[arXiv] 2026-09-14 | A blowup criterion for regularity
[arXiv] 2026-09-14 | Can a Neural Encoding Model Replicate an fMRI Visualization Study?
[arXiv] 2026-09-14 | Sectional Structure and Emotional Dynamics in Chinese Pop Songs: An Empirical Analysis of Valence-Arousal Trajectories across 100 Songs
[arXiv] 2026-09-14 | Algebraic Structures on Sets of Partitions
[arXiv] 2026-09-14 | CIDERS: Cloud-Edge LLM Collaborative Learning via Accelerating Personalized Bilevel Optimization
[arXiv] 2026-09-14 | Thermal Hall effect in elemental niobium, a two-gap superconductor
[arXiv] 2026-09-14 | Extracting dipole orientations from asymmetric plasmonic nanostructures towards machine-learning-assisted spectropolarimetry
[arXiv] 2026-09-14 | First Observation and Dynamical Study of the $D^+_s\to f_{0}(980) μ^+ν_μ$ Decay
[arXiv] 2026-09-14 | Mixing Extriangulated Model Structures
[arXiv] 2026-09-14 | From Model Patterns to Abstract Semantics in Compositional Zero-Shot Learning
[arXiv] 2026-09-14 | Interactions and excitation blockade of Rydberg macrodimers
[arXiv] 2026-09-14 | Protected tails and polynomial-time enumeration of permutations avoiding a direct sum of an increasing pattern and 231
[arXiv] 2026-09-14 | Xenon Isotope Filtering at the Kinematic Edge of Inelastic Dark Matter
[arXiv] 2026-09-14 | Algebraic hyperbolicity of very general hypersurfaces in projective spaces
[arXiv] 2026-09-14 | Beyond AI Literacy: A Structured Review and Exploratory Meta-Analysis of Measures for Competent Generative-AI Use
[arXiv] 2026-09-14 | Where to Compute and How to Interact: Operator-Readable Adaptation with Gauge-Aware Transport
[arXiv] 2026-09-14 | Beyond binary at submicron dimensions: crossed-ellipse MTJ free layers as multi-state cells for spintronic crossbars
[arXiv] 2026-09-14 | OLAC: An Overlapped Lossless Audio Codec in the Time-Domain with MDCT Compatibility
[arXiv] 2026-09-14 | Calibrations for high precision differential astrometry onboard Theia and HWO
[arXiv] 2026-09-14 | VideoScout: Learning Agentic Active Exploration with Adaptive Reasoning Pacing for Long Video Understanding
[arXiv] 2026-09-14 | Asynchronous Jacobi and randomized Gauss--Seidel methods in shared and distributed memory: A unified convergence-rate analysis
[arXiv] 2026-09-14 | Long runs of integers with small prime factors and the divisor function of $n!$
[arXiv] 2026-09-14 | Resolvable Fourier Degree and Minimax Estimation on theBoolean Hypercube
[arXiv] 2026-09-14 | AI-based Interference Mitigation for Power-domain Spectrum Sharing among LEO Satellites
[arXiv] 2026-09-14 | A 3-regular counterexample to the Bilu--Linial signing conjecture
[arXiv] 2026-09-14 | Multiscale modeling of host-pathogen interactions and mucociliary clearance during non-tuberculous mycobacterial pulmonary infection
[arXiv] 2026-09-14 | Generalized Parton Distributions: Phenomenology, Extraction, and Hadron Imaging
[arXiv] 2026-09-14 | The Magnitude Mirage: Rethinking Confidence for Reasoning-Intensive Retrieval
[arXiv] 2026-09-14 | How well do fast discrete trigonometric transforms work for parametric numerical integration?
[arXiv] 2026-09-14 | DIDO: Distilling Interaction-Centric Dynamics into One-Step Denoising for World Action Models
[arXiv] 2026-09-14 | Besicovitch's covering theorem in the parabolic metric
[arXiv] 2026-09-14 | Greedy Packing of Nested Rings: Placement Rules, a Golden Counterexample, and a Tribonacci Floor
[arXiv] 2026-09-14 | Who Chooses the Artwork? Curatorial Agency and Distributed Intent in Botto
[arXiv] 2026-09-14 | Physics-Guided Conditional Flow Matching with Energy Regularization for Robust PDE Inverse Problems
[arXiv] 2026-09-14 | ALMA-JELLY II. Constraining the radial profiles of the quenching timescales in ram-pressure-stripped galaxies
[arXiv] 2026-09-14 | Stability in stochastic hypergraph matching III: general reneging
[arXiv] 2026-09-14 | Periodicity and Period-Length Bounds for Browkin $p$-Adic Continued Fractions
[arXiv] 2026-09-14 | Psychosis involves a deficit of information compression in connected speech
[arXiv] 2026-09-14 | Spherical maximal operators on rank one Riemannian symmetric spaces of noncompact type
[arXiv] 2026-09-14 | Quaternionic Reflections and Lie Generation in $G_2$
[arXiv] 2026-09-14 | Hecke structure of quaternionic modular forms mod $p$
[arXiv] 2026-09-14 | Single-Machine Scheduling with Interval Predictions and Costly Preemption
[arXiv] 2026-09-14 | Multiscale Gaussian-Mixture Modeling for HMM Post-Processing in Selective Auditory Attention Decoding
[arXiv] 2026-09-14 | Next-to-leading power gluon TMDs from back-to-back DIS dijets at next-to-eikonal accuracy at low x
[arXiv] 2026-09-14 | Disentangling Representation Evolution in Transformers through Directional Decomposition
[arXiv] 2026-09-14 | Wasserstein Metric Normalization of Projective Cycle Spaces
[arXiv] 2026-09-14 | Adversarial Testing of Automated Program Repair Agents for Security Vulnerabilities
[arXiv] 2026-09-14 | Stripe-Like Superconducting Enhancement and Coexisting Magnetic Texture in an Infinite Layer Nickelate
[arXiv] 2026-09-14 | Dynamical Mordell--Lang Conjecture for Higher-Rank Radially Ramified Skew Products
[arXiv] 2026-09-14 | Continuity-First Lexicographic Optimization for Home-Care Resource Allocation
[arXiv] 2026-09-14 | The tautological ring of $M_{25}$ is not Gorenstein
[arXiv] 2026-09-14 | MUSHY: Multimodal Flow-Based Amortized Bayesian Inference for Spectroscopic Data Fusion
[arXiv] 2026-09-14 | DM induced neutron disappearance as the origin of the LZ nuclear recoil event
[arXiv] 2026-09-14 | Interval endomorphism algebras of posets: Reedy structure, combinatorics, and homological theory
[arXiv] 2026-09-14 | Decision-Related Cognitive Signatures from Fast-Slow Dynamics: A Low-Dimensional Observation-Operator Framework
[arXiv] 2026-09-14 | Common Excitation Patterns of Star Formation, Active Galactic Nuclei, and Shocks in Seyfert Galaxies
