[2026-09-10 23:45:39] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-09
正在获取论文...
[arXiv] 2026-09-09 | Stencil Computation at the Intersection of AI and HPC
[arXiv] 2026-09-09 | Diophantine approximation with primes in an arithmetic progression
[arXiv] 2026-09-09 | Global well-posedness for the derivative nonlinear Schrödinger equation on the circle
[arXiv] 2026-09-09 | An Improved Upper Bound for the Turán Number of the Hexagon
[arXiv] 2026-09-09 | Review on State-of-the-art Energy Systems in Arctic
[arXiv] 2026-09-09 | Boundary approximate controllability of some linear parabolic systems
[arXiv] 2026-09-09 | Few Rows Tell Them Apart: Equivalence of Queries Mixing Set and Bag Semantics
[arXiv] 2026-09-09 | From Block-encoding to Generalized Quantum Signal Processing: Principles, Algorithms and Applications
[arXiv] 2026-09-09 | Classification of multi-solitons in one sense of time for the 5D energy-critical wave equation
[arXiv] 2026-09-09 | A unified quantum electrical platform for synchronous metrological realization of volt, ohm and ampere
[arXiv] 2026-09-09 | More is not always better: Dissociative photoionization limits the EUV absorbing photacid generator pentafluorophenyl triflate in photolithography
[arXiv] 2026-09-09 | Beyond Verified Answers: Solver-Informed Self-Distillation for Bootstrapping Operations Research Language Models
[arXiv] 2026-09-09 | Milky Way Structure from Double White Dwarf Gravitational-Wave Sources
[arXiv] 2026-09-09 | The Geometry of Gravitational Radiation
[arXiv] 2026-09-09 | Improving Cross-Lingual Token Representations by Adding a Pinch of SALT
[arXiv] 2026-09-09 | HaWMPO: Hallucination-Aware World Model-based Policy Optimization for Generalist Robot Policy
[arXiv] 2026-09-09 | Links and singularities of stable maps from $3$-manifolds to surfaces
[arXiv] 2026-09-09 | Oriented paths with two blocks in bipartite oriented graphs
[arXiv] 2026-09-09 | Fast Collision-Free Acquisition in 1-Persistent Age-Threshold Slotted ALOHA via Role-Protected Counters
[arXiv] 2026-09-09 | Revealing the Quantum Signature of Gravity via Gravitational Waves
[arXiv] 2026-09-09 | Multimodal Emotion Recognition in Conversations via Class-Wise Adaptive Modality Fusion and Affective Geometry
[arXiv] 2026-09-09 | A Kernel-Based Modular Discriminant Analysis Framework for Small-Sample Learning
[arXiv] 2026-09-09 | Interpreting Object-Dependent Concept Brittleness in Text-to-Image Diffusion Models
[arXiv] 2026-09-09 | Meta-LinEXP3: Online-within-Online Learning for Adversarial Linear Contextual Bandits
[arXiv] 2026-09-09 | On the rotation-two-component $b$-family shallow-water system: derivation and wave-breaking analysis
[arXiv] 2026-09-09 | The Response of Consumption to Interest Rates with Borrowing Constraints: An Analytical Approach
[arXiv] 2026-09-09 | First Very Long Baseline Interferometry Fringe Detection at 690GHz
[arXiv] 2026-09-09 | Forward-Free LLM Depth Pruning via Weight Redundancy
[arXiv] 2026-09-09 | Scored vs. Generated Readouts in Behavioral Language Models: An Empirical Study of Elicitation Format
[arXiv] 2026-09-09 | Gradient-Enhanced Proximal Algorithms for Mean Field Planning on Surfaces
[arXiv] 2026-09-09 | Universal Secular External Leg Corrections for Gauge Independent Scalar Self-Mass on de Sitter
[arXiv] 2026-09-09 | A Later Test Set Is Not a New Domain: Pretraining Familiarity Survives a Contamination-Free Hold-Out
[arXiv] 2026-09-09 | CertiFlash: A Formal Verification Framework for Flash Translation Layers in Computational Solid State Drives
[arXiv] 2026-09-09 | The effects of surfactant solubility on inertial Marangoni flow: theory and numerics
[arXiv] 2026-09-09 | Generalized Black holes with Fully Non-aligned Electromagnetic Fields
[arXiv] 2026-09-09 | Learning Intrusion Response Strategies for OT Systems
[arXiv] 2026-09-09 | Bounds on Hilbert coefficients of Cohen-Macaulay modules having finite projective dimension
[arXiv] 2026-09-09 | Finite presentations of metabelian groups: effective enumeration via Laurent relations
[arXiv] 2026-09-09 | Efficient LOS-Sampled GNSS Direct Position Estimation: An Information-Loss CRB Analysis
[arXiv] 2026-09-09 | Revisiting the Weight Spectrum of the Affine Grassmann Code $C^{\mathbb{A}}(2,m)$
[arXiv] 2026-09-09 | KVShareArena: KV-Cache Reuse Across Contexts and Model Checkpoints
[arXiv] 2026-09-09 | Pushing the Boundaries of Streaming Multi-Speaker ASR: A Systematic Study of Architectural Trade-offs
[arXiv] 2026-09-09 | Maverick: Private and Verifiable LLM Inference Made Practical via Matrix-Vector Multiplication Delegation
[arXiv] 2026-09-09 | Optimization and Underground Implementation of the KAPAE Phase II Detector for an Invisible New Particle Search in Positronium Decay
[arXiv] 2026-09-09 | The solar Galactocentric distance and local kinematic parameters from Gaia DR3 using Bottlinger's equations
[arXiv] 2026-09-09 | Integrated Population Balance and Multiphysics Modeling for Predicting Undesired Agglomeration in Small Molecule Manufacturing
[arXiv] 2026-09-09 | Quantitative analysis of ground states for the fractional logarithmic Schrödinger equation
[arXiv] 2026-09-09 | DiSCo: A Distribution-First Steering and Cultural Prior Evaluation Framework for Measuring Cultural Preference Bias in LLMs
[arXiv] 2026-09-09 | On a question by Firey concerning uniqueness
[arXiv] 2026-09-09 | The Answer Path and the Grounding Instruction in LLM Question Answering over Knowledge Graphs
[arXiv] 2026-09-09 | Testing Source Dependence in Gravitational-Wave Tests of General Relativity with Mutual Information
[arXiv] 2026-09-09 | Anisotropic wind in tidal disruption events
[arXiv] 2026-09-09 | Covariance-Aware MM-PGD for Mixed Near-/Far-Field Activity Detection
[arXiv] 2026-09-09 | Direct separation of intra- and inter-molecular contributions in pulse dipolar EPR experiments
[arXiv] 2026-09-09 | Seeing the Voice, Preserving the Self: A Participatory Design Approach to Deaf-Centric Text-to-Speech
[arXiv] 2026-09-09 | Politics of Feelings: Emotional Expression and Legislative Effectiveness in the U.S. Congress
[arXiv] 2026-09-09 | Stein neighborhood bases for complex--totally real unions
[arXiv] 2026-09-09 | Stability of quasi-stationary measures in high-dimensional products of mixing Markov chains
[arXiv] 2026-09-09 | The shallow--water limit of linear water waves over a discontinuous bottom
[arXiv] 2026-09-09 | Integral of Scalar Curvature under Volume Collapse
[arXiv] 2026-09-09 | Sound Debloating of Redundant Checks in Zero-Knowledge Machine-Learning Circuits
[arXiv] 2026-09-09 | Low-Complexity Maximum Likelihood Detection for Type-Based Over-the-Air Computation
[arXiv] 2026-09-09 | Loss-correcting fault-tolerant quantum computing architecture for neutral atoms
[arXiv] 2026-09-09 | Glyph: A Multi-Strategy Agentic System for Column Description and Sensitivity-Ontology Tagging of Enterprise Data Catalogs
[arXiv] 2026-09-09 | Reconfigurable field-free spin Hall nano-oscillators enabled by crystallographic anisotropy in epitaxial Co/Pt
[arXiv] 2026-09-09 | Introvert Clustering for Distributed Graph Algorithms
[arXiv] 2026-09-09 | The VC-dimension of strongly regular graphs
[arXiv] 2026-09-09 | Information capacity of quantum statistics: Fock-state tests of a discrete binary-sequence model on cloud photonic quantum processors
[arXiv] 2026-09-09 | Platonic constellations of periodic motions in the $(n + 1)$-body problem
[arXiv] 2026-09-09 | Adaptive Shared Control with Online Bounded-Rational Human Behavior Estimation
[arXiv] 2026-09-09 | Noncommutative sharp Hausdorff-Young inequality
[arXiv] 2026-09-09 | Quantifying Information Hierarchy for Neutrino Oscillation Parameters at JUNO
[arXiv] 2026-09-09 | A statistical approach to bias in zero-shot learning: the lens of handwriting recognition
[arXiv] 2026-09-09 | Fast Algorithms for Sparse PCA and Robust Sparse Estimation
[arXiv] 2026-09-09 | Extending the Little Red Dot population at intermediate redshift with VIPERS
[arXiv] 2026-09-09 | Quasi-modularity of symmetric quasi-shuffles
[arXiv] 2026-09-09 | 5-Dialects-BN: Unmasking the Impact of Transliteration on Bangla Dialectal LLMs
[arXiv] 2026-09-09 | On the Parameterized Complexity of Coloring Discovery
[arXiv] 2026-09-09 | Parameter Estimation for Diffusive Stochastic Master Equations in Continuously Observed Quantum Systems
[arXiv] 2026-09-09 | Multiparameter quantum bounds for entanglement-assisted aperture synthesis
[arXiv] 2026-09-09 | The changing optical and X-ray emission of the dormant $γ$ Cas star HD 45314
[arXiv] 2026-09-09 | Hybrid Kazhdan-Lusztig basis and parabolic induction
[arXiv] 2026-09-09 | CLFTv2: Efficient Camera-LiDAR Fusion for Semantic Segmentation via Hierarchical Feature Pyramids
[arXiv] 2026-09-09 | The kinematics of tadpole galaxies at intermediate redshift $z \sim 0.4 - 1.5$
[arXiv] 2026-09-09 | Irreducibility of truncations of the Catalan generating function
[arXiv] 2026-09-09 | Show-Harness: Just a VLM Agent Can Play Robots
[arXiv] 2026-09-09 | BrainTaskonomy: Learning How to Pretrain and What to Transfer in fMRI Foundation Models
[arXiv] 2026-09-09 | PASCAL: A Phase-Aware Shared-Cache Model for Parallel Scans
[arXiv] 2026-09-09 | Unimodality shenanigans in Ehrhart theory
[arXiv] 2026-09-09 | Hydrodynamic magnetotransport in a GaAs Corbino geometry
[arXiv] 2026-09-09 | DUET-DINO: Simultaneous Cross-View World Modeling for Latent Planning in Robot Manipulation
[arXiv] 2026-09-09 | Cross-Model Agreement as a Deployment-Time Reliability Signal for Automatic Polyp Segmentation
[arXiv] 2026-09-09 | IBIB: A Protocol for Measuring Enterprise AI Systems by Serving Route, Not Model Identifier
[arXiv] 2026-09-09 | The Distribution of Double Deficiencies in Pattern-Avoiding Permutations
[arXiv] 2026-09-09 | Nonmaximal sums of maximally monotone operators under Rockafellar's constraint qualification
[arXiv] 2026-09-09 | Multivariate linear regression without prior assumptions
[arXiv] 2026-09-09 | Understanding Search and Decision Errors in Liver Metastasis Detection and the Effects of Lower Radiation Dose
[arXiv] 2026-09-09 | Delay Placement Governs Feasibility and Hopf Bifurcation in a Pollution-Based Tourism Model
[arXiv] 2026-09-09 | Aldous' spectral gap phenomena in stochastic exchange models
[arXiv] 2026-09-09 | ConvMem: Convolutional Memory for Long-Context Reasoning
[arXiv] 2026-09-09 | On the $\mathrm{L}^p$-theory of the generalized Stokes operator with rough coefficients
[arXiv] 2026-09-09 | Integer group determinants for abelian groups of order 24
[arXiv] 2026-09-09 | Dynamic prediction intervals for survival times
[arXiv] 2026-09-09 | Frequency-Conditioned Flow Matching for Vision-Language-Action Models
[arXiv] 2026-09-09 | Candor-LR: A Dyadic Conversational Dataset for Audio-Visual Speech Recognition
[arXiv] 2026-09-09 | Economic Evaluation of V2G-Enabled Fast Charging Stations Under Endogenous EV Adoption Dynamics
[arXiv] 2026-09-09 | Data-Driven Risk Fields for Safer End-to-End Autonomous Driving
[arXiv] 2026-09-09 | A quasi-interpolation method for finite element spaces
[arXiv] 2026-09-09 | Deterministic Prompting for Speaker-Stable Low-Resource Greek TTS
[arXiv] 2026-09-09 | Characterizing particle rearrangements in sheared highly polydisperse materials
[arXiv] 2026-09-09 | An analysis of iterative refinement for quantum linear system solvers
[arXiv] 2026-09-09 | Beyond Weak Labels: Prompt-Guided Local Refinement for Weakly Supervised Water Segmentation in High-Resolution Multispectral Imagery
[arXiv] 2026-09-09 | Weak central polynomials for algebras of multiplications of simple algebras
[arXiv] 2026-09-09 | Unifying Score and Performance for Fine-Grained Music Understanding in Audio-Language Models
[arXiv] 2026-09-09 | Categorical reconstruction of del Pezzo surfaces: Hochschild--Serre algebras and spinor modifications
[arXiv] 2026-09-09 | A Confidence-Aware Multimodal Fusion Framework for Industrial Human-Robot Collaboration
[arXiv] 2026-09-09 | On-Policy Distillation for Vision-Language Model Adaptation, an Effective Paradigm on Low-Quality Multimodal Data
[arXiv] 2026-09-09 | Ensembling LLMs for AI-Augmented Cybersecurity Software Requirements Generation
[arXiv] 2026-09-09 | RiLM: Parameter-Efficient Language Modeling via Geodesic Decoding
[arXiv] 2026-09-09 | Shaping Delay-Doppler Ambiguity in Practical OFDM-ISAC
[arXiv] 2026-09-09 | An Empirical Analysis of ReDoS Vulnerabilities and ReDoS Detection Tools
[arXiv] 2026-09-09 | On the Limits of Quantum Multiparty Simultaneous Communication
[arXiv] 2026-09-09 | SwingBot: Learning Whole-Body Brachiation for Humanoid Robots
[arXiv] 2026-09-09 | FreqFLD: Towards All-in-One Facial Landmark Detection via Frequency Modulation
[arXiv] 2026-09-09 | How neighbourhood ideology shapes misinformation belief in densely tied social networks
[arXiv] 2026-09-09 | The Impact of a Gridded Streamflow Measure on Drought Variation in the Conterminous United States
[arXiv] 2026-09-09 | What Should an Agent Forget? Separating What Is Stored from What Is Used
[arXiv] 2026-09-09 | Distribution of Singular Data Generated by Compact Forced Navier-Stokes Blowup
[arXiv] 2026-09-09 | When Fusion Fails: Corruption-Aware Rebalanced Fusion for Multi-Modal Medical Image Segmentation
[arXiv] 2026-09-09 | Are Unreachable Nodes Truly Safe? Fully Eclipsing Monero's P2P Network!
[arXiv] 2026-09-09 | A-JIT: Agentic Just-In-Time Software Construction
[arXiv] 2026-09-09 | Two-Token Features and Small-Large Ensembles for VLM Hallucination Detection
[arXiv] 2026-09-09 | Optical design for implementing non-collinear circularly polarized high harmonic generation in an enhancement cavity
[arXiv] 2026-09-09 | $Φ$-Bench: Can Large Language Models Engineer the Infrastructure That Powers Them?
[arXiv] 2026-09-09 | Meromorphic solutions of first-order differential equations with rational exponential coefficients
[arXiv] 2026-09-09 | Finiteness and growth of brick chain filtrations
[arXiv] 2026-09-09 | Finite-Particle Quantum Reduction of Thermodynamic Irreversibility
[arXiv] 2026-09-09 | Through the Looking Glass: Directly Reading and Writing Transformers
[arXiv] 2026-09-09 | A proof of Askey's convexity conjecture
[arXiv] 2026-09-09 | On the Absence of Anosov Factors for DA Local Diffeomorphisms
[arXiv] 2026-09-09 | Immortal Curve Shortening Flow on Analytic Surfaces
[arXiv] 2026-09-09 | Beyond Impedance Additivity: A Systematic Nonlinear Perspective on Memristor Associations
[arXiv] 2026-09-09 | Topology-dependent mixing of knots in flexible polymer chains
[arXiv] 2026-09-09 | A Thermodynamically Consistent Model for Multicomponent Vesicles
[arXiv] 2026-09-09 | Anizotropic Ising Model on 2D Kagomé Lattice as an Inhomogeneous XYZ Integrable Model
[arXiv] 2026-09-09 | CoGe-GCD: Reframing Generalized Category Discovery with Compositional Generalization
[arXiv] 2026-09-09 | A Robust Binary Nonlinear Solver for Multi-stage Decisions
[arXiv] 2026-09-09 | TransGaze-Object: Transformer Based Driver Gaze Object Prediction Framework in Real Driving
[arXiv] 2026-09-09 | Quantum tunneling from perturbation theory revisited
[arXiv] 2026-09-09 | Deterministic engineering of topological defects in two-dimensional single-species ion Coulomb crystals
[arXiv] 2026-09-09 | Kernel-Managed Shared Memory for System-Wide Personalization
[arXiv] 2026-09-09 | Optimal Low-Rank Quantum State Tomography with Bounded-Sample Joint Measurements
[arXiv] 2026-09-09 | ADMET-EvO: a self-evolving scientific agent for sustained research across heterogeneous tasks
[arXiv] 2026-09-09 | On the dynamics of self-consistent transfer operators for interval maps with singularities
[arXiv] 2026-09-09 | Regularity for Subfactors
[arXiv] 2026-09-09 | Distributed and Private Textual Data Synthesis from Embeddings
[arXiv] 2026-09-09 | Modeling electrolytes in nanopores by Monte Carlo simulations and the Bazant--Storey--Kornyshev model
[arXiv] 2026-09-09 | A 2.37332-Competitive Algorithm for Online Square Packing with Gravity
[arXiv] 2026-09-09 | In situ characterization of a photon-subtraction device via heralding counts and homodyne detection
[arXiv] 2026-09-09 | Secular Instability and the Turning-Point Principle for Rigidly Rotating Viscous Stars
