[2026-06-27 23:02:59] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-26
正在获取论文...
[ACM] 2026-6-26 | VFDelta: A Framework for Detecting Silent Vulnerability Fixes by Enhancing Code Change Learning
[IEEE] 2026-6-26 | Sociotechnical Aspects Of Artificial Intelligence Implementation In The Agro-Industrial Complex: Ethical Frameworks For Ensuring Environmental Safety And Bioeconomic Efficiency
[IEEE] 2026-6-26 | Leakage-Safe Early Skill Mastery Prediction from Multi-Submission Programming Logs
[IEEE] 2026-6-26 | Prediction of methane emissions in precision livestock farming using machine learning based on environmental sensor data
[IEEE] 2026-6-26 | Assessing the Impact of AI-Enabled IoT Technologies on Energy Management in Smart Buildings in Jordan
[ACM] 2026-6-27 | Accuracy-Performance-Resources Trade-Offs in RISC-V Microarchitectures for Genetic Programming
[ACM] 2026-6-27 | POSTER: Toward Energy-Efficient Approximate Computing for Mixture-of-Experts Based CNN Inference
[ACM] 2026-6-27 | M3SA: Exploring Datacenter Performance and Climate-Impact with Multi- and Meta-Model Simulation and Analysis
[ACM] 2026-6-27 | Efficient and Accurate Graph Classification with Hyperdimensional Computing on FPGA
[ACM] 2026-6-27 | Simulating MPI Collectives on Tofino Smart Switches in SimGrid
[IEEE] 2026-6-26 | Traversing the Untraversable: Enabling UAV Navigation in the Extremely Dense Wild by Contact-driven Adaptation_supp4-3705701.mp4
[IEEE] 2026-6-26 | Capacities of quantum Markovian noise for large times
[IEEE] 2026-6-26 | Hadamard-Based Recursive Aperture Decoded Ultrasound Imaging (READI) With Estimated Motion-Compensated Compounding ( EMC ) Using Top-Orthogonal to Bottom Electrode (TOBE) Arrays_supp4-3704971.mp4
[IEEE] 2026-6-26 | Pikavolt: A Cloud-Native BlockDAG Consensus Protocol for Scalable Blockchain Networks
[IEEE] 2026-6-26 | Effective Broadband RCS Reduction in Metasurfaces through Composite Vortex Phase Modulation
[IEEE] 2026-6-26 | Design and Demonstration of a D-Band Scanning Lens Array for Automotive Radar Applications
[IEEE] 2026-6-26 | A Dual-Branch Contrastive Learning Framework for Cross-Subject Thermal Sensation Prediction
[IEEE] 2026-6-26 | Effects of Moisture on Dissolved Gas Diffusion in Vegetable-Based Insulating Oil
[IEEE] 2026-6-26 | A Systematic Optimization Framework for Student Performance Prediction Using CatBoost
[IEEE] 2026-6-26 | AI-Based Modeling of Dielectric Properties for Hydrocarbon Contaminated Soil
[IEEE] 2026-6-26 | Financial Technology (FinTech) Overview: A Conceptual Study
[IEEE] 2026-6-26 | AI-based Data Management for Environmental Disasters Resilience and Sustainability in the Cloud Continuum: A Survey
[IEEE] 2026-6-26 | An AI- and IoT-Driven Quality Monitoring System for Sustainable Management of Cruciferous Vegetables
[IEEE] 2026-6-26 | Role of AI in Advancing Energy Supply Field by Photovoltaic Panel Systems
[IEEE] 2026-6-26 | On the Ability of Speech Recordings to Reflect OSA Severity
[IEEE] 2026-6-26 | Data-Driven AI Framework for Intelligent Fault Detection in Smart Power Grids
[IEEE] 2026-6-26 | Reinforcement Learning for Adaptive Resource Allocation and Scheduling in Maritime Logistics and Smart Transportation Systems
[ACM] 2026-6-27 | Async/await is an Effective Paradigm for Event Management of User Interfaces
[ACM] 2026-6-27 | AME-PIM: Can Memory be Your Next Tensor Accelerator?
[ACM] 2026-6-27 | Hardware-Constrained Online Coordination for Hybrid CXL-RDMA Disaggregated Memory
[ACM] 2026-6-26 | M3DSRec: Memory-Enhanced Multimodal Sequential Recommendation with Multiple Distillation
[ACM] 2026-6-26 | KBase Research Agent: Automated Multi-Agent Workflow Construction for Reproducible Genome Analysis
[IEEE] 2026-6-26 | EEG Decoding Performance and Emotional states in Speech and Language Games for ASD: A pilot study
[IEEE] 2026-6-26 | Cross-view Multimodal Vision-Based Assessment Framework for Traditional Chinese Medicine Rehabilitation Training_supp2-3705649.mp4
[IEEE] 2026-6-26 | Adaptive NN-based Finite-Time Tracking Control for Time-Delay High-Order Nonlinear Systems in the Presence of Input Quantization and Unknown Uncertainties
[IEEE] 2026-6-26 | Quantifying Interpretability of Res-U-Net and U-Net Performance in Identifying Ocean Fronts based on thermal infrared remotely sensed data
[IEEE] 2026-6-26 | Machine Learning–Driven Predictive Maintenance for Sustainable Industrial Water-Treatment Operations
[IEEE] 2026-6-26 | Digital twin model of an intelligent irrigation system for water-efficient agricultural crop production
[IEEE] 2026-6-26 | Prosthetic Arm Control in a BCI System Using CNN with Scalogram and Wavelets
[IEEE] 2026-6-26 | A Modular Two-Stage Deep Learning Pipeline for COVID-19 Screening and Lesion Localization from Chest X-ray Images
[IEEE] 2026-6-26 | Comparative Evaluation of Hybrid Machine Learning Models for Predicting Weather and Air Quality in Dhaka City: Insights for Urban Environmental Management
[IEEE] 2026-6-26 | Artificial Intelligence for Supply Chain Optimization and Demand Forecasting: An End-to-End Cost-Aware Learning Framework
[ACM] 2026-6-27 | wdCP: Windowed Incremental Checkpointing for Efficient and Bounded LLM Recovery
[ACM] 2026-6-27 | The Adaptive Turn in User Interfaces
[IEEE] 2026-6-26 | Hadamard-Based Recursive Aperture Decoded Ultrasound Imaging (READI) With Estimated Motion-Compensated Compounding ( EMC ) Using Top-Orthogonal to Bottom Electrode (TOBE) Arrays_supp3-3704971.mp4
[IEEE] 2026-6-26 | Low Complexity Power-efficient Waveform Design for RIS-aided ISAC
[IEEE] 2026-6-26 | Linear Lyapunov Functions for Nonlinear Compartmental Systems
[IEEE] 2026-6-26 | SHED: Semantic Heterogeneous Graph Learning for Estimating Eating Disorder Severity_supp1-3707439.pdf
[IEEE] 2026-6-26 | Towards Low-Latency Event Stream-based Visual Object Tracking: A Slow-Fast Approach
[IEEE] 2026-6-26 | Autonomous Artificial Egg for Natural Incubation Mimicry and Monitoring in_supp4-3704053.mp4
[ACM] 2026-6-26 | Benchmarking Spatial Operations over Heterogeneous Data: The Case of Zonal Statistics
[ACM] 2026-6-26 | Proceedings of the 2026 11th International Workshop on Testing Database Systems
[IEEE] 2026-6-26 | The Integration of Business Intelligence and Blockchain Technology during the Generative Artificial Intelligence Era
[IEEE] 2026-6-26 | The Role of Information Technology Governance in Enhancing Sustainable Financial Performance: A Conceptual Review and Framework Proposal
[IEEE] 2026-6-26 | Multiclass Classification of Mood Swings Using Gaussian Kernel Support Vector Machines on Structured Mental Health Data
[IEEE] 2026-6-26 | AI-Driven Data Security Intelligent and Adaptive Frameworks for Protecting Data in Modern Digital Ecosystems
[ACM] 2026-6-27 | Towards a Generative AI-Driven Environment for the Specification and Evaluation of IoT Software Systems Requirements
[ACM] 2026-6-27 | eHenna: A Topology-Centered Taxonomy of Geometry-Defined Finger Input on Skin and Glove Conductive Interfaces
[IEEE] 2026-6-26 | Lightweight Hybrid CNN–Transformer Model for Real-Time Detection of Rice Diseases Using Multispectral Drone Images
[IEEE] 2026-6-26 | The Role of Artificial Intelligence in Economic Transformation at Palestinian Universities: Al-Istiqlal University as a Case Study
[IEEE] 2026-6-26 | Augmented and Virtual Reality in Healthcare: Opportunities, Challenges, and Future Directions - A Qualitative Analysis
[ACM] 2026-6-27 | Streamlining Repository Tasks with Effective Snippet Retrieval
[IEEE] 2026-6-26 | An Integrated Flexible Antenna with a Four-Element Parasitic Array for Multibeam Radiation and Solar Energy Harvesting
[IEEE] 2026-6-26 | Efficient Pattern Synthesis of Separable Cylindrical Antenna Array Employing Alternating Fast Segmented Cyclic Convolution and FFT
[IEEE] 2026-6-26 | Phy-HHMR: Physics-Aware Holistic Human Mesh Reconstruction
[IEEE] 2026-6-26 | Design of a High-Stiffness Triaxial Force/Torque Sensor Exploiting Anisotropic Force-Frequency Response of Quartz Resonators
[IEEE] 2026-6-26 | Generalised Medical Phrase Grounding
[IEEE] 2026-6-26 | Reinforcement Learning Optimization of Energy Storage Dispatch in Renewable Energy Microgrids
[IEEE] 2026-6-26 | Hippocampus-Based Alzheimer Detection Using Deep Learning Techniques
[IEEE] 2026-6-26 | Large Language Models for Bangla Sentiment Analysis: Understanding Context and Emotion in Political Discourse
[IEEE] 2026-6-26 | AI Based Digital Human Resource Planning and Employee Productivity
[IEEE] 2026-6-26 | Deep Learning Based Multi Class Recognition of Medicinal Plant Leaf Diseases
[IEEE] 2026-6-26 | CNN-Based Detection of Structural Cracks in Bridges Using UAV Visual Inspection Data
[ACM] 2026-6-26 | Cloud Analytics Benchmarking: Where We Are, What Is Missing, and Where We Should Go
[IEEE] 2026-6-26 | Data-Free Knowledge Distillation for LiDAR-Aided Beam Tracking in MmWave Systems
[IEEE] 2026-6-26 | Input-to-State Stability Analysis for Pneumatic Valve Control Systems With PI Controllers
[ACM] 2026-6-27 | POSTER: Enabling Fine-Grain DVFS for Multi-Kernel GPU Workloads
[ACM] 2026-6-27 | AExec: Asynchronous Multi-accelerator Execution and Management Mechanism
[ACM] 2026-6-27 | SeT-Diff: Towards Semantic Foundation Models for HPC Telemetry and Time-Series
[ACM] 2026-6-27 | POSTER: A Reliable Multi-FPGA RISC-V Based Cluster for Space AI Inference
[ACM] 2026-6-27 | POSTER: AI Act Sandboxes: A Safety-by-Co-Design Framework
[ACM] 2026-6-27 | A Framework Supporting Context-Awareness for Transitional Cross-Reality Applications
[IEEE] 2026-6-26 | A Deep Learning Framework for Detecting Deforestation in the Western Ghats Using Sentinel-2 Imagery
[IEEE] 2026-6-26 | Life Cycle Cost Analysis of Fixed and Dual-Axis Tracking PV Systems for Rural Microgrids in Senegal
[IEEE] 2026-6-26 | Model YIQ in the Study of Lymphoblastic Leukemia from Digital Microscopic Images of Blood Smears
[IEEE] 2026-6-26 | Using Artificial Intelligence in Digital Content Creation for ELearning Environments: An Applied Experiment at Jadara University
[IEEE] 2026-6-26 | Digital Transformation’s Role in Enhancing Supply Chain Sustainability: The Impact of E-Commerce Platforms on Environmental Integration through Innovation
[IEEE] 2026-6-26 | AI-Based Predictive Risk Intelligence for Smart and Sustainable IT Project Systems
[IEEE] 2026-6-26 | Attention-Based Deep Learning for CO
                    <sub>2</sub>
                    Global Emission Forecasting to Support Sustainable Global Climate Actions
[IEEE] 2026-6-26 | Integrating Emerging Technologies in Telemedicine: A Systematic Literature Review of Health Informatics Advances
[IEEE] 2026-6-26 | Design treatment of antique service buildings through metaverse technology (Applied study: Faculty of Fine Arts Mazloum building
[IEEE] 2026-6-26 | AI-Driven Anomaly Detection in Industrial IoT Networks for Predictive Maintenance
[IEEE] 2026-6-26 | A Hybrid Machine Learning and Mathematical Optimisation Framework for Energy Consumption Prediction in Smart Sustainable Systems
[IEEE] 2026-6-26 | Emotion Aware AI Mentorship System for Personalized Learning Enhancement Using Multilingual Emotion Detection
[IEEE] 2026-6-26 | An Empirical Study of Delayed Causal Relationships Between Market Variables and Bitcoin Prices
[IEEE] 2026-6-26 | Explainable Multilingual Hybrid Transformer-Based Model for Cyberbullying Detection in Social Media: A Systematic Review
[IEEE] 2026-6-26 | A Throughput Model Framework for Dynamic Ethical Governance in AI-Driven Biometric Systems
[IEEE] 2026-6-26 | IEEE Recommended Practice for Test and Verification Procedures for Inverter-Based Resources Interconnecting with Bulk Power Systems
[IEEE] 2026-6-26 | Extracting Conditional Expressions as Local Variables: Frequency, Motivation, and Automated Recommendation
[IEEE] 2026-6-26 | Spectrum Sharing and Sensing-based Scheduling in Integrated Terrestrial-Non-Terrestrial Networks
[IEEE] 2026-6-26 | S2EKD: Sequence-to-Epoch Knowledge Distillation for Real-Time Sleep Staging_supp1-3707389.pdf
[IEEE] 2026-6-26 | Effective Mel-Spectrogram Synthesis for Multi-Speaker Text-to-Speech with Band-Specific Acoustic Modeling
[IEEE] 2026-6-26 | Integrated Network Design and Demand Estimation for Advanced Air Mobility Using an Extended Multiple-Allocation p-Hub Median Framework
[IEEE] 2026-6-26 | Online Industrial Sensor Drift Identification Using Anomaly Detection Methods
[ACM] 2026-6-26 | Cross-Domain Distribution Alignment for Segmentation of Private Unannotated 3D Medical Images
[ACM] 2026-6-26 | Whither Computing?
[IEEE] 2026-6-26 | PSD-Guided Multi-Template Waveform Saturation Recovery for Wide-Dynamic-Range Fast-Neutron Spectrometry with SiPM Readout
[IEEE] 2026-6-26 | GLLA: A Unified Force-Directed Graph Layout Framework Supporting Local Adjustments
[IEEE] 2026-6-26 | AvatarVTON: 4D Virtual Try-On for Animatable Avatars_supp2-3705812.mp4
[IEEE] 2026-6-26 | Looking Broader for Knowledge Distillation Via Receptive-Field Alignment_supp1-3704741.pdf
[ACM] 2026-6-26 | Benchmarking Column Statistics for Analytical Query Pruning
[IEEE] 2026-6-26 | Energy-Aware Federated Distillation via Quantum-Driven Task Offloading in LEO Satellite Networks
[IEEE] 2026-6-26 | FDMamba-FMT: Physical Consistency-guided Feature-decoupled Mamba for Fluorescence Molecular Tomography
[IEEE] 2026-6-26 | Two-State Beam-Switchable Microstrip Patch Antenna Enabled by a Nematic Liquid Crystal Layer and Parasitic Coupling
[IEEE] 2026-6-26 | Empathetic Response in Audio-Visual Conversations Using Emotion Preference Optimization and MambaCompressor
[IEEE] 2026-6-26 | Hardware–Algorithm Co-Design for Efficient Bit-Serial Acceleration of Lightweight CNNs With Standard and Depthwise Convolutions on FPGA
[IEEE] 2026-6-26 | Intelligent Control Strategies for Autonomous Robotic Assembly in Mechanical Manufacturing
[IEEE] 2026-6-26 | Evaluating Green SCM and Employee CSR with Modified Servqual Dimensions in the Manufacturing Industry
[IEEE] 2026-6-26 | AI Adoption in Smart Manufacturing and Sustainable Manufacturing Performance
[IEEE] 2026-6-26 | AI-Driven Industrial Data Analytics for Process Optimization in Automated Mechanical Production
[IEEE] 2026-6-26 | IoT-Based Smart Power Quality Analyzer
[IEEE] 2026-6-26 | 2026 International Conference on Artificial Intelligence for Sustainable Engineering and Innovation (AISEI)
[IEEE] 2026-6-26 | Remote Estimation of Gauss-Markov Processes over Multiple Channels: A Whittle Index Policy_supp1-3706007.pdf
[IEEE] 2026-6-26 | Cogging Torque Characteristics and Mitigation of Permanent Magnet Synchronous Machines With Axial Excitation Ports
[IEEE] 2026-6-26 | Adaptive Space-Time Shift Keying and Concatenated Adaptive Space-Time Shift Keying
[IEEE] 2026-6-26 | TFS-Net: Time–Frequency Signal Modeling for Few-Shot Low-Rate DoS Detection
[IEEE] 2026-6-26 | Efficient Multi-scale Hierarchical Feature Extraction and Fusion Network for Hyperspectral Image Classification
[IEEE] 2026-6-26 | Systematic Acoustic Monitoring of Underwater Floating Debris Using Deep Learning With Temporal Information
[IEEE] 2026-6-26 | Hyper-modal Imputation Diffusion Embedding with Dual-Distillation for Federated Multimodal Knowledge Graph Completion_supp1-3705201.pdf
[IEEE] 2026-6-26 | LLM-based Intelligent Agents for Cybersecurity: A Tutorial and Survey of Automated Vulnerability Discovery
[IEEE] 2026-6-26 | STORM-Net: Summary-Token Object-Relational Mamba Network for Dynamic Crime-Scene Graph Generation
[IEEE] 2026-6-26 | Multi-Objective Optimization of Residential Layout and Envelope Design for Daylight, Thermal Comfort, and Cooling Energy in Hot-Arid Climates
[IEEE] 2026-6-26 | Feasibility of a Center of Mass Based Fuzzy-Logic Phase Detection Algorithm for Post-Spinal Cord Injury Gait_supp1-3705681.docx
[IEEE] 2026-6-26 | MVOFormer: Flow-Semantic Transformer for Robust Monocular Visual Odometry_supp1-3707361.mp4
[IEEE] 2026-6-26 | VIKSER: Visual Knowledge-Driven Self-Reinforcing Reasoning Framework_supp1-3707187.pdf
[IEEE] 2026-6-26 | A Wideband Spaceborne Stacked GNSS Antenna With Low Hemispherical AR for Stable Phase Center
[IEEE] 2026-6-26 | AWC-LVI: Robust LiDAR-Visual-Inertial SLAM With Residual-Based Adaptive Weighting Controller in Complex Environments
