[2026-07-06 23:07:45] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-05
正在获取论文...
[ACM] 2026-7-5 | JunoBench: A Benchmark Dataset of Crashes in Python Machine Learning Jupyter Notebooks
[ACM] 2026-7-6 | Effects of Mastery-Inspired Checkpoint Quizzes in a Large Introductory CS Course: A Mixed Methods Study
[ACM] 2026-7-6 | Assessing Best Practices Adherence in Software Engineering Education Through Data-Driven Compliance Analytics
[ACM] 2026-7-6 | Investigating Alignment Between Computing Students' Self-Reported and Verbalized Self-Regulated Learning Behaviors
[ACM] 2026-7-6 | LLM-led Socratic Dialogues on Ethics in Computing
[ACM] 2026-7-6 | Smells Like Memory: Reconstructing Virtual Autobiographical Spaces Through Scent in VR
[IEEE] 2026-7-6 | Spatial-Spectral Flow Guidance and Dynamic Reconstruction for Few-Shot Open-Set Hyperspectral Recognition
[IEEE] 2026-7-6 | Toward Generalizable AI-Generated Image Detection with a New Realistic Dataset: Performance Evaluation and Improvement
[IEEE] 2026-7-6 | BRepCGC: Reconstruct CAD feature from Boundary-Representations
[IEEE] 2026-7-6 | SavorLink: Designing a Collaborative and Multimodal Dietary Management System for Rural Elderly
[IEEE] 2026-7-6 | PGMAF: Prototype-Guided Modal Adaptive Fusion for Multimodal Sentiment Analysis
[IEEE] 2026-7-6 | A Proactive Fault-Recovery Framework for Multi-Robot Task Allocation Using Successor Pre-Assignment
[IEEE] 2026-7-6 | HALI: A Hotspot-Aware Learned Index
[IEEE] 2026-7-6 | Knowing from Routers: An Indoor Layout Estimation Method based on the RSSI Signal
[IEEE] 2026-7-6 | Scene Text Recognition with Graph Adaptive Attention
[IEEE] 2026-7-6 | CurveHunter: A Multi-Agent Vision-Language System for Automated Adsorption Isotherm Curve Extraction
[IEEE] 2026-7-6 | Collaborative Multi-Task Scheduling of Agricultural Machinery Using Deep Reinforcement Learning
[IEEE] 2026-7-6 | CSCWD 2026 Cover Page
[IEEE] 2026-7-6 | CPFI: Training on TLS 1.2, Detecting over TLS 1.3 for Malicious Traffic Identification
[IEEE] 2026-7-6 | LLMaaD: LLM-Based Multi-Agent Framework for Interpretable Log Anomaly Detection
[IEEE] 2026-7-6 | SteerThink: Activation-Level Overthinking Attacks on Large Reasoning Models
[IEEE] 2026-7-6 | ProtoFormer: A Transformer with Global Prototype Interaction for Multivariate Time Series Forecasting
[IEEE] 2026-7-6 | FusionSeed: Seed Generation for Protocol Fuzzing via Knowledge Fusion and PCSG-Guided LLM
[IEEE] 2026-7-6 | Mitigating Gender Bias in Depression Detection via Counterfactual Inference
[IEEE] 2026-7-6 | Reliable and Privacy-Preserving Distributed Learning for IIoT: A Cross-Layer Approach
[IEEE] 2026-7-6 | A Dual-Top-Electrode ScAlN-Based Piezoelectric Micromachined Ultrasound Transducer with Series-Connected Electrode Topology for Enhanced Receiving Sensitivity
[IEEE] 2026-7-6 | RF-Fencing: A Novel RIS-Based Service for Signal Suppression via Codebook Multiplexing
[IEEE] 2026-7-6 | Exploring Bus Stop Mobility Pattern with Temporal Variation: A Multi-Period Prediction Framework
[IEEE] 2026-7-6 | IntrinTrans: LLM-based Intrinsic Code Translator for RISC-V Vector
[IEEE] 2026-7-6 | Making the Best of Both Worlds: Universal Perturbations for Live Black-Box Evasion against NIDS in Encrypted Traffic
[IEEE] 2026-7-6 | A Federated Learning Model for Heterogeneous Data Based on Client Clustering and Model Fusion
[IEEE] 2026-7-6 | An Algorithm Model based on Physics-Informed Neural Network for Solving Burgers Equation
[IEEE] 2026-7-6 | Detecting Sybil Attacks in Cross-Chain Transactions: A Multi-Stage Framework
[IEEE] 2026-7-6 | Co-Design of Matching and Incentive Mechanisms for V2V Charging: A Dynamic Reward Framework
[IEEE] 2026-7-6 | EPIL-Attention: An Edge-Position-Illumination-Layout Guided Attention Mechanism for Fault Detection in Spinning Equipment Operation
[IEEE] 2026-7-6 | When the Manual Lies: A Realistic Benchmark to Evaluate MCP Poisoning Attacks for LLM Agents
[IEEE] 2026-7-6 | Zero Knowledge Proofs of Inference for Neural Networks with Enhanced Privacy Protection
[IEEE] 2026-7-6 | ChipHier: A Partitioning and Optimization Framework for Large-Scale Chip Design
[IEEE] 2026-7-6 | Incremental Learning for XGBoost via Knowledge Consolidation
[IEEE] 2026-7-6 | Multi-Agent Reinforcement Learning for Resource Allocation in Aerial Edge Computing
[IEEE] 2026-7-6 | Sparse Model Compression: Deep Learning for Dimensionality Reduction in Multidimensional Databases
[IEEE] 2026-7-6 | Scalable Proactive Cyber Threat Forecasting Architecture Using Self-Supervised Learning and Reinforcement-Driven Decision Policies
[IEEE] 2026-7-6 | Mitigating Hallucination on Hallucination in RAG via Ensemble Voting
[IEEE] 2026-7-6 | AI-Driven Precision Farming for Cardamom Cultivation in Idukki District, Kerala
[IEEE] 2026-7-6 | Sim-to-Real Transfer Learning for Humanoid Robot Control: A Mini-Review
[IEEE] 2026-7-6 | 6LLM: Large Language Model–Enabled Scalable and Seedless IPv6 Prefix Target Generation
[IEEE] 2026-7-6 | Smart Seismic Alert System: An AI-Based Approach for Early Earthquake Detection
[IEEE] 2026-7-6 | Committees
[IEEE] 2026-7-6 | TGRA-Net: Text-Guided and Role-Aware Network for Multi-Image Social Event Detection
[IEEE] 2026-7-6 | Optimal Strategy Revision in Population Games: A Mean Field Game Theory Perspective
[IEEE] 2026-7-6 | PAMPS: Path-Aware Adaptive Multi-Subflow Parallel Scheduling for LLM Training Workloads
[IEEE] 2026-7-6 | Graph Neural Network Architectures for Complex Pattern Modelling
[IEEE] 2026-7-6 | Spur Gear Fault Diagnosis Using Deep Learning with Wavelet Feature Attention and Spike Encoding
[IEEE] 2026-7-6 | Genetic Programming-Based Evolutionary Strategy Generation for Complex Optimization
[IEEE] 2026-7-6 | Tri-Sequence-Based Ant Colony Optimization for Facility Location Allocation in Emergency Medical Service Systems with Unmanned Aerial Vehicles
[IEEE] 2026-7-6 | Integration of Emotion-Aware Multilingual NLP and Persuasive Dialogue Modeling for Context-Aware AI Voice Agents
[IEEE] 2026-7-6 | Robust MRI Brain Tumor Classification Using Resnet-Based Transfer Learning
[IEEE] 2026-7-6 | DAFformer:A Dual Adaptive Fusion Transformer with Multi-Scale Time-Channel Integration for Multivariate Time Series Forecasting
[IEEE] 2026-7-6 | LCDSR-3D : LoRA-tuned Conditional Diffusion Model for 3D Appearance Super-Resolution
[IEEE] 2026-7-6 | A Comparative Analysis of Parameter Impact on PSO, GA, and ACS for Multimodal Function Optimization
[IEEE] 2026-7-6 | Blockchain-Enabled Trust Fabric for Secure Multi-Cloud Interoperability
[IEEE] 2026-7-6 | Design, Fabrication and Testing of 28 GHz Uniform Linear Array and Coprime Array
[IEEE] 2026-7-6 | A 1.6 GHz Silicon-Validated Learning-Based AXI4 Interconnect with Hardware-Embedded RL Arbitration for QoS-Critical Heterogeneous Systems
[IEEE] 2026-7-6 | PNI-ACO: Pheromone-Aware Neural Improvement for Ant Colony Optimization on the Traveling Salesman Problem
[IEEE] 2026-7-6 | Smart Autofocusing in In-Line Holography applying a Deep Regression Model
[IEEE] 2026-7-6 | Dual-Stream Transformer with Psychoacoustic Synergy for Dynamic Music Emotion Recognition
[IEEE] 2026-7-6 | An LLM enhanced human-machine collaborative framework for reasoning and maintenance decision support of industrial fault diagnosis*
[IEEE] 2026-7-6 | KG-First, LLM-Fallback: A Hybrid Microservice for Grounded Skill Search and Explanation
[ACM] 2026-7-5 | Accountable Agents in Software Engineering: An Analysis of Terms of Service and a Research Roadmap
[ACM] 2026-7-5 | Zombie Agents: Detecting Semantic Livelock in Long-Horizon Autonomous Software
[ACM] 2026-7-5 | VeriTrans: Fine-Tuned LLM-Assisted NL→PL Translation via a Deterministic Neuro-symbolic Pipeline
[ACM] 2026-7-6 | Replicating the Prerequisite-Outcome Correlation Patterns
[ACM] 2026-7-6 | Preliminary Reflections on a Situated View of Socio-Ethical Competences in Computer Science Education
[ACM] 2026-7-6 | Investigating the Impact of Student Usage of Generative AI Tools in Computing Courses
[ACM] 2026-7-6 | Community-Centered AI Integration with Students as Co-Designers and Co-Builders
[ACM] 2026-7-6 | AI WAR CLOUD DATABASE
[ACM] 2026-7-6 | Visual Instruments for Live Cinema: Turning Process into Performance
[ACM] 2026-7-6 | Exploring Upper Elementary Students' Debugging Strategies in Scratch
[ACM] 2026-7-6 | Programming is on Fire: Can CS Education Handle the Heat?
[ACM] 2026-7-6 | Operationalizing Sustainability through Non-Functional Requirements: A Domain-Oriented Model for Biomedical Software
[IEEE] 2026-7-6 | From Noisy Beacons to Precise Location: A Confidence-Guided Cycle Retraining Strategy
[IEEE] 2026-7-6 | Hypertension Detection Using Retinal Vessel Biomarkers Extracted from Fundus Images
[IEEE] 2026-7-6 | Towards Reliable Intelligent Fault Diagnosis of Rolling Element Bearings: The Role of Signal Quality
[IEEE] 2026-7-6 | MobileGAN: A Lightweight Network for Underwater Image Enhancement via Perceptual and Feature Consistency Learning
[IEEE] 2026-7-6 | A Fully Supervised Framework for Lightweight Soiling Segmentation on Photovoltaic Panels Using YOLOv8
[IEEE] 2026-7-6 | A Comprehensive Framework Integrating Universal Scalability Law to Enhance Cloud Resource Allocation
[IEEE] 2026-7-6 | Automated Classification of Male and Female Pattern Hair Loss Stages Using EfficientNet According to the Hamilton-Norwood and Ludwig Scale
[IEEE] 2026-7-6 | Collaborative Computing for Emergency Situational Awareness: A Trigger-Enhanced Event Extraction Approach
[IEEE] 2026-7-6 | Keynote Speaker
[IEEE] 2026-7-6 | AI-Based Autonomous Coconut Tree Climbing and Harvesting Robot
[IEEE] 2026-7-6 | A Rule-Filtered and Voting-based Consensus Cooperative Multi-Agent Framework for Zero-Shot Named Entity Recognition
[IEEE] 2026-7-6 | A Benchmark Dataset for Knowledge Graph–Enhanced AI Teaching Assistants
[IEEE] 2026-7-6 | Model-Based Investigation of Multi-Step Electrochemical Reduction from V
                    <sup>5+</sup>
                    to V
                    <sup>3+</sup>
                    in a Two-Dimensional Vanadium Electrolysis Cell
[IEEE] 2026-7-6 | PCTrans-X: An Explainable End-to-End Framework for Malicious Network Traffic Detection
[IEEE] 2026-7-6 | TempoMatch: Distance-Weighted kNN Analytics for Tournament Bracket Forecasting
[IEEE] 2026-7-6 | Hybrid Temperature Control System: Embedded PID with Sensor Diagnostics and ML-Driven Forecasting
[IEEE] 2026-7-6 | Bearing Fault Diagnosis Based on Adaptive COA-VMD Decomposition and GRU-Transformer Temporal Modeling
[IEEE] 2026-7-6 | AMR-X: Design and Evaluation of an Integrated Machine Learning–Driven Antimicrobial Resistance Decision Support System
[IEEE] 2026-7-6 | Vicarious Calibration of a Cloud Radar Radiometric Channel Using Radiosoundings
[IEEE] 2026-7-6 | LO&amp;FO: An AI-Powered Web Platform for Missing Person Identification and Recovery
[IEEE] 2026-7-6 | NSCT-RSFound: A Dynamically Weighted Multi-Stream Vision Transformer for Robust Remote Sensing Scene Classification
[IEEE] 2026-7-6 | A Physical-layer Key Generation Method via Random Interleaver and Dual-QM Quantization in UAV Communication
[IEEE] 2026-7-6 | Robust Secure Hybrid Beamforming for Active STAR-RIS-enabled Integrated Sensing and Communication
[IEEE] 2026-7-6 | Interference Sensing-as-a-Service: End–Edge–Cloud IoT System with Zero-Shot Detection and GNN Localization
[IEEE] 2026-7-6 | TwinTouch: Integrated Multi-dimensional Wearable Haptics for Digital Twin-based XR Teleoperation
[IEEE] 2026-7-6 | Fed-SENSE: Federated State-Aware Null-Space Ensemble for Evasive Learning
[IEEE] 2026-7-6 | RC-QAT: Efficient Robust Quantization via Attention-Guided Adversarial Distillation
[IEEE] 2026-7-6 | Material-Aware 3D Gaussian Splatting: Learning Spatially Varying BRDF with Physics-Based Material Priors
[IEEE] 2026-7-6 | A Comprehensive Survey on Multimodal Recommender Systems: Taxonomy, Evaluation, and Future Directions
[IEEE] 2026-7-6 | UniOCTSeg++: Refined Hierarchical Prompt Strategy and Bi-directional Progressive Consistency Learning for Universal Retinal Layer Segmentation in OCT
[IEEE] 2026-7-6 | CarbonCLIP: Enhance Carbon Prediction from Satellite Imagery via Integrated Street-View Semantics and Temporal Context Training
[IEEE] 2026-7-6 | HPIM: Heterogeneous Processing-In-Memory-based Accelerator for Large Language Models Inference
[IEEE] 2026-7-6 | Robust Energy Management for Distributed Energy Resources Using Homothetic Tube-based Economic Model Predictive Control
[IEEE] 2026-7-6 | DLQR-Based Resonant Current Control Scheme for Torque Ripple Minimization in Non-Sinusoidal PMSMs
[IEEE] 2026-7-6 | A Morphology-Driven Deep Learning Approach for Wheat Seed Vigor Detection
[IEEE] 2026-7-6 | MAVeT: Multi-scale Adaptive Routing with Variable-aware Transformer for Time Series Forecasting
[IEEE] 2026-7-6 | Flexible Product Selection with Demand Learning
[IEEE] 2026-7-6 | TFReC: Self-Attention-Based Feature Reconstruction for Network Traffic Classification Under Low-Quality Data
[IEEE] 2026-7-6 | KGG&amp;CE: A Knowledge-Guided Generation and Contextual Expansion Framework for Cybersecurity Open Information Extraction
[IEEE] 2026-7-6 | Large-Scale Textual Keyword-Enhanced Semantic Retrieval Method for Computer Science AI Teaching Assistant System
[IEEE] 2026-7-6 | Privacy-Preserving Cooperative Set Intersection Computation for Temporal Data
[IEEE] 2026-7-6 | The Influence of Space Charges on the Life Exponent from Accelerated Life Tests on PP-based HVDC Cable Insulation. Part 2: Binary Blends and Final Comparison with Ternary Blends
[IEEE] 2026-7-6 | Entropy-Based Graph Learning Framework for Cross-Subject Detection of Electrical Status Epilepticus During Sleep (ESES)
[IEEE] 2026-7-6 | IMAGEIN AI: An AI-Powered Web Application for Image Manipulation
[IEEE] 2026-7-6 | Design and Experimental Evaluation of a Hybrid Ensemble Learning Model for Fake Image Detection
[IEEE] 2026-7-6 | KGP-Agent: A Reinforcement Learning Agent for Pruning Multi-Modal Knowledge Graph to Extract Core Exam Concepts
[IEEE] 2026-7-6 | Method for Intelligent Scheduling of Computing Power Network Based on Intention Recognition via Large Language Models
[IEEE] 2026-7-6 | A Real-Time One-Stage Deep Learning Framework for License Plate Identification and Vehicle Classification
[IEEE] 2026-7-6 | RTEDiff: Physics-Informed Diffusion for Cross-Spectrum Image Translation Toward Digital Twin Perception
[ACM] 2026-7-5 | Fixpad++: Automated Bug Fix Verification using LLM Agents
[ACM] 2026-7-5 | Artifact Readiness Gates with Saturation Stop Rules and Host-Parity Admissibility for FM Release Evaluation
[IEEE] 2026-7-6 | Attack-compensation observer-based integral dynamic event-triggered T-S fuzzy control of IoT-artificial pancreas systems against sensor attacks
[IEEE] 2026-7-6 | NetLF: A Unified Traffic Classification Framework Integrating Protocol Parsing and Hybrid Sparse Attention
[IEEE] 2026-7-6 | Knowledge-Guided Instruction Grounding with Hybrid Map for Vision-Language Navigation
[IEEE] 2026-7-6 | A Hybrid TCN-Mamba Model for Power Load Forecasting
[IEEE] 2026-7-6 | MSKGCF: A Framework for Multimodal Scientific Knowledge Graph Construction and Fusion
[IEEE] 2026-7-6 | LLM-Guided Runway Incursion Scoring and Evidence Flow for Runway Incursion Early Warning
[IEEE] 2026-7-6 | AFA-UNet: Adaptive Remote Sensing Segmentation Network for Collaborative Design Support Systems
[IEEE] 2026-7-6 | Index
[IEEE] 2026-7-6 | An IoT Application Scheme Based on DAG Blockchain
[IEEE] 2026-7-6 | Data-Driven Failure-Time Proxying and RUL Prediction for Robotic Arms and UAVs
                    <sup>*</sup>
[IEEE] 2026-7-6 | Advancements in Deep Learning Techniques for Brain Tumor Classification from MRI Scans
[IEEE] 2026-7-6 | A Pruning Method via Joint Filter Diversity and Contribution Evaluation
[IEEE] 2026-7-6 | Detection of Pomelo Leaf Miner's Eggs Using Image Processing Technique
[IEEE] 2026-7-6 | ADSSSC 2026 Cover Page
[IEEE] 2026-7-6 | AGRID: Optimizing Farmers' Market Reach Using Multi-Feature Clustering and DBSCAN for Recommender System Within Rosario, Batangas
[IEEE] 2026-7-6 | A Novel Continuous-Time Algorithm for Nonsmooth Convex Resource Allocation Optimization*
[IEEE] 2026-7-6 | CommSNet: A Communication Summarization Network for Robust IoT Device Fingerprinting
[IEEE] 2026-7-6 | Crack Detection In Rcc Beam Using Deep Learning And Image Processing Techniques
[IEEE] 2026-7-6 | Rapid Electrochemical Impedance Spectra Fitting for Lithium-ion Batteries using Geometric-Hybrid Equivalent Circuit Model
[IEEE] 2026-7-6 | DrumVerse: A Scaffolded Mobile Serious Game for Accessible Foundational Percussion Education
[IEEE] 2026-7-6 | A Novel Framework for New York Taxi Trip Data Pattern Identification Using Big Data Analysis
[IEEE] 2026-7-6 | Spotshield: Intelligent Vehicle Detection with Blind-Spot Awarenes and Alerting
[IEEE] 2026-7-6 | ResQguard 2.0 – Smart Mining Helmet
[IEEE] 2026-7-6 | WaveMoE: A Wavelet-Enhanced Mixture-of-Experts Framework for Multivariate Time Series Forecasting
[IEEE] 2026-7-6 | AFAD: High-Capacity Image Watermarking via Adaptive Feature Modulation and Axial Decoupling
