[2026-07-22 23:03:15] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-21
正在获取论文...
[arXiv] 2026-07-21 | DBMol: Design of High-Affinity, Target-Specific Small Molecules through Structure Prediction Models
[arXiv] 2026-07-21 | Activity and Competing Length Scales in an Anomalous Core-Softened Fluid
[arXiv] 2026-07-21 | Subject-Conditioned Glucose Forecasting in Type-1 Diabetes
[arXiv] 2026-07-21 | The Tractability Landscape of Sampling with Inexact Scores
[arXiv] 2026-07-21 | Consistent Multi-Wavelength Spectral Modeling of Cool White Dwarfs with Carbon-Polluted Atmospheres
[arXiv] 2026-07-21 | Bayesian Sequential Quantum Amplitude Estimation for Rare-Event Structural Failure Probability
[arXiv] 2026-07-21 | Preferential and differential diffusion in RANS simulation of lean hydrogen flames with tabulated chemistry
[arXiv] 2026-07-21 | Sixteen-State Energy Mapping for First-Principles Four-Spin Ring Exchange: Validation on $La_2CuO_4$ and $SrFeO_2$
[arXiv] 2026-07-21 | Disentangling Curriculum Learning in NLP: Towards a Unifying Taxonomy
[arXiv] 2026-07-21 | AutoJourn: Multi-Perspective Summarisation, Bias Detection and Bias Neutralisation for LLM-Generated News in Automated Journalism
[arXiv] 2026-07-21 | Ambient Pressure-Driven Actuators and Shape-Morphing Metamaterials
[arXiv] 2026-07-21 | Functional inequalities for starlike and convex functions associated with $g$-derivative operator
[arXiv] 2026-07-21 | Skillware: A Software Ontology and Engineering Lifecycle for Persistent Behavioral Artifacts
[arXiv] 2026-07-21 | Convex Optimization-Based Procedures for Non-Convex Quadratic Problems
[arXiv] 2026-07-21 | RAMP: Recognition parametrisation by Amortised Message Passing
[arXiv] 2026-07-21 | SkyEV: RGB-Event UAV detection and tracking dataset and baseline
[arXiv] 2026-07-21 | Production of lepton-flavor-violating scalars through resonant positive-muon annihilation on atomic electrons
[arXiv] 2026-07-21 | Howson property and finitely generated intersection problem for monogenic inverse semigroups
[arXiv] 2026-07-21 | Towards chemistries in dynamical systems
[arXiv] 2026-07-21 | AgentDebugX: An Open-Source Toolkit for Failure Observability, Attribution, and Recovery in LLM Agents
[arXiv] 2026-07-21 | Understanding ADHD Productivity in Construction Work: Toward AI-enabled VR Interventions
[arXiv] 2026-07-21 | Long rigid fibres in a turbulent channel flow: comparison between experiments and simulations
[arXiv] 2026-07-21 | Spatially resolved in-situ characterisation of competing martensitic transformation pathways during nanoscratch in 316H Stainless Steel
[arXiv] 2026-07-21 | MeetingToM: Evaluating Multimodal LLMs on Theory-of-Mind Reasoning in Multi-Party Meetings
[arXiv] 2026-07-21 | A spacetime positive mass theorem with corners via mollification
[arXiv] 2026-07-21 | Bound Entanglement Is Insufficient for an Exponential Quantum Learning Advantage
[arXiv] 2026-07-21 | Simultaneous calibration of rotation and phase errors in a single experiment
[arXiv] 2026-07-21 | Evolutionary Entropy Shapes Lifespan of the Greenland Shar
[arXiv] 2026-07-21 | Impact of Z-boson transverse-momentum resummation on PDF determination
[arXiv] 2026-07-21 | Reasoning Before Translation: Enhancing Legal Machine Translation with Structured Reasoning
[arXiv] 2026-07-21 | Quantum Synchronization
[arXiv] 2026-07-21 | Secure OFDM-IM ISAC With Artificial-Noise-Aided Index Deception
[arXiv] 2026-07-21 | Minkowski dimension and content of complex continued fractions
[arXiv] 2026-07-21 | Informative Distance-Based Priors for Correlation Matrices Centred on a Target Reference
[arXiv] 2026-07-21 | Holographic Soliton Crystals for Dense Nuclear Matter and Neutron Stars
[arXiv] 2026-07-21 | Diffeological non-Abelian Hodge theory: relative harmonic metrics and deformation theory
[arXiv] 2026-07-21 | Astrophysics on GPUs: introducing AGILE 1.0
[arXiv] 2026-07-21 | An $e$-positive classification for complete multipartite graphs
[arXiv] 2026-07-21 | S3: Stable Subgoal Selection by Constraining Uncertainty of Coarse Dynamics in Hierarchical Reinforcement Learning
[arXiv] 2026-07-21 | AdaFlash: Adaptive Speculative Decoding via On-Policy Distilled Diffusion Drafters
[arXiv] 2026-07-21 | Denoising Subordinated Probabilistic Models: Diffusion with a Tempered-Stable Volatility Clock, and What the Noise Mechanism Actually Controls
[arXiv] 2026-07-21 | Keeping the Cache Warm Pays: Keepalive Economics for Agentic Workloads
[arXiv] 2026-07-21 | Computing on the Fly: Navigating a Vision for the Future of Drone Computing
[arXiv] 2026-07-21 | Some cautionary tales about Bayesian predictive inference
[arXiv] 2026-07-21 | Spectral Biclustering-Driven Scalability for Post-Hoc Explainability in Recommender Systems
[arXiv] 2026-07-21 | Numerical methods for Langevin-type SPDE: an implicit Milstein approach and multilevel Monte Carlo techniques
[arXiv] 2026-07-21 | Full Next-To Leading-Order Electroweak and QCD Corrections to the Relic Density in the CxSM
[arXiv] 2026-07-21 | Point Ladder Tuning: Parameter-Efficient Hierarchical Adaptation for 3D Point Cloud Understanding
[arXiv] 2026-07-21 | Physical Properties of 6.7 Million Galaxies from the DESI Bright Galaxy Survey: Spectral Fitting and Systematic Tests with Mock Spectra
[arXiv] 2026-07-21 | Quantum logistic map considered as discrete-time Heisenberg equation
[arXiv] 2026-07-21 | Breaking the Homogeneity Assumption: Specialized Multi-Generator Adversarial Learning for Rare Failure Detection in Predictive Maintenance
[arXiv] 2026-07-21 | Flavor-Dependent QCD Critical Endpoint and Dual-Channel Fluctuations from Multi-Charge Holography
[arXiv] 2026-07-21 | Archimedean Modular Symbols for Rankin-Selberg Convolutions of $\mathrm{GL}_n(\mathbb{C})\times\mathrm{GL}_n(\mathbb{C})$ and $\mathrm{GL}_n(\mathbb{C})\times\mathrm{GL}_{n+1}(\mathbb{C})$
[arXiv] 2026-07-21 | Parallel Noising in Neural Markov Logic Networks
[arXiv] 2026-07-21 | Combined tools for Particle-In-Cell simulations performed with transversely asymmetric chirped lasers
[arXiv] 2026-07-21 | Long-time asymptotic behavior for the defocusing Hirota equation on a finite-genus algebro-geometric background
[arXiv] 2026-07-21 | A Two-Fluxes Stochastic Model of Traffic Waves
[arXiv] 2026-07-21 | Enabling Multi-Dimensional Distributed Trace Comparison with Contrast
[arXiv] 2026-07-21 | Various Bialgebras Of Representative Functions On Free Monoids
[arXiv] 2026-07-21 | Advancing Multimodal Fusion on Heterogeneous Medical Data with Hybrid Geometry Attention
[arXiv] 2026-07-21 | GEqTrain: A Configuration-Driven Framework for Retargeting Equivariant Graph Neural Networks Across 3D Scientific Tasks
[arXiv] 2026-07-21 | Morillas-type transformations of copulas and stable tail dependence functions
[arXiv] 2026-07-21 | Context-structured Video Anomaly Detection with Large Vision-Language Models
[arXiv] 2026-07-21 | How to improve the discrimination power of classically simulable measurements?
[arXiv] 2026-07-21 | Probabilistic Physics-Aware Machine Learning Predictions of Electric Truck Energy Consumption with Field Data
[arXiv] 2026-07-21 | Cographs and Minimum Diamond-Generating Edge Sets in Boolean Lattices
[arXiv] 2026-07-21 | On the Performance of Fluid Antenna Systems under Block-Diagonal Correlation Model
[arXiv] 2026-07-21 | Content is What Remains: Invariant Speech Tokenization from Parallel Utterances
[arXiv] 2026-07-21 | Pricing options on illiquid assets using liquid market benchmarks: an application to energy markets
[arXiv] 2026-07-21 | Spreading dynamics for diffusive competition systems in shifting environments
[arXiv] 2026-07-21 | Projected Inner-Function Dynamics and Crystalline Measures of Meyer-Blaschke type
[arXiv] 2026-07-21 | Evaluating DV/CV-QKD Architectures for SAFE Long-Term Secure Storage: A Risk Model and ILP-Based Cost Optimization Approach
[arXiv] 2026-07-21 | Observable Matrix Dynamics of Stocks
[arXiv] 2026-07-21 | Benchmarking Deep Learning Approaches for AEC Engineering Drawing Layout Detection and Information Extraction
[arXiv] 2026-07-21 | Beyond Text Editing: Algebraic Manipulation of Source Code
[arXiv] 2026-07-21 | Non-Square UPA-Enabled XL-MIMO Systems: Anisotropic Near-Field Characterization, Fundamental Limits, and Channel Estimation
[arXiv] 2026-07-21 | Correct-by-Construction Behavior Tree Synthesis from Signal Temporal Logic Specifications with Application to Robotic Missions
[arXiv] 2026-07-21 | Dual Attention Residuals
[arXiv] 2026-07-21 | Formal Verification of an Out-of-Order Multiprocessor against an In-Order Weak-Memory ISA
[arXiv] 2026-07-21 | On the possible values of the Rearrangement Number
[arXiv] 2026-07-21 | Distribution of $k$-th Maximum Order Statistics of Independent, & Non-Identical SNR random variables in $κ-μ$ fading and its applications in $6G$
[arXiv] 2026-07-21 | Stale but Stable: Staleness-Adaptive Trust Regions for Stabilizing Asynchronous Reinforcement Learning
[arXiv] 2026-07-21 | Continual Video-MLLM Adaptation over Evolving Domains
[arXiv] 2026-07-21 | Pathwise Portfolio Theory and Market Viability
[arXiv] 2026-07-21 | Generative World Renderer at the Speed of Play
[arXiv] 2026-07-21 | Decoupled Pipeline with Proposal Reranking and Score Fusion for Positive-Unlabeled Marine Species Detection
[arXiv] 2026-07-21 | Do AI-Native Biotechs Need Departments? Benchmarking Company World Models for AI-Driven Drug Development
[arXiv] 2026-07-21 | A Local Classification of Four-Element Multiple Sumsets
[arXiv] 2026-07-21 | Rank-One Fluctuations in Averaging-Learning Dynamics
[arXiv] 2026-07-21 | Dual-Edged Homogeneous-Modality Similarity: Towards Visible-Infrared Modality-Incomplete Person Re-Identification with Modality Adaptive Matching
[arXiv] 2026-07-21 | Cyclic-Prefix-Free OFDM With Tail-Reuse Reconstruction for Distributed Acoustic Sensing
[arXiv] 2026-07-21 | Examining the stellar-merger origin of the blue main sequence in the open cluster NGC\,3532 with N-body simulations
[arXiv] 2026-07-21 | Noise Pollution and Household Sustainability: An Economic Approach
[arXiv] 2026-07-21 | Rethinking Joint UAV Placement and Beamforming: A Correlation-Aware Geometric Approach
[arXiv] 2026-07-21 | DeforM: Reasoning-Guided Physics-Aware Video Generation via Spatial-Temporal Masking
[arXiv] 2026-07-21 | Broken Gates: Re-evaluating Web Bot Defenses in the Age of LLM Agents
[arXiv] 2026-07-21 | On the Toda hierarchy for the stationary theory of the tube with negative contact orders
[arXiv] 2026-07-21 | Mark, Don't Erase: Token Inoculation for Dual-Use Knowledge in LLMs
[arXiv] 2026-07-21 | Graph Neural Network-based Algorithm Selection for the Traveling Salesman Problem: A Systematic Study of Cost and Rank Losses under Distinct Budget Regimes
[arXiv] 2026-07-21 | On the Fields of Moduli of Curves of Genus Six
[arXiv] 2026-07-21 | Characterizing the Dynamics of Muscle Regeneration in the mdx Mouse Model
[arXiv] 2026-07-21 | Molecular gas hidden in plain sight in the early Universe
[arXiv] 2026-07-21 | Discrete distributions and statistical mechanics of small systems
[arXiv] 2026-07-21 | Measuring Reward-Seeking via Contrastive Belief Updates
[arXiv] 2026-07-21 | From Dependency to Compositionality: A Neurosymbolic Lifting of LLM Outputs via Combinatory Categorial Grammar
[arXiv] 2026-07-21 | Definable Classes of Models and Frames in Bi-intuitionistic Logic
[arXiv] 2026-07-21 | Generic polar divisors and flag residues for root-system zeta functions
[arXiv] 2026-07-21 | A Griesmer-Type Bound for List-Decodable Linear Codes
[arXiv] 2026-07-21 | Topological Polarimetry: Polarization Skyrmions and Vortices from Tissue Scattering
[arXiv] 2026-07-21 | Transcription Policy as a Latent Variable: Activating Controllable Verbatim ASR with Word-Level Timing
[arXiv] 2026-07-21 | A frugal primal-dual splitting with minimal lifting over arbitrary rooted trees
[arXiv] 2026-07-21 | AI-Powered Browsers Are Broadly Accurate News Summarizers That Reduce Political Bias and Negative Affect
[arXiv] 2026-07-21 | Functional Equivalence and Geometric Diversity in Neural Network Approximations: An Empirical Characterization
[arXiv] 2026-07-21 | A User-oriented Portable, Reproducible, and Scalable Software Ecosystem
[arXiv] 2026-07-21 | From a Multilingual Streaming ASR Backbone to Kenyan-Language Systems: Data-Centric Adaptation of Nemotron 3.5 for Kikuyu, Dholuo, and Kalenjin
[arXiv] 2026-07-21 | Answer-Reconstruction Search Density: Measuring the Query and Source Work Compressed by Conversational Answers
[arXiv] 2026-07-21 | Multiscale ensemble Monte Carlo of transport and gas sensing in monolayer MoS$_2$
[arXiv] 2026-07-21 | KALE: Kernel Alignment with Loss Equilibration for Stable CLIP-DINOv2 Alignment at Web Scale
[arXiv] 2026-07-21 | Wave2Body: Rethinking mmWave Human Pose Estimation as Radar-to-Body Token Translation
[arXiv] 2026-07-21 | OPD-IAD: From Language Judgment to Industrial Anomaly Detection via On-Policy Self-Distillation
[arXiv] 2026-07-21 | Private Approximation of Graph Spectra and Cuts via Spectral Amplifiers
[arXiv] 2026-07-21 | NSMA: Neuro-Symbolic Manifold Alignment for Generalizable Adaptive Bitrate Streaming under Texture Shift
[arXiv] 2026-07-21 | Quantitative schlieren imaging coupled with inverse Abel transformation for flow field studies in a cylindrical surface DBD
[arXiv] 2026-07-21 | Collective modes in non-Hermitian fermionic superfluids
[arXiv] 2026-07-21 | In Situ Coherence Measurements of Scattered Light in Magnetically Trapped Cold Atomic Clouds: Probe-Driven Atomic Dynamics
[arXiv] 2026-07-21 | ZeroSplat: Generalized Referring Segmentation in 3D Gaussian Splatting
[arXiv] 2026-07-21 | UVFaceFusion: Fast Multi-view Topologically Consistent Face Reconstruction in the Wild via UV-space Neural Fusion
[arXiv] 2026-07-21 | Measuring AI innovation with trademark data
[arXiv] 2026-07-21 | Spontaneous stochasticity and anomalous dissipation in collapsing wave turbulence
[arXiv] 2026-07-21 | Image Editing Models are Numerical Solvers
[arXiv] 2026-07-21 | Privileged Lesion-Context Relational Distillation for Mask-Free Skin Lesion Classification
[arXiv] 2026-07-21 | RAGAL: A Frugal, Fully Local Retrieval-Augmented Assistant for Technical Support at a Government Agency
[arXiv] 2026-07-21 | Novel extended inner shadow in images of Johannsen-Psaltis black holes with thin accretion disks
[arXiv] 2026-07-21 | Alchemical thermodynamic integration for ab initio free-energy calculations in solutions
[arXiv] 2026-07-21 | Photon Correlation Spectroscopy as a Probe of Critical Fluctuations in Correlated Electron Systems
[arXiv] 2026-07-21 | Boundary quenches in (1+1)-dimensional conformal field theory
[arXiv] 2026-07-21 | Single-Snapshot Inference of Network Couplings from Universal Dynamics at Relative Equilibrium
[arXiv] 2026-07-21 | A unified tight-binding description of the electronic structure and Ising protection of superconductivity in misfit layered compounds
[arXiv] 2026-07-21 | Decaying Dark Matter Halo Abundance from a Revised Spherical Collapse Model
[arXiv] 2026-07-21 | Vortex-sheet desingularization for three-dimensional ideal fluids
[arXiv] 2026-07-21 | Evaluating a Visual Query Tracer and Builder for Learning Declarative Logic Programming
[arXiv] 2026-07-21 | Pure Spin Bulk Photovoltaic Effect in an Altermagnetic Higher-Order Topological Insulator
[arXiv] 2026-07-21 | BART Online Open-Source Sequence Toolbox for Computational MRI
[arXiv] 2026-07-21 | Towards General Relativity as a generalized Yang-Mills theory
[arXiv] 2026-07-21 | Lagrange points of the restricted three-body problem in spaces of constant curvature
[arXiv] 2026-07-21 | Constrained CTC Decoding for Efficient Diacritic Restoration
[arXiv] 2026-07-21 | Robust Signal Maximization in Spillover Experiments
[arXiv] 2026-07-21 | Proof of Barry's Four Hankel Determinant Conjectures
[arXiv] 2026-07-21 | PhoenixRepair: Rethinking Repair Strategy Exploration in Software Agents
[arXiv] 2026-07-21 | LLM-Based Invariant Testing for Software Functional Bugs
[arXiv] 2026-07-21 | Double anticrossings induced by nonlinear magnon interactions
[arXiv] 2026-07-21 | Elicitation without Backpropagation: Steering Model Behavior by Optimizing the Latent Posterior
[arXiv] 2026-07-21 | Magnonic crystalline properties of stripe textures in thin ferromagnetic films
