[2026-04-01 22:38:16] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-31
正在获取论文...
[arXiv] 2026-03-31 | Industrial Policy with Network Externalities: Race to the Bottom vs. Win-Win Outcome
[arXiv] 2026-03-31 | On the Entanglement Entropy Distribution of a Hybrid Quantum Circuit
[arXiv] 2026-03-31 | The Universe Favors Primes: A Study in the Primality of Cosmic Structures
[arXiv] 2026-03-31 | Nielsen coincidence theory for $(n,1)$-valued pairs
[arXiv] 2026-03-31 | Spectroscopy of the $\mathbf{X^2Σ^+(v=2) \rightarrow A^2Π_{1/2}(v=1)}$ Transition in MgF: Hyperfine Structures and Spectroscopic Constants
[arXiv] 2026-03-31 | Same Rules, Mixed Messages: Exploring Community Perceptions of Academic Dishonesty in Computing Education
[arXiv] 2026-03-31 | Dislocations of soliton lattices: experiment and theory
[arXiv] 2026-03-31 | One-for-All: A Lightweight Stabilized and Parameter-Efficient Pre-trained LLM for Time Series Forecasting
[arXiv] 2026-03-31 | CausalPulse: An Industrial-Grade Neurosymbolic Multi-Agent Copilot for Causal Diagnostics in Smart Manufacturing
[arXiv] 2026-03-31 | Nonequilibrium energy transport in driven-dissipative quantum systems
[arXiv] 2026-03-31 | Common Risk Factors in Decentralized AI Subnets
[arXiv] 2026-03-31 | SHIFT: Stochastic Hidden-Trajectory Deflection for Removing Diffusion-based Watermark
[arXiv] 2026-03-31 | From the oracle maximal inequality to martingale random fields via finite approximation from below
[arXiv] 2026-03-31 | Latent-Y: A Lab-Validated Autonomous Agent for De Novo Drug Design
[arXiv] 2026-03-31 | A Graded Modal Dependent Type Theory with Erasure, Formalized
[arXiv] 2026-03-31 | Load Scheduling for Pulse Charging to Flatten Aggregate Power Demand
[arXiv] 2026-03-31 | Robustness of cosmic void statistics: insights from SDSS DR7 and the ELUCID simulation
[arXiv] 2026-03-31 | On Lipschitzian properties of multifunctions defined implicitly by "split" feasibility problems
[arXiv] 2026-03-31 | Exploring the Impact of Skin Color on Skin Lesion Segmentation
[arXiv] 2026-03-31 | Measuring the metacognition of AI
[arXiv] 2026-03-31 | Theory of quantum decoherence and its application to anomalous Hall effect
[arXiv] 2026-03-31 | The DCT Neuron for Estimation and Compensation of Amplitude Distortions in OFDM Systems
[arXiv] 2026-03-31 | A Comprehensive Information-Decomposition Analysis of Large Vision-Language Models
[arXiv] 2026-03-31 | Generalized Resistance Geometry from Kron Reduction and Effective Resistance
[arXiv] 2026-03-31 | Investigating the Electrochemical Double Layer with Quantum-Chemical Simulations and Implicit Solvation Models
[arXiv] 2026-03-31 | Agenda-based Narrative Extraction: Steering Pathfinding Algorithms with Large Language Models
[arXiv] 2026-03-31 | Nonlinear response theory for orbital photocurrent in semiconductors
[arXiv] 2026-03-31 | Non-Equilibrium Sock Dynamics: Spontaneous Symmetry Breaking in the Agitated Wash
[arXiv] 2026-03-31 | A Hybrid NUTS-Gibbs Sampler with State Space Marginalization for Estimation of Dynamic Structural Equation Models with Binomial Outcomes
[arXiv] 2026-03-31 | Intrinsic Temporal Coherence Governs Heat Transport of Zone-Folded Phonons
[arXiv] 2026-03-31 | Multi-hierarchy simulation of Riemann problem for reconnection exhausts
[arXiv] 2026-03-31 | EcoScratch: Cost-Effective Multimodal Repair for Scratch Using Execution Feedback
[arXiv] 2026-03-31 | The Euler system of gas dynamics
[arXiv] 2026-03-31 | Design, Fabrication and Characterization of Microwave Multiplexing SQUID Prototype
[arXiv] 2026-03-31 | On intersections of fields of rational functions
[arXiv] 2026-03-31 | Large subgroups of fusion systems and localities
[arXiv] 2026-03-31 | Superfluid response of bosonic fluids in composite optical potentials: angular dependence and Leggett's bounds
[arXiv] 2026-03-31 | Efficient Parallel Compilation and Profiling of Quantum Circuits at Large Scales
[arXiv] 2026-03-31 | Construction of a spiral with given boundary conditions by inversion of the involute of a circle
[arXiv] 2026-03-31 | Be Water: An Evolutionary Proof for Trend-Following
[arXiv] 2026-03-31 | FlowID : Enhancing Forensic Identification with Latent Flow-Matching Models
[arXiv] 2026-03-31 | Randomstrasse101: Open Problems of 2025
[arXiv] 2026-03-31 | Compositional Reasoning for Probabilistic Automata with Uncertainty
[arXiv] 2026-03-31 | Designing Human-GenAI Interaction for cMOOC Discussion Facilitation: Effects of a Collaborative AI-in-the-Loop Workflow on Social and Cognitive Presence
[arXiv] 2026-03-31 | Multicolor $K_r$-Tilings with High Discrepancy
[arXiv] 2026-03-31 | Adaptive Momentum via Minimal Dual Function for Accelerating Randomized Sparse Kaczmarz
[arXiv] 2026-03-31 | Monodense Deep Neural Model for Determining Item Price Elasticity
[arXiv] 2026-03-31 | GPU Accelerated Minimal Auxiliary Basis Approach TDDFT for Large Organic Molecules
[arXiv] 2026-03-31 | Scaling the Long Video Understanding of Multimodal Large Language Models via Visual Memory Mechanism
[arXiv] 2026-03-31 | A Unified Weighted-Loss Physics-Informed Neural Network for Boundary Layer Problems in Singularly Perturbed PDEs
[arXiv] 2026-03-31 | An Experiential Approach to AI Literacy
[arXiv] 2026-03-31 | Testing classical-quantum gravity with geodesic deviation
[arXiv] 2026-03-31 | CCDNet: Learning to Detect Camouflage against Distractors in Infrared Small Target Detection
[arXiv] 2026-03-31 | Software Vulnerability Detection Using a Lightweight Graph Neural Network
[arXiv] 2026-03-31 | Xuanwu: Evolving General Multimodal Models into an Industrial-Grade Foundation for Content Ecosystems
[arXiv] 2026-03-31 | Improving Ensemble Forecasts of Abnormally Deflecting Tropical Cyclones with Fused Atmosphere-Ocean-Terrain Data
[arXiv] 2026-03-31 | AEC-Bench: A Multimodal Benchmark for Agentic Systems in Architecture, Engineering, and Construction
[arXiv] 2026-03-31 | Calculating the quantum Fisher information via the truncated Wigner method
[arXiv] 2026-03-31 | Developing Adaptive Context Compression Techniques for Large Language Models (LLMs) in Long-Running Interactions
[arXiv] 2026-03-31 | Hierarchical Visual Relocalization with Nearest View Synthesis from Feature Gaussian Splatting
[arXiv] 2026-03-31 | Biomimetic PINNs for Cell-Induced Phase Transitions: UQ-R3 Sampling with Causal Gating
[arXiv] 2026-03-31 | Three-Band Anderson Lattice Model Reveals Co-Evolution of Topological and Magnetic Phases Driven by Electron Correlation
[arXiv] 2026-03-31 | Segmentation of Gray Matters and White Matters from Brain MRI data
[arXiv] 2026-03-31 | BLOC: A Global Optimization Framework for Sparse Covariance Estimation with Non-Convex Penalties
[arXiv] 2026-03-31 | Hodge Structures in Sextic Fourfolds Equipped with an Involution
[arXiv] 2026-03-31 | The Inflation of Resetting Workers
[arXiv] 2026-03-31 | REFINE: Real-world Exploration of Interactive Feedback and Student Behaviour
[arXiv] 2026-03-31 | A Unified Theory of Deterministic Magnetic Switching
[arXiv] 2026-03-31 | Large-scale nonlinear optical computing with incoherent light via linear diffractive systems
[arXiv] 2026-03-31 | New Lower Bounds for C4-Free Subgraphs of the Hypercubes Q7 and Q8
[arXiv] 2026-03-31 | Predictor-Based Output-Feedback Control of Linear Systems with Time-Varying Input and Measurement Delays via Neural-Approximated Prediction Horizons
[arXiv] 2026-03-31 | Disentangling the interactive effects of anthropogenic disturbances on biodiversity
[arXiv] 2026-03-31 | Schrödinger's Seed: Purr-fect Initialization for an Impurr-fect Universe
[arXiv] 2026-03-31 | Towards Explainable Stakeholder-Aware Requirements Prioritisation in Aged-Care Digital Health
[arXiv] 2026-03-31 | SemLoc: Structured Grounding of Free-Form LLM Reasoning for Fault Localization
[arXiv] 2026-03-31 | LoRaWAN Gateway Placement for Network Planning Using Ray Tracing-based Channel Models
[arXiv] 2026-03-31 | Extreme points in quotients of Hardy spaces
[arXiv] 2026-03-31 | Asymmetric Encoder-Decoder Based on Time-Frequency Correlation for Speech Separation
[arXiv] 2026-03-31 | Machine Learning Assisted Reconstruction of Local Electronic Structure of Non-Uniformly Strained MoS2
[arXiv] 2026-03-31 | Determination of $α_S$ in the $SU(3)$ Yang-Mills theory
[arXiv] 2026-03-31 | 5d Higgs branch and instanton magnetization
[arXiv] 2026-03-31 | BayesInsights: Modelling Software Delivery and Developer Experience with Bayesian Networks at Bloomberg
[arXiv] 2026-03-31 | The van der Waerden Simplicial Complex and its Lefschetz Properties
[arXiv] 2026-03-31 | Canonical frames in contact 3-manifolds and applications
[arXiv] 2026-03-31 | Four Generations of Quantum Biomedical Sensors
[arXiv] 2026-03-31 | Multimodal Machine Learning for Early Prediction of Metastasis in a Swedish Multi-Cancer Cohort
[arXiv] 2026-03-31 | Noncooperative Game in Multi-controller System under Delayed and Asymmetric Information
[arXiv] 2026-03-31 | Conventional and Unitarity-Conserving Pecci-Quinn Inflation Models and ACT
[arXiv] 2026-03-31 | Emergence of Non-Hermitian Magic Angles and Topological Phase Transitions in Twisted Bilayer $α$-$T_3$ Lattices
[arXiv] 2026-03-31 | M3SA: Exploring Datacenter Performance and Climate-Impact with Multi- and Meta-Model Simulation and Analysis
[arXiv] 2026-03-31 | Beyond Ground-Truth: Leveraging Image Quality Priors for Real-World Image Restoration
[arXiv] 2026-03-31 | Tracking vs. Deciding: The Dual-Capability Bottleneck in Searchless Chess Transformers
[arXiv] 2026-03-31 | AI-Programmable Wireless Connectivity: Challenges and Research Directions Toward Interactive and Immersive Industry
[arXiv] 2026-03-31 | New Constraints on the M Dwarf Cosmic Shoreline from a Galaxy Far, Far Away
[arXiv] 2026-03-31 | BotVerse: Real-Time Event-Driven Simulation of Social Agents
[arXiv] 2026-03-31 | GRVS: a Generalizable and Recurrent Approach to Monocular Dynamic View Synthesis
[arXiv] 2026-03-31 | Leveraging Synthetic Data for Enhancing Egocentric Hand-Object Interaction Detection
[arXiv] 2026-03-31 | Query-Based Committee Selection
[arXiv] 2026-03-31 | α-Fair Multistatic ISAC Beamforming for Multi-User MIMO-OFDM Systems via Riemannian Optimization
[arXiv] 2026-03-31 | Ultrafast Two-Dimensional Spectroscopy Uncovers Ubiquitous Electron-Paramagnon Coupling in Cuprate Superconductors
[arXiv] 2026-03-31 | Symphony for Medical Coding: A Next-Generation Agentic System for Scalable and Explainable Medical Coding
[arXiv] 2026-03-31 | Anisotropy-induced Inhomogeneous Melting in Finite Dust Clusters
[arXiv] 2026-03-31 | 6GAgentGym: Tool Use, Data Synthesis, and Agentic Learning for Network Management
[arXiv] 2026-03-31 | Constraints on the host galaxy and AGN properties of three z > 6 JWST AGN from NOEMA observations
[arXiv] 2026-03-31 | Stand-Alone Complex or Vibercrime? Exploring the adoption and innovation of GenAI tools, coding assistants, and agents within cybercrime ecosystems
[arXiv] 2026-03-31 | Non-uniqueness and symmetries for the Nirenberg problem using computer assistance
[arXiv] 2026-03-31 | Can LLM Agents Identify Spoken Dialects like a Linguist?
[arXiv] 2026-03-31 | Density matrix of de Sitter JT gravity
[arXiv] 2026-03-31 | Logical-to-Physical Compilation for Reducing Depth in Distributed Quantum Systems
[arXiv] 2026-03-31 | Learning Surrogate LPV State-Space Models with Uncertainty Quantification
[arXiv] 2026-03-31 | Linear Risk Sharing in Community-Based Insurance: Ruin Reduction in the Compound Poisson Model
[arXiv] 2026-03-31 | Simulating the jittering-jets explosion mechanism: circum-jet rings account for observed core-collapse supernova remnant morphologies
[arXiv] 2026-03-31 | Variational Graph Neural Networks for Uncertainty Quantification in Inverse Problems
[arXiv] 2026-03-31 | Meron Spin Textures Mediated by Acoustic Phase Singularities
[arXiv] 2026-03-31 | Generation, Annihilation and Flow of Structural Information in Ultrasonic Nondestructive Evaluation
[arXiv] 2026-03-31 | Milky Way evolution on a human timescale
[arXiv] 2026-03-31 | Target-Aligned Reinforcement Learning
[arXiv] 2026-03-31 | Distilling Human-Aligned Privacy Sensitivity Assessment from Large Language Models
[arXiv] 2026-03-31 | Adaptive High-Speed Radar Signal Processing Architecture for 3D Localization of Multiple Targets on System on Chip
[arXiv] 2026-03-31 | CXLRAMSim v1.0: System-Level Exploration of CXL Memory Expander Cards
[arXiv] 2026-03-31 | An embedding of spherical quandles into Lie groups
[arXiv] 2026-03-31 | Fe-site-resolved anisotropy energies in Nd$_2$Fe$_{14}$B for atomistic spin dynamics
[arXiv] 2026-03-31 | Survival In-Context: Prior-fitted In-context Learning Tabular Foundation Model for Survival Analysis
[arXiv] 2026-03-31 | From Big Data to Fast Data: Towards High-Quality Datasets for Machine Learning Applications from Closed-Loop Data Collection
[arXiv] 2026-03-31 | iPoster: Content-Aware Layout Generation for Interactive Poster Design via Graph-Enhanced Diffusion Models
[arXiv] 2026-03-31 | On the global asymptotic stability of an infection-age structured competitive model
[arXiv] 2026-03-31 | Lattice Field Theory Analysis of the Chiral Heisenberg Model
[arXiv] 2026-03-31 | Quantum transport reveals spin glass correlations in a 2D network of TbPc$_{2}$ single-molecule magnets grafted on graphene
[arXiv] 2026-03-31 | NeoNet: An End-to-End 3D MRI-Based Deep Learning Framework for Non-Invasive Prediction of Perineural Invasion via Generation-Driven Classification
[arXiv] 2026-03-31 | EarthEmbeddingExplorer: A Web Application for Cross-Modal Retrieval of Global Satellite Images
[arXiv] 2026-03-31 | PAEMS: Precise and Adaptive Error Model for Superconducting Quantum Processors
[arXiv] 2026-03-31 | SeGPruner: Semantic-Geometric Visual Token Pruner for 3D Question Answering
[arXiv] 2026-03-31 | CounselReflect: A Toolkit for Auditing Mental-Health Dialogues
[arXiv] 2026-03-31 | RAAP: Retrieval-Augmented Affordance Prediction with Cross-Image Action Alignment
[arXiv] 2026-03-31 | Concentration-Dependent Restructuring of Ionic Liquid Micelles Induced by an Anionic Surfactant
[arXiv] 2026-03-31 | Rigidity of entire functions sharing a finite set with their partial derivatives in C^n
[arXiv] 2026-03-31 | PRISM: PRIor from corpus Statistics for topic Modeling
[arXiv] 2026-03-31 | Security in LLM-as-a-Judge: A Comprehensive SoK
[arXiv] 2026-03-31 | Model-Based Beam-Steered Optical Wireless Positioning with Single-LED Single-Photodiode for 3D Localization
[arXiv] 2026-03-31 | ELT-Bench-Verified: Benchmark Quality Issues Underestimate AI Agent Capabilities
[arXiv] 2026-03-31 | Interacting Multiple Model Proprioceptive Odometry for Legged Robots
[arXiv] 2026-03-31 | Deep Learning-Based Anomaly Detection in Spacecraft Telemetry on Edge Devices
[arXiv] 2026-03-31 | Relaxed Greedy Randomized Kaczmarz with Signal Averaging for Solving Doubly-Noisy Linear Systems
[arXiv] 2026-03-31 | Exploration of Energy and Throughput Tradeoffs for Dataflow Networks
[arXiv] 2026-03-31 | AI-Generated Prior Authorization Letters: Strong Clinical Content, Weak Administrative Scaffolding
[arXiv] 2026-03-31 | Stochastic Block Bregman Projection with Polyak-like Stepsize for Possibly Inconsistent Convex Feasibility Problems
[arXiv] 2026-03-31 | LongCat-AudioDiT: High-Fidelity Diffusion Text-to-Speech in the Waveform Latent Space
[arXiv] 2026-03-31 | One-parameter Filled Function Method for Non-convex Multi-objective Optimization Problems
[arXiv] 2026-03-31 | PAC in DESI. II. Galaxy-halo connection into the $10^{6}{\rm M}_{\odot}$ frontier
[arXiv] 2026-03-31 | Convergence analysis of dynamical systems for optimization by an improved Lyapunov framework
[arXiv] 2026-03-31 | Detecting non-admissibility of quandles via colorings
[arXiv] 2026-03-31 | A Bayesian Finite Mixture Model Approach for Mixed-type Data Clustering and Variable Selection with Censored Biomarkers
