[2026-07-16 22:56:42] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-15
正在获取论文...
[arXiv] 2026-07-15 | The spread construction and non-uniqueness of visible Lagrangians
[arXiv] 2026-07-15 | Strong Refutation of Ordering, Phylogenetic, and Ordinary CSPs, and New Satisfiability and Refutation Thresholds for Triplet and Quartet Reconstruction
[arXiv] 2026-07-15 | Measurement of $Ξ^-/\barΞ^{+}$ production in jets from $Z$ boson decays with the DELPHI open data
[arXiv] 2026-07-15 | VideoRAE: Taming Video Foundation Models for Generative Modeling via Representation Autoencoders
[arXiv] 2026-07-15 | A modular state-space model of human perception, cognition, and decision dynamics
[arXiv] 2026-07-15 | From Pixels to States: Rethinking Interactive World Models as Game Engines
[arXiv] 2026-07-15 | Strongly complete sets and a conjecture of Erdős
[arXiv] 2026-07-15 | The complex stellar system M 22: confirming abundance variations with high precision differential measurements
[arXiv] 2026-07-15 | Gelation of functional peptides by trivalent cations at the air-water interface
[arXiv] 2026-07-15 | Dynamics of a microroller under confinement
[arXiv] 2026-07-15 | Hindcast: Replaying Prediction Markets to Evaluate LLM Forecasters
[arXiv] 2026-07-15 | The dynamical environment of the high-mass star-forming region G28.288$-$0.364
[arXiv] 2026-07-15 | Auctions with Contract Design
[arXiv] 2026-07-15 | Meeting Uncertain Threats with Feedback
[arXiv] 2026-07-15 | Margulis Measures on Expanding Foliations: Construction and Rigidity
[arXiv] 2026-07-15 | From Language to Navigation Goals: A Vision-Language Approach for Semantic Navigation of Mobile Robots Using RGB-D Perception
[arXiv] 2026-07-15 | Backpropagation for Effectful Languages I: Finite Probability and Discrete Output Algebraic Effects
[arXiv] 2026-07-15 | Space-Time Lensing by Accelerated Interfaces in Dispersive Media
[arXiv] 2026-07-15 | A Reservoir Computing Approach to Quantum Gate Synthesis
[arXiv] 2026-07-15 | Antipodal paths in covers of spheres
[arXiv] 2026-07-15 | Inferentialist Game Semantics (Extended Abstract)
[arXiv] 2026-07-15 | Early Adoption of Agentic Coding Tools by GitHub Projects
[arXiv] 2026-07-15 | Resurgent Lambert series from Feynman and beyond
[arXiv] 2026-07-15 | Gaussian solutions to the Yang--Baxter equation and their twists
[arXiv] 2026-07-15 | Auditing Protocol-Level Shortcuts in Large Audio Language Model Judges for Speech Evaluation
[arXiv] 2026-07-15 | Continuous limit of the square well problem in quantum mechanics
[arXiv] 2026-07-15 | Investigating anomalous microwave emission near G107.2+5.20 in Ku-band with the Green Bank Telescope
[arXiv] 2026-07-15 | Experimental Characterization and Prediction of Radial and Thickness Mode Power Transfer Capability in Through-Metal Acoustic Power Transfer
[arXiv] 2026-07-15 | CAS I: A Geometric Coding Theorem
[arXiv] 2026-07-15 | Robust Betatron-Tune Measurement from Schottky Spectra: Complementary Classical and Deep-Learning Paradigms
[arXiv] 2026-07-15 | Dynamical Vehicle Orienteering Problem for Multi-Rotor Unmanned Aerial Vehicles
[arXiv] 2026-07-15 | Local Uniform Finite Cyclicity of the $H_{14}^{3}$ Semihyperbolic Hemicycle
[arXiv] 2026-07-15 | Regularity as seen by Alice and Bob
[arXiv] 2026-07-15 | jQMC: A JAX-based ab initio quantum Monte Carlo package designed for GPU-accelerated computing
[arXiv] 2026-07-15 | Momentum Distribution and Contact Parameters of a mass-imbalanced three-body system across the Efimov-Unatomic transition
[arXiv] 2026-07-15 | ZipLine: Visual Analysis of Multivariate Graphs with Predicate Logic
[arXiv] 2026-07-15 | Girsanov Reweighting for Uncertainty Propagation in Rare-Event Kinetics
[arXiv] 2026-07-15 | High-Energy Neutrinos from Black Hole Evaporation in Neutron Stars
[arXiv] 2026-07-15 | Algebraic Representability as the Limiting Regime of Grokking: An Exactly Solvable Model with Holomorphic Activations
[arXiv] 2026-07-15 | On the current status of tidal tails of Galactic open clusters
[arXiv] 2026-07-15 | Polarized observables in $τ\to VV ν_τ$ decays
[arXiv] 2026-07-15 | A sharp relative comparison inequality for conformal fillings of Poincaré--Einstein manifolds
[arXiv] 2026-07-15 | Anatomically Faithful but Temporally Blind: Auditing Attribution for Left-Ventricular Ejection-Fraction Estimation from Echocardiography
[arXiv] 2026-07-15 | Rate coefficients for dielectronic recombination of N-like Ne
[arXiv] 2026-07-15 | Decomposable Type Highlighting for Bidirectional Type and Cast System
[arXiv] 2026-07-15 | Towards quantum machine learning for assessing the resilience of post-quantum cryptography
[arXiv] 2026-07-15 | CAVA: Canonical Action Verification and Attestation for Runtime Governance of Agentic AI Systems
[arXiv] 2026-07-15 | Polynomial iISS for a class of Timoshenko equations with external disturbances and infinite history memory
[arXiv] 2026-07-15 | Groc-PO: Grounded Context Preference Optimization for Truthful Multimodal LLMs
[arXiv] 2026-07-15 | Lifting-Free Quadratic Sum-Of-Squares Programming
[arXiv] 2026-07-15 | CSCO: A Backside-PDN-Aware Clock-Signal Co-Optimization Framework for Improved PPA
[arXiv] 2026-07-15 | Quantitative Fourier Restriction Estimates for Weyl Operators: Fourier-Support Dependence and Lower Bounds
[arXiv] 2026-07-15 | Drawing with water waves
[arXiv] 2026-07-15 | The exact $L_1$-norm supremum of Walsh--Kaczmarz--Fejér kernels
[arXiv] 2026-07-15 | Simultaneous Laminations
[arXiv] 2026-07-15 | Deriving the $\text{AdS}_3\times\text{S}^3\times \text{T}^4$ Quantum Spectral Curve I: Y-system and discontinuity relations
[arXiv] 2026-07-15 | Equilibrium Information Aggregation under Machine Learning
[arXiv] 2026-07-15 | Learning Speaker Identity Beyond Language and Modality Constraints: Insights from the POLY-SIM 2026 Challenge
[arXiv] 2026-07-15 | Direct observation of photon-induced vortices in superconducting films
[arXiv] 2026-07-15 | The mean value of the digits of $1/p$
[arXiv] 2026-07-15 | Definitional Inversion, Without Normalisation
[arXiv] 2026-07-15 | The problem of finding the global minimum of a polynomial on a coordinate parallelepiped
[arXiv] 2026-07-15 | Role of small-radius and high-electronegativity A-Site dopants in enhancing proton transport and stability of perovskite electrolytes
[arXiv] 2026-07-15 | Maximally Robust Satisficing Bayesian Optimization
[arXiv] 2026-07-15 | From Surface Forecasting to Observability Forecasting: A Latent World Model for Cloud-Aware EO Monitoring
[arXiv] 2026-07-15 | Beyond Color Geometry: Evaluating Human-Like Color Representations in Vision Models
[arXiv] 2026-07-15 | Evaluating Encoding Strategies for Closed-Loop Classification in Biological Neural Networks
[arXiv] 2026-07-15 | OvisOCR2 Technical Report
[arXiv] 2026-07-15 | Transverse order and longitudinal fluctuations in a near-Ising spin supersolid
[arXiv] 2026-07-15 | Kink collisions in a two-dimensional gravity model
[arXiv] 2026-07-15 | FastCentNN: Accelerating Centroid Neural Network with Entropy Proxy
[arXiv] 2026-07-15 | An Empirical Study on Stage-Information Interfaces for VLA Fine-Tuning
[arXiv] 2026-07-15 | MARS: Multi-stage Accelerated Read Stack for Large-buffer Buffered Reads
[arXiv] 2026-07-15 | Video to All-in-focus Image Reconstruction Algorithm for Automated Microscopic Urinalysis
[arXiv] 2026-07-15 | On phase-field regularization in dynamic fracture with brittle and cohesive formulations
[arXiv] 2026-07-15 | Neutron-source fidelity for laser-driven D--D lithium-blanket tritium-breeding tests
[arXiv] 2026-07-15 | Agile perceptive multi-skill locomotion for quadrupedal robots in the wild
[arXiv] 2026-07-15 | Approximation of solutions of parameter-dependent problems by residual neural networks
[arXiv] 2026-07-15 | Graded Entity-Familiarity Readouts in Language Models: Polish Adaptation, Cross-Language Robustness, and Refusal Steering
[arXiv] 2026-07-15 | Design and Implementation of a Microservice-Architecture Master Control System for AIMS
[arXiv] 2026-07-15 | Multivariate Cryptography-Based Anonymous Certificate Scheme
[arXiv] 2026-07-15 | Deep Interaction: An Efficient Human-AI Interaction Method for Large Reasoning Models
[arXiv] 2026-07-15 | Can an Old Dog Be Taught New Tricks? Taking LLMs Beyond Sentence Level Translation
[arXiv] 2026-07-15 | Local and global average degree in bipartite graphs
[arXiv] 2026-07-15 | SPECS: Speciated Evolutionary Circuit Synthesis
[arXiv] 2026-07-15 | Exact Decomposition of Adversarial Dual-Objective Value Functions, with Applications to Optimal Drug Dosing
[arXiv] 2026-07-15 | Semialgebraic Dimension and Truncated Toeplitz Models for Complex Symmetric Matrices
[arXiv] 2026-07-15 | Transforming Rank: How Architecture Navigates the Spectral Pathologies of Depth
[arXiv] 2026-07-15 | Integrability in the sense of Hasse-Schmidt and $p^e$-basis
[arXiv] 2026-07-15 | Edge-decomposition into Two Triangular Forests is NP-complete
[arXiv] 2026-07-15 | The Origin of Multi-TeV Gamma-rays in LHAASO J0341+5258 via Cosmic Ray Illumination of Molecular Clouds
[arXiv] 2026-07-15 | Constraint-Aware Counterfactual Editing for Aspect-Based Sentiment Analysis
[arXiv] 2026-07-15 | Even central galaxies feel their environment: cosmic siphoning of cool gas accretion
[arXiv] 2026-07-15 | Tighter Bounds for the Random-Offerer Mechanism in Bilateral Trade
[arXiv] 2026-07-15 | Temporal Fourier Optics Reveals Hidden Hybridized Light-Matter States
[arXiv] 2026-07-15 | ZPAN: An Organic Nonlinear Optical Crystal for High Intensity THz Generation
[arXiv] 2026-07-15 | Log-Sobolev inequalities for boundary-driven anharmonic chains
[arXiv] 2026-07-15 | The Post Correspondence Problem for free groups is undecidable
[arXiv] 2026-07-15 | Polariton Topological Insulators with Disclinations
[arXiv] 2026-07-15 | A Self-Evolving Agent for Longitudinal Personal Health Management
[arXiv] 2026-07-15 | Lecture Notes: The two-dimensional electron Wigner crystal -- What's old and what's new?
[arXiv] 2026-07-15 | ExpressionCueLens: A Cross-Cultural Analysis of Human-AI Companion Conversations on Social Media
[arXiv] 2026-07-15 | Angular momentum splitter effect of $d$-wave axial phonons in orbital altermagnets
[arXiv] 2026-07-15 | DeepStress: Stress-Testing Deep Search Agents
[arXiv] 2026-07-15 | $L^{1}$-Integrability of $L^{2}$-Harmonic Forms and the Hopf Conjecture
[arXiv] 2026-07-15 | The 2nd International StepUP Competition for Biometric Footstep Recognition: From Steps to Strides
[arXiv] 2026-07-15 | Genre Bias or Aesthetic Perception? Identifying and Mitigating Shortcut Learning in Music Evaluation
[arXiv] 2026-07-15 | High-Order Question Generation in a Multilingual Educational Context
[arXiv] 2026-07-15 | Jack of All Scales: A Versatile FPGA Tensor Block for MXFP Precisions
[arXiv] 2026-07-15 | One thousand and one higher-order geometric flows of networks
[arXiv] 2026-07-15 | Fine-Grained Vision-Language Pretraining with Organ-Conditioned Pattern Tokens for CT Understanding
[arXiv] 2026-07-15 | Heat Kernel and Closed Geodesic Asymptotics for Nilpotent Coverings
[arXiv] 2026-07-15 | VSC-HVDC setpoint adjustment for maximum grid utilisation under voltage constraints
[arXiv] 2026-07-15 | Experience Memory Graph: One-Shot Error Correction for Agents
[arXiv] 2026-07-15 | Global factors for local shocks in a data-scarce environment: with an application to regional fiscal multipliers in Italy
[arXiv] 2026-07-15 | Phonon down-conversion by normal metals for superconducting devices
[arXiv] 2026-07-15 | A Lie-algebraic approach to non-Markovian quantum dynamics
[arXiv] 2026-07-15 | Ultrafast altermagnetophononics
[arXiv] 2026-07-15 | Fabrication of focusing optics for TA-MOONS: Micro-MOONS
[arXiv] 2026-07-15 | SPyCE: Skill-Policy Co-evolution for Multimodal Agents
[arXiv] 2026-07-15 | A Frequentist Approach to Change Point Detection: Methods and Applications
[arXiv] 2026-07-15 | Bias Correction for Relative Importance Measures via Doubly Stochastic Reallocation
[arXiv] 2026-07-15 | Rearranged Stochastic Heat Equations with an Entropy Gradient Structure
[arXiv] 2026-07-15 | The SKA as a Probe of Heliospheric Turbulence and Radio-wave Propagation Effects
[arXiv] 2026-07-15 | NodeImport: Imbalanced Node Classification with Node Importance Assessment
[arXiv] 2026-07-15 | Recursive ArUco Markers: A Scalable Fiducial Marker Design for Unmanned Aerial Vehicle Landing Pads
[arXiv] 2026-07-15 | Horizon Microstructure Thermodynamics in AdS Black Holes: Smarr-Consistent Excitation Enthalpy
[arXiv] 2026-07-15 | A Deployed Hybrid Vehicle-in-the-Loop Platform for Validating Cooperative Perception
[arXiv] 2026-07-15 | How Far Can Root Cause Analysis Go on Real-World Telemetry Data?
[arXiv] 2026-07-15 | Cross-Field Channel Parameter Estimation and Channel Characterization at THz Bands in Indoor Scenarios
[arXiv] 2026-07-15 | COLMAR: Cooperative View Policy Learning for Multi-Agent Active 3D Reconstruction
[arXiv] 2026-07-15 | Improving Map Consistency in Graph-Based LiDAR SLAM Through Information-Aware Odometry and Retroactive Loop Closure
[arXiv] 2026-07-15 | Torsion groups of rational elliptic curves over $\mathbb{Z}_p$-extensions of quadratic fields: the $p\le 5$ case
[arXiv] 2026-07-15 | ExTernD: Expanded-Rank Ternary Decomposition Ternary LLM PTQ with Accuracy Approaching Any Quantization Level
[arXiv] 2026-07-15 | Influence of Magnetospheric Plasma Environment on Surface Charging of the Lunar South Pole
[arXiv] 2026-07-15 | CDS: Counterfactual Directionality Score for Structured Interventions in Spatial Graphs
[arXiv] 2026-07-15 | Turbulent boundary layers altered by passively rotating discs
[arXiv] 2026-07-15 | A VAE-Driven Multi-Task Satellite-Aided Semantic Communication Framework for 6G-Enabled Connected Autonomous Vehicles
[arXiv] 2026-07-15 | Personalizing Incremental Video Search with Hybrid Text and ID Embeddings
[arXiv] 2026-07-15 | On the Second Moment of $L (1/2, \mathrm{As} (f))$
[arXiv] 2026-07-15 | Study on Morgan-Voyce type polynomials with Euler-Seidel algorithm
[arXiv] 2026-07-15 | GPOcc++: Unified Sparse Gaussian Occupancy Prediction with Visual Geometry Priors
[arXiv] 2026-07-15 | Inverse scattering for three-dimensional random obstacles with multi-frequency data
[arXiv] 2026-07-15 | HIVE-3D: Hierarchical Voxel Enhancement for High-Quality 3D Scene Generation
[arXiv] 2026-07-15 | Live Gurbani Tracking: A Benchmark and Reference System for Captioning Sikh Kirtan
[arXiv] 2026-07-15 | Adversarial Prompting Framework for AI Safety Assessment
[arXiv] 2026-07-15 | Learning Physics-Guided Residual Dynamics for Deformable Object Simulation
[arXiv] 2026-07-15 | Photonic Ising machines toward and beyond a million spins
[arXiv] 2026-07-15 | ReBound: Reuse-Aware Privacy For Interactive Decision Support
[arXiv] 2026-07-15 | Impacts of social and impact heterogeneity on social-climate outcomes
[arXiv] 2026-07-15 | Distributionally Robust and Safe Imitation Learning
[arXiv] 2026-07-15 | When Rubrics Change: Cross-Rubric Generalization for Critical Thinking Essay Scoring
[arXiv] 2026-07-15 | Exploring Post-Training Alignment of Small Language Models for Biomedical Data-to-Text Generation: A Case Study of Medication Leaflet
[arXiv] 2026-07-15 | On-chip quantum sensing of Kondo spins in a high-mobility quasi-one-dimensional nanoconstriction
[arXiv] 2026-07-15 | GFlowRL: Scaling Distribution-Matching RL to Large Language Models
[arXiv] 2026-07-15 | The impact of objective interactions on the performance of massive objective optimization algorithms
[arXiv] 2026-07-15 | A Physics-Grounded QUBO Encoding of Irrigation Scheduling for QAOA
[arXiv] 2026-07-15 | Fine-Grained Open-Set Fault Diagnosis via Metric-Guided Time-Frequency Configuration Selection and Class-Specific Autoencoders
[arXiv] 2026-07-15 | DiffGI: Differentiable Geometry Images for High-Fidelity Thin-Shell 3D Generation
[arXiv] 2026-07-15 | Radial velocity statistics of cosmic voids as a probe of interacting dark energy
[arXiv] 2026-07-15 | A Hybrid Sampling-Based Trajectory Planner with Game-Theoretic Guidance for Autonomous Racing
[arXiv] 2026-07-15 | Safe Overtaking for Autonomous Racing Using Hierarchical Optimization and Learning-Based Control
[arXiv] 2026-07-15 | Evaluation Ability Does Not Imply Optimization Utility: LLM-as-a-Judge Signals in Closed-Loop Table Recognition
