[2026-07-04 22:57:39] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-03
正在获取论文...
[ACM] 2026-7-3 | SAND: Spatially Adaptive Network Depth for Fast Sampling of Neural Implicit Surfaces
[IEEE] 2026-7-3 | Detection of Islanding in a Single-phase Grid Integrated Photovoltaic System by Bayesian Optimized Long Short-term Memory Network
[IEEE] 2026-7-3 | Wireless Power Transfer for EVs: State-of-the-Art and Emerging Trends
[IEEE] 2026-7-3 | Mixed-Timescale Vehicular Task Offloading Under Demand Uncertainty
[IEEE] 2026-7-3 | Comparative Analysis of Deep Learning and Traditional Machine Learning Approaches for Indian Classical Dance form Classification
[IEEE] 2026-7-3 | Geo-Enriched Remote Sensing Image Captioning and Agentic Scene Reasoning with Openstreetmap Integration
[IEEE] 2026-7-3 | Task-Aware Communication Scheduling for Companion Robots in Multi-Protocol Environments
[IEEE] 2026-7-3 | A Scalable and Intelligent Approach to Optimising Electric Vehicle Charging Infrastructure
[IEEE] 2026-7-3 | Highly Efficient Non-Isolated Ultra-High Gain DC-DC Converter for Renewable Energy Systems
[IEEE] 2026-7-3 | Geth vs. Besu: Performance Analysis of Blockchain Networks under Horizontal and Vertical Scaling
[IEEE] 2026-7-3 | Reliability-Aware SFC Recovery with Column-Generation VNF Migration
[IEEE] 2026-7-3 | Record $2 P_{r}$ (&gt;38 μC/cm
                    <sup>2</sup>
                    at 0.5 V,&gt;28 μC/cm
                    <sup>2</sup>
                    at 0.4 V) of 3D MFM Capacitors Enabled by 3 Nm HZO and ALD-TiN Orientation Engineering
[IEEE] 2026-7-3 | Two Network Management Approaches for Multi-application Wireless Sensor Networks with Energy Harvesting
[IEEE] 2026-7-3 | Performance Improvement from Subtractive Ruthenium Interconnects with Airgap
[IEEE] 2026-7-3 | A Multi Stacked Cell Array (MSA) Structure with an Up-Down Crossed Bit Line Architecture (Ud-CBL) in 3D Flash Memory
[IEEE] 2026-7-3 | Fisher-Preconditioned Influence for Efficient Machine Unlearning
[ACM] 2026-7-3 | STyMo: Fast and Controllable Few-Shot Motion Style Transfer
[ACM] 2026-7-3 | Semantic-Structural Alignment for Generative Pictorial Charts
[ACM] 2026-7-3 | MorphSkein: A Shape-Changing Afterimage Display Preserving Pixel Density During Surface-Area Changes Across Troposkein-Based Shapes
[ACM] 2026-7-3 | Stochastic geomorphological transport for terrain erosion simulation
[ACM] 2026-7-3 | Dropout risk in higher education via multidimensional features and machine learning
[ACM] 2026-7-3 | Digital Arts Program - Combing Art and CS in a 50/50 Balance in Undergraduate Curriculum
[IEEE] 2026-7-3 | In-Hardware Fault-Tolerance Controller for Multi-FPGA Clustered Architectures
[IEEE] 2026-7-3 | <i>q</i>
                    -Deformation Kernel Adaptive Filtering Method For Indoor Positioning In IoT Systems
[IEEE] 2026-7-3 | FedULBD: Unlearning-Driven Lightweight Backdoor Defense for Resource-Constrained Consumer Electronics Federated Learning
[IEEE] 2026-7-3 | A Robust Quantized Speech Semantic Communication System Based on ASR Perception Loss and Deep Channel Estimation
[IEEE] 2026-7-3 | Energy-Optimal Thermal Management of Heat-Pump Battery Electric Vehicles
[IEEE] 2026-7-3 | Low-Dimensional Wideband Channel Descriptors for Antenna-Aware Scenario Classification at 28 GHz
[IEEE] 2026-7-3 | LeCropFollow: Latent Space Planning for Navigation in Unstructured Crop Fields
[IEEE] 2026-7-3 | NeuralPathLite: Fast and Robust Diffusion-Based Path Planning for Autonomous Navigation
[IEEE] 2026-7-3 | Hybrid Onboard EV Charger With Wireless and Conductive Power Capability
[IEEE] 2026-7-3 | Data-Efficient Deep Learning for SAR Automatic Target Recognition: A Comprehensive Survey
[IEEE] 2026-7-3 | Machine Learning–Driven Optimization of Dielectric Matching Medium for Efficient Wireless Power Transfer in IoMT Implantable Devices
[IEEE] 2026-7-3 | Evaluation of Partial Discharge Separation Techniques
[IEEE] 2026-7-3 | A Two-Stage Framework for Cloud Service Combinatorial Optimization: Cognitive-Inspired Co-Evolutionary Dual-Population Search and Contrastive Compensation Ranking
[IEEE] 2026-7-3 | 2026 IEEE International Conference on Emerging Synergy Science and Technology (ICESST)
[IEEE] 2026-7-3 | Photographs
[IEEE] 2026-7-3 | Book of Abstract Suiet
[IEEE] 2026-7-3 | Design and Performance Analysis of a Distributed Modular Active Power Filter Network for Power Quality Improvement in PV System
[IEEE] 2026-7-3 | Design and Implementation of a Kyrgyz-English Translation System with Phraseological Unit Processing
[IEEE] 2026-7-3 | Separate Absorption Charge Multiplication Ge-onSi Avalanche Photodiode in Linear Mode
[IEEE] 2026-7-3 | Toward Enhanced Security with Scalable Blockchain-Based Multi-Factor Authentication
[IEEE] 2026-7-3 | Using Internet Search Data for the Study of Functioning of the Tatar Language
[IEEE] 2026-7-3 | Wafer-Scale Two-Channel Monolayer-MOS ${}_{2}$ Nanosheet Fets with Record-High $I_{\text {on }}&gt;2 ~\text{mA} / \boldsymbol{\mu} \mathrm{m}$ Enabled by Sub-1 NM Cet High- $\kappa$ Integration
[IEEE] 2026-7-3 | A 90.6 pJ/pixel 1280×800 65 fps cm-Scale Fully Integrated Video Encoder System Utilizing a 2×2 Microlens Array
[IEEE] 2026-7-3 | A 0.511 pJ/Bit Data-Independent and Post-Processing-Free 6T-SRAM-Based TRNG Exploiting Differential Bit-Line Leakage
[IEEE] 2026-7-3 | TurkmenFST: A Comprehensive Rule-Based Morphological Analysis and Generation System for the Turkmen Language
[IEEE] 2026-7-3 | Innovative Dual-Pol SAR Descriptors for Earth Observation
[IEEE] 2026-7-3 | Energy-Efficient AI-native RAN for Embodied Guide Dog towards 6G
[IEEE] 2026-7-3 | Acoustic Signal-Based Drone Detection Using a Tetrahedral Microphone Array and Deep Neural Networks: SICDrone Module
[IEEE] 2026-7-3 | Hybrid Physics-ML Framework for Pan-Arctic Permafrost Infrastructure Risk at Record 2.9-Million Observation Scale
[IEEE] 2026-7-3 | Using Optical–Microwave Scintillometry to Evaluate the Sparse Evapotranspiration Model Over a Drip-Irrigated Olive Orchard
[IEEE] 2026-7-3 | Performance Comparison of Chopper and Push-Pull Converter Configurations for SMES-Based LVRT Enhancement of Axial Flux Induction Generator
[IEEE] 2026-7-3 | Performance-Aware Data Splitting for Solar Irradiance Modeling Using Bayesian Linear Regression
[IEEE] 2026-7-3 | Joint Software-Hardware Reliability Optimization for SFC Deployment in NFV-enabled Satellite Networks
[IEEE] 2026-7-3 | Black-Box Operational Transparency: Gradient-Based Explainability for GNN-Based Network Performance Prediction
[IEEE] 2026-7-3 | Fast Anomaly Detection and Joint State Estimation for Perturbed Nonlinear Systems with Prolonged Output Anomalies
[IEEE] 2026-7-3 | Different Low-Frequency $(1 / f)$ Noise Origins in Atomically Thin ALD In
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    TFTs Determined by the Quantum-Confinement Effect
[IEEE] 2026-7-3 | A Hybrid Processing-In-Sensor Architecture With a Computational Mosaic Array and Residual-Enhanced Analog Skip Connections for Robust Color Vision
[IEEE] 2026-7-3 | Adaptive Sliding Mode Controller for Improved Dynamic Response in FOC-Based IM Drives
[IEEE] 2026-7-3 | Comparative Analysis of Luenberger and Sliding Mode Observers for Brushless DC Motor Drive
[IEEE] 2026-7-3 | Modeling and Analysis of a Threshold MEMS Accelerometer
[IEEE] 2026-7-3 | A Hybrid Genetic Algorithm with Simulated Annealing for Solving Large-Scale 0/1 Knapsack Problems
[IEEE] 2026-7-3 | Problems of Using a Chatbot as a Tool for Collecting Sociological Data
[IEEE] 2026-7-3 | Distributed Load-Sharing and Loss Optimization Within Voltage Safety Constraints for Meshed DC Microgrid
[IEEE] 2026-7-3 | Q-CAR: Capacity-Aware Q-Learning Routing for Hybrid VLC/RF Wireless Mesh Networks
[IEEE] 2026-7-3 | PhishZero: A Self-Supervised Transformer Framework for Robust Zero-Shot Malicious URL Detection
[IEEE] 2026-7-3 | Resistivity Scaling of Topological CoSi Wires to Sub-10 nm for Post-Cu Interconnects
[IEEE] 2026-7-3 | A Family of Robust Regularized Adaptive Filtering Algorithms
[IEEE] 2026-7-3 | An Efficient Evolutionary Algorithm for Few-for-Many Optimization
[IEEE] 2026-7-3 | Experimental Studies of the Noise Characteristics of Millimeter-Range Radio Pulse Autodynes
[IEEE] 2026-7-3 | Time-Varying Formation for Second-Order Open Multi-Agent Systems with External Disturbances
[IEEE] 2026-7-3 | CFET Demonstration for Future Logic and SRAM Technology
[IEEE] 2026-7-3 | Grover-Accelerated Variational Quantum Learning for Time-Critical Task Offloading in 6G Satellite-Terrestrial Integrated Networks
[IEEE] 2026-7-3 | Cryo-CMOS Sub-1K 16nm FinFET DAC for Fast Two-Qubit Gates in Spin Qubits
[IEEE] 2026-7-3 | Modeling Reflecting Metasurface Based on Liquid Crystals
[IEEE] 2026-7-3 | Characterization of Underground-to-Aboveground and Underground-to-Underground Radio Channels for Reliable Communication in Precision Agriculture
[IEEE] 2026-7-3 | Battery Management Systems for Electric Vehicles
[IEEE] 2026-7-3 | Towards Reliable Citrus Yield Assessment Using Remote Sensing and Machine Learning Approaches
[IEEE] 2026-7-3 | Experimental Study on Carrier Transport in Amorphous and Poly InGaOx FETs – Hall Measurement, Temperature Dependence, Velocity Saturation
[IEEE] 2026-7-3 | From Satellite Pixels to Solar Fields: Remote Sensing-Driven CSP Suitability Modelling in Arid Environments
[ACM] 2026-7-4 | Application of Technology Readiness Level to Research Software
[ACM] 2026-7-4 | Proceedings of the 2026 International Workshop on Responsible AI Engineering
[ACM] 2026-7-4 | A Wearable Shader-ball (Invited Talk)
[ACM] 2026-7-4 | Advancing Virtual Production: Technical Innovations and Collaborative Pipelines for Film, TV &amp; Live Events
[ACM] 2026-7-4 | Evolving Competencies in Blockchain Engineering: A Longitudinal Replication Study
[ACM] 2026-7-3 | An Empirical Evaluation of Kubernetes Resilience in Cloud–Edge Deployments Using Failure Injection Techniques
[ACM] 2026-7-3 | Walk on Decomposed Subdomains: A Hybrid Monte Carlo–Deterministic Solver for Elliptic PDEs
[ACM] 2026-7-3 | AtomSlicer: Constant-Thickness Field-Aligned Non-Planar Slicing and Continuous Toolpaths for FFF
[ACM] 2026-7-3 | Locality-Aware Automatic Differentiation on the GPU for Mesh-Based Computations
[ACM] 2026-7-3 | Spatiotemporal FLIP for Fast Free-Surface and Two-Phase Simulation With Very Large Time Steps
[ACM] 2026-7-3 | Proceedings of the 2026 International Conference on Artificial Intelligence in Education Technology and Data Science
[ACM] 2026-7-3 | Art + Code: Case Study in Expanding Access with p5.js
[IEEE] 2026-7-3 | Characterization and Prediction of Cell-level Mobile Network Traffic: A Reinforced Meta-learning-Based Framework_supp1-3708512.pdf
[IEEE] 2026-7-3 | Stochasticity-Induced Uniform Coverage: A Low-Cost Swarm Solution Using Sensors with Limited Field of View_supp1-3708494.mp4
[IEEE] 2026-7-3 | Program at a Glance
[IEEE] 2026-7-3 | 2026 International Wireless Communications and Mobile Computing (IWCMC)
[IEEE] 2026-7-3 | MUST: Multi-style virtual staining with incomplete pairs
[IEEE] 2026-7-3 | Women in Engineering
[IEEE] 2026-7-3 | Structural Design of Litz Wires for Reducing AC Transport Current Loss Using an Equivalent Circuit Model Considering the Path of All Strands
[IEEE] 2026-7-3 | Design, Modeling, and Experimental Evaluation of an Adaptive In-Pipe Cleaning Robot for Narrow-Gap Debris Removal in LNG Pipelines
[IEEE] 2026-7-3 | Wasm-EEL: Computational Offloading for Mobile Devices over Edge Computing Enabler Layer
[IEEE] 2026-7-3 | Program Schedule
[ACM] 2026-7-4 | Towards a Graphics-Silicon Gymnasium to Shape the Future of Micro-Embodied AI
[ACM] 2026-7-4 | Preliminary Usability Experimentation of a Pattern-Driven Middleware for IoT Data Processing in Research Environments
[ACM] 2026-7-4 | Generative AI-Based Defense Against Deepfakes in Intelligent Audio Systems
[ACM] 2026-7-4 | Automating the Handoff: From Hardcoded QC Scripts to a Multi-Agent Architecture for Layout- to-Animation Reviews
[ACM] 2026-7-4 | Lightweight Deep Learning for Automated Stroke Detection in Non-Contrast CT Imaging
[ACM] 2026-7-4 | Enabling Digital Twins in Built Environments with Object-Oriented Models
[IEEE] 2026-7-3 | Comparative Analysis of PI and IMC for Superlift Luo Converter for EV Application
[IEEE] 2026-7-3 | Multi-Domain Harmonization of GNSS Positioning Requirements Across Air, Maritime and Terrestrial Environments
[IEEE] 2026-7-3 | A SPAD-Based iToF Flash LiDAR Sensor with a Coarse-Fine Operation Scheme Robust Against Strong Background Light
[IEEE] 2026-7-3 | Integrated Imaging Solutions for Robotic Navigation and Manipulation: Visual-Inertial SLAM and Neuromorphic Tactile Sensing
[IEEE] 2026-7-3 | Performance Analysis of a SCA-Tuned PI Controller-Based Dynamic Voltage Restorer for Mitigating Power Quality Disturbances
[IEEE] 2026-7-3 | High Bandwidth Memory 4 (HBM4) Package Development Challenges
[IEEE] 2026-7-3 | Towards the development of mathematical models for multihormonal closed-loop for type 1 diabetes mellitus
[ACM] 2026-7-4 | Automated Ontology Construction: An AI Framework for Research Software Engineering
[ACM] 2026-7-4 | Building Better Research Software (Are you sure?): Why Technical Refactoring Does Not Lead To Software Quality
[IEEE] 2026-7-3 | A High-Performance Heterogeneous 2T0C DRAM with PSLC-Si/IGZO Complementary Gain Cell for Monolithic 3D Leveraging Capacitive Coupling
[IEEE] 2026-7-3 | An 8Bit 4.8GS/s 10.9fJ/Conv.-Step TI-SAR ADC with 4Bit/3Cycle Ping-Pong Architecture and Data-Driven Zero-Overhead Background Calibration
[IEEE] 2026-7-3 | Breaking Mobility–${V}_{\text{th}}-{R}_{\text{sd}}$ Trade-off in Oxide Semiconductor FETs: Novel p-NiO Junction Engineering
[IEEE] 2026-7-3 | Specter: 376 fps 2.67 nJ/Pixel 4DGS Processor for Spatiotemporal Reconstruction with Contribution-Ordered Rendering and Deformation-Aware Modeling
[IEEE] 2026-7-3 | Toward Quantum Neural Network for Stock Price Direction Prediction Using Multi-Asset Time Series
[IEEE] 2026-7-3 | Strong Interaction of Transverse - Magnetic Wave with a Modulation Wave of a Magnetodielectric Plate in a Waveguide
[IEEE] 2026-7-3 | Hardware Network Traffic Filter Verification Method
[IEEE] 2026-7-3 | Spatial Suitability Mapping for Sweet Potato: A GIS-Based Assessment Across Agro-Climatic Zones of India
[IEEE] 2026-7-3 | Site-Dependent Performance of Spectral Indices and Machine Learning for Flood Detection in Mediterranean Karst Poljes
[IEEE] 2026-7-3 | Methodology for Continuous Information Security Testing in an Organization Based on the Integration of the BAS Platform
[IEEE] 2026-7-3 | SentraWatch: Integrated Supervision for Academic Cyber Laboratories
[IEEE] 2026-7-3 | ASTRIDE: A Security Threat Modeling Platform for Agentic-AI Applications
[IEEE] 2026-7-3 | Finite-Element Study on Stress Distribution and Voltage Response in a Multi-Layer Piezoelectric Sensor
[IEEE] 2026-7-3 | Forecasting Ground Temperature Under Buildings in Salekhard Using Physics-Informed Neural Networks
[IEEE] 2026-7-3 | Experience in Analyzing the Dynamics of Changes in the Number of Identified Vulnerabilities Published in the CVE of the FSTEC of Russia
[IEEE] 2026-7-3 | A 5GS/s Staggered Working Point Ensemble TRNG with a Stochastic Model Achieving 4064.5 Mbps Entropy-Throughput and 997.6 fJ/Entropy-Bit
[IEEE] 2026-7-3 | MATD3-based Joint Optimization of UAV Trajectory, Task Offloading and Resource Allocation in MEC-SAGINs for IoRT
[IEEE] 2026-7-3 | A 48V-5V Coupled-Inductor Middle-Switched-Capacitor Hybrid GaN Converter Achieving 156µH Equivalent Inductance and 30mA Ripple
[IEEE] 2026-7-3 | Advanced LSTM Networks Incorporating Adaptive Bounded Conditions Based on Hilbert-Huang Transform Ensemble for the Analysis of Multidomain Faults in DC Microgrids
[IEEE] 2026-7-3 | A 209 ∼ 245GHz CMOS Spectroscopic Transmitter with DTC-Based 4FSK Baseline Elimination and Phase-Offset Calibrated SSPLL for Chip-Scale Molecular Clocks
[IEEE] 2026-7-3 | High-Order Interaction and Low-Order Parallelization of Features Fusion with Novel Mamba-UNet Architecture for Medical Image Segmentation
[IEEE] 2026-7-3 | Quality or Quantity? Error-Informed Selective Online Learning with Gaussian Processes in Multi-Agent Systems
[IEEE] 2026-7-3 | Toward Intent-Driven Autonomous UMEC: An LLM-Based Cognitive Agent for Closed-Loop Trajectory Orchestration
[IEEE] 2026-7-3 | Stacked-LSTM Network for FDIA Detection With Convolutional Residual Auto-Encoder in Power Cyber-Physical Systems
[IEEE] 2026-7-3 | State-Aware Graphical Model for Event Camera Denoising via Joint Maximum a Posteriori Inference
[IEEE] 2026-7-3 | On the Finite-Time Synchronization of Disturbed Fractional-Order Chaotic Neural Networks with Time-Varying Delays
[IEEE] 2026-7-3 | Automated Wood and Leaf Separation: A Comprehensive Review on Advanced Methods and Forestry Applications
[IEEE] 2026-7-3 | Agent Trajectory Prediction from FMCW Radar Dataset Using CNN–CVAE Approach
[IEEE] 2026-7-3 | TARNA: A 1.18-μW/Channel Topology-Aware Residual Recurrent CIM Processor for Zero-Shot Seizure Detection
[IEEE] 2026-7-3 | A 17.6Gb/s, 39.1pJ/b Tiled Beamspace Training and Detection Processor for mmWave Massive MIMO
