[2026-01-27 09:21:01] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-01-26
正在获取论文...
[arXiv] 2026-01-26 | On-chip control of the coherence matrix of four-mode partially coherent light: rank, entropy, and modal Stokes parameters
[NO] 358/816 | Physics-Informed Uncertainty Enables Reliable AI-driven Design
[NO] 359/816 | Brazilian Social Media Anti-vaccine Information Disorder Dataset -- Telegram (2020-2025)
[NO] 360/816 | Scale-Aware Self-Supervised Learning for Segmentation of Small and Sparse Structures
[NO] 361/816 | Fractal functions defined in terms of number representations in systems with a redundant alphabet
[NO] 362/816 | Disk-jet-wind coupling from stellar mass to supermassive black holes
[NO] 363/816 | Role of transfer films and interfacial cracking in metallic sliding wear
[NO] 364/816 | Distinguishing Graphs by Counting Homomorphisms from Sparse Graphs
[NO] 365/816 | A Balanced Neuro-Symbolic Approach for Commonsense Abductive Logic
[NO] 366/816 | The generalised balanced power diagram: flat sections, affine transformations and an improved rendering algorithm
[NO] 367/816 | Uncooled Poisson Bolometer for High-Speed Event-Based Long-wave Thermal Imaging
[NO] 368/816 | From Classification to Ranking: Enhancing LLM Reasoning Capabilities for MBTI Personality Detection
[NO] 369/816 | Formal Naive Dirac Operators and Graph Topology
[NO] 370/816 | Hierarchical self-organization of highly-ordered granular ensemble of optical solitons through collective motions
[NO] 371/816 | On the Abolition of the "ICSE Paper" and the Adoption of the "Registered Proposal" and the "Results Report"
[NO] 372/816 | An Unsupervised Tensor-Based Domain Alignment
[NO] 373/816 | Finite-Time Transition to Intermittency for a Stochastic Heat Equation Driven by the Square of a Gaussian Field
[NO] 374/816 | AI-enabled Satellite Edge Computing: A Single-Pixel Feature based Shallow Classification Model for Hyperspectral Imaging
[NO] 375/816 | Arithmetic volumes of moduli stacks of Shtukas
[NO] 376/816 | Generative Diffusion Augmentation with Quantum-Enhanced Discrimination for Medical Image Diagnosis
[NO] 377/816 | Different Transient Phenomena at the Edges of Traveling Foreshocks
[NO] 378/816 | An exploration of lateral optical forces from a triangular periodic motif
[NO] 379/816 | Fast and Safe Trajectory Optimization for Mobile Manipulators With Neural Configuration Space Distance Field
[NO] 380/816 | Tight semidefinite programming relaxations for sparse box-constrained quadratic programs
[NO] 381/816 | Audio Inpainting in Time-Frequency Domain with Phase-Aware Prior
[YES] 382/816 | From Verifiable Dot to Reward Chain: Harnessing Verifiable Reference-based Rewards for Reinforcement Learning of Open-ended Generation
[NO] 383/816 | From Cold Start to Active Learning: Embedding-Based Scan Selection for Medical Image Segmentation
[NO] 384/816 | The Universal Post-Lie-Rinehart Algebra of Planar Aromatic Trees
[NO] 385/816 | From Human Labels to Literature: Semi-Supervised Learning of NMR Chemical Shifts at Scale
[NO] 386/816 | A BFBt preconditioner for Double Saddle-Point Systems
[NO] 387/816 | Just-In-Time Reinforcement Learning: Continual Learning in LLM Agents Without Gradient Updates
[NO] 388/816 | Interference-induced entanglement in an effectively zero-lifetime particle pair
[NO] 389/816 | DEEPMED: Building a Medical DeepResearch Agent via Multi-hop Med-Search Data and Turn-Controlled Agentic Training & Inference
[NO] 390/816 | Evidence of Langmuir/$\mathcal{Z}$-mode Wave Decay into $\mathcal{Z}$-mode Electromagnetic Radiation in the Solar Wind
[NO] 391/816 | Demographic Probing of Large Language Models Lacks Construct Validity
[NO] 392/816 | Funny or Persuasive, but Not Both: Evaluating Fine-Grained Multi-Concept Control in LLMs
[NO] 393/816 | On decay of solutions to the anisotropic Boussinesq equations near the hydrostatic balance in half space $\mathbb{R}_+^3$
[NO] 394/816 | Dynamic Channel Charting: An LSTM-AE-based Approach
[NO] 395/816 | Design and modeling of a liquid-lead dump concept for beamstrahlung radiation absorption in the CERN Future Circular e$^+$e$^-$ Collider
[NO] 396/816 | Constraining bulk-to-boundary correlators in the theories with Poincaré symmetry
[NO] 397/816 | 3DGesPolicy: Phoneme-Aware Holistic Co-Speech Gesture Generation Based on Action Control
[YES] 398/816 | KeyMemRT Compiler and Runtime: Unlocking Memory-Scalable FHE
[NO] 399/816 | SG-CADVLM: A Context-Aware Decoding Powered Vision Language Model for Safety-Critical Scenario Generation
[NO] 400/816 | First Observational Evidence for Split Infall Flow of Cosmic Filaments into Clusters
[NO] 401/816 | Fusion of Spatio-Temporal and Multi-Scale Frequency Features for Dry Electrodes MI-EEG Decoding
[NO] 402/816 | Meson-exchange currents and nuclear correlations in neutrino and electron scattering with nuclei
[NO] 403/816 | Fundamentals, Recent Advances, and Challenges Regarding Cryptographic Algorithms for the Quantum Computing Era
[NO] 404/816 | Frequency-Based Hyperparameter Selection in Games
[NO] 405/816 | Brauer-Siegel theorem for families of number fields over almost Sn fields
[NO] 406/816 | On the average hitting times of the directed wheel
[NO] 407/816 | Trace ideals of canonical modules over Schubert cycles and determinantal rings
[NO] 408/816 | CitiLink: Enhancing Municipal Transparency and Citizen Engagement through Searchable Meeting Minutes
[NO] 409/816 | Atom-light hybrid interferometer for atomic sensing with quantum memory
[NO] 410/816 | Scaling of multicopy constructive interference of Gaussian states
[NO] 411/816 | Quantum Hyperuniformity and Quantum Weight
[NO] 412/816 | Discriminability-Driven Spatial-Channel Selection with Gradient Norm for Drone Signal OOD Detection
[NO] 413/816 | Integrating Fine-Grained Audio-Visual Evidence for Robust Multimodal Emotion Reasoning
[NO] 414/816 | MultiVis-Agent: A Multi-Agent Framework with Logic Rules for Reliable and Comprehensive Cross-Modal Data Visualization
[NO] 415/816 | Convex Chance-Constrained Stochastic Control under Uncertain Specifications with Application to Learning-Based Hybrid Powertrain Control
[NO] 416/816 | Understanding Heat Transport Mechanisms in Optically Transparent Thermal Loss Mitigators
[NO] 417/816 | A Heterogeneous Massive MIMO Technique for Uniform Service in Cellular Networks
[NO] 418/816 | A necessary and sufficient condition for convergence in distribution of the P-P process in $L^1[0,1]$
[NO] 419/816 | Chiral Properties of $(2\!+\!1)$-Flavor QCD in Magnetic Fields at Zero Temperature
[YES] 420/816 | RTeAAL Sim: Using Tensor Algebra to Represent and Accelerate RTL Simulation (Extended Version)
[NO] 421/816 | Constraining Reionization Morphology and Source Properties with 21cm-Galaxy Cross-Correlation Surveys
[NO] 422/816 | Complex-Valued-Matrix Permanents: SPA-based Approximations and Double-Cover Analysis
[NO] 423/816 | Error-mitigation aware benchmarking strategy for quantum optimization problems
[NO] 424/816 | An Adaptive Purification Controller for Quantum Networks: Dynamic Protocol Selection and Multipartite Distillation
[NO] 425/816 | Pisets: A Robust Speech Recognition System for Lectures and Interviews
[NO] 426/816 | The Cost of Inflation
[NO] 427/816 | Formation Dynamics of Quantum Droplets for Homonuclear and Heteronuclear Mixtures
[NO] 428/816 | Sufficient conditions for additivity of the zero-error classical capacity of quantum channels
[NO] 429/816 | Exotic vortex states at high magnetic fields in a quasi-two-dimensional FeSe-based superconductor
[NO] 430/816 | Equicontinuity of the Hutchinson operator $F$ and sensitivity of $F_-$
[NO] 431/816 | Conformal Prediction Algorithms for Time Series Forecasting: Methods and Benchmark
[NO] 432/816 | Gravitational wave detectors from an experimental perspective
[NO] 433/816 | Nearly Optimal Bayesian Inference for Structural Missingness
[NO] 434/816 | Qubit-parity interference despite unknown interaction phases
[YES] 435/816 | AgentDoG: A Diagnostic Guardrail Framework for AI Agent Safety and Security
[NO] 436/816 | Intertwiners for D=3 Gauge Theories
[NO] 437/816 | Galactic Large-scale Filaments Resident in Asymmetric Environments: Clues from Cross-filament Profiles of Density and Temperature
[NO] 438/816 | Tensor decomposition of Demazure crystals for symmetrizable Kac-Moody Lie algebras
[NO] 439/816 | Uncertainty Quantification in Coupled Multiphysics Systems via Gaussian Process Surrogates: Application to Fuel Assembly Bow
[NO] 440/816 | LoD-Structured 3D Gaussian Splatting for Streaming Video Reconstruction
[NO] 441/816 | "Infinitely Often" Transcendence of Gamma-Function Derivatives
[NO] 442/816 | Spontaneous epicuticular charging affects droplet dynamics on living leaves
[NO] 443/816 | Fair-Eye Net: A Fair, Trustworthy, Multimodal Integrated Glaucoma Full Chain AI System
[NO] 444/816 | Measurement induced faster symmetry restoration in quantum trajectories
[NO] 445/816 | A stabilized finite element method for a flow problem arising from 4D flow magnetic resonance imaging
[NO] 446/816 | On Higher Representation Theory via Categories of type Charge-Conserving--with--Glue
[NO] 447/816 | Enhanced Wall Boundary Modeling for Turbulent Flows Using the Lattice Boltzmann Method with Adaptive Cartesian Grids
[NO] 448/816 | Algebraic Characterizations of Classes of Regular Languages in DynFO
[NO] 449/816 | A Theory of Single-Antenna Atomic Beamforming
[NO] 450/816 | Gradient Regularized Natural Gradients
[NO] 451/816 | Larger than memory image processing
[NO] 452/816 | Validity of the stochastic Ginzburg-Landau approximation in higher space dimensions -A Wiener algebra approach-
[NO] 453/816 | Flash evaporation Riemann Problem: Formulation and its Exact Solution
[NO] 454/816 | On the Bandwidth Consumption of Blockchains
[NO] 455/816 | Testing residual-symmetry-fixed columns of $U_{\rm PMNS}$ at DUNE and T2HK with initial JUNO constraints
[NO] 456/816 | Noise-Robust AV-ASR Using Visual Features Both in the Whisper Encoder and Decoder
[NO] 457/816 | Tensor-polarized parton distribution functions for spin-1 hadrons
[NO] 458/816 | ARMOR: Agentic Reasoning for Methods Orchestration and Reparameterization for Robust Adversarial Attacks
[NO] 459/816 | Dynamic Thinking-Token Selection for Efficient Reasoning in Large Reasoning Models
[NO] 460/816 | On the relation between time-reversed acoustics and Green's function retrieval in space-variant and in time-variant materials
[NO] 461/816 | Corpus-Based Approaches to Igbo Diacritic Restoration
[NO] 462/816 | OREHAS: A fully automated deep-learning pipeline for volumetric endolymphatic hydrops quantification in MRI
[NO] 463/816 | Physical Features of Geometrically Deformed Anisotropic Charged Three-dimensional BTZ Black Holes
[NO] 464/816 | Bohr's complementarity principle tested on a real quantum computer via interferometer experiments
[NO] 465/816 | Polyhedral results for two classes of submodular sets with GUB constraints
[NO] 466/816 | Resolution Dependence in Magnetohydrodynamic Simulations of Neutrino-Driven Core-Collapse Supernovae
[YES] 467/816 | Promises, Perils, and (Timely) Heuristics for Mining Coding Agent Activity
[NO] 468/816 | Stratified Morse Theory for Cell Complexes
[NO] 469/816 | Precision Light Yield and Crosstalk Characterization for the SuperFGD scintillator cubes
[NO] 470/816 | Quantum-vortex-driven Kelvin wave in the thermal background of superfluid helium
[NO] 471/816 | Recurrence Relations for the Maclaurin Coefficients of Products of Elementary Functions and the Bessel Functions
[NO] 472/816 | MarioChart: Autonomous Tangibles as Active Proxy Interfaces for Embodied Casual Data Exploration
[NO] 473/816 | Discrete spectrum from local perturbations of leaky curves
[NO] 474/816 | Representations with the same degree
[NO] 475/816 | Are Conversational AI Agents the Way Out? Co-Designing Reader-Oriented News Experiences with Immigrants and Journalists
[NO] 476/816 | A general variational approach for equilibrium phase boundaries of trapped spin-1 Bose-Einstein condensates
[NO] 477/816 | Beyond Preferences: Learning Alignment Principles Grounded in Human Reasons and Values
[NO] 478/816 | Subdividing simplicial virtual resolutions with homology
[NO] 479/816 | Trust, Don't Trust, or Flip: Robust Preference-Based Reinforcement Learning with Multi-Expert Feedback
[NO] 480/816 | TSRBench: A Comprehensive Multi-task Multi-modal Time Series Reasoning Benchmark for Generalist Models
[NO] 481/816 | Quantum skyrmions in the antiferromagnetic triangular lattice
[NO] 482/816 | Why Keep Your Doubts to Yourself? Trading Visual Uncertainties in Multi-Agent Bandit Systems
[NO] 483/816 | Reflect: Transparent Principle-Guided Reasoning for Constitutional Alignment at Scale
[NO] 484/816 | Restoring Wasserstein Rigidity with a single point
[NO] 485/816 | Explaining the thermal emission of old neutron stars with rotochemical heating and magnetized superconducting protons
[NO] 486/816 | Gained in Translation: Privileged Pairwise Judges Enhance Multilingual Reasoning
[NO] 487/816 | Ultra-fast growth of primordial black holes through radiative absorption
[NO] 488/816 | Chemotaxis-inspired PDE models of airborne infectious disease transmission: epidemiologically-motivated mathematical and numerical analyses
[NO] 489/816 | Hyperkähler bases for six rational bordism theories
[NO] 490/816 | Mechanistic Analysis of Catastrophic Forgetting in Large Language Models During Continual Fine-tuning
[NO] 491/816 | Competitive Social Mobilization in Threshold Models of Collective Action
[NO] 492/816 | COMETS: Coordinated Multi-Destination Video Transmission with In-Network Rate Adaptation
[NO] 493/816 | A probabilistic journey through the Newton-Girard identities
[NO] 494/816 | On Partition Classes Arising from Parity, Differences, and Repeated Smallest Parts
[NO] 495/816 | On series identities involving $\binom{4k}k$ and harmonic numbers
[NO] 496/816 | The growing family of gamma-ray narrow-line Seyfert 1 galaxies
[NO] 497/816 | Conductance switching and nonequilibrium phase coexistence in superconductors with intermediate bias
[NO] 498/816 | Adaptive Domain Shift in Diffusion Models for Cross-Modality Image Translation
[NO] 499/816 | Emergence of Phonemic, Syntactic, and Semantic Representations in Artificial Neural Networks
[NO] 500/816 | Issues regarding the Indexing of Publication Types and Study Designs
[NO] 501/816 | LaCoGSEA: Unsupervised deep learning for pathway analysis via latent correlation
[NO] 502/816 | On-surface dehydrogenative lateral homo-coupling and aromatization of n-octane on Pt(111)
[NO] 503/816 | EFSI-DETR: Efficient Frequency-Semantic Integration for Real-Time Small Object Detection in UAV Imagery
[NO] 504/816 | How are MLOps Frameworks Used in Open Source Projects? An Empirical Characterization
[NO] 505/816 | AGSP-DSA: An Adaptive Graph Signal Processing Framework for Robust Multimodal Fusion with Dynamic Semantic Alignment
[NO] 506/816 | FastInsight: Fast and Insightful Retrieval via Fusion Operators for Graph RAG
[NO] 507/816 | The AIDA-TNG project: gas distributions inside and around haloes
[NO] 508/816 | Attention-Based Neural-Augmented Kalman Filter for Legged Robot State Estimation
[NO] 509/816 | Supersolid phases and collective excitations in two-dimensional Rashba spin-orbit coupled spin-1 condensates
[NO] 510/816 | Ancient relic moderately metal-rich bulge cluster Tonantzintla 2
[NO] 511/816 | Monochromatic triangle-tilings in dense graphs without large independent sets
[NO] 512/816 | Bayesian Optimization for Quantum Error-Correcting Code Discovery
[NO] 513/816 | Brownian motion on reflection quantum groups. Construction and cutoff
[NO] 514/816 | Experimental Characterization of ISAC Channel Mapping and Environment Awareness
[NO] 515/816 | Automated Landmark Detection for assessing hip conditions: A Cross-Modality Validation of MRI versus X-ray
[NO] 516/816 | Reinforcement Learning with Distributed MPC for Fuel-Efficient Platoon Control with Discrete Gear Transitions
[NO] 517/816 | Quest2ROS2: A ROS 2 Framework for Bi-manual VR Teleoperation
[NO] 518/816 | Line Spectral Estimation Using a G-Filter: Atomic Norm Minimization with Multiple Output Vectors
[NO] 519/816 | Functional Large Deviations for Wide Deep Neural Networks with Gaussian Initialization and Lipschitz Activations
[NO] 520/816 | Improved stability estimates at elliptic equilibria of Hamiltonian systems
[NO] 521/816 | Orchestrating Specialized Agents for Trustworthy Enterprise RAG
[NO] 522/816 | A Field-Weighted model for Surface Layer Characterization using Single Channel Intensity Interrogation SPR
[NO] 523/816 | Revisiting a Quasar Microlensing Event Towards AGN~J1249+3449
[NO] 524/816 | Algebraic Phase Theory V: Boundary Calculus, Rigidity Islands, and Deformation Theory
[NO] 525/816 | A Mechanical Wi-Fi Antenna Device for Automatic Orientation Tuning with Bayesian Optimization
[NO] 526/816 | Algebraic Phase Theory IV: Morphisms, Equivalences, and Categorical Rigidity
[NO] 527/816 | Tractable Gaussian Phase Retrieval with Heavy Tails and Adversarial Corruption with Near-Linear Sample Complexity
[NO] 528/816 | Vision-Language-Model-Guided Differentiable Ray Tracing for Fast and Accurate Multi-Material RF Parameter Estimation
[NO] 529/816 | V-Loop: Visual Logical Loop Verification for Hallucination Detection in Medical Visual Question Answering
[YES] 530/816 | Probing the Future of Meta-Analysis: Eliciting Design Principles via an Agentic Research IDE
[NO] 531/816 | Revisiting $μ$-$e$ conversion in $R$-parity violating SUSY
[NO] 532/816 | Limit theorems for non linear (compound marked) Hawkes processes
[NO] 533/816 | The global attractor of the Toner-Tu-Swift-Hohenberg equations of active turbulence and its properties
[NO] 534/816 | Rethinking Cross-Modal Fine-Tuning: Optimizing the Interaction between Feature Alignment and Target Fitting
[NO] 535/816 | Facial Emotion Recognition on FER-2013 using an EfficientNetB2-Based Approach
[YES] 536/816 | Yunjue Agent Tech Report: A Fully Reproducible, Zero-Start In-Situ Self-Evolving Agent System for Open-Ended Tasks
[NO] 537/816 | Minimal spectral radius of graphs with given matching number
[NO] 538/816 | LLM-ForcedAligner: A Non-Autoregressive and Accurate LLM-Based Forced Aligner for Multilingual and Long-Form Speech
[NO] 539/816 | Separating Energy and Entropy Contributions to the Hexatic-Liquid Transitions in Two-Dimensional Repulsive Systems
[NO] 540/816 | The Regge-Gribov model with odderons
[NO] 541/816 | Scalable Quantum Message Passing Graph Neural Networks for Next-Generation Wireless Communications: Architectures, Use Cases, and Future Directions
[NO] 542/816 | QualiRAG: Retrieval-Augmented Generation for Visual Quality Understanding
[NO] 543/816 | Relative bi-exactness and structural results for graph-wreath product von Neumann algebras
[NO] 544/816 | Inferring photospheric horizontal flows from multiple observations with SUVEL models
[NO] 545/816 | Success Conditioning as Policy Improvement: The Optimization Problem Solved by Imitating Success
[NO] 546/816 | An Initial Evaluation of Distributed Graph Algorithms using NWGraph and HPX
[NO] 547/816 | Reconstructing Toponium using Recursive Jigsaw Reconstruction
[NO] 548/816 | The Stability Limit of Prepotentials for Hurwitz-Frobenius Manifolds: An Infinite-Dimensional Approach
[NO] 549/816 | Contact Plan Design For Optical Interplanetary Communications
[YES] 550/816 | Think When Needed: Model-Aware Reasoning Routing for LLM-based Ranking
[NO] 551/816 | Exact Minimum-Volume Confidence Set Intersection for Multinomial Outcomes
[NO] 552/816 | An Extension of the $sl(n)$ Polynomial to Knotted 4-Valent Graphs
[NO] 553/816 | DeepPlanning: Benchmarking Long-Horizon Agentic Planning with Verifiable Constraints
[NO] 554/816 | RouteMoA: Dynamic Routing without Pre-Inference Boosts Efficient Mixture-of-Agents
[NO] 555/816 | Understanding Users' Privacy Reasoning and Behaviors During Chatbot Use to Support Meaningful Agency in Privacy
[NO] 556/816 | Deadline-Aware, Energy-Efficient Control of Domestic Immersion Hot Water Heaters
[NO] 557/816 | A Generalized Weak Galerkin Method for Linear Elasticity with Nonpolynomial Approximations
[NO] 558/816 | FABLE: Forest-Based Adaptive Bi-Path LLM-Enhanced Retrieval for Multi-Document Reasoning
[NO] 559/816 | Mitigating Deadtime in Distributed Optical Arrays: A Liveness-Aware Trigger Approach for High-Energy Neutrino Detection
[NO] 560/816 | Effects of Stellar X-ray Photoevaporation on Planetesimal Formation via the Streaming Instability
[NO] 561/816 | GLEN-Bench: A Graph-Language based Benchmark for Nutritional Health
[NO] 562/816 | Scattering lengths of the $J/ψπ$ and $J/ψK$ systems
[NO] 563/816 | Spatial-Conditioned Reasoning in Long-Egocentric Videos
[NO] 564/816 | Chain-Length-Dependent Partitioning of 1-Alkanols in Raft-Like Lipid Membranes
[NO] 565/816 | OneVoice: One Model, Triple Scenarios-Towards Unified Zero-shot Voice Conversion
[NO] 566/816 | Pulse-driven photonic transitions and nonreciprocity in space-time modulated metasurfaces
[NO] 567/816 | Effects of stimulation frequencies on energy efficiency of a muscle fiber during contraction
[NO] 568/816 | XGuardian: Towards Explainable and Generalized AI Anti-Cheat on FPS Games
[NO] 569/816 | Overcoming Barren Plateaus in Variational Quantum Circuits using a Two-Step Least Squares Approach
[NO] 570/816 | Addressing LLM Diversity by Infusing Random Concepts
[NO] 571/816 | Neutrino opacities in magnetic fields for binary neutron star merger simulations
[NO] 572/816 | Multi-target density matrix renormalization group for 3D CFTs on the fuzzy sphere
[NO] 573/816 | On slope unstable Fano varieties
[NO] 574/816 | Preference-based Centrality and Ranking in General Metric Spaces
[NO] 575/816 | Learning Fair Domain Adaptation with Virtual Label Distribution
[NO] 576/816 | Sub-ion scale current sheets in kinetic Alfvén wave turbulence
[NO] 577/816 | GenAI for Social Work Field Education: Client Simulation with Real-Time Feedback
[NO] 578/816 | Coding Schemes for Document Exchange under Multiple Substring Edits
[NO] 579/816 | Geometrical Constraints On Leptonic Unitarity Triangles
[NO] 580/816 | Multi-epoch VLBI observations of the blazar 3C 66A: Spatial twisting and temporal oscillation of the parsec-scale jet
[NO] 581/816 | A note on nested conditions for finite categories of subgraphs
[NO] 582/816 | Gap Labelling for Almost Periodic Sturm-Liouville Operators
[NO] 583/816 | Toward Scalable Normalizing Flows for the Hubbard Model
[NO] 584/816 | TriPlay-RL: Tri-Role Self-Play Reinforcement Learning for LLM Safety Alignment
[NO] 585/816 | Higher-order topological bound states in the continuum in a topoelectrical lattice with long-range coupling
[NO] 586/816 | A Quantum-safe Key Exchange Scheme using Mihailova Subgroups in Braid groups
[NO] 587/816 | Complexity and structure scalars of Type II matter fields
[NO] 588/816 | Reflecting Twice before Speaking with Empathy: Self-Reflective Alternating Inference for Empathy-Aware End-to-End Spoken Dialogue
[NO] 589/816 | Topology optimization of passively moving rigid bodies in unsteady flows
[NO] 590/816 | Chemical study of two starless cores in the B213/L1495 filament
[NO] 591/816 | A multimodal vision foundation model for generalizable knee pathology
[NO] 592/816 | Relative Dixmier property for Poisson algebras
[NO] 593/816 | Direct observation of vortex liquid droplets in the iron pnictide superconductor CaKAs$_4$Fe$_4$ at $0.5T$_c$
[NO] 594/816 | Double-bosonization and Majid's conjecture (V): grafting of quantum groups
[NO] 595/816 | Using LibCal Seats to Better Serve Students
[NO] 596/816 | 150 years of ground-based solar instrumentation at Meudon observatory (1876-2026)
[NO] 597/816 | Elliptic genera and E8 Bundles in odd dimensions
[NO] 598/816 | On positivity of CM line bundles on the moduli space of klt good minimal models with $κ=1$
[NO] 599/816 | GAIA: A Data Flywheel System for Training GUI Test-Time Scaling Critic Models
[NO] 600/816 | MindCine: Multimodal EEG-to-Video Reconstruction with Large-Scale Pretrained Models
[NO] 601/816 | Critical collapse of a massive scalar field in semi-classical loop quantum gravity
[NO] 602/816 | \textsc{NaVIDA}: Vision-Language Navigation with Inverse Dynamics Augmentation
[NO] 603/816 | On the Image of the $p$-adic Logarithm on Annuli of Principal Units
[NO] 604/816 | Accurate semiempirical analytical formulas for spontaneous polarization by crystallographic parameters of SrTiO3-BaTiO3 system by ab initio calculations
[NO] 605/816 | Exploring Customizable Interactive Tools for Therapeutic Homework Support in Mental Health Counseling
[NO] 606/816 | Asymptotic properties of multivariate Szász-Mirakyan distribution estimators on the nonnegative orthant
[NO] 607/816 | Programming Nonlinear Interfacial Mechanics of Synthetic Cells: Lipid Geometry and DNA Nanostructures
[NO] 608/816 | Quantum Recurrent Unit: A Parameter-Efficient Quantum Neural Network Component
[NO] 609/816 | AI-based separation of turbulence from coherent background flows in decaying hydrodynamic turbulence
[NO] 610/816 | Beyond Pairwise Comparisons: A Distributional Test of Distinctiveness for Machine-Generated Works in Intellectual Property Law
[NO] 611/816 | On Golod Subdeterminantal Ideals
[NO] 612/816 | Explaining Synergistic Effects in Social Recommendations
[NO] 613/816 | On 2-dimensional invariant subspaces of matrices
[NO] 614/816 | Forward Consistency Learning with Gated Context Aggregation for Video Anomaly Detection
[NO] 615/816 | Nonlinear multi-study factor analysis
[NO] 616/816 | The Limits of AI Data Transparency Policy: Three Disclosure Fallacies
[NO] 617/816 | Elliptic Chern Characters and Elliptic Atiyah--Witten Formula
[NO] 618/816 | The Sherman-Morrison-Markowitz Portfolio
[NO] 619/816 | Grasp-and-Lift: Executable 3D Hand-Object Interaction Reconstruction via Physics-in-the-Loop Optimization
[YES] 620/816 | Beyond Text-to-SQL: Can LLMs Really Debug Enterprise ETL SQL?
[NO] 621/816 | Demystifying Data-Driven Probabilistic Medium-Range Weather Forecasting
[NO] 622/816 | CHiRPE: A Step Towards Real-World Clinical NLP with Clinician-Oriented Model Explanations
[NO] 623/816 | EFT Perspective On de-Sitter S-Matrix
[NO] 624/816 | Tail-Latency-Aware Federated Learning with Pinching Antenna: Latency, Participation, and Placement
[NO] 625/816 | Dimers for degenerating families of M-curves
[YES] 626/816 | From LLMs to LRMs: Rethinking Pruning for Reasoning-Centric Models
[NO] 627/816 | Log-linear law of the mean streamwise velocity in turbulent boundary layers with moderate adverse pressure gradients
[NO] 628/816 | Feedback-Based Quantum Control for Safe and Synergistic Drug Combination Design
[NO] 629/816 | Use of operator defect identities in multi-channel signal plus residual-analysis via iterated products and telescoping energy-residuals: Applications to kernels in machine learning
[NO] 630/816 | Comparison requires valid measurement: Rethinking attack success rate comparisons in AI red teaming
[NO] 631/816 | Diffusion Model-based Reinforcement Learning for Version Age of Information Scheduling: Average and Tail-Risk-Sensitive Control
[NO] 632/816 | Mesoamerican proportional design and astronomical dualities: rational approximations consistent with $φ$ and $π$ in calendrics and architecture
[NO] 633/816 | Grounded Concreteness: Human-Like Concreteness Sensitivity in Vision-Language Models
[NO] 634/816 | Resonant Sparse Geometry Networks
[NO] 635/816 | Invariance of domain in locally o-minimal structures
[NO] 636/816 | Thicker amorphous grain boundary complexions reduce plastic strain localization in nanocrystalline Cu-Zr
[NO] 637/816 | Nucleophilic substitution at silicon under vibrational strong coupling: Refined insights from a high-level ab initio perspective
[NO] 638/816 | Hybrid Radar Fusion with Quantization: CRB-Rate Trade-offs and ADC Dynamic Range
[NO] 639/816 | Exploring Fine-Tuning for In-Context Retrieval and Efficient KV-Caching in Long-Context Language Models
[NO] 640/816 | Gravitational Lorentz-violating $e^-+e^+\to\ell^-+\ell^+$ scattering
[NO] 641/816 | Livestock, Methane and Climate
[NO] 642/816 | Magnetic Signatures of a Putative Fractional Topological Insulator in Twisted MoTe2
[NO] 643/816 | Curvature and Lagrangian submanifolds of nearly Kähler $\mathbb{C}P^3$
[NO] 644/816 | Regulatory Hub Discovery in MDD Methylome: Hypotheses for Molecular Subtypes via Computational Analysis
[NO] 645/816 | Real-Time Prediction of Lower Limb Joint Kinematics, Kinetics, and Ground Reaction Force using Wearable Sensors and Machine Learning
[NO] 646/816 | DisasterInsight: A Multimodal Benchmark for Function-Aware and Grounded Disaster Assessment
[NO] 647/816 | Electrostatic Screening Modulation of Graphene's Electronic Structure and the Helical Wavefunction-Dominated Topological Properties
[NO] 648/816 | Superconductivity under pressure in the two-dimensional van der Waals heavy-fermion metal CeSiI
[NO] 649/816 | Plasmon assisted superconductivity in LiTi$_2$O$_4$
[NO] 650/816 | First-principles study of bulk stacking, $J_{\rm eff}$ picture, magnetic Hamiltonian, $g$ factors, and structural distortions of $α$-RuCl$_3$
[NO] 651/816 | OffSeeker: Online Reinforcement Learning Is Not All You Need for Deep Research Agents
[NO] 652/816 | Study of dynamical systems and large-scale structure
[NO] 653/816 | Justification of a Relaxation Approximation for the Navier-Stokes-Cahn-Hilliard System
[NO] 654/816 | Phase conjugated master oscillator fiber power amplifier
[NO] 655/816 | Deep Reinforcement Learning for Hybrid RIS Assisted MIMO Communications
[NO] 656/816 | On the existence of heavy columns in binary matrices with distinct rows
[NO] 657/816 | On Procrustes Contamination in Machine Learning Applications of Geometric Morphometrics
[NO] 658/816 | NuMagSANS: a GPU-accelerated open-source software package for the generic computation of nuclear and magnetic small-angle neutron scattering observables of complex systems
[NO] 659/816 | UrgentMOS: Unified Multi-Metric and Preference Learning for Robust Speech Quality Assessment
[NO] 660/816 | TopKGAT: A Top-K Objective-Driven Architecture for Recommendation
[NO] 661/816 | Analyzing the Error of Generative Diffusion Models: From Euler-Maruyama to Higher-Order Schemes
[NO] 662/816 | Electric and magnetic timelike form factors of hyperons at large transfer momentum
[NO] 663/816 | A Jacobian-free Newton-Krylov method for high-order cell-centred finite volume solid mechanics
[NO] 664/816 | Comparative Evaluation of Machine Learning Algorithms for Affective State Recognition from Children's Drawings
[NO] 665/816 | Time-Scale-Adaptable Spectrum Sharing for Hybrid Satellite-Terrestrial Networks
[NO] 666/816 | Self-assembly of quasicrystals under cyclic shear
[NO] 667/816 | Estimating Dense-Packed Zone Height in Liquid-Liquid Separation: A Physics-Informed Neural Network Approach
