[2026-06-08 23:12:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-07
正在获取论文...
[ACM] 2026-6-8 | An Intelligent Assessment of Machine Vision Courses Based on HA-GNN
[IEEE] 2026-6-8 | HBA-VIO: High-Precision Direct Sparse Monocular Visual-Inertial Odometry via Hybrid Bundle Adjustment
[IEEE] 2026-6-8 | IEEE Collabratec
[IEEE] 2026-6-8 | Adaptive Lévy Flight-Based Optimization for Fetal ECG Recovery and Arrhythmia Detection
[IEEE] 2026-6-8 | What + IF = IEEE
[IEEE] 2026-6-8 | MG-YOLO: A Lightweight Deep Learning Model for Detecting Blueberry Fruits at Different Maturities
[IEEE] 2026-6-8 | Maximum Entropy Inverse RL for Cyber Attack Detection in IoT Networks
[IEEE] 2026-6-8 | Energy-saving Optimization Control of PEMFC systems for Plateau Railway
[IEEE] 2026-6-8 | Core Values for Ethical AI: A Systematic Review of Frameworks, Contexts, and Applications
[IEEE] 2026-6-8 | Performance, Adaptability, and Security in AI-Driven IIoT: A Survey
[IEEE] 2026-6-8 | Big Data-Driven Monitoring and Risk Early Warning for Mountainous River Waterways
[IEEE] 2026-6-8 | Design and Optimization of a Waveguide Applicator for Cell Cultures Exposure in the FR1 Band of 5G Signals
[IEEE] 2026-6-8 | A Vector-Free Global Terrain Analysis Algorithm and its Application: Extraction of Constructible Areas for Navigation in Wild and Extreme Disaster-Stricken Zones
[IEEE] 2026-6-8 | Subcellular Microdosimetry in a Virtual 3D HaCaT Cell Exposed to 26.5 GHz Millimeter Waves
[IEEE] 2026-6-8 | Revisiting Deepfake Image Detection: An Analysis of Cross-Dataset Generalization Limits
[IEEE] 2026-6-8 | The effects of climate change on the spread of the common bean diseases
[IEEE] 2026-6-8 | Influence of Electric Field Strength on the Dielectric Response of Epoxy Resin foe Electrical Insulation
[IEEE] 2026-6-8 | Effect of Dipole Length on the Design and Performance of High Permittivity Materials in 7 T MRI
[IEEE] 2026-6-8 | Research on Gridded Reconstruction and Generalization Capability of Sunshine Duration in Hubei Province
[IEEE] 2026-6-8 | Intelligent Diagnosis of Transformer Partial Discharge Based on ALEF-SSG Signal Enhancement and Multi-Domain Feature Fusion
[IEEE] 2026-6-8 | ALLMS-Modified Jaya Optimized Unified Power Quality Conditioner to Improve Power Quality
[IEEE] 2026-6-8 | A Method for Elevation Calculation of Offshore Islands and Reefs Far from the Mainland Based on Water Level Derivation Technology
[IEEE] 2026-6-8 | Differentiated Warning Method for Wildfires in Transmission Corridors Based on Multi-Dimensional Visual Features
[IEEE] 2026-6-8 | Real-Time MPPT Optimization for PV-Battery Hybrid Systems in EV Fast Charging Infrastructure
[IEEE] 2026-6-8 | Effect IoT based-RFID on Stock-Recording Efficiency in Indonesian Retail Industry: T-O-E Model with Workflow Optimization
[IEEE] 2026-6-8 | Deep Learning Framework Integrating Self-Supervised Learning and Attention for Landslide Susceptibility Mapping
[IEEE] 2026-6-8 | PSAR: Progressive Structure-Aware Refinement for Salient Object Detection via Spectral-Biased Dynamic Curriculum
[IEEE] 2026-6-8 | Secure and Optimized Cyber-Physical Architecture for Smart Grid and IoT-Enabled Energy Systems
[IEEE] 2026-6-8 | A Coefficient Feature Matching–Based Method for Single-Phase-to-Ground Fault Location in Active Distribution Networks
[IEEE] 2026-6-8 | The Influence of AI-Powered Reviews on Consumer Purchase Intention and Decision in E-Commerce: An Adapted UTAUT2 Approach
[IEEE] 2026-6-8 | A Critical Comparative Survey of ML/DL Approaches for Late Blight Detection and Prediction for Guinean Agriculture
[IEEE] 2026-6-8 | Digital Transformation Readiness and SME Performance: An Information Systems Model Using TOE and Social Media Adoption
[IEEE] 2026-6-8 | Comparative Analysis of Enhanced Weighted A* and Theta* Search Algorithms on Pacman Mazes
[IEEE] 2026-6-8 | AI-Based Predictive Energy Management of a Hybrid Solar-Wind System for Green Hydrogen Production: Case Study of Tarfaya, Morocco
[IEEE] 2026-6-8 | From Data to Value: Assessing the Role of Digital Approaches in Enhancing Battery Cell Manufacturing through Expert Perspectives
[IEEE] 2026-6-8 | Quantum-Resilient Cryptography and Safe Guarding Post Quantum Cryptographic Protocols Against Quantum Threats
[IEEE] 2026-6-8 | Towards Robust Closed-Loop Control for Aerosol Jet Printing Using Laser Transmission Feedback
[IEEE] 2026-6-8 | Energy Management and DC Bus regulation of an isolated DC Microgrid using Backstepping Control and ANN-Based MPPT
[IEEE] 2026-6-8 | Optimization potential in the production and end-of-life-management of electric drive units to increase resource efficiency
[IEEE] 2026-6-8 | Oral-Mamba vs. Swin-UNet: A Comparative Deep Learning Analysis for Gingivitis, Dental Caries, and Dental Calculus Segmentation
[IEEE] 2026-6-8 | Integrating Literature and Learning: A Graph Neural Network Framework for Herb-Drug Interaction Prediction Toward Sustainable and Clinically Informed Pharmaceutical Safety
[IEEE] 2026-6-8 | Battery Management Systems for Lithium-Ion Batteries in Electric Vehicles: Architectures, Modeling, and SOC Estimation Methods - A State of the Art
[IEEE] 2026-6-8 | Optimizing Efficiency and Performance of Axial Flux Machines for Dual-Drive Systems with a variable Air gap
[IEEE] 2026-6-8 | Study on Cutting of Rectangular Copper Hollow Wire for the Use in Hairpin Stator Electric Traction Motors
[IEEE] 2026-6-8 | Data-driven Prediction of California Bearing Ratio Using Fuzzy C-Means Clustering
[IEEE] 2026-6-8 | AI-Driven Learning Analytics for STEM Education: Insights from Primary School Admission
[IEEE] 2026-6-8 | Robust Speed Regulation of BLDC Motors through a Buck Boost Assisted Super Twisting SMC
[IEEE] 2026-6-8 | Comprehensive Analysis of Induction Motor Harmonics for Sensorless Speed Estimation in its Application to MCSA
[IEEE] 2026-6-8 | F-POI: A Lightweight, Noise-Resilient Parallel Side-Channel Attack on Kyber
[IEEE] 2026-6-8 | A Neuromorphic Image Sensor with In-Sensor Spiking Neural Network Computing
[IEEE] 2026-6-8 | Beyond information: how smart systems manage consumer knowledge
[IEEE] 2026-6-8 | Generative AI for Structural Design of Earthquake-Resistant Civil–Mechanical Systems
[IEEE] 2026-6-8 | Heterophily-Robust Patient-Similarity Graphs for Parkinson’s Screening from Voice
[IEEE] 2026-6-8 | Numerical Investigation of MASnBr
                    <sub>3</sub>
                    /CsSnGeI
                    <sub>3</sub>
                    /SnO
                    <sub>2</sub>
                    Solar Cell: Understanding the Impact of Absorber Layer Parameters
[IEEE] 2026-6-8 | Affective Intelligence-Enhanced Visual Content Summarization for Context-Rich Video Understanding
[IEEE] 2026-6-8 | A Multi-LLM Ensemble Approach for Evaluating Software Development Technologies
[IEEE] 2026-6-8 | A Sustainable Approach to Climate Change Mitigation and Energy Security Enhancement Through Biofuels Integrated with IoT
[IEEE] 2026-6-8 | Foundational Study of Topological Indicators and Neural Vision Models for Enhanced UAV Navigation
[IEEE] 2026-6-8 | Hybrid Essay Assessment Framework: Integrating Neural Content Analysis with Reference-Based Similarity Evaluation
[IEEE] 2026-6-8 | Motion analysis of a multi-stiffness concentric tube magnetic continuum robot and its remote constraint application for minimally invasive surgical operations_supp2-3699226.mp4
[IEEE] 2026-6-8 | Trans-Intestinal Port for Periodic Drug Refilling: Bridging Ingestible Capsules and Implantable Devices_supp7-3699210.mp4
[IEEE] 2026-6-8 | Petra: Enhancing Efficiency in Privacy-Preserving Three-Party Relational Analytics for Private Data
[IEEE] 2026-6-8 | Cross-Behavior Learning with Object Flow Prediction for Robotic Manipulation
[IEEE] 2026-6-8 | A Soft Worm Robot for Sub-Centimeter Scale Pipeline Inspection_supp8-3699247.mp4
[IEEE] 2026-6-8 | A Unified Multi-Dynamics Framework for Perception-Oriented Modeling in Tendon-Driven Continuum Robots
[IEEE] 2026-6-8 | HMFM: A Robust Hierarchical Multimodal Fusion Module to Enhance Map Learning With Additional Information
[IEEE] 2026-6-8 | Temporal Irregularity-Aware Attention Mechanism for Industry 5.0 Intrusion Detection
[IEEE] 2026-6-8 | IoT-Enabled SnO₂-Based Humidity Sensor for Real-Time Monitoring in Neonatal Incubators
[IEEE] 2026-6-8 | A Continuous Finite-Time Tracking Controller for Nonholonomic-Unicycle Vehicles
[IEEE] 2026-6-8 | Wavelength Dependence and Transient Photoresponse Mechanisms in Aerosol-Jet Printed ZnO Nanowire Ultraviolet Photodetectors
[IEEE] 2026-6-8 | Clustering of Equipment for Maintenance in BIM 7D Using the K-Nearest Neighbors (KNN) Approach Applied to Data Reduced by t-SNE (t-Distributed Stochastic Neighbor Embedding)
[IEEE] 2026-6-8 | Exploration of Engineering Educational Models based on CDIO and TPACK
[IEEE] 2026-6-8 | Utilizing Academic Analytic Dashboards in Improving Student Graduation Rates
[IEEE] 2026-6-8 | Optimal Control for Managing the Dynamics of Two Computer Virus Co-Infection
[IEEE] 2026-6-8 | Comparative Analysis of Machine Learning Models for Large-Scale Water Quality Assessment
[IEEE] 2026-6-8 | Enhancing Small and Medium Sized Enterprises Sustainability: Material Flow Cost Accounting as an Enabler for Circular Economy Thinking
[IEEE] 2026-6-8 | Learning-Driven Job Recommendation Systems: A Comprehensive Review of Deep Semantic, Transformer-Enhanced, Ontology-based and NLP-Bidirectional Approaches
[IEEE] 2026-6-8 | AI-Augmented Healthcare Communication: A Review of Large Language Model Healthcare Agents and Generative AI in EHR Integration
[IEEE] 2026-6-8 | A Multi-Stage XAI-Enhanced Transformer Model for Bias-Aware Decision Making in Financial Fraud Detection
[IEEE] 2026-6-8 | Deep Semantic Feature Learning and Efficient Indexing for Content-Based Image Retrieval
[IEEE] 2026-6-8 | Optimizing Linux Kernel Scheduler Parameters Using Reinforcement Learning
[IEEE] 2026-6-8 | Cognitive Networking using Deep Reinforcement Learning for Real-Time Optimization
[IEEE] 2026-6-8 | Ensemble Strategies for LLM-based Text Summarization: A Timing-Based Framework
[IEEE] 2026-6-8 | EchoGuard: Biometric Voice-based Audio Watermarking with Blockchain-Enabled Ownership Verification
[IEEE] 2026-6-8 | A Deep Learning Approach to Improving Multilingual Neural Machine Translation using Semantic and Linguistic Features
[IEEE] 2026-6-8 | Early Detection of Hypokinetic Rigid Syndrome Through Vocal Biomarker Analysis Using Convolutional Neural Networks
[IEEE] 2026-6-8 | Toward Portable and Energy-Efficient Home Hemodialysis: Clinical, Economic, and Technical Review with Engineering Perspectives
[IEEE] 2026-6-8 | Ontology-Enriched Abstract Topic Modelling for Biomedical Trend Discovery: A MeSH-based LDA Framework with BI Visual Analytics
[IEEE] 2026-6-8 | Assessing the Efficacy of Pre-trained Deep Learning Models for Facial Expression Recognition
[ACM] 2026-6-8 | Cpp2Rust: Automatic Translation of C++ to Safe Rust
[ACM] 2026-6-8 | Contextual Embeddings: Implementing Bound Variables through Instance Resolution
[IEEE] 2026-6-8 | Deep Learning-Based Solar Energy Forecasting Using Environmental Time-Series Data
[ACM] 2026-6-8 | ECO-STICK: Integrated control with ecological elements for interactive solutions in the Amazon
[ACM] 2026-6-8 | Shared Visits to Lost Theaters: Holoportation and Multimodal Content in Virtual Reality
[ACM] 2026-6-8 | Towards Interactive Volumetric Video experiences on Lightweight VR Devices through Remote Rendering
[ACM] 2026-6-8 | From Cane to Code
[ACM] 2026-6-8 | The SPACE of AI
[ACM] 2026-6-8 | Construction of a Three-Dimensional Mathematics Teaching Model Integrating Theory, Experiment, and Application-Using MATLAB and ELists as Technical Platforms
[ACM] 2026-6-8 | A Study on the Application of a Keyword-Matching Automatic Grammar Error Flagging System in University Students’ English Writing
[IEEE] 2026-6-8 | Radiation Resistant Reinforcement and Integration Technology for 650V Half Bridge Gate Drive circuit
[IEEE] 2026-6-8 | Wearable-Based Emotion Recognition Using Electrocardiogram and Galvanic Skin Response and Instrumentation Audit: A Systematic Review
[ACM] 2026-6-8 | Equality Saturation for Quantum Circuit Optimization
[ACM] 2026-6-8 | &amp;inator: Correct, Precise C-to-Rust Interface Translation
[ACM] 2026-6-8 | Optimal Predicate Pushdown Synthesis
[ACM] 2026-6-8 | Virtualizing Continuations
[IEEE] 2026-6-8 | A Confidence Fusion Driven Framework for Per-Beat ECG Waveform Delineation_supp1-3700163.docx
[IEEE] 2026-6-8 | Single-Stage Switched Capacitor and Inductor-based Modified Totem-Pole PFC Converter with High Step-Down Voltage Capability for LEV Chargers
[IEEE] 2026-6-8 | A Soft Worm Robot for Sub-Centimeter Scale Pipeline Inspection_supp6-3699247.mp4
[IEEE] 2026-6-8 | Integrating Lateral Transportation and Collaborative Energy Scheduling: A Bi-Level Programming Approach for Port Waste-Energy Management
[IEEE] 2026-6-8 | Vehicle Classification Based on Multi-Frequency Impedance Magnetic Profiles in Distance Domain
[IEEE] 2026-6-8 | CFP-WMP: A Coarse-to-Fine Environmental Perception Framework for Walking Mode Prediction
[IEEE] 2026-6-8 | Toward Efficient Uplink Access in 6G LEO Satellite Networks: A Heartbeat-Based Design
[IEEE] 2026-6-8 | Flood Inundation Extent Extraction Based on Multi-source Synergistic Features from GF-3 Dual-polarization SAR Data
[IEEE] 2026-6-8 | Cascaded FOC-Based Speed Control of a PMSM Traction Drive for Electric Vehicles
[IEEE] 2026-6-8 | A Review of Error Analysis and Compensation Methods Affecting the Measurement Performance of All-Optical Current Transformers
[IEEE] 2026-6-8 | In Silico Study of Resonant Magnetoelectric Micro-Transducers for Implantable Magnetic Sensing
[IEEE] 2026-6-8 | A Digital Twin of Schooling Instability: Active Matter and Machine Learning for Climate-Resilient Marine Systems
[IEEE] 2026-6-8 | Salt Typhoon and the Limits of “Quantum Security”: A Technique-Level Audit_supp2-3688536.csv
[IEEE] 2026-6-8 | Motion analysis of a multi-stiffness concentric tube magnetic continuum robot and its remote constraint application for minimally invasive surgical operations_supp1-3699226.mp4
[IEEE] 2026-6-8 | SpecEStop: Self-Supervised Hyperspectral Mixed Noise Removal via Deep Spectral Prior
[ACM] 2026-6-8 | A Verified Parallel Scheduler for OCaml 5
[IEEE] 2026-6-8 | Lightweight Deep Learning for Concealed Person Detection and Tracking in Airplane Cargo Holds
[IEEE] 2026-6-8 | Skin Lesion Segmentation and Cancer Classification using U -Net and Vision Transformer Models
[IEEE] 2026-6-8 | Overcoming Data Scarcity in EV Battery Disassembly with Augmented Deep Learning and Structural Reasoning
[IEEE] 2026-6-8 | An Interval-Valued Fuzzy Inference System for Disease Diagnosis
[IEEE] 2026-6-8 | AUV Path Planning Under Ocean Current Disturbances Based on Deep Reinforcement Learning
[IEEE] 2026-6-8 | A Comparative Study of Various Urban Change Detection Techniques in Northern Jordan using Sentinel and TerraSAR-X images
[IEEE] 2026-6-8 | Intelligent Multi-Source Data Fusion for AI-based Precision Crop Recommendation using Soil, Environmental, and Market Intelligence
[IEEE] 2026-6-8 | A Review on Advancing Immersive Experiences through Animation Technology in Virtual Reality
[IEEE] 2026-6-8 | Exploring the Moderating Effect of Artificial Intelligence Adoption on Technological Self-Efficacy and Digital Communication in Relation to Digital Leadership Competencies
[IEEE] 2026-6-8 | Affective-Aware Learning Systems: Bridging Emotion and Education through AI
[IEEE] 2026-6-8 | Nonlinear Integral Terminal Sliding Mode Control for DFIG-Based Wind Energy Conversion System
[IEEE] 2026-6-8 | Toward a Soft Robotic Gripper Integrating High Force Grasping and Dexterous Manipulation: The SOFRo Gripper_supp2-3693142.mp4
[IEEE] 2026-6-8 | Consistency Knobs in Practice: Latency, Availability, and Staleness Across Cassandra and MongoDB Under Workload and Faults
[IEEE] 2026-6-8 | Mamba-SHAP Hybrid Framework for Explainable PCOS Detection from Clinical and Hormonal Data
[IEEE] 2026-6-8 | Detecting and Mitigating Bias in Resume using Machine Learning Algorithms
[IEEE] 2026-6-8 | Enhancing Finite-Element-Informed Neural Networks via Metaheuristic Optimization: A Case Study in Structural Mechanics
[IEEE] 2026-6-8 | Detecting DDoS: A Communication Efficient Approach in Distributed Environments
[IEEE] 2026-6-8 | A Comparative Study of Marker-Based and Markerless Augmented Reality Technologies
[IEEE] 2026-6-8 | From Adoption To Execution Why Many Indonesian MSMEs Fail After Going Digital A Systematic Literature Review Of Strategic And Organizational Barriers
[IEEE] 2026-6-8 | Sensing Before Failure: A Predictive IoT Architecture for Resilient Infrastructure Systems
